--------------------
BDMEP - INMET
--------------------
Estação           : ITABERABA - BA (OMM: 83244)
Latitude  (graus) : -12.51
Longitude (graus) : -40.28
Altitude  (metros): 249.89
Estação Operante
Inicio de operação: 21/08/1931
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83244;31/01/2000;0000;103.9;31.403226;20.76129;72.08871;
83244;29/02/2000;0000;73;32.724138;20.734483;72.008621;
83244;31/03/2000;0000;58.7;32.070968;20.483871;73.08871;
83244;30/04/2000;0000;74.2;30.913333;20.213333;75.616667;
83244;31/05/2000;0000;21.6;30.032258;18.76129;71.919355;
83244;30/06/2000;0000;36.9;28.61;17.35;72.95;
83244;31/07/2000;0000;28;29.025806;16.793548;69.919355;
83244;31/08/2000;0000;12.3;29.980645;18.796774;67.451613;
83244;30/09/2000;0000;54.2;30.003333;19.793333;67.666667;
83244;31/10/2000;0000;6.1;32.832258;21.229032;59.379032;
83244;30/11/2000;0000;254.6;31.533333;22.056667;71.308333;
83244;31/12/2000;0000;87.8;30.880645;22.306452;72.612903;
83244;31/01/2001;0000;35;31.874194;21.254839;67.564516;
83244;28/02/2001;0000;2.3;35.417857;22.232143;57.964286;
83244;31/03/2001;0000;92.7;32.66129;22.616129;67.58871;
83244;30/04/2001;0000;19.4;31.703333;20.93;69.908333;
83244;31/05/2001;0000;24.6;32.180645;21.741935;68.508065;
83244;30/06/2001;0000;67;28.086667;18.673333;75.041667;
83244;31/07/2001;0000;16.9;28.916129;18.132258;68.322581;
83244;31/08/2001;0000;48.6;27.883871;17.987097;71.653226;
83244;30/09/2001;0000;15.3;30.03;19.74;68.958333;
83244;31/10/2001;0000;17.9;31.929032;21.058065;64.362903;
83244;30/11/2001;0000;6.6;34.17;21.97;60.25;
83244;31/12/2001;0000;193.7;32.393548;22.358065;69.395161;
83244;31/01/2002;0000;383.4;29.941935;21.574194;80.854839;
83244;28/02/2002;0000;74.6;31.582143;21.392857;72.794643;
83244;31/03/2002;0000;40.9;32.309677;21.790323;70.241935;
83244;30/04/2002;0000;12.3;32.216667;20.933333;71.675;
83244;31/05/2002;0000;26.5;30.967742;19.219355;72.677419;
83244;30/06/2002;0000;49.7;28.573333;18.486667;75.991667;
83244;31/07/2002;0000;3.6;29.164516;17.846667;73.5;
83244;31/08/2002;0000;22.7;29.612903;18.1;68.548387;
83244;30/09/2002;0000;52.3;30.5;19.346667;70.575;
83244;31/10/2002;0000;1;32.777419;19.945161;62.104839;
83244;30/11/2002;0000;5.4;33.95;21.01;62.758333;
83244;31/12/2002;0000;114.6;33.516129;21.516129;67.258065;
83244;31/01/2003;0000;20.1;33.851613;21.596774;66.225806;
83244;28/02/2003;0000;14.5;34.05;21.314286;64.366071;
83244;31/03/2003;0000;8;34.451613;21.945161;65.572581;
83244;30/04/2003;0000;9.5;33.36;20.71;68.1;
83244;31/05/2003;0000;65.1;30.258065;20.087097;76.120968;
83244;30/06/2003;0000;40.2;28.26;17.05;79.075;
83244;31/07/2003;0000;38.1;28.016129;16.070968;75.370968;
83244;31/08/2003;0000;28.8;29.029032;17.387097;75.104839;
83244;30/09/2003;0000;10.7;30.463333;17.71;69.841667;
83244;31/10/2003;0000;1.5;32.43871;19.090323;63.048387;
83244;30/11/2003;0000;76.7;32.16;19.913333;69.55;
83244;31/12/2003;0000;6.3;34.335484;20.73871;61.741935;
83244;31/01/2004;0000;317.1;31.993548;20.525806;75.435484;
83244;29/02/2004;0000;49.6;31.693103;20.244828;74.913793;
83244;31/03/2004;0000;86.9;30.964516;20.206452;77.854839;
83244;30/04/2004;0000;27.5;31.416667;19.58;75.425;
83244;31/05/2004;0000;35.2;30.454839;17.845161;76.725806;
83244;30/06/2004;0000;33.7;27.993333;15.6;80.241667;
83244;31/07/2004;0000;44;28.258065;15.909677;72.112903;
83244;31/08/2004;0000;0;30.203226;17.674194;65.895161;
83244;30/09/2004;0000;1.8;31.31;18.156667;62.325;
83244;31/10/2004;0000;30.5;32.251613;20.674194;65.645161;
83244;30/11/2004;0000;106.9;32.926667;21.583333;67.091667;
83244;31/12/2004;0000;24;33.364516;21.425806;64.314516;
83244;31/01/2005;0000;62.6;33.590323;22.13871;65.604839;
