--------------------
BDMEP - INMET
--------------------
Estação           : ITUACU - BA (OMM: 83292)
Latitude  (graus) : -13.81
Longitude (graus) : -41.3
Altitude  (metros): 531.43
Estação Operante
Inicio de operação: 18/02/1973
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83292;31/01/2000;0000;81.1;31.035484;20.177419;69.016129;
83292;29/02/2000;0000;105.8;32.062069;20.827586;65.981481;
83292;31/03/2000;0000;61.6;30.470968;20.390323;70;
83292;30/04/2000;0000;62.7;29.983333;20.193333;71.016667;
83292;31/05/2000;0000;4.2;29.406452;18.593548;64.790323;
83292;30/06/2000;0000;9.3;27.723333;17.263333;66.733333;
83292;31/07/2000;0000;18.3;27.464516;16.893333;65.620968;
83292;31/08/2000;0000;8;28.596774;17.193548;59.943548;
83292;30/09/2000;0000;14;28.936667;18.89;58.9;
83292;31/10/2000;0000;1.8;32.377419;20.26129;48.637097;
83292;30/11/2000;0000;109.8;30.563333;20.68;63.933333;
83292;31/12/2000;0000;307.9;28.7;20.341935;80.080645;
83292;31/01/2001;0000;35.5;30.403226;19.716129;64.814516;
83292;28/02/2001;0000;19.8;33.932143;20.878571;51.830357;
83292;31/03/2001;0000;54.5;31.832258;21;61.5;
83292;30/04/2001;0000;7.1;31.416667;20.066667;58.216667;
83292;31/05/2001;0000;7.5;31.222581;19.587097;60.048387;
83292;30/06/2001;0000;17.6;27.993333;17.423333;64.725;
83292;31/07/2001;0000;4.2;28.16129;17.341935;60.95;
83292;31/08/2001;0000;9.1;27.590323;17.145161;60.967742;
83292;30/09/2001;0000;11.9;30.38;18.9;54.691667;
83292;31/10/2001;0000;90.1;30.380645;20.012903;59.774194;
83292;30/11/2001;0000;5;32.756667;21.513333;53.85;
83292;31/12/2001;0000;74.6;31.012903;20.922581;62.387097;
83292;31/01/2002;0000;284;29.7;20.132258;73.622581;
83292;28/02/2002;0000;148.4;30.735714;19.414286;64.089286;
83292;31/03/2002;0000;15.5;31.512903;20.474194;60.451613;
83292;30/04/2002;0000;8.6;31.316667;20.455172;60.825;
83292;31/05/2002;0000;24.8;29.46129;17.145161;62.33871;
83292;30/06/2002;0000;19.8;27.59;17.6;66.441667;
83292;31/07/2002;0000;0.8;28.548387;17.006452;60.33871;
83292;31/08/2002;0000;12;28.729032;17.064516;58.346774;
83292;30/09/2002;0000;49;30.123333;19.076667;57.216667;
83292;31/10/2002;0000;0;31.903226;19.622581;48.677419;
83292;30/11/2002;0000;28.7;32.093333;20.693333;56.708333;
83292;31/12/2002;0000;181.9;32.267742;21.236667;61.354839;
83292;31/01/2003;0000;42.1;32.009677;21.441935;68.75;
83292;28/02/2003;0000;14.3;33.478571;21.489286;55.589286;
83292;31/03/2003;0000;15;33.803226;22.325806;56.354839;
83292;30/04/2003;0000;55.1;32.003333;21.033333;62.616667;
83292;31/05/2003;0000;61;29.6;20.090323;68.620968;
83292;30/06/2003;0000;10.6;27.689286;17.303571;70.910714;
83292;31/12/2003;0000;37.9;33.319048;22.12381;52.7875;
83292;31/01/2004;0000;161.3;30.526667;21.919355;67.790323;
83292;29/02/2004;0000;69.7;30.441379;20.855172;69.698276;
83292;31/03/2004;0000;178.7;28.977419;20.454839;79.137097;
83292;30/04/2004;0000;26.5;29.703333;20.203333;71.533333;
83292;31/05/2004;0000;16.6;28.787097;18.83871;72.169355;
83292;30/06/2004;0000;15;26.953333;17.39;68.9;
83292;31/07/2004;0000;4.7;26.419355;16.170968;66.169355;
83292;31/08/2004;0000;0;29.112903;17.36129;52.858333;
83292;30/09/2004;0000;1.2;30.116667;17.896667;50;
83292;31/10/2004;0000;19.7;30.93871;20.503226;55.935484;
83292;30/11/2004;0000;143.1;31.503333;21.1;60.966667;
83292;31/12/2004;0000;38.8;31.387097;20.493548;59.072581;
83292;31/01/2005;0000;84.1;32.022581;21.754839;61.387097;
83292;28/02/2005;0000;92.1;31.564286;21.714286;67.071429;
83292;31/03/2005;0000;23.6;32.048387;21.409677;65.919355;
83292;30/04/2005;0000;65.6;30.686667;21.046667;67.741667;
83292;31/05/2005;0000;20.1;28.748387;18.725806;70.080645;
83292;30/06/2005;0000;17.7;27.33;17.78;72.866667;
83292;31/07/2005;0000;5.8;27.187097;16.46129;65.112903;
83292;31/08/2005;0000;4;28.43871;17.735484;61.145161;
83292;30/09/2005;0000;9.2;30.013333;19.603333;57.941667;
83292;31/10/2005;0000;12.3;32.777419;20.570968;50.362903;
83292;30/11/2005;0000;81.2;30.43;20.833333;65.225;
83292;31/12/2005;0000;34;31.054839;21.006452;62.290323;
83292;31/01/2006;0000;1;32.403226;21.258065;56.741935;
83292;28/02/2006;0000;59;34.860714;22.189286;52.964286;
83292;31/03/2006;0000;224.4;30.854839;21.512903;73.653226;
83292;30/04/2006;0000;164.2;29.04;20.6;81.983333;
83292;31/05/2006;0000;22.7;27.580645;18.019355;76.580645;
83292;30/06/2006;0000;27.3;25.73;16.146667;76.783333;
83292;31/07/2006;0000;8.7;26.83871;15.064516;68.983871;
83292;31/08/2006;0000;1.5;28.703226;16.619355;62.677419;
83292;30/09/2006;0000;3.4;29.963333;18.475862;60.183333;
83292;31/10/2006;0000;46.1;29.803226;20.56;68.895161;
83292;30/11/2006;0000;194.2;29.666667;20.606667;73.308333;
83292;31/12/2006;0000;37.6;31.570968;20.612903;67.193548;
83292;31/01/2007;0000;113.5;33.277419;21.512903;61.41129;
83292;28/02/2007;0000;325.5;29.603571;21.025;79.205357;
83292;31/03/2007;0000;17;30.512903;19.196774;75.201613;
83292;30/04/2007;0000;33.8;30.233333;19.88;78.683333;
83292;31/05/2007;0000;5.4;29.706452;18.158065;75.895161;
83292;30/06/2007;0000;12.6;28.2;16.586667;72.2;
83292;31/07/2007;0000;8.2;27.822581;15.826667;71.758065;
83292;31/08/2007;0000;9.3;28.193548;16.467742;67.717742;
83292;30/09/2007;0000;23.1;29.26;17.876667;65.625;
83292;31/10/2007;0000;2.8;31.487097;19.851613;62.870968;
83292;30/11/2007;0000;53.4;31.88;21.213333;65.716667;
83292;31/12/2007;0000;134.6;30.690323;19.490323;71.258065;
83292;31/01/2008;0000;23.8;32.532258;20.286667;61.862903;
83292;29/02/2008;0000;104.8;33.237931;20.727586;66.87931;
83292;31/03/2008;0000;196.5;30.793548;19.822581;78.798387;
83292;30/04/2008;0000;13.2;31.886667;19.846667;71.05;
83292;31/05/2008;0000;11.9;30.235484;17.7;71.306452;
83292;30/06/2008;0000;9.4;27.636667;16.576667;73.108333;
83292;31/07/2008;0000;19.2;27.354839;14.183871;68.475806;
83292;31/08/2008;0000;0.4;29.212903;15.958065;62.959677;
83292;30/09/2008;0000;3.1;30.733333;17.765385;63.481481;
83292;31/10/2008;0000;6.5;33.009677;19.074194;55.032258;
83292;30/11/2008;0000;130.2;31.55;20.686667;65.725;
83292;31/12/2008;0000;104.5;30.164516;19.832258;77.217742;
83292;31/01/2009;0000;95.4;31.122581;19.529032;72.532258;
83292;28/02/2009;0000;0;32.696429;20.4;65.696429;
83292;31/03/2009;0000;49.6;33.809677;20.590323;;
83292;30/04/2009;0000;92.5;29.666667;20.12963;;
83292;31/05/2009;0000;66.7;28.032258;18.677419;;
83292;30/06/2009;0000;26.9;27.723333;17.48;;
83292;31/07/2009;0000;10.4;27.851613;17;;
83292;31/08/2009;0000;2.9;29.016129;17.83871;;
83292;30/09/2009;0000;7.3;32.273333;20;;
83292;31/10/2009;0000;184.8;31.477419;21.406452;;
83292;30/11/2009;0000;11.3;31.776667;20.72;;
83292;31/12/2009;0000;46.6;32.229032;21.503226;;
83292;31/01/2010;0000;4.1;33.016129;20.945161;;
83292;28/02/2010;0000;9.2;33.914286;21.878571;;
83292;31/03/2010;0000;135.6;31.458065;20.925806;70.220588;
83292;30/04/2010;0000;94.6;29.773333;20.033333;75.791667;
83292;31/05/2010;0000;3.3;30.706452;19.290323;68.137097;
83292;30/06/2010;0000;5.4;28.546667;16.053333;63.833333;
83292;31/07/2010;0000;20.2;27.396774;17.041935;68.040323;
83292;31/08/2010;0000;5.6;27.987097;15.754839;67.41129;
83292;30/09/2010;0000;3.6;29.74;17.783333;64.7;
83292;31/10/2010;0000;59.5;33.109677;21.122581;66.08871;
83292;30/11/2010;0000;175.2;30.696667;20.803333;69.45;
83292;31/12/2010;0000;148.1;30.83871;20.129032;64.491935;
83292;31/01/2011;0000;32.8;31.106452;19.909677;57.024194;
83292;28/02/2011;0000;24.7;33.253571;20.678571;57.232143;
83292;31/03/2011;0000;156.8;31.509677;20.480645;74.032258;
83292;30/04/2011;0000;38.5;29.79;18.826667;76.116667;
83292;31/05/2011;0000;7.4;28.33871;17.358065;73.919355;
83292;30/06/2011;0000;2.5;28.826667;16.523333;71.983333;
83292;31/07/2011;0000;6.4;27.825806;14.951613;67.612903;
83292;31/08/2011;0000;5.7;29.370968;15.983871;60.080645;
83292;30/09/2011;0000;0;28.876667;15.816667;52.816667;
83292;31/10/2011;0000;85;30.148387;19.390323;63.548387;
83292;30/11/2011;0000;112.4;28.393333;18.936667;73.708333;
83292;31/12/2011;0000;66;30.722581;19;65.169355;
83292;31/01/2012;0000;6.1;32.141935;19.790323;61.241935;
83292;29/02/2012;0000;17.6;32.232143;19.641379;62.922414;
83292;31/03/2012;0000;5.2;33.696774;20.490323;57.870968;
83292;30/04/2012;0000;0.8;33.113333;19.51;54.583333;
83292;31/05/2012;0000;32.3;29.541935;17.980645;60.233871;
83292;30/06/2012;0000;9.3;28.9;17.49;64.841667;
83292;31/07/2012;0000;9.7;28.435484;15.303226;60.516129;
83292;31/08/2012;0000;16.8;27.216129;15.306452;64.669355;
83292;30/09/2012;0000;2.5;30.496667;16.99;57.708333;
83292;31/10/2012;0000;0;32.216129;19.16;59.169355;
83292;30/11/2012;0000;187.3;29.533333;19.831579;72.05;
83292;31/12/2012;0000;3.7;33.706452;19.548387;53.175;
83292;31/01/2013;0000;181.5;32.029032;20.306452;67.959677;
83292;28/02/2013;0000;0;32.378571;19.421429;60.044643;
83292;31/03/2013;0000;0.5;33.848387;20.654839;59.548387;
83292;30/04/2013;0000;11.1;31.343333;18.49;62.466667;
83292;31/05/2013;0000;49.4;30.177419;16.951852;62.846774;
83292;30/06/2013;0000;28.6;28.203333;16.803448;72.908333;
83292;31/07/2013;0000;9.5;28.419355;15.134615;63.637097;
83292;31/08/2013;0000;13;28.422581;15.509677;63.153226;
83292;30/09/2013;0000;4.2;30.05;17.123333;60.308333;
83292;31/10/2013;0000;12.1;31.164516;18.316129;56.467742;
83292;30/11/2013;0000;19.6;31.233333;19.363333;60.35;
83292;31/12/2013;0000;150.4;29.996667;19.4;70.717742;
83292;31/01/2014;0000;6.5;30.932258;18.285714;62.395161;
83292;28/02/2014;0000;5.8;31.667857;18.764286;59.116071;
83292;31/03/2014;0000;100.9;31.948387;19.322581;61.782258;
83292;30/04/2014;0000;71.6;31.136667;18.426667;61.85;
83292;31/05/2014;0000;2.8;29.829032;17.177419;63.193548;
83292;30/06/2014;0000;7.3;28.423333;15.706667;65.416667;
83292;31/07/2014;0000;13;27.693333;15.119355;63.467742;
83292;31/08/2014;0000;0;28.970968;14.993548;56.524194;
83292;30/09/2014;0000;4.1;30.446667;16.89;54.333333;
83292;31/10/2014;0000;79.1;30.390323;18.062069;52.58871;
83292;30/11/2014;0000;154.6;29.834483;18.286667;63.925;
83292;31/12/2014;0000;216.5;29.883871;18.103226;64.451613;
83292;31/01/2015;0000;1.1;31.73871;18.016129;58.016129;
