--------------------
BDMEP - INMET
--------------------
Estação           : IVINHEMA - MS (OMM: 83704)
Latitude  (graus) : -22.3
Longitude (graus) : -53.81
Altitude  (metros): 369.20
Estação Operante
Inicio de operação: 25/07/1966
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83704;31/01/2000;0000;120.2;34.464516;22.703226;68.725806;
83704;29/02/2000;0000;285.4;31.551724;21.562069;78.034483;
83704;31/03/2000;0000;64.8;30.390323;21.158065;79.725806;
83704;30/04/2000;0000;71;31.446667;19.02;62.866667;
83704;31/05/2000;0000;33.1;26.6;14.767742;69.435484;
83704;30/06/2000;0000;120.3;26.54;15.466667;71.741667;
83704;31/07/2000;0000;56.7;22.980645;9.954839;64.41129;
83704;31/08/2000;0000;137.7;27.109677;15.732258;72.685484;
83704;30/09/2000;0000;195.4;27.25;16.456667;74.408333;
83704;31/10/2000;0000;67;32.445161;20.47;66.58871;
83704;30/11/2000;0000;144.3;31.28;20.373333;71.541667;
83704;31/12/2000;0000;217.2;31.458065;21.03871;72.951613;
83704;31/01/2001;0000;133.9;32.335484;22.041935;76.669355;
83704;28/02/2001;0000;391.8;31.332143;21.689286;82.928571;
83704;31/03/2001;0000;330.6;31.564516;21.43871;80.314516;
83704;30/04/2001;0000;79.2;31.4;20.26;76.408333;
83704;31/05/2001;0000;79.2;25.351613;14.270968;77.467742;
83704;30/06/2001;0000;62.1;24.24;13.196667;75.566667;
83704;31/07/2001;0000;16.5;27.9;14.419355;66.645161;
83704;31/08/2001;0000;70.4;30.441935;17.116129;59.475806;
83704;30/09/2001;0000;130.2;29.813333;17.516667;67.225;
83704;31/10/2001;0000;57.6;31.229032;19.36129;66.983871;
83704;30/11/2001;0000;226.4;31.003333;20.486667;78.708333;
83704;31/12/2001;0000;163.8;30.609677;20.251613;73.483871;
83704;31/01/2002;0000;152.5;32.290323;21.209677;72.508065;
83704;28/02/2002;0000;175.9;31.078571;20.521429;75.464286;
83704;31/03/2002;0000;66.4;33.829032;22.383871;70.798387;
83704;30/04/2002;0000;7.3;34.3;21.336667;62.125;
83704;31/05/2002;0000;305.7;27.912903;17.554839;75.653226;
83704;30/06/2002;0000;14.1;28.473333;15.673333;66.666667;
83704;31/07/2002;0000;74.5;25.254839;13.641935;69.241935;
83704;31/08/2002;0000;29.7;29.996774;17.490323;55.024194;
83704;30/09/2002;0000;18.9;29.624138;16.624138;57.841667;
83704;31/10/2002;0000;84.9;33.983871;20.974194;63.951613;
83704;30/11/2002;0000;203.6;31.766667;20.08;69.558333;
83704;31/12/2002;0000;304.9;33.045161;21.770968;70.564516;
83704;31/01/2003;0000;302.9;31.790323;22.083871;78.145161;
83704;28/02/2003;0000;136.6;31.985714;21.639286;77.303571;
83704;31/03/2003;0000;43.4;31.996774;21.116129;70.112903;
83704;30/04/2003;0000;234.6;29.676667;18.913793;68.408333;
83704;31/05/2003;0000;54.4;26.8;14.729032;65.16129;
83704;30/06/2003;0000;59;28.416667;16.863333;65.541667;
83704;31/07/2003;0000;0;;;;
83704;31/08/2003;0000;91.5;25.245161;12.074194;;
83704;30/09/2003;0000;134.2;28.893333;16.506667;;
83704;31/10/2003;0000;106.5;30.993548;18.83871;64.960526;
83704;30/11/2003;0000;98.8;31.393333;19.56;64.894231;
83704;31/12/2003;0000;171.6;32.06129;20.987097;74.725806;
83704;31/01/2004;0000;114.1;32.670968;21.674194;67.927419;
83704;29/02/2004;0000;48.9;32.717241;21.024138;65.956897;
83704;31/03/2004;0000;176.6;32.596774;20.406452;64.362903;
83704;30/04/2004;0000;78;30.493333;19.923333;76.025;
83704;31/05/2004;0000;325.9;22.467742;14.135484;84.193548;
83704;30/06/2004;0000;106.6;23.83;14.11;76.916667;
83704;31/07/2004;0000;105.5;23.751613;13.458065;75.177419;
83704;31/08/2004;0000;0.4;28.635484;14.335484;54.758065;
83704;30/09/2004;0000;25.6;32.393333;18.586667;54.908333;
83704;31/10/2004;0000;297.4;29.522581;18.319355;67.580645;
83704;30/11/2004;0000;207.4;30.42;19.6;68.45;
83704;31/12/2004;0000;149.8;31.629032;20.825806;68.919355;
83704;31/01/2005;0000;286.7;30.741935;22.316129;81.516129;
83704;28/02/2005;0000;7.4;33.807143;22.264286;60.732143;
83704;31/03/2005;0000;0.1;34.180645;21.783871;57.830645;
83704;30/04/2005;0000;228.6;31.636667;20.39;67.908333;
83704;31/05/2005;0000;75.8;28.406452;17.216129;67.637097;
83704;30/06/2005;0000;63.4;27.803333;17.616667;71.95;
83704;31/07/2005;0000;25.4;24.483871;12.596774;65.572581;
83704;31/08/2005;0000;2.8;29.922581;16.083871;51.846774;
83704;30/09/2005;0000;192.7;24.906667;13.8;71.983333;
83704;31/10/2005;0000;222.6;29.348387;19.306452;79.435484;
83704;30/11/2005;0000;54.2;30.986667;20.2;66.925;
83704;31/12/2005;0000;105.8;31.7;21.074194;68.927419;
83704;31/01/2006;0000;165.4;32.503226;21.709677;73.201613;
83704;28/02/2006;0000;164.1;33.985714;21.335714;73.330357;
83704;31/03/2006;0000;164.4;33.032258;21.877419;75.959677;
83704;30/04/2006;0000;105.6;30.236667;19.426667;74.033333;
83704;31/05/2006;0000;32.5;25.36129;13.693548;66.266129;
83704;30/06/2006;0000;32.4;26.866667;15.596667;65.616667;
83704;31/07/2006;0000;37.8;28.722581;15.570968;61.040323;
83704;31/08/2006;0000;10.4;29.677419;15.56129;51.854839;
83704;30/09/2006;0000;108.1;28.086667;16.02;65.991667;
83704;31/10/2006;0000;59.9;31.632258;20.687097;68.975806;
83704;30/11/2006;0000;68.8;31.73;20.49;66.25;
83704;31/12/2006;0000;285;32.26129;22.1;74.209677;
83704;31/01/2007;0000;155;31.225806;22.306452;82.927419;
83704;28/02/2007;0000;203.4;31.889286;21.717857;76.544643;
83704;31/03/2007;0000;103.1;32.970968;21.741935;69.967742;
83704;30/04/2007;0000;97.3;31.26;20.166667;70.208333;
83704;31/05/2007;0000;56.6;26.587097;14.874194;69.274194;
83704;30/06/2007;0000;5.1;28.733333;14.17;62.825;
83704;31/07/2007;0000;162.6;25.712903;12.3;65.120968;
83704;31/08/2007;0000;18.1;28.116129;14.041935;61.266129;
83704;30/09/2007;0000;3;33.54;19.733333;49.133333;
83704;31/10/2007;0000;39.7;33.532258;20.412903;62.427419;
83704;30/11/2007;0000;209.7;31.096667;19.766667;69.091667;
83704;31/12/2007;0000;145.5;32.441935;21.358065;68.967742;
83704;31/01/2008;0000;237.7;30.564516;21.432258;78.854839;
83704;29/02/2008;0000;239.9;31.124138;21.368966;77.474138;
83704;31/03/2008;0000;48.3;31.022581;20.464516;71.258065;
83704;30/04/2008;0000;118.5;29.87;18.763333;73.541667;
83704;31/05/2008;0000;55.9;25.635484;15.019355;73.201613;
83704;30/06/2008;0000;24.4;25.143333;13.206667;73.575;
83704;31/07/2008;0000;1.2;29.596774;16.170968;56.766129;
83704;31/08/2008;0000;130.6;29.76129;16.570968;63.290323;
83704;30/09/2008;0000;80;28.626667;14.93;56.366667;
83704;31/10/2008;0000;123.4;31.693548;20.222581;68.951613;
83704;30/11/2008;0000;217.8;31.023333;20.52;66.616667;
83704;31/12/2008;0000;66.8;33.429032;21.351613;62.08871;
83704;31/01/2009;0000;238.7;;;;
83704;28/02/2009;0000;152.2;;;;
83704;31/03/2009;0000;69.8;;;;
83704;30/04/2009;0000;0;;;;
83704;31/05/2009;0000;141.2;;;;
83704;30/06/2009;0000;64.8;;;;
83704;31/07/2009;0000;145.3;;;;
83704;31/08/2009;0000;152.7;;;;
83704;30/09/2009;0000;93.9;;;;
83704;31/10/2009;0000;275.2;;;;
83704;30/11/2009;0000;192.4;;;;
83704;31/12/2009;0000;200.9;;;;
83704;31/01/2010;0000;247.4;;;;
83704;28/02/2010;0000;157.1;;;;
83704;31/03/2010;0000;98.2;;;;
83704;30/04/2010;0000;67.1;;;;
83704;31/05/2010;0000;113.3;;;;
83704;30/06/2010;0000;7.4;;;;
83704;31/07/2010;0000;49.8;;;;
83704;31/08/2010;0000;7.4;;;;
83704;30/09/2010;0000;409.3;;;;
83704;31/10/2010;0000;116.2;;;;
83704;30/11/2010;0000;159.9;;;;
83704;31/12/2010;0000;239.3;;;;
83704;31/01/2011;0000;220.2;;;;
83704;28/02/2011;0000;284.3;;;;
83704;31/03/2011;0000;148.2;;;;
83704;30/04/2011;0000;269.9;;;;
83704;31/05/2011;0000;7.8;;;;
83704;30/06/2011;0000;84.7;;;;
83704;31/07/2011;0000;111.9;;;;
83704;31/08/2011;0000;19.8;;;;
83704;30/09/2011;0000;66;30.146667;;66.241667;
83704;31/10/2011;0000;232.3;30.109677;;71.798387;
83704;30/11/2011;0000;171.4;30.873333;;65.433333;
83704;31/12/2011;0000;114.6;32.887097;;63.725806;
83704;31/01/2012;0000;144.1;31.832258;;74.330645;
83704;29/02/2012;0000;136;33.396552;;70.663793;
83704;31/03/2012;0000;81.5;31.751613;;66.5;
83704;30/04/2012;0000;150.4;29.486667;;76.215517;
83704;31/05/2012;0000;90.4;26.696774;;77.35;
83704;30/06/2012;0000;312.5;25;;80.818966;
83704;31/07/2012;0000;16;25.932258;;71.701613;
83704;31/08/2012;0000;5;30.153333;;61.669355;
83704;30/09/2012;0000;130.8;32.42;;57.658333;
83704;31/10/2012;0000;108.3;;;70.966667;
83704;30/11/2012;0000;151.4;;;;
83704;31/12/2012;0000;165.7;;;;
83704;31/01/2013;0000;87.4;;;;
83704;28/02/2013;0000;172.8;;;;
83704;31/03/2013;0000;231.7;;;;
83704;30/04/2013;0000;141.6;;;;
83704;31/05/2013;0000;46.8;;;;
83704;30/06/2013;0000;195.8;;;;
83704;31/07/2013;0000;26.1;;;;
83704;31/08/2013;0000;0;;;;
83704;30/09/2013;0000;104.9;;;;
83704;31/10/2013;0000;187.1;;;;
83704;30/11/2013;0000;140.5;;;;
83704;31/12/2013;0000;110.1;;;;
83704;31/01/2014;0000;160.1;;;;
83704;28/02/2014;0000;228.1;;;;
83704;31/03/2014;0000;147.7;;;;
83704;30/04/2014;0000;67.8;;;;
83704;31/05/2014;0000;148.4;;;;
83704;30/06/2014;0000;49.8;;;;
