--------------------
BDMEP - INMET
--------------------
Estação           : ALTAMIRA - PA (OMM: 82353)
Latitude  (graus) : -3.21
Longitude (graus) : -52.21
Altitude  (metros): 74.04
Estação Operante
Inicio de operação: 24/04/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82353;31/01/2000;0000;488.8;30.964516;21.764516;84.274194;
82353;29/02/2000;0000;328.3;30.693103;18.855172;84.232759;
82353;31/03/2000;0000;533.1;30.467742;20.890323;86.314516;
82353;30/04/2000;0000;385.9;30.783333;20.146667;85.433333;
82353;31/05/2000;0000;198.7;32.203333;22.719355;83.540323;
82353;30/06/2000;0000;126.6;32.61;22.786667;79.575;
82353;31/07/2000;0000;137.6;32.254839;22.322581;79.758065;
82353;31/08/2000;0000;18.9;34.122581;22.73871;74.790323;
82353;30/09/2000;0000;121.2;33.673333;22.723333;75.341667;
82353;31/10/2000;0000;84.3;33.596774;23;74.709677;
82353;30/11/2000;0000;44.5;33.456667;23.68;74.8;
82353;31/12/2000;0000;56;32.53871;23.293548;76.935484;
82353;31/01/2001;0000;419.8;30.63871;22.474194;84.274194;
82353;28/02/2001;0000;350.7;29.807143;22.664286;86.669643;
82353;31/03/2001;0000;328.8;31.1;22.341935;85.266129;
82353;30/04/2001;0000;233;31.426667;22.373333;86.025;
82353;31/05/2001;0000;213.7;32.683871;22.416129;85.435484;
82353;30/06/2001;0000;270.3;31.95;21.876667;82.283333;
82353;31/07/2001;0000;30.3;;;;
82353;31/08/2001;0000;6.9;35.019355;22.329032;69.887097;
82353;30/09/2001;0000;47.3;34.996667;23.463333;70.783333;
82353;31/10/2001;0000;39.4;34.777419;24.006452;72.225806;
82353;30/11/2001;0000;17.1;35.326667;24.1;71.833333;
82353;31/12/2001;0000;134.3;33.706452;23.916129;77.701613;
82353;31/01/2002;0000;380.8;31.809677;22.632258;83.983871;
82353;28/02/2002;0000;261.9;31.921429;22.810714;83.964286;
82353;31/03/2002;0000;315.5;32.041935;22.987097;85.016129;
82353;30/04/2002;0000;468.7;31.886207;23.113793;87.341667;
82353;31/05/2002;0000;273;32.835484;23.474194;86.048387;
82353;30/06/2002;0000;156.5;33.103333;22.453333;82.05;
82353;31/07/2002;0000;1.6;;;;
82353;31/08/2002;0000;16.8;34.758065;22.6;75.58871;
82353;30/09/2002;0000;2.1;35.743333;23.31;69.933333;
82353;31/10/2002;0000;31.1;34.719355;23.054839;70.580645;
82353;30/11/2002;0000;126.2;34.513333;23.133333;74.841667;
82353;31/12/2002;0000;155.1;32.870968;24.129032;78.879032;
82353;31/01/2003;0000;80.3;32.154839;24.1;80.233871;
82353;28/02/2003;0000;383.9;31.071429;23.267857;82.651786;
82353;31/03/2003;0000;390.4;31.406452;23.335484;82.104839;
82353;30/04/2003;0000;338.2;31.636667;23.206667;83.566667;
82353;31/05/2003;0000;163.5;32.667742;23.354839;80.395161;
82353;30/06/2003;0000;308.2;31.883333;22.47;82.55;
82353;31/07/2003;0000;62;33.919355;22.296774;77.112903;
82353;31/08/2003;0000;52.9;34.909677;23.187097;75.508065;
82353;30/09/2003;0000;73.9;34.81;23.193333;75.166667;
82353;31/10/2003;0000;73.2;33.66129;23.522581;76.322581;
82353;30/11/2003;0000;96.3;33.166667;23.78;76.375;
82353;31/12/2003;0000;69.1;33.456667;24.286667;76.7;
82353;31/01/2004;0000;296.4;32.264516;24.054839;81;
82353;29/02/2004;0000;544.5;30.841379;23.017241;86.568966;
82353;31/03/2004;0000;325.1;31.896774;23.783871;83.516129;
82353;30/04/2004;0000;304.9;32.173333;23.616667;84.941667;
82353;31/05/2004;0000;132.7;33.070968;23.758065;82.16129;
82353;30/06/2004;0000;116.3;33.296667;23.056667;78.991667;
82353;31/07/2004;0000;44.3;33.564516;22.570968;77.653226;
82353;31/08/2004;0000;32.6;34.516129;23.025806;74.669355;
82353;30/09/2004;0000;90.3;34.596667;23.503333;74.975;
82353;31/10/2004;0000;77.7;34.922581;23.890323;72.991935;
82353;30/11/2004;0000;54.4;34.926667;24.2;70.908333;
82353;31/12/2004;0000;137.1;34.412903;24.116129;73.387097;
82353;31/01/2005;0000;272.8;33.335484;23.819355;78.508065;
82353;28/02/2005;0000;349.8;32.621429;23.485714;82.741071;
82353;31/03/2005;0000;566.9;31.764516;23.146667;85.516129;
82353;30/04/2005;0000;333.9;32.613333;23.583333;81.183333;
82353;31/05/2005;0000;226;32.835484;23.677419;80.572581;
82353;30/06/2005;0000;67;34.226667;23.173333;75.816667;
82353;31/07/2005;0000;63.9;34.612903;22.309677;73.201613;
82353;31/08/2005;0000;7.8;36.403226;22.977419;68.112903;
82353;30/09/2005;0000;8.6;36.503333;24.206667;66.366667;
82353;31/10/2005;0000;13.2;36.190323;24.432258;65.379032;
82353;30/11/2005;0000;18;35.94;25.01;67.233333;
82353;31/12/2005;0000;524.7;33.116129;23.790323;78.395161;
82353;31/01/2006;0000;410.2;32.580645;23.287097;81.508065;
82353;28/02/2006;0000;393;31.371429;23.496429;83.598214;
82353;31/03/2006;0000;510.4;31.548387;23.303226;84.266129;
82353;30/04/2006;0000;574.3;31.403333;23.053333;84.25;
82353;31/05/2006;0000;275.7;32.6;23.267742;82.782258;
82353;30/06/2006;0000;44.8;34.026667;22.706667;78.366667;
82353;31/07/2006;0000;45.2;34.996774;22.935484;72.225806;
82353;31/08/2006;0000;22;35.974194;23.222581;67.064516;
82353;30/09/2006;0000;67.2;35.773333;24.05;67.75;
82353;31/10/2006;0000;40.3;35.151613;24.954839;69.096774;
82353;30/11/2006;0000;291.6;33.3;24.326667;75.316667;
82353;31/12/2006;0000;65.4;32.122581;24.270968;78.548387;
82353;31/01/2007;0000;77.9;32.593548;24.619355;79.83871;
82353;28/02/2007;0000;442.4;30.814286;23.407143;84.973214;
82353;31/03/2007;0000;446;31.670968;23.625806;85.645161;
82353;30/04/2007;0000;380.9;32.28;23.76;84.733333;
82353;31/05/2007;0000;165.9;33.580645;24.154839;81.33871;
82353;30/06/2007;0000;95.1;34.06;23.146667;78.716667;
82353;31/07/2007;0000;56.9;34.419355;23.296774;79.201613;
82353;31/08/2007;0000;35.2;35.290323;23.232258;73.612903;
82353;30/09/2007;0000;31.3;35.753333;23.606667;71.633333;
82353;31/10/2007;0000;130;34.2;23.980645;71.814516;
82353;30/11/2007;0000;48.2;34.02;24.423333;71.758333;
82353;31/12/2007;0000;214.8;32.625806;23.619355;77.403226;
82353;31/01/2008;0000;218.7;30.903226;23.032258;83.653226;
82353;29/02/2008;0000;333.2;31.6;22.737931;82.327586;
82353;31/03/2008;0000;528.9;30.929032;22.877419;85.064516;
82353;30/04/2008;0000;447.3;31.313333;22.923333;84.525;
82353;31/05/2008;0000;257.7;31.46129;23.048387;84.548387;
82353;30/06/2008;0000;97;32.706667;22.87;79.5;
82353;31/07/2008;0000;54.4;34.090323;22.451613;74.846774;
82353;31/08/2008;0000;50.2;35.419355;22.974194;71.645161;
82353;30/09/2008;0000;41.4;35.46;23.62;69.908333;
82353;31/10/2008;0000;128.5;34.374194;24.577419;74.379032;
82353;30/11/2008;0000;55.7;34.986667;24.653333;71.225;
82353;31/12/2008;0000;265.2;32.832258;23.770968;78.814516;
82353;31/01/2009;0000;276.4;31.741935;23.4;83.08871;
82353;28/02/2009;0000;305.8;31.353571;23.2;84.098214;
82353;31/03/2009;0000;401;32.167742;23.219355;82.370968;
82353;30/04/2009;0000;560.5;31.373333;23.146667;84.191667;
82353;31/05/2009;0000;428.7;31.529032;23.193548;84.346774;
82353;30/06/2009;0000;237.8;32.913333;23.24;81.175;
82353;31/07/2009;0000;58.5;34.109677;23.322581;74.596774;
82353;31/08/2009;0000;4.8;35.670968;23.393548;68.991935;
82353;30/09/2009;0000;6.9;36.396667;23.836667;65.7;
82353;31/10/2009;0000;31.8;36.741935;23.670968;63.120968;
82353;30/11/2009;0000;20.8;35.726667;24.166667;66.091667;
82353;31/12/2009;0000;291.2;32.970968;23.406452;79.427419;
82353;31/01/2010;0000;340.6;32.125806;22.909677;81.919355;
82353;28/02/2010;0000;265.3;32.110714;23.275;84.517857;
82353;31/03/2010;0000;212.6;34.309677;23.541935;79.758065;
82353;30/04/2010;0000;338.7;33.206667;23.333333;83.041667;
82353;31/05/2010;0000;294.1;33.309677;23.680645;80.282258;
82353;30/06/2010;0000;77.7;34.01;22.976667;77.283333;
82353;31/07/2010;0000;53.5;34.729032;22.916129;73.822581;
82353;31/08/2010;0000;45.2;35.270968;22.558065;74.346774;
82353;30/09/2010;0000;21.8;35.306667;23.453333;73.5;
82353;31/10/2010;0000;14.4;35.974194;23.419355;71.137097;
82353;30/11/2010;0000;127.2;34.826667;23.756667;74.916667;
82353;31/12/2010;0000;168.6;32.693548;23.012903;82.145161;
82353;31/01/2011;0000;411.8;31.083871;21.932258;87.774194;
82353;28/02/2011;0000;322.9;31.553571;22.053571;87.696429;
82353;31/03/2011;0000;272.9;31.716129;22.429032;86.766129;
82353;30/04/2011;0000;392.9;31.59;22.566667;88.833333;
82353;31/05/2011;0000;223;32.406452;23.164516;87.33871;
82353;30/06/2011;0000;78.2;33.446667;22.643333;84.441667;
82353;31/07/2011;0000;41.3;33.63871;22.183871;81.145161;
82353;31/08/2011;0000;39.2;35.477419;22.73871;74.758065;
82353;30/09/2011;0000;3.4;36.04;23.24;71.15;
82353;31/10/2011;0000;43.3;35.380645;23.541935;72.822581;
82353;30/11/2011;0000;90;33.76;23.13;78.708333;
