--------------------
BDMEP - INMET
--------------------
Estação           : ALTO PARNAIBA - MA (OMM: 82970)
Latitude  (graus) : -9.1
Longitude (graus) : -45.93
Altitude  (metros): 285.05
Estação Operante
Inicio de operação: 21/08/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82970;31/01/2000;0000;280.8;31.767742;21.877419;89.66129;
82970;29/02/2000;0000;276.2;32.041379;21.675862;89.732759;
82970;31/03/2000;0000;119.9;31.545161;21.825806;88.427419;
82970;30/04/2000;0000;136.2;31.3;21.643333;88.883333;
82970;31/05/2000;0000;3.7;33.070968;20.148387;79.766129;
82970;30/06/2000;0000;0;33.136667;17.963333;76.016667;
82970;31/07/2000;0000;7.8;33.309677;17.393548;65.854839;
82970;31/08/2000;0000;0.2;35.016129;17.825806;57.379032;
82970;30/09/2000;0000;52.2;35.173333;21.103333;57.541667;
82970;31/10/2000;0000;48.2;34.922581;21.154839;62.879032;
82970;30/11/2000;0000;117.6;32.886667;21.67;73.708333;
82970;31/12/2000;0000;271.5;31.554839;21.86129;81;
82970;31/01/2001;0000;30.4;33.06129;21.819355;70.427419;
82970;28/02/2001;0000;159.7;31.971429;21.246429;81.928571;
82970;31/03/2001;0000;186.6;32.309677;21.745161;79.887097;
82970;30/04/2001;0000;78.7;32.533333;21.23;77.1;
82970;31/05/2001;0000;70.6;33.303226;20.851613;75.25;
82970;30/06/2001;0000;1.3;32.98;18.62;67.475;
82970;31/07/2001;0000;0;34.064516;17.606452;59.685484;
82970;31/08/2001;0000;0;34.396774;17.848387;62.362903;
82970;30/09/2001;0000;7;36.103333;20.823333;72.483333;
82970;31/10/2001;0000;87.1;34.583871;22.545161;76.451613;
82970;30/11/2001;0000;174;32.803333;22;85.141667;
82970;31/12/2001;0000;297.9;32.190323;22.006452;83.362903;
82970;31/01/2002;0000;458.8;30.887097;21.9;84.846774;
82970;28/02/2002;0000;247.1;33.321429;21.692857;74.830357;
82970;31/03/2002;0000;192.6;32.645161;21.625806;79.362903;
82970;30/04/2002;0000;51.5;32.693333;20.99;76.108333;
82970;31/05/2002;0000;74.4;33.222581;20.248387;71.798387;
82970;30/06/2002;0000;0;32.386667;17.976667;65.608333;
82970;31/07/2002;0000;1.3;34.325806;17.777419;62.483871;
82970;31/08/2002;0000;0;35.258065;17.148387;52.032258;
82970;30/09/2002;0000;54.4;35.033333;20.696667;59.633333;
82970;31/10/2002;0000;15.4;36.009677;20.996774;57.346774;
82970;30/11/2002;0000;100.7;35.043333;21.626667;68.541667;
82970;31/12/2002;0000;239.1;32.43871;21.880645;80.806452;
82970;31/01/2003;0000;228.7;32.693548;21.941935;81.620968;
82970;28/02/2003;0000;132.9;31.485714;21.778571;79.866071;
82970;31/03/2003;0000;241.3;31.525806;21.770968;83.66129;
82970;30/04/2003;0000;127.4;32.883333;21.206667;80.266667;
82970;31/05/2003;0000;55.4;33.187097;21.145161;80.201613;
82970;30/06/2003;0000;0;33.27;17.866667;79.533333;
82970;31/07/2003;0000;0;33.587097;16.103226;76.620968;
82970;31/08/2003;0000;27.3;35.664516;18.141935;68.395161;
82970;30/09/2003;0000;5.7;36.28;20.686667;49.141667;
82970;31/10/2003;0000;39.6;35.367742;22.506452;56.766129;
82970;30/11/2003;0000;148;33.506667;22.79;71.616667;
82970;31/12/2003;0000;174.9;32.829032;22.012903;78.395161;
82970;31/01/2004;0000;594.2;31.212903;22.506452;84.459677;
82970;29/02/2004;0000;306.6;31.375862;22.355172;82.034483;
82970;31/03/2004;0000;445.2;32.106452;22.364516;79.612903;
82970;30/04/2004;0000;63.3;33.283333;21.993333;74.341667;
82970;31/05/2004;0000;1.2;33.958065;20.248387;65.975806;
82970;30/06/2004;0000;2.6;32.946667;18.016667;66.425;
82970;31/07/2004;0000;0.6;33.309677;17.06129;67.233871;
82970;31/08/2004;0000;18.3;35.054839;17.303226;62.064516;
82970;30/09/2004;0000;0.1;36.583333;19.26;57.158333;
82970;31/10/2004;0000;79.7;35.329032;22.4;67.983871;
82970;30/11/2004;0000;101.9;34.543333;22.743333;72.625;
82970;31/12/2004;0000;116.2;32.309677;22.154839;82.846774;
82970;31/01/2005;0000;325.4;32.616129;22.087097;83.975806;
82970;28/02/2005;0000;290.5;31.925;22.796429;85.375;
82970;31/03/2005;0000;471.1;31.470968;22.732258;88.056452;
82970;30/04/2005;0000;135.2;32.863333;22.14;75.05;
82970;31/05/2005;0000;59.8;31.583871;20.880645;72.629032;
82970;30/06/2005;0000;0;32.316667;18.62;64.4;
82970;31/07/2005;0000;0;32.958065;16.409677;59.91129;
82970;31/08/2005;0000;0;34.993548;16.654839;52.072581;
82970;30/09/2005;0000;20.1;36.41;17.58;52.683333;
82970;31/10/2005;0000;0;37.022581;22.622581;50.5;
82970;30/11/2005;0000;121.2;34.353333;22.58;67.866667;
82970;31/12/2005;0000;156;32.232258;22.329032;76.403226;
82970;31/01/2006;0000;69.7;33.480645;22.064516;74.129032;
82970;28/02/2006;0000;292.2;31.825;22.228571;83.455357;
82970;31/03/2006;0000;343;31.59;22.396774;85.175;
82970;30/04/2006;0000;257.2;31.423333;22.506667;84.408333;
82970;31/05/2006;0000;41.2;32.319355;21.703226;74.040323;
82970;30/06/2006;0000;0;32.106667;17.013333;63.683333;
82970;31/07/2006;0000;0;32.977419;16.312903;61.233871;
82970;31/08/2006;0000;0;35.058065;17.425806;52.137097;
82970;30/09/2006;0000;55.2;35.293333;20.2;57.65;
82970;31/10/2006;0000;180.5;34.964516;22.66129;69.16129;
82970;30/11/2006;0000;92.4;33.276667;22.14;74.1;
82970;31/12/2006;0000;122.7;33.603226;22.135484;74.379032;
82970;31/01/2007;0000;150.2;32.790323;22.393548;81.25;
82970;28/02/2007;0000;349.7;30.996429;22.275;84.625;
82970;31/03/2007;0000;108.3;32.535484;21.403226;77.266129;
82970;30/04/2007;0000;100.5;33.216667;21.986667;77.566667;
82970;31/05/2007;0000;17.7;33.893548;20.874194;70.096774;
82970;30/06/2007;0000;0;33.666667;18.016667;61.333333;
82970;31/07/2007;0000;0;34.425806;16.706452;57.895161;
82970;31/08/2007;0000;0;34.977419;16.903226;49.330645;
82970;30/09/2007;0000;2.7;36.563333;19.5;44.625;
82970;31/10/2007;0000;8.8;37.56129;22.293548;47.395161;
82970;30/11/2007;0000;144.5;34.783333;22.783333;63.775;
82970;31/12/2007;0000;112;33.090323;21.874194;71.870968;
82970;31/01/2008;0000;102.7;31.848387;21.925806;78.967742;
82970;29/02/2008;0000;208.9;31.968966;21.168966;83.12069;
82970;31/03/2008;0000;417.1;30.687097;21.009677;86.201613;
82970;30/04/2008;0000;140.9;31.986667;20.733333;80.516667;
82970;31/05/2008;0000;18.2;32.806452;20.170968;70.822581;
82970;30/06/2008;0000;0;32.813333;16.38;60.766667;
82970;31/07/2008;0000;0;33.06129;16.074194;57.919355;
82970;31/08/2008;0000;0;;17.464516;49.524194;
82970;30/09/2008;0000;0;;20.24;49.175;
82970;31/10/2008;0000;24.2;;22.280645;51.887097;
82970;30/11/2008;0000;141.6;;21.913333;73.191667;
82970;31/12/2008;0000;213.9;;22.003226;80.403226;
82970;31/01/2009;0000;125.1;;21.712903;79.16129;
82970;28/02/2009;0000;305.3;;21.85;84.696429;
82970;31/03/2009;0000;298.6;;22.135484;83.991935;
82970;30/04/2009;0000;418.7;30.95;22.506667;84.541667;
82970;31/05/2009;0000;189.4;30.693548;21.480645;80.177419;
82970;30/06/2009;0000;4.1;32.426667;19.236667;68.816667;
82970;31/07/2009;0000;0;33.625806;16.935484;62.548387;
82970;31/08/2009;0000;2.8;34.993548;18.532258;57.032258;
82970;30/09/2009;0000;29.1;36.89;21.226667;56.675;
82970;31/10/2009;0000;180.4;33.109677;22.764516;75.951613;
82970;30/11/2009;0000;83.6;33.493333;22.686667;74.991667;
82970;31/12/2009;0000;210.9;31.66129;22.274194;80.685484;
82970;31/01/2010;0000;195.4;31.683871;22.064516;81.040323;
82970;28/02/2010;0000;116.5;33.007143;22.896429;78.696429;
82970;31/03/2010;0000;225.4;33.074194;22.945161;81.927419;
82970;30/04/2010;0000;187.8;32.71;22.226667;77.433333;
82970;31/05/2010;0000;43.3;34.612903;21.390323;70.556452;
82970;30/06/2010;0000;0;33.713333;19.476667;61.925;
82970;31/07/2010;0000;1.5;33.848387;17.867742;55.330645;
82970;31/08/2010;0000;0;35.083871;16.577419;49.209677;
82970;30/09/2010;0000;0;36.916667;20.113333;43.041667;
82970;31/10/2010;0000;141.8;35.319355;22.277419;65.306452;
82970;30/11/2010;0000;128.5;33.98;22.736667;71.733333;
82970;31/12/2010;0000;89.2;32.348387;22.396774;75.959677;
82970;31/01/2011;0000;233.7;31.974194;22.045161;80.120968;
82970;28/02/2011;0000;359;30.378571;21.657143;86.392857;
82970;31/03/2011;0000;285.1;31.687097;22.029032;83.596774;
82970;30/04/2011;0000;90;32.356667;21.763333;79.325;
82970;31/05/2011;0000;54.6;32.954839;20.5;71.209677;
82970;30/06/2011;0000;0;33.693333;17.883333;62.808333;
82970;31/07/2011;0000;0;33.732258;17.258065;57.137097;
82970;31/08/2011;0000;0;35.858065;17.503226;52.064516;
82970;30/09/2011;0000;0;36.77;18.473333;42.233333;
82970;31/10/2011;0000;156.9;34.722581;22.225806;67.887097;
82970;30/11/2011;0000;221.4;30.82;21.963333;79.577586;
82970;31/12/2011;0000;153.8;32.4;22.058065;77.879032;
82970;31/01/2012;0000;209.4;30.251613;21.880645;82.677419;
82970;29/02/2012;0000;213.9;30.775862;21.624138;83.155172;
82970;31/03/2012;0000;172.8;32.16129;21.793548;82.596774;
82970;30/04/2012;0000;54.5;33.633333;21.536667;75.456897;
82970;31/05/2012;0000;44.5;33.987097;20.416129;68.548387;
82970;30/06/2012;0000;0;34.38;17.863333;64.55;
82970;31/07/2012;0000;0;34.793548;16.306452;58.616667;
82970;31/08/2012;0000;0;34.93871;17.803226;50.325;
82970;30/09/2012;0000;0;37.46;19.556667;46.033333;
82970;31/10/2012;0000;26.8;37.99;23.474194;53.041667;
82970;30/11/2012;0000;245.3;32.673333;23.206667;79.8;
82970;31/12/2012;0000;151.7;33.735484;22.454839;74.972222;
82970;31/01/2013;0000;286.7;31.645161;22.516129;81.887097;
82970;28/02/2013;0000;47.8;33.342857;22.703571;78.642857;
82970;31/03/2013;0000;190;33.045161;22.83871;80.741935;
82970;30/04/2013;0000;101.7;32.536667;22.403333;80.333333;
82970;31/05/2013;0000;46.5;33.380645;21.664516;76.959677;
82970;30/06/2013;0000;21;34.136667;19.983333;71.533333;
82970;31/07/2013;0000;0;34.509677;18.096774;59.419355;
82970;31/08/2013;0000;0;35.951613;17.348387;51.891667;
82970;30/09/2013;0000;9.2;37.583333;20.637931;46.891667;
82970;31/10/2013;0000;69.2;35.633333;22.706452;57.927419;
82970;30/11/2013;0000;181.7;33.736667;22.376667;71.283333;
82970;31/12/2013;0000;355.6;32.022581;22.722581;78.830645;
82970;31/01/2014;0000;187.9;33.13871;21.806452;75.645161;
82970;28/02/2014;0000;108.1;32.067857;22.564286;78.5625;
82970;31/03/2014;0000;222.9;32.174194;22.322581;81.677419;
82970;30/04/2014;0000;111.2;32.983333;22.086207;79.058333;
82970;31/05/2014;0000;42.3;33.7;21.080645;70.685484;
82970;30/06/2014;0000;0;33.88;18.35;65.65;
82970;31/07/2014;0000;0.3;34.680645;18.212903;56.604839;
82970;31/08/2014;0000;0;35.722581;17.803226;51.701613;
82970;30/09/2014;0000;1;37.38;21.04;46.441667;
82970;31/10/2014;0000;19.9;36.587097;23.1;52.677419;
82970;30/11/2014;0000;168.6;34.173333;22.876667;68.758333;
82970;31/12/2014;0000;162.5;32.958065;22.351613;72.233871;
82970;31/01/2015;0000;186.3;33.377419;22.054839;74.41129;
82970;28/02/2015;0000;221.8;31.725;22.007143;82.169643;
82970;31/03/2015;0000;256.3;32.01;22.267742;85.08871;
82970;30/04/2015;0000;161.1;32.426667;22.783333;82.716667;
82970;31/05/2015;0000;42.9;33.267742;21.954839;74.556452;
82970;30/06/2015;0000;0;33.92;18.913333;64.608333;
