--------------------
BDMEP - INMET
--------------------
Estação           : APODI - RN (OMM: 82590)
Latitude  (graus) : -5.61
Longitude (graus) : -37.81
Altitude  (metros): 150.00
Estação Operante
Inicio de operação: 18/12/1962
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82590;31/01/2000;0000;157.4;32.119355;25.845161;67.104839;
82590;29/02/2000;0000;164.1;31.551724;25.458621;71.491379;
82590;31/03/2000;0000;73.8;31.525806;26.135484;83.016129;
82590;30/04/2000;0000;327;30.806667;25.49;88;
82590;31/05/2000;0000;120.1;30.774194;25.16129;86.120968;
82590;30/06/2000;0000;76.7;31.153333;24.79;;
82590;31/07/2000;0000;26.6;31.841935;24.645161;;
82590;31/08/2000;0000;91.7;31.577419;24.012903;;
82590;30/09/2000;0000;21.9;33.59;23.863333;;
82590;31/03/2001;0000;106.9;34.36129;23.835484;;
82590;31/08/2001;0000;0;;;;
82590;30/09/2001;0000;0;;;;
82590;31/10/2001;0000;0.3;36.396774;23.393548;60.895161;
82590;30/11/2001;0000;0;36.47931;23.85;65.294643;
82590;31/12/2001;0000;5.3;36.610714;24.67037;65.663462;
82590;31/01/2002;0000;143.2;32.48;23.783333;81.785714;
82590;28/02/2002;0000;73.9;32.384615;23.078571;82;
82590;31/03/2002;0000;197.9;32.087097;23.480645;85.825;
82590;30/04/2002;0000;105.7;31.013793;23.363333;88.12931;
82590;31/05/2002;0000;37.5;31.680645;22.92;85.887097;
82590;30/06/2002;0000;20.8;32.31;22.123333;77.4;
82590;31/07/2002;0000;12;34.170968;22.032258;70.370968;
82590;31/08/2002;0000;0.5;34.93;22.477419;60.925;
82590;30/09/2002;0000;0;35.98;22.131034;58.141667;
82590;31/10/2002;0000;0;36.625806;23.019355;56.548387;
82590;30/11/2002;0000;1.9;36.676667;23.466667;66.55;
82590;31/12/2002;0000;2;36.587097;24.306452;69.322581;
82590;31/01/2003;0000;187.1;35.174194;23.496774;70.857143;
82590;28/02/2003;0000;162.5;32.710714;23.653571;84.208333;
82590;31/03/2003;0000;133.7;31.66129;23.290323;90.233333;
82590;30/04/2003;0000;129.4;31.513333;23.583333;90.896552;
82590;31/05/2003;0000;95.1;31.709677;22.974194;89.678571;
82590;30/06/2003;0000;35.5;32.54;22.313333;82.310345;
82590;31/07/2003;0000;0.7;33.635484;21.916129;67.580645;
82590;31/08/2003;0000;14.4;34.916129;22.212903;73.333333;
82590;30/09/2003;0000;0;35.94;22.773333;66.103448;
82590;31/10/2003;0000;0;36.670968;23.380645;64.068966;
82590;30/11/2003;0000;0.5;37.093333;23.75;69.413793;
82590;31/12/2003;0000;0;;;;
82590;31/01/2004;0000;408;33.219355;23.86129;81.967742;
82590;29/02/2004;0000;296.5;31.182759;23.410345;90.321429;
82590;31/03/2004;0000;89.5;32.222581;23.63871;85.451613;
82590;30/04/2004;0000;145.6;32.643333;23.696667;86.9;
82590;31/05/2004;0000;48.7;31.777419;22.836667;85.896552;
82590;30/06/2004;0000;128.1;30.086207;22.236667;89.62963;
82590;31/07/2004;0000;34;31.516129;21.74;84.166667;
82590;31/08/2004;0000;7.7;33.906452;22.116129;73.129032;
82590;30/09/2004;0000;0.2;35.516667;22.893333;70.344828;
82590;31/10/2004;0000;0.3;36.135484;22.73;70.535714;
82590;31/12/2004;0000;0;36.158065;23.790323;70.322581;
82590;31/01/2005;0000;57.2;35.883871;24.170968;71.206897;
82590;28/02/2005;0000;82.5;35.275;24.267857;75.535714;
82590;31/03/2005;0000;212.5;34.293548;24.083333;80.133333;
82590;30/04/2005;0000;66.3;32.526667;24;85.933333;
82590;31/05/2005;0000;102.1;31.951613;23.377419;85.645161;
82590;30/06/2005;0000;60.1;31.086667;22.575862;84.714286;
82590;31/07/2005;0000;12.5;33.245161;22.183871;72.354839;
82590;31/08/2005;0000;6.2;34.232258;22.703333;70.310345;
82590;30/09/2005;0000;0.7;35.16;22.513793;71.655172;
82590;31/10/2005;0000;0;36.564516;23.245161;66.142857;
82590;30/11/2005;0000;2;36.6;23.496667;66.6;
82590;31/01/2006;0000;0.4;36.516129;24.7;69.580645;
82590;28/02/2006;0000;53.5;35.210714;24.737037;75.5;
82590;31/03/2006;0000;160.8;32.903226;24.166667;83.333333;
82590;30/04/2006;0000;218.8;30.983333;23.813333;89.307692;
82590;31/05/2006;0000;209.5;30.206452;23.170968;88.103448;
82590;30/06/2006;0000;55.1;30.27;22.216667;81.566667;
82590;31/07/2006;0000;4.3;33.096774;22.025806;73.827586;
82590;31/08/2006;0000;17.4;34.106452;22.186207;73.137931;
82590;30/09/2006;0000;0;35.506667;22.8;71.7;
82590;31/10/2006;0000;0;36.283871;23.366667;69.089286;
82590;31/12/2006;0000;1.6;36.345161;24.293548;70.551724;
82590;31/01/2007;0000;2.9;36.170968;24.409677;70.612903;
82590;28/02/2007;0000;176.5;33.425;23.657143;82.285714;
82590;31/03/2007;0000;128.5;31.703226;23.56129;84.931034;
82590;30/04/2007;0000;146.5;32.42;23.471429;86.428571;
82590;31/05/2007;0000;74.9;32.445161;23.276667;85.965517;
82590;30/06/2007;0000;61.5;31.8;22.210345;84.172414;
82590;31/07/2007;0000;18.4;33.829032;22.273333;78.533333;
82590;31/08/2007;0000;0;33.935484;22.373333;72.068966;
82590;31/10/2007;0000;0;36.077419;23.113333;68.033333;
82590;30/11/2007;0000;0;36.56;23.448276;67.793103;
82590;31/12/2007;0000;1;35.990323;24.19;75.259259;
82590;31/01/2008;0000;106.8;35.264516;24.3;81.071429;
82590;29/02/2008;0000;25.6;35.193103;24.028571;82.321429;
82590;31/03/2008;0000;265.5;32.232258;23.424138;92.233333;
82590;30/04/2008;0000;340.9;30.42;23.32;94.666667;
82590;31/05/2008;0000;124.1;30.190323;23.173333;92.709677;
82590;30/06/2008;0000;75.1;29.97;21.946667;91.62963;
82590;31/07/2008;0000;27.2;31.406452;21.5;86.633333;
82590;31/08/2008;0000;14.9;33.641935;22.096552;80.678571;
82590;31/10/2008;0000;0;36.141935;23.143333;77.862069;
82590;30/11/2008;0000;0;36.546667;23.17931;76.793103;
82590;31/12/2008;0000;0;36.287097;23.796552;76.666667;
82590;31/01/2009;0000;83.1;35.277419;24.106452;78.233333;
82590;28/02/2009;0000;178.4;32.071429;23.317857;87.464286;
82590;31/03/2009;0000;117.2;32.019355;23.522581;92.903226;
82590;30/04/2009;0000;440.2;31.085714;23.603571;94.807692;
82590;31/05/2009;0000;180.8;30.222581;23.612903;94.793103;
