--------------------
BDMEP - INMET
--------------------
Estação           : BAMBUI - MG (OMM: 83582)
Latitude  (graus) : -20.03
Longitude (graus) : -45
Altitude  (metros): 661.27
Estação Operante
Inicio de operação: 26/08/1926
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83582;31/01/2000;0000;339.7;30.151613;19.364516;83.290323;
83582;29/02/2000;0000;151.4;29.662069;18.982759;84.008621;
83582;31/03/2000;0000;269.1;28.948387;18.145161;85.274194;
83582;30/04/2000;0000;24;29.076667;14.05;82.116667;
83582;31/05/2000;0000;1.8;28.106452;9.883871;81.483871;
83582;30/06/2000;0000;0;27.09;6.9;82.166667;
83582;31/07/2000;0000;1.8;26.364516;7.63871;81.346774;
83582;31/08/2000;0000;6.3;28.793548;9.409677;70.387097;
83582;30/09/2000;0000;85.7;28.016667;14.66;75.658333;
83582;31/10/2000;0000;46.9;32.835484;16.319355;66.354839;
83582;30/11/2000;0000;212.8;28.27;17.716667;80.933333;
83582;31/12/2000;0000;192.8;30.532258;18.819355;80.846774;
83582;31/01/2001;0000;58;30.564516;18.109677;75.096774;
83582;28/02/2001;0000;47.3;32.592857;17.564286;71.866071;
83582;31/03/2001;0000;183.1;30.580645;17.212903;80.155172;
83582;30/04/2001;0000;0;30.936667;14.54;75.491667;
83582;31/05/2001;0000;73.7;27.809677;10.832258;77.201613;
83582;30/06/2001;0000;0;26.883333;9.76;74.913793;
83582;31/07/2001;0000;6.2;27.351613;8.290323;69.875;
83582;31/08/2001;0000;53.4;27.303226;7.906667;68.883333;
83582;30/09/2001;0000;61.3;28.43;12.05;69.941667;
83582;31/10/2001;0000;139.1;29.203226;14.645161;70.33871;
83582;30/11/2001;0000;182.3;30.093333;18.066667;78.616667;
83582;31/12/2001;0000;387.9;28.719355;17.835484;80.572581;
83582;31/01/2002;0000;172.2;30.432258;19.054839;79.895161;
83582;28/02/2002;0000;302;28.517857;19.039286;85.241071;
83582;31/03/2002;0000;38.1;30.490323;17.441935;79.291667;
83582;30/04/2002;0000;7;30.716667;14.583333;75.9;
83582;31/05/2002;0000;32;28.25;12.587097;81.193548;
83582;30/06/2002;0000;0;27.25;9.26;78.183333;
83582;31/07/2002;0000;18.9;27.041935;9.290323;77.330645;
83582;31/08/2002;0000;1;29.84;10.432258;69.125;
83582;30/09/2002;0000;48.9;29.623333;13.439286;65.866667;
83582;31/10/2002;0000;28.9;33.796667;14.68;58.129032;
83582;30/11/2002;0000;233.9;30.376667;17.153333;76.816667;
83582;31/12/2002;0000;522.6;30.977419;19.487097;79.379032;
83582;31/01/2003;0000;340.9;29.354839;19.922581;85.524194;
83582;28/02/2003;0000;113.7;31.264286;17.957143;76.276786;
83582;31/03/2003;0000;74.8;29.235484;17.983871;82.395161;
83582;30/04/2003;0000;37.6;29.17;15.88;79.008333;
83582;31/05/2003;0000;44.6;26.848387;10.209677;76.862903;
83582;30/06/2003;0000;0;28.05;9.033333;78.35;
83582;31/07/2003;0000;8.4;26.970968;7.574194;76.927419;
83582;31/08/2003;0000;54.9;27.945161;10.445161;75.362903;
83582;30/09/2003;0000;124.5;29.736667;13.39;72.9;
83582;31/10/2003;0000;41.5;30.167742;15.251613;73.83871;
83582;30/11/2003;0000;124.8;29.603333;17.836667;79.258333;
83582;31/12/2003;0000;186;29.977419;19.46129;80.475806;
83582;31/01/2004;0000;247.6;28.853333;19.43;84.387097;
83582;29/02/2004;0000;436.2;28.058621;18.355172;88.137931;
83582;31/03/2004;0000;237.6;28.903226;17.066667;83.758065;
83582;30/04/2004;0000;60.1;28.096667;16.693333;85.163793;
83582;31/05/2004;0000;8;27.206452;13.409677;82.233871;
83582;30/06/2004;0000;38.7;25.146667;10.17;83.816667;
83582;31/07/2004;0000;45.1;24.53871;8.745161;79.072581;
83582;31/08/2004;0000;0.1;28.241935;8.63871;67.870968;
83582;30/09/2004;0000;4.3;31.96;11.873333;60.508333;
83582;31/10/2004;0000;158.1;29.812903;17.006452;74.733871;
83582;30/11/2004;0000;198;30.5;17.84;75.225;
83582;31/12/2004;0000;413.4;28.948387;19.435484;83.991935;
83582;31/01/2005;0000;362.1;29.693548;20.516129;84.508065;
83582;28/02/2005;0000;114.8;30.989286;17.903571;78.169643;
83582;31/03/2005;0000;180.4;29.448387;19.219355;85.540323;
83582;30/04/2005;0000;23.1;29.703333;16.713333;80.9;
83582;31/05/2005;0000;106;26.822581;12.448387;81.580645;
83582;30/06/2005;0000;10.6;25.396667;10.916667;83.241667;
83582;31/07/2005;0000;8.9;25.716129;9.893548;79.637097;
83582;31/08/2005;0000;0;28.603226;9.870968;70.064516;
83582;30/09/2005;0000;88.2;28.93;15.66;72.266667;
83582;31/10/2005;0000;109.2;32.090323;17.209677;69.225806;
83582;30/11/2005;0000;158.5;27.28;18.77;86.183333;
83582;31/12/2005;0000;341.6;27.751613;18.183871;85.354839;
83582;31/01/2006;0000;147.4;30.151613;18.035484;78.532258;
83582;28/02/2006;0000;243.1;30.678571;18.503571;83.241071;
83582;31/03/2006;0000;253;29.354839;19.4;85.58871;
83582;30/04/2006;0000;34.1;29.03;16.816667;83.016667;
83582;31/05/2006;0000;25.8;27.090323;11.212903;82.58871;
83582;30/06/2006;0000;5.2;25.673333;8.88;81.425;
83582;31/07/2006;0000;9.5;27.351613;7.825806;78.032258;
83582;31/08/2006;0000;27.4;29.225806;10.341935;72.104839;
83582;30/09/2006;0000;93.3;28.69;13.54;74.258333;
83582;31/10/2006;0000;237;27.925806;17.683871;83.306452;
83582;30/11/2006;0000;256;28.513333;18.06;83.575;
83582;31/12/2006;0000;526.1;28.722581;19.729032;86.959677;
83582;31/01/2007;0000;342;28.593548;19.912903;90.846774;
83582;28/02/2007;0000;159.3;29.539286;18.571429;82.169643;
83582;31/03/2007;0000;35.2;31.470968;16.8;76.217742;
83582;30/04/2007;0000;107.6;30.003333;16.166667;80.608333;
83582;31/05/2007;0000;29.2;27.164516;11.503226;80;
83582;30/06/2007;0000;0;27.423333;7.756667;79.341667;
83582;31/07/2007;0000;28;27.132258;8.393548;76.080645;
83582;31/08/2007;0000;0;28.270968;7.832258;67.491935;
83582;30/09/2007;0000;0.5;31.203333;11.586667;56.475;
83582;31/10/2007;0000;64.7;32.458065;15.870968;61.298387;
83582;30/11/2007;0000;291.4;29.496667;18.52;81.808333;
83582;31/12/2007;0000;202;30.164516;18.270968;78.08871;
83582;31/01/2008;0000;648.4;28.825806;18.170968;84.08871;
83582;29/02/2008;0000;265.7;29.641379;18.9;81.853448;
83582;31/03/2008;0000;136;29.445161;17.951613;83.008065;
83582;30/04/2008;0000;267.9;28.82;17.293333;83.608333;
83582;31/05/2008;0000;14.4;27.180645;11.980645;80.935484;
