--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82024;31/01/2000;0000;45.4;32.264516;24.032258;77.129032;
82024;29/02/2000;0000;76.4;32.482759;23.551724;71.181034;
82024;31/03/2000;0000;71;33.077419;23.941935;70.427419;
82024;30/04/2000;0000;302.4;31.393103;23.531034;81.525862;
82024;31/05/2000;0000;415.3;31.283871;23.129032;86.459677;
82024;30/06/2000;0000;311.8;;23.48;86.575;
82024;31/07/2000;0000;220.1;;22.906452;84.129032;
82024;31/08/2000;0000;187.5;33.193333;23.286667;79.232759;
82024;30/09/2000;0000;76.8;34.32;23.926667;71.966667;
82024;31/10/2000;0000;70.1;34.122581;24.103226;70.066667;
82024;30/11/2000;0000;107.5;34;24.013333;72.318966;
82024;31/12/2000;0000;49.2;32.426667;23.496774;69.379032;
82024;31/01/2001;0000;0;;23.077419;65.532258;
82024;28/02/2001;0000;0.7;33.264706;23.439286;61.482143;
82024;31/03/2001;0000;3.7;;24.019355;61.282258;
82024;30/04/2001;0000;54.6;;24.353333;66.116667;
82024;31/05/2001;0000;248.6;31.809677;23.335484;82.846774;
82024;30/06/2001;0000;214.7;30.648276;22.689655;87.25;
82024;31/07/2001;0000;167;31.774194;22.983871;84.959677;
82024;31/08/2001;0000;329.1;32.296667;22.913333;83.466667;
82024;30/09/2001;0000;116.1;33.69;23.823333;74.366667;
82024;31/10/2001;0000;63.7;35.409677;24.767742;69.629032;
82024;30/11/2001;0000;43.5;35.04;24.526667;66.683333;
82024;31/12/2001;0000;83.6;34.363333;24.73;70.433333;
82024;31/01/2002;0000;3.5;34.445161;24.187097;61.08871;
82024;28/02/2002;0000;2.5;34.103571;24.592857;60.232143;
82024;31/03/2002;0000;27.5;34.870968;24.664516;65.933333;
82024;30/04/2002;0000;186.4;33.183333;23.523333;78.037037;
82024;31/05/2002;0000;311.5;31.980645;23.522581;82.483333;
82024;30/06/2002;0000;522.2;30.567857;22.44;88.284483;
82024;31/07/2002;0000;261.5;32.21;23.454839;81.032258;
82024;31/08/2002;0000;183.1;32.541935;23.53871;76.172414;
82024;30/09/2002;0000;45.7;35.37;24.316667;64.258333;
82024;31/10/2002;0000;0.4;36.035714;24.789286;60.824074;
82024;30/11/2002;0000;29.7;35.54;24.79;66.394231;
82024;31/12/2002;0000;41.5;33.66129;24.367742;63.05;
82024;31/01/2003;0000;0.8;34.263333;24.07;59.902174;
82024;28/02/2003;0000;6;34.714286;24.267857;56.880952;
82024;31/03/2003;0000;9.2;35.332258;24.480645;56.790323;
82024;30/04/2003;0000;128.7;34.385714;24.266667;67.422414;
82024;31/05/2003;0000;357.3;31.793548;23.209677;81.362903;
82024;30/06/2003;0000;240.4;32.996667;23.053333;79.175;
82024;31/07/2003;0000;370.4;32.645161;22.387097;78.274194;
82024;31/08/2003;0000;211.7;33.609677;23.203226;77;
82024;30/09/2003;0000;170.1;33.68;23.43;77.833333;
82024;31/10/2003;0000;60.5;34.316129;24.025806;75.798387;
82024;30/11/2003;0000;29.4;34.746667;23.803333;74.333333;
82024;31/12/2003;0000;21.5;34.819355;23.619355;67.991935;
82024;31/01/2004;0000;8.3;34.577419;23.664516;64.725806;
82024;29/02/2004;0000;9.9;34.62069;23.568966;65.431034;
82024;31/03/2004;0000;48.3;34.496774;23.954839;65.556452;
82024;30/04/2004;0000;182.6;34.283333;23.65;73.025;
82024;31/05/2004;0000;565.4;32.048387;22.8;85.322581;
82024;30/06/2004;0000;264.7;32.183333;22.156667;84.603448;
82024;31/07/2004;0000;293.9;31.716129;21.909677;85.241935;
82024;31/08/2004;0000;181.2;32.722581;23.674194;79.629032;
82024;30/09/2004;0000;194.2;33.626667;24.186667;77.025;
82024;31/10/2004;0000;107.4;33.993548;24.090323;74.879032;
82024;30/11/2004;0000;2.6;35.586667;25.223333;65.825;
82024;31/12/2004;0000;2.2;35.212903;25.125806;66.637097;
82024;31/01/2005;0000;47.2;34.435484;24.912903;69.741667;
82024;28/02/2005;0000;60.9;33.642857;24.346429;69.203704;
82024;31/03/2005;0000;24.8;34.416129;25.13871;64.927419;
82024;30/04/2005;0000;378.3;32.676667;24.333333;76.991667;
82024;31/05/2005;0000;295.8;31.706452;23.696774;81.895161;
82024;30/06/2005;0000;379.9;32.823333;24.02;79.533333;
82024;31/07/2005;0000;339.1;31.867742;23.022581;82.7;
82024;31/08/2005;0000;363.5;33.174194;23.625806;79.080645;
82024;30/09/2005;0000;94;34.67;24.27;73.308333;
82024;31/10/2005;0000;72.5;35.566667;24.714815;70.037037;
82024;30/11/2005;0000;40.1;34.960714;25.203704;70.046296;
82024;31/12/2005;0000;44.7;35.216129;24.835484;73.282258;
82024;31/01/2006;0000;209.6;33.309677;24.087097;75.153226;
82024;28/02/2006;0000;15.1;33.607407;24.477778;67.425926;
82024;31/03/2006;0000;15.8;34.43871;25.041935;61.91129;
82024;30/04/2006;0000;237.8;34.413333;24.596552;67.8;
82024;31/05/2006;0000;640.2;31.16129;23.622581;88.241935;
82024;30/06/2006;0000;643.7;31.9;23.356667;84.658333;
82024;31/07/2006;0000;391.6;31.958065;23.196774;85.201613;
82024;31/08/2006;0000;178.8;33.658065;24.219355;78.209677;
82024;30/09/2006;0000;72.6;34.88;24.536667;72.291667;
82024;31/10/2006;0000;18.4;35.956667;25.116667;67.533333;
82024;30/11/2006;0000;56;34.196667;24.49;70.433333;
82024;31/12/2006;0000;13.1;34.716129;24.596774;66.379032;
82024;31/01/2007;0000;2.6;34.474194;24.980645;63.322581;
82024;28/02/2007;0000;1.8;35.646429;24.646429;56.383929;
82024;31/03/2007;0000;96.7;35.122581;24.732258;66.322581;
82024;30/04/2007;0000;123;33.633333;24.556667;75.508333;
82024;31/05/2007;0000;447.9;32.383871;24.116129;83.475806;
82024;30/06/2007;0000;433.8;31.883333;23.426667;82.293103;
82024;31/07/2007;0000;344.1;33.13871;23.609677;78.443548;
82024;31/08/2007;0000;331.4;32.783871;23.548387;82.048387;
82024;30/09/2007;0000;89;34.603333;24.303333;75.616667;
82024;31/10/2007;0000;135.8;35.045161;24.3;71.556452;
82024;30/11/2007;0000;11.2;35.503448;24.928571;65.275;
82024;31/12/2007;0000;95.4;33.835484;24.219355;76.024194;
82024;31/01/2008;0000;44.5;33.558065;23.870968;67.959677;
82024;29/02/2008;0000;31;33.551724;24.2;69.456897;
82024;31/03/2008;0000;66.8;34.103226;23.996774;65.443548;
82024;30/04/2008;0000;57.8;34.733333;24.743333;69.675;
82024;31/05/2008;0000;378.2;32.932258;23.867742;80.669355;
82024;30/06/2008;0000;240.5;31.98;23.49;83.4;
82024;31/07/2008;0000;451.8;32.232258;22.96129;85.532258;
82024;31/08/2008;0000;103.8;33.964516;23.977419;78.395161;
82024;30/09/2008;0000;136.2;34.727586;24.503333;75.891667;
82024;31/10/2008;0000;100.3;35.2;24.632258;73.556452;
82024;30/11/2008;0000;162.4;35.083333;24.872414;74.216667;
82024;31/12/2008;0000;290.4;33.729032;24.383871;79.774194;
82024;31/01/2009;0000;99.8;32.809677;24.203226;76.766129;
82024;28/02/2009;0000;32;33.392857;24.182143;68.955357;
82024;31/03/2009;0000;48.7;34.967742;24.735484;65.153226;
82024;30/04/2009;0000;85.2;34.88;24.833333;66.825;
82024;31/05/2009;0000;5.5;35.453571;25.028571;64.6875;
82024;30/06/2009;0000;394.3;32.813333;23.63;81.366667;
82024;31/07/2009;0000;318.2;33.512903;23.503226;81.766667;
82024;31/08/2009;0000;85.4;34.845161;24.496774;76.241935;
82024;30/09/2009;0000;10.2;36.686667;25.163333;66.077586;
82024;31/10/2009;0000;55;36.932258;25.370968;65.391667;
