--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS - RS (OMM: 83919)
Latitude  (graus) : -28.66
Longitude (graus) : -50.43
Altitude  (metros): 1047.50
Estação Operante
Inicio de operação: 01/05/1948
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83919;31/01/2000;0000;163.9;25.122581;14.770968;80.145161;
83919;29/02/2000;0000;182.3;24.234483;14.555172;81.137931;
83919;31/03/2000;0000;117.3;23.074194;12.941935;82.282258;
83919;30/04/2000;0000;102.7;22.116667;11.153333;79.033333;
83919;31/05/2000;0000;68.5;17.203226;6.770968;81.822581;
83919;30/06/2000;0000;144.2;18.18;8.306667;82.825;
83919;31/07/2000;0000;140.6;14.745161;1.919355;72.4;
83919;31/08/2000;0000;119.5;18.432258;5.758065;72.846774;
83919;30/09/2000;0000;222.1;18.726667;7.99;79.266667;
83919;31/10/2000;0000;240.4;21.816129;12.019355;80.556452;
83919;30/11/2000;0000;102.4;23.236667;11.863333;75.725;
83919;31/12/2000;0000;140.4;25.009677;13.425806;76.483871;
83919;30/09/2001;0000;76.1;;;;
83919;31/10/2001;0000;205.5;23.122727;11.413333;78.961538;
83919;30/11/2001;0000;193.6;24.248276;12.9;79.301724;
83919;31/12/2001;0000;91.2;24.432143;12.603571;79.314815;
83919;31/01/2002;0000;178.7;24.9;14.26129;80.541667;
83919;28/02/2002;0000;137.9;24.314286;13.05;80.576923;
83919;31/03/2002;0000;103.4;26.654839;16.641935;83.491935;
83919;30/04/2002;0000;127.4;22.84;12.923333;85.87931;
83919;31/05/2002;0000;109.5;19.748387;9.9;86.354839;
83919;30/06/2002;0000;263.8;16.726667;7.946667;86.716667;
83919;31/07/2002;0000;137.9;16.758065;6.141935;81.75;
83919;31/08/2002;0000;158.2;19.906452;8.7;78.903226;
83919;30/09/2002;0000;172.9;17.946667;6.03;78.708333;
83919;31/10/2002;0000;278.1;22.4;12.406452;82.935484;
83919;30/11/2002;0000;174.3;23.676667;12.4;78.075;
83919;31/12/2002;0000;180.9;24.4;13.941935;82.41129;
83919;31/01/2003;0000;130.5;25.370968;14.63871;79.927419;
83919;28/02/2003;0000;213.3;26.564286;16.203571;80.5;
83919;31/03/2003;0000;84.9;24.683871;14.012903;81.193548;
83919;30/04/2003;0000;128.3;21.576667;10.696667;80.275;
83919;31/05/2003;0000;76.7;18.464516;6.816129;78.225806;
83919;30/06/2003;0000;126.6;18.316667;8.836667;84.891667;
83919;31/07/2003;0000;104;18.370968;6.796774;76.935484;
