--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82976;31/01/2000;0000;95.8;29.309677;20.493548;77.008065;
82976;29/02/2000;0000;91.4;29.717241;20.355172;73.896552;
82976;31/03/2000;0000;39.9;30.354839;19.841935;72.556452;
82976;30/04/2000;0000;133.5;29.358621;19.793333;76.441667;
82976;31/05/2000;0000;21.6;30.612903;18.196774;67.548387;
82976;30/06/2000;0000;0;31.28;18.6;60.422414;
82976;31/07/2000;0000;0;31.690323;19.13871;55.846774;
82976;31/08/2000;0000;0;32.890323;20.216129;53.024194;
82976;30/09/2000;0000;0.9;33.82;20.32;52.275;
82976;31/10/2000;0000;2;34.767742;20.622581;50.677419;
82976;30/11/2000;0000;162.6;30.693333;20.013333;61.708333;
82976;31/12/2000;0000;139.5;29.451613;19.974194;68.112903;
82976;31/01/2001;0000;43.4;30.348387;18.693548;59.653226;
82976;28/02/2001;0000;129;30.082143;19.378571;66.851852;
82976;31/03/2001;0000;137;29.780645;19.5;71.370968;
82976;30/04/2001;0000;19.9;31.153333;18.74;61.517241;
82976;31/05/2001;0000;17.9;32.458065;18.306452;54.798387;
82976;30/06/2001;0000;1;31.273333;17.106667;48.276786;
82976;31/07/2001;0000;0;31.587097;15.809677;44.766129;
82976;31/08/2001;0000;0;31.567742;16.312903;45.616667;
82976;30/09/2001;0000;1.2;34.3;18.773333;50.341667;
82976;31/10/2001;0000;1.9;34.574194;19.993548;50.677419;
82976;30/11/2001;0000;107.4;34.133333;20.673333;54.916667;
82976;31/12/2001;0000;78.4;32.212903;19.8;64.782258;
82976;31/01/2002;0000;234.8;29.248387;19.132258;78.524194;
82976;28/02/2002;0000;99.5;31.135714;18.55;66.651786;
82976;31/03/2002;0000;43.6;32.058065;19.067742;65;
82976;30/04/2002;0000;41.4;32.026667;18.593333;60.683333;
82976;31/05/2002;0000;17;32.722581;17.867742;51.580645;
82976;30/06/2002;0000;0;31.78;17.14;46.033333;
82976;31/07/2002;0000;1;32.529032;16.045161;44.717742;
82976;31/08/2002;0000;0;32.76129;16.170968;52.524194;
82976;30/09/2002;0000;50.4;33.92;19.12;53.658333;
82976;31/10/2002;0000;0;35.303226;19.274194;43.983871;
82976;30/11/2002;0000;67.1;34.433333;19.446667;51.866667;
82976;31/12/2002;0000;241.9;31.806452;21.274194;72.379032;
82976;31/01/2003;0000;141.2;30.812903;20.896774;76.783333;
82976;28/02/2003;0000;24.2;30.878571;20.521429;76.098214;
82976;31/03/2003;0000;171.6;31.090323;20.935484;77.991935;
82976;30/04/2003;0000;64.9;31.306667;19.913333;74.7;
82976;31/05/2003;0000;28;31.529032;19.593548;68.879032;
82976;30/06/2003;0000;0;31.84;17.24;58.875;
82976;31/07/2003;0000;5.5;31.096774;16.612903;57.451613;
82976;31/08/2003;0000;0;33.187097;18.064516;54.322581;
82976;30/09/2003;0000;0.7;34.013333;19.593333;52.858333;
82976;31/10/2003;0000;9.9;34.819355;21.354839;52.709677;
82976;30/11/2003;0000;58.3;33.92;21.38;58.333333;
82976;31/12/2003;0000;66;34.522581;21.554839;61.572581;
