--------------------
BDMEP - INMET
--------------------
Estação           : CODAJAS - AM (OMM: 82326)
Latitude  (graus) : -3.83
Longitude (graus) : -62.08
Altitude  (metros): 48.00
Estação Operante
Inicio de operação: 19/08/1974
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82326;31/01/2000;0000;395.3;32.125806;21.816129;80.064516;
82326;29/02/2000;0000;193.8;32.358621;21.686207;79.293103;
82326;31/03/2000;0000;504.3;31.667742;21.367742;81.362903;
82326;30/04/2000;0000;339.2;31.84;21.333333;82.05;
82326;31/05/2000;0000;240.8;31.822581;21.490323;81.443548;
82326;30/06/2000;0000;129;32.21;20.8;79.75;
82326;31/07/2000;0000;128.1;31.987097;20.012903;82.766129;
82326;31/08/2000;0000;132.7;33.403226;19.974194;80.145161;
82326;30/09/2000;0000;201.7;33.86;21.21;78.766667;
82326;31/10/2000;0000;180.3;33.13871;22.3;79.362903;
82326;30/11/2000;0000;241.4;33.086667;22.51;81.125;
82326;31/12/2000;0000;244.9;32.632258;22.051613;79.370968;
82326;31/01/2001;0000;458.9;31.016129;21.570968;83.185484;
82326;28/02/2001;0000;318.7;31.753571;21.485714;80.294643;
82326;31/03/2001;0000;297.7;32.632258;22.606452;79.427419;
82326;30/04/2001;0000;280.3;32.113333;22.53;79.55;
82326;31/05/2001;0000;253.3;32.296774;22.677419;79.25;
82326;30/06/2001;0000;239.4;30.423333;21.466667;78.45;
82326;31/07/2001;0000;197;32.974194;21.696774;77.991935;
82326;31/08/2001;0000;51.5;34.935484;22.232258;76.395161;
82326;30/09/2001;0000;198;34;22.513333;76.583333;
82326;31/10/2001;0000;88.2;34.170968;23.532258;83.540323;
82326;30/11/2001;0000;188.2;34.743333;23.25;81.225;
82326;31/12/2001;0000;349.9;32.970968;23.354839;81.790323;
82326;31/01/2002;0000;333.2;33.277419;23.354839;83.775;
82326;28/02/2002;0000;404.6;32.657143;23.282143;85.767857;
82326;31/03/2002;0000;368.6;33.212903;23.341935;83.798387;
82326;30/04/2002;0000;335.4;32.56;;83.975;
82326;31/05/2002;0000;372.8;32.432258;21.903226;83.975806;
82326;30/06/2002;0000;168;31.36;21.66;78.508333;
82326;31/07/2002;0000;119.5;33.724138;21.944828;82.887097;
82326;31/08/2002;0000;117.3;34.996774;21.63871;81.1;
82326;30/09/2002;0000;123.8;34.586667;22.74;80.591667;
82326;31/10/2002;0000;134.4;34.090323;23.054839;81.685484;
82326;30/11/2002;0000;218;34.226667;23.493333;82.612069;
82326;31/12/2002;0000;511.4;32.722581;24.222581;85.443548;
82326;31/01/2003;0000;161.9;34.793333;24.273333;82.266667;
82326;28/02/2003;0000;277.3;33.117857;24.096429;85.946429;
82326;31/03/2003;0000;430.5;32.967742;23.825806;86.024194;
82326;30/04/2003;0000;185.1;32.303333;23.88;86.15;
82326;31/05/2003;0000;315.5;32.348387;23.503226;87.290323;
82326;30/06/2003;0000;219.3;31.873333;23.033333;86.691667;
82326;31/07/2003;0000;150.4;32.958065;22.677419;82.620968;
82326;31/08/2003;0000;153.5;33.174194;23.054839;82.104839;
82326;30/09/2003;0000;50.2;34.143333;23.04;80.5;
82326;31/10/2003;0000;263;33.277419;23.877419;84.677419;
82326;30/11/2003;0000;58.4;33.5;24.036667;83.016667;
82326;31/12/2003;0000;135.8;33.232258;23.906452;84.508065;
82326;31/01/2004;0000;219;32.319355;24.022581;87.491935;
82326;29/02/2004;0000;419.4;31.789655;23.7;86.310345;
82326;31/03/2004;0000;368.7;31.990323;23.270968;86.467742;
82326;30/04/2004;0000;322.5;32.36;23.593333;86.2;
82326;31/05/2004;0000;195.3;31.006452;23.54;87.548387;
82326;30/06/2004;0000;181.7;31.506667;22.303333;85.2;
82326;31/07/2004;0000;184.9;32.141935;22.222581;83.354839;
82326;31/08/2004;0000;62.9;33.473333;22.636667;80.209677;
82326;30/09/2004;0000;220.2;32.88;22.923333;83.068966;
82326;31/10/2004;0000;248.1;33.783333;23.726667;81.798387;
82326;30/11/2004;0000;131.2;33.441379;23.944828;83.6;
82326;31/12/2004;0000;372.2;33.058065;23.574194;84.298387;
82326;31/01/2005;0000;162.9;33.774194;23.506452;80.733871;
82326;28/02/2005;0000;480.1;31.692857;24.003571;86.625;
82326;31/03/2005;0000;563;31.732258;23.906452;86.137097;
82326;30/04/2005;0000;383.3;31.606667;23.703333;86.9;
82326;31/05/2005;0000;128.8;32.532258;23.887097;83.596774;
82326;30/06/2005;0000;83.5;33.2;23.173333;80.55;
82326;31/07/2005;0000;66.4;33.496774;22.487097;80.080645;
82326;31/08/2005;0000;93.1;34.316129;22.712903;80.862903;
82326;30/09/2005;0000;127.2;34.056667;23.08;81.8;
82326;31/10/2005;0000;133.3;34.064516;23.596774;84.129032;
82326;30/11/2005;0000;126.5;33.75;23.803448;83.233333;
82326;31/12/2005;0000;298.3;32.590323;23.380645;86.145161;
82326;31/01/2006;0000;262.2;33.151613;23.580645;83.08871;
82326;28/02/2006;0000;344.1;32.542857;23.546429;87.732143;
