--------------------
BDMEP - INMET
--------------------
Estação           : CORUMBA - MS (OMM: 83552)
Latitude  (graus) : -19.02
Longitude (graus) : -57.67
Altitude  (metros): 130.00
Estação Operante
Inicio de operação: 01/05/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83552;31/01/2000;0000;62.8;35.209677;24.525806;71.370968;
83552;29/02/2000;0000;118.8;33.448276;24.003448;79.663793;
83552;31/03/2000;0000;151.1;31.412903;22.967742;87.153226;
83552;30/04/2000;0000;95.8;32.653333;21.493333;79.241667;
83552;31/05/2000;0000;13;29.103226;19.612903;77.637097;
83552;30/06/2000;0000;21.4;28.036667;19.096667;77.333333;
83552;31/07/2000;0000;122.5;25.067742;13.458065;68.209677;
83552;31/08/2000;0000;129.4;30.441935;19.174194;69.217742;
83552;30/09/2000;0000;76.5;30.056667;19.473333;71.1;
83552;31/10/2000;0000;88.3;34.751613;23.33871;70.201613;
83552;30/11/2000;0000;237.4;33.06;21.893333;;
83552;31/12/2000;0000;108.8;33.745161;23.206452;;
83552;31/01/2001;0000;207.1;33.245161;23.535484;78.467742;
83552;28/02/2001;0000;150.7;33.789286;24.253571;79.428571;
83552;31/03/2001;0000;148.8;32.729032;23.435484;81.830645;
83552;30/04/2001;0000;40.5;33.006667;21.903333;74.4;
83552;31/05/2001;0000;83.4;28.251613;18.056667;;
83552;30/06/2001;0000;8;27.856667;16.516667;;
83552;31/07/2001;0000;22.5;30.622581;18.458065;;
83552;31/08/2001;0000;6.3;34.787097;21.316129;;
83552;30/09/2001;0000;24.9;34.59;21.823333;;
83552;31/10/2001;0000;124.4;34.009677;23.245161;;
83552;30/11/2001;0000;117.3;33.003333;23.183333;;
83552;31/12/2001;0000;157.7;32.948387;23.325806;;
83552;31/01/2002;0000;71.7;34.703226;24.554839;;
83552;31/03/2002;0000;56.5;34.025;24.566667;;
83552;30/04/2002;0000;10.5;34.233333;23.36;;
83552;31/05/2002;0000;7.3;33.210526;23.052632;;
83552;30/06/2002;0000;6.5;29.076667;17.68;;
83552;31/07/2002;0000;1.5;28.512903;16.883871;;
83552;31/08/2002;0000;19.6;33.251613;21.529032;;
83552;30/09/2002;0000;11.6;33.006667;20.793103;;
83552;31/10/2002;0000;34.3;37.235484;24.806452;;
83552;30/11/2002;0000;70.7;36.533333;24.44;;
83552;31/12/2002;0000;24.7;36.809677;25.170968;;
83552;31/01/2003;0000;288.9;33.774194;24.36129;;
83552;31/03/2003;0000;253.5;33.003448;23.562069;;
83552;30/04/2003;0000;77.3;30.78;21.196667;;
83552;31/05/2003;0000;79.1;29.229032;19.141935;;
83552;30/06/2003;0000;2.4;29.69;19.61;;
83552;31/07/2003;0000;21.6;28.716129;16.909677;;
83552;31/08/2003;0000;34.8;28.625806;17.454839;72.024194;
83552;30/09/2003;0000;95.9;32.243333;20.606667;78.133333;
83552;31/10/2003;0000;53.4;34.203226;23.358065;80.120968;
83552;30/11/2003;0000;65.7;34.67;22.876667;80.041667;
83552;31/12/2003;0000;125.1;34.341935;24.109677;86.967742;
83552;31/01/2004;0000;43.7;36.903226;24.906452;81.177419;
83552;29/02/2004;0000;215.9;33.696552;23.1;82.655172;
83552;31/03/2004;0000;126.6;34.245161;23.348387;80.532258;
83552;30/04/2004;0000;142;33.086667;22.893333;84.491667;
83552;31/05/2004;0000;90.7;24.703226;16.512903;87.887097;
83552;30/06/2004;0000;27.9;28.586667;18.67;82.208333;
83552;31/07/2004;0000;27.3;26.880645;16.922581;84.443548;
83552;31/08/2004;0000;0.3;31.522581;18.019355;71.314516;
83552;30/09/2004;0000;16.9;34.863333;21.103333;54.166667;
83552;31/10/2004;0000;99.2;33.964516;22.164516;67.862903;
83552;30/11/2004;0000;151.3;33.1;21.8;71.308333;
83552;31/12/2004;0000;220.1;34.845161;23.254839;72.072581;
83552;31/01/2005;0000;203.5;33.119355;23.9;83.25;
83552;28/02/2005;0000;150.8;34.310714;23.096429;74.098214;
83552;31/03/2005;0000;96.2;33.593103;22.546429;76.62931;
83552;30/04/2005;0000;41.8;32.243333;21.173333;77.375;
83552;31/05/2005;0000;14.3;31.809677;20.303226;76.112903;
83552;30/06/2005;0000;13.2;31.266667;20.493333;73.775;
83552;31/07/2005;0000;13.1;29.235484;16.341935;59.556452;
83552;31/08/2005;0000;1.1;33.683871;19.683871;51.524194;
83552;30/09/2005;0000;38.3;31.106667;17.993333;60.433333;
83552;31/10/2005;0000;51;34.53871;21.374194;71.290323;
83552;30/11/2005;0000;50.9;35.003333;23.353333;;
83552;31/12/2005;0000;180.1;34.054839;23.3;;
83552;31/01/2006;0000;132;33.829032;23.203226;81.814516;
83552;28/02/2006;0000;69.2;34.503571;23.65;76.625;
83552;31/03/2006;0000;138.9;33.751613;23.541935;;
83552;30/04/2006;0000;60.2;32.236667;21.246667;82.4375;
83552;31/05/2006;0000;60.4;28.035484;15.83871;70.064516;
83552;30/06/2006;0000;3.7;30.046667;19.08;70.941667;
83552;31/07/2006;0000;24.4;30.806452;20.335484;68.2;
83552;31/08/2006;0000;0.7;31.848387;19.7;55.8125;
83552;30/09/2006;0000;43.1;32.333333;19.92;61.3;
83552;31/10/2006;0000;120.4;33.874194;22.183871;75.306452;
83552;30/11/2006;0000;196.5;33.57;21.95;;
83552;31/12/2006;0000;232.7;32.790323;22.825806;84.032258;
83552;31/01/2007;0000;212.9;33.280645;22.829032;84.83871;
83552;28/02/2007;0000;80;33.057143;23.485714;85.194444;
83552;31/03/2007;0000;123.9;34.312903;23.148387;;
83552;30/04/2007;0000;46.3;33.233333;22.533333;;
83552;31/05/2007;0000;64.2;27.619355;17.535484;;
83552;30/06/2007;0000;0;29.483333;18.303333;;
83552;31/07/2007;0000;18.7;28.267742;16.093548;;
83552;31/08/2007;0000;3.8;28.941935;16.316129;;
83552;30/09/2007;0000;0.1;36.396667;22.64;45.95;
83552;31/10/2007;0000;173.2;34.777419;22.941935;69.15;
83552;30/11/2007;0000;123.5;32.753333;21.336667;77.425;
83552;31/12/2007;0000;193.8;33.251613;22.496774;77.693548;
83552;31/01/2008;0000;239.6;32.619355;24.5;;
83552;29/02/2008;0000;208.3;33.134483;24.068966;;
83552;31/03/2008;0000;44.9;33.158065;24.358065;;
83552;30/04/2008;0000;79.2;31.093333;21.763333;;
83552;31/05/2008;0000;116.2;28.103226;19.393548;75.460526;
83552;30/06/2008;0000;0.5;26.846667;16.653333;75.433333;
83552;31/07/2008;0000;0.6;32.303226;21.780645;;
83552;31/08/2008;0000;41.9;32.745161;21.609677;60.185484;
83552;30/09/2008;0000;18.1;32.926667;20.446667;50.8;
83552;31/10/2008;0000;91.5;34.835484;23.425806;66.798387;
83552;30/11/2008;0000;116.4;36.116667;23.383333;67.983333;
83552;31/12/2008;0000;100.5;35.745161;23.780645;67.112903;
83552;31/01/2009;0000;116.9;35.396774;22.393548;64.935484;
83552;28/02/2009;0000;179.3;34.575;23.603571;77.58;
83552;31/03/2009;0000;169;34.683871;23.919355;78.983871;
83552;30/04/2009;0000;34.2;35.613333;22.566667;64.310345;
83552;31/05/2009;0000;40.1;32.480645;20.535484;69.774194;
83552;30/06/2009;0000;29.7;28.786667;16.333333;70.875;
83552;31/07/2009;0000;61.4;29.925806;16.96129;71.508065;
83552;31/08/2009;0000;19.4;32.683871;18.293548;59.120968;
83552;30/09/2009;0000;9.4;32.896667;19.686667;58.301724;
83552;31/10/2009;0000;103.5;36.006452;23.074194;62.572581;
