--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANO - PI (OMM: 82678)
Latitude  (graus) : -6.76
Longitude (graus) : -43.01
Altitude  (metros): 123.27
Estação Operante
Inicio de operação: 21/01/1968
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82678;31/01/2000;0000;84.4;32.13871;22.219355;80.298387;
82678;29/02/2000;0000;193.2;31.189655;21.748276;86.060345;
82678;31/03/2000;0000;296.8;31.477419;22.009677;82.895161;
82678;30/04/2000;0000;235.3;31.306667;22.013333;84.133333;
82678;31/05/2000;0000;50;32.258065;21.435484;74.387097;
82678;30/06/2000;0000;4.2;32.624138;21.14;;
82678;31/07/2000;0000;7.2;33.896774;21.080645;;
82678;31/08/2000;0000;3;35.712903;21.348387;;
82678;30/09/2000;0000;1.7;36.413333;23.72;;
82678;31/03/2001;0000;62.6;31.890323;22.729032;;
82678;30/04/2001;0000;53;33.45;22.54;;
82678;30/09/2001;0000;36;;;;
82678;31/10/2001;0000;46.2;37.26129;24.809677;53;
82678;30/11/2001;0000;0;34.143333;24.089655;70.591667;
82678;31/12/2001;0000;93.3;34.789655;23.625;69.892857;
82678;31/01/2002;0000;530.6;30.893103;22.483871;84.759259;
82678;28/02/2002;0000;84.3;33.115385;22.342857;77.509259;
82678;31/03/2002;0000;100.1;32.590323;22.577419;80.137097;
82678;30/04/2002;0000;18.4;33.186207;22.163333;74.689655;
82678;31/05/2002;0000;92.2;33.416129;22.509677;72.080645;
82678;30/06/2002;0000;0;34.223333;21.783333;60.241667;
82678;31/07/2002;0000;0;35.516129;22.054839;47.475806;
82678;31/08/2002;0000;0;36.303333;22.587097;41.891667;
82678;30/09/2002;0000;18.7;37.113333;23.683333;45.416667;
82678;31/10/2002;0000;2.6;38.383871;24.770968;40.056452;
82678;30/11/2002;0000;38.8;36.706667;24.423333;52.341667;
82678;31/12/2002;0000;138.5;34.532258;23.919355;68.080645;
82678;31/01/2003;0000;217.4;33.248387;23.23871;75.733871;
