--------------------
BDMEP - INMET
--------------------
Estação           : GARANHUNS - PE (OMM: 82893)
Latitude  (graus) : -8.88
Longitude (graus) : -36.51
Altitude  (metros): 822.76
Estação Operante
Inicio de operação: 01/02/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82893;31/01/2000;0000;85.3;27.709677;18.522581;88.684783;
82893;29/02/2000;0000;46.1;28.782759;18.706897;87.672414;
82893;31/03/2000;0000;31.4;28.56129;18.951613;88.491935;
82893;30/04/2000;0000;75.4;26.593333;18.83;93.258333;
82893;31/05/2000;0000;85;24.790323;17.787097;95.379032;
82893;30/06/2000;0000;181.2;23.383333;17.426667;;
82893;31/07/2000;0000;153.3;22.693548;16.645161;;
82893;31/08/2000;0000;166.1;23.293548;16.403226;;
82893;30/09/2000;0000;135.1;24.32;;94.016667;
82893;31/10/2000;0000;6.8;26.422581;;90.217742;
82893;30/11/2000;0000;10.9;28.7;;87.516667;
82893;31/12/2000;0000;81;28.586667;;85.782258;
82893;31/01/2001;0000;14.8;27.680645;17.858065;81.782258;
82893;28/02/2001;0000;0.7;29.464286;18.442857;80.160714;
82893;31/03/2001;0000;81.1;28.912903;18.758065;84.516129;
82893;30/04/2001;0000;36.7;26.74;18.24;86.525;
82893;31/05/2001;0000;10.5;27.964516;18.235484;84.266129;
82893;30/06/2001;0000;225.8;23.276667;17.193333;93.830357;
82893;31/07/2001;0000;146.5;22.848387;16.990323;;
82893;31/08/2001;0000;101.7;22.693548;15.941935;93.548387;
82893;30/09/2001;0000;21.4;25.266667;16.653333;;
82893;31/10/2001;0000;123;26.996774;17.612903;81.887097;
82893;30/11/2001;0000;2.9;28.446667;17.846667;75.083333;
82893;31/12/2001;0000;42;28.519355;18.809677;78.973214;
82893;31/01/2002;0000;216.4;26.548387;18.583871;86.651786;
82893;28/02/2002;0000;15.4;27.4;18.292857;80.75;
82893;31/03/2002;0000;75.9;26.73871;18.6;84.475;
82893;30/04/2002;0000;83.8;26.153333;18.706667;84.732759;
82893;31/05/2002;0000;171.3;24.7;18.125806;88.854839;
82893;30/06/2002;0000;170.6;22.646667;17.17;93.233333;
82893;31/07/2002;0000;109.9;23.793548;16.56129;89.556452;
82893;31/08/2002;0000;124.4;23.177419;16.145161;89.25;
82893;30/09/2002;0000;16;25.873333;16.42;80.5;
82893;31/10/2002;0000;19;26.896774;16.958065;78.419355;
82893;30/11/2002;0000;15.3;28.64;17.66;71.825;
82893;31/12/2002;0000;172.9;29.964516;18.641935;70.798387;
82893;31/01/2003;0000;28.9;30.258065;19.022581;71.112903;
82893;28/02/2003;0000;43.9;27.685714;18.964286;79.142857;
82893;31/03/2003;0000;67.7;28.041935;18.983871;78.790323;
