--------------------
BDMEP - INMET
--------------------
Estação           : GOIAS - GO (OMM: 83374)
Latitude  (graus) : -15.91
Longitude (graus) : -50.13
Altitude  (metros): 512.22
Estação Operante
Inicio de operação: 20/04/1946
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83374;31/01/2000;0000;381.4;30.432258;21.003226;82.153226;
83374;29/02/2000;0000;310.9;30.693103;20.886207;82.883929;
83374;31/03/2000;0000;217.6;31.089655;20.955172;79.723214;
83374;30/04/2000;0000;37.2;32.016667;20.19;71.916667;
83374;31/05/2000;0000;3.4;31.877419;18.870968;60.008333;
83374;30/06/2000;0000;0;31.743333;16.876667;55.308333;
83374;31/07/2000;0000;19.1;30.741935;16.764516;52.032258;
83374;31/08/2000;0000;49.7;33.964516;19.945161;44.395161;
83374;30/09/2000;0000;99.9;32.33;20.796667;61.441667;
83374;31/10/2000;0000;25.6;34.625806;22.06129;53.016129;
83374;30/11/2000;0000;327.6;30.51;21.166667;78.55;
83374;31/12/2000;0000;396.6;30.022581;21.090323;82.709677;
83374;31/01/2001;0000;202.6;31.546667;20.546667;74.916667;
83374;28/02/2001;0000;134.3;32.717857;20.825;73.544643;
83374;31/03/2001;0000;255;31.593548;20.912903;78.008065;
83374;30/04/2001;0000;34.2;32.68;20.29;67.941667;
83374;31/05/2001;0000;66.5;31.470968;19.006452;65.064516;
83374;30/06/2001;0000;9.2;30.773333;17.683333;59.475;
83374;31/07/2001;0000;0;32.241935;17.896774;51.370968;
83374;31/08/2001;0000;6.9;32.690323;19.674194;43.16129;
83374;30/09/2001;0000;94.3;34.146667;21.576667;50.791667;
83374;31/10/2001;0000;184;31.567742;20.645161;69.524194;
83374;30/11/2001;0000;439.6;30.316667;21.236667;81.866667;
83374;31/12/2001;0000;346.7;29.703226;21.254839;84.5;
83374;31/01/2002;0000;331.1;30.783871;21.177419;80.854839;
83374;28/02/2002;0000;232;31.614286;21.410714;78.75;
83374;31/03/2002;0000;120.9;32.809677;21.241935;73.5;
