--------------------
BDMEP - INMET
--------------------
Esta?o           : JANAUBA - MG (OMM: 83395)
Latitude  (graus) : -15.8
Longitude (graus) : -43.29
Altitude  (metros): 516.00
Esta?o Operante
Inicio de opera?o: 15/03/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83395;31/01/2000;0000;224.3;30.935484;20.212903;75.629032;
83395;29/02/2000;0000;120;31.717241;20.262069;67.146552;
83395;31/03/2000;0000;111.8;30.96129;20.664516;68.524194;
83395;30/04/2000;0000;0.2;30.946667;20.22;58.683333;
83395;31/05/2000;0000;0;31.070968;17.154839;54.548387;
83395;30/06/2000;0000;0;29.786667;16.266667;49.816667;
83395;31/07/2000;0000;0;29.425806;16.245161;50.467742;
83395;31/08/2000;0000;0;31.2;16.63871;43.733871;
83395;31/10/2000;0000;52.8;34.612903;19.722581;40.951613;
83395;30/11/2000;0000;129.4;31.373333;20.74;65.616667;
83395;31/12/2000;0000;248.7;29.948387;20.780645;79.201613;
83395;31/01/2001;0000;89.1;31.851613;19.529032;63.129032;
83395;28/02/2001;0000;19.8;34.435714;19.728571;56.410714;
83395;31/03/2001;0000;87.8;32.290323;20.051613;66.153226;
83395;30/04/2001;0000;8.6;32.486667;19.946667;53.766667;
83395;31/05/2001;0000;15.6;32.212903;19.36129;57.548387;
83395;30/06/2001;0000;0;29.586667;17.76;52.741379;
83395;31/07/2001;0000;0;30.032258;16.425806;51.201613;
83395;31/08/2001;0000;0;29.741935;17.98;45.017241;
83395;30/09/2001;0000;4.1;32.796667;19.12;44.533333;
83395;31/10/2001;0000;51.2;32.045161;20.458065;55.798387;
83395;30/11/2001;0000;245.2;30.73;20.833333;70.267241;
83395;31/12/2001;0000;258.5;31.283871;20.670968;66.943548;
83395;31/01/2002;0000;324.3;31.422581;20.745161;73.362903;
83395;28/02/2002;0000;118.4;31.925;20.057143;72.9375;
83395;31/03/2002;0000;27.1;32.409677;20.219355;61.532258;
83395;30/04/2002;0000;2.8;32.286667;19.846667;58.133333;
83395;31/05/2002;0000;0;31.706897;18.006452;56.653226;
83395;30/06/2002;0000;0;29.706897;18.32;57.166667;
83395;31/07/2002;0000;0.6;30.52;17.154839;56.853448;
83395;31/08/2002;0000;0;31.73;16.4;47.586207;
83395;30/09/2002;0000;2.5;32.189655;18.586207;52.474138;
83395;31/10/2002;0000;28.3;35.53;19.612903;38.7;
83395;30/11/2002;0000;134.4;33.446667;19.9;54.841667;
83395;31/12/2002;0000;309.6;32.429032;20.976667;69.5;
83395;31/01/2003;0000;195.4;31.654839;20.667742;77.540323;
83395;28/02/2003;0000;7.3;32.778571;20.121429;57.419643;
83395;31/03/2003;0000;11;32.93871;20.225806;61.875;
83395;30/04/2003;0000;23.2;32.62;20.273333;56.133333;
83395;31/05/2003;0000;10.4;31.325806;18.187097;58.306452;
83395;30/06/2003;0000;0;30.946667;15.82;46.675;
83395;31/07/2003;0000;0;29.693548;15.529032;49.983871;
83395;31/08/2003;0000;0;30.451613;16.16129;49.241379;
83395;30/09/2003;0000;1.3;33.296667;18.11;44.891667;
83395;31/10/2003;0000;16.5;34.36129;18.890323;40.419355;
83395;30/11/2003;0000;114.5;33.606667;19.639286;53.758929;
83395;31/12/2003;0000;73.7;33.832258;21.03871;56.358333;
83395;31/01/2004;0000;249.7;31.780645;21.180645;70.782258;
83395;29/02/2004;0000;216.2;31.32;;;
83395;31/03/2004;0000;263.6;30.43871;;;
83395;30/04/2004;0000;76.1;30.953333;;;
83395;31/05/2004;0000;0;30.341935;;;
83395;30/06/2004;0000;4.5;28.213333;;;
83395;31/07/2004;0000;0;28.322581;15.918519;53.794643;
83395;31/08/2004;0000;0;30.380645;16.658065;44.241935;
83395;30/09/2004;0000;0;32.62069;17.071429;37.888889;
83395;31/10/2004;0000;85;33.922581;19.916129;45.41129;
83395;30/11/2004;0000;26.7;32.736667;20.453333;56.341667;
83395;31/12/2004;0000;130.4;33.448276;20.572414;62.612069;
83395;31/01/2005;0000;126.7;33.154839;21.341935;69.362903;
83395;28/02/2005;0000;151.1;32.342857;21.235714;70.651786;
83395;31/03/2005;0000;151.2;32.635484;20.741935;69.919355;
83395;30/04/2005;0000;0.8;33.513333;20.4;55.333333;
83395;31/05/2005;0000;12.9;31.093548;18.658065;58.669355;
83395;30/06/2005;0000;0;29.62;18.02;58.466667;
83395;31/07/2005;0000;0;29.745161;16.090323;50.032258;
83395;31/08/2005;0000;0;31.45;17.545455;;
83395;30/09/2005;0000;4.8;33.323333;19.32;45.025;
83395;31/10/2005;0000;7.3;35.993548;19.974194;35.314516;
83395;30/11/2005;0000;139.9;32.07931;21.414286;61.913793;
83395;31/12/2005;0000;129;30.196667;20.62;70.416667;
83395;31/01/2006;0000;7.9;33.651613;20.390323;52.158333;
83395;28/02/2006;0000;39.6;35.057143;20.271429;55.544643;
83395;31/03/2006;0000;179.7;31.506452;19.716129;73.129032;
83395;30/04/2006;0000;47.2;30.61;18.293333;67.458333;
83395;31/05/2006;0000;0;30.358065;17.167742;59.233871;
83395;30/06/2006;0000;0;28.5;16.62;59.327586;
83395;31/07/2006;0000;0;29.319355;14.896774;54.806452;
83395;31/08/2006;0000;1.7;31.529032;17.322581;52.516129;
83395;30/09/2006;0000;45.3;32.296667;18.9;53.983333;
83395;31/10/2006;0000;49.1;31.425806;20.903226;63.958333;
83395;30/11/2006;0000;228.6;30.24;20.373333;73.325;
83395;31/12/2006;0000;117.8;31.596774;20.941935;70.435484;
83395;31/01/2007;0000;121.2;33.151613;20.96129;66.645161;
83395;28/02/2007;0000;277.1;30.207143;20.5;75.714286;
83395;31/03/2007;0000;15;32.822581;20.264516;61.137097;
83395;30/04/2007;0000;6.1;32.526667;20.586667;61.441667;
83395;31/05/2007;0000;9.6;31.309677;18.206452;59.564516;
83395;30/06/2007;0000;0;30.2;16.493333;58.708333;
83395;31/07/2007;0000;0;30.896774;15.929032;52.483871;
83395;31/08/2007;0000;0;30.509677;16.754839;44.717742;
83395;30/09/2007;0000;0;32.226667;18.2;43.058333;
83395;31/10/2007;0000;6.1;35.148387;20.077419;40.451613;
83395;30/11/2007;0000;259.4;34.763333;21.38;50.232759;
83395;31/12/2007;0000;49;32.154839;20.716129;67.096774;
83395;31/01/2008;0000;94.8;32.306667;20.613333;64.058333;
83395;29/02/2008;0000;39.9;32.844828;20.558621;66.853448;
83395;31/03/2008;0000;172;31.241935;20.348387;70.725806;
83395;30/04/2008;0000;183.7;31.883333;19.813333;70.983333;
83395;31/05/2008;0000;0.5;30.754839;17.664516;62.691667;
83395;30/06/2008;0000;0;29.833333;16.848276;59.637931;
83395;31/07/2008;0000;0;29.125806;15.651613;54.104839;
83395;31/08/2008;0000;0;31.867742;16.264516;48.451613;
83395;30/09/2008;0000;4.4;33.98;18.175862;51.416667;
83395;31/10/2008;0000;0;36.155172;20.02069;42.896552;
83395;30/11/2008;0000;104.4;31.336667;21.56;67.441667;
83395;31/12/2008;0000;193.9;30.483333;20.86;75.941667;
83395;31/01/2009;0000;215.6;32.216129;20.970968;69.717742;
83395;28/02/2009;0000;24.8;33.314286;20.517857;60.169643;
83395;31/03/2009;0000;83.2;33.745161;21.174194;64.096774;
83395;30/04/2009;0000;70.9;30.65;20.803333;69.8;
83395;31/05/2009;0000;9.1;29.758065;18.119355;62.975806;
83395;30/06/2009;0000;0;30.266667;17.49;60.358333;
83395;31/07/2009;0000;0;30.790323;15.858065;51.540323;
83395;31/08/2009;0000;0;31.474194;17.987097;49.306452;
83395;30/09/2009;0000;2.7;34.433333;19.866667;46.558333;
83395;31/10/2009;0000;192.9;33.367742;21.110345;59.612903;
83395;30/11/2009;0000;126.9;33.246667;20.446667;60.933333;
83395;31/12/2009;0000;207;31.3;21.164516;71.120968;
