--------------------
BDMEP - INMET
--------------------
Esta?o           : JATAI - GO (OMM: 83464)
Latitude  (graus) : -17.91
Longitude (graus) : -51.71
Altitude  (metros): 662.86
Esta?o Operante
Inicio de opera?o: 24/11/1978
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83464;31/01/2000;0000;287.1;30.774194;20.109677;76.825;
83464;29/02/2000;0000;219;30.362069;19.968966;82.62931;
83464;31/03/2000;0000;428.4;29.76129;19.967742;82.548387;
83464;30/04/2000;0000;81.4;30.823333;16.97;71.75;
83464;31/05/2000;0000;3.3;28.880645;13.677419;70.475806;
83464;30/06/2000;0000;0;30.593333;11.986667;61.683333;
83464;31/07/2000;0000;3;28.364516;9.554839;57.516129;
83464;31/08/2000;0000;22.5;32.312903;14.141935;51.508065;
83464;30/09/2000;0000;64.7;30.203333;17.556667;67.491667;
83464;31/10/2000;0000;139;33.470968;18.774194;61.637097;
83464;30/11/2000;0000;205.5;30.69;19.796667;75.616667;
83464;31/12/2000;0000;264.1;30.06129;19.735484;78.717742;
83464;31/01/2001;0000;294.5;30.822581;19.4;74.66129;
83464;28/02/2001;0000;206.4;31.592857;19.564286;78.642857;
83464;31/03/2001;0000;107.5;31.058065;19.716129;76.951613;
83464;30/04/2001;0000;62;31.34;17.496667;69.3;
83464;31/05/2001;0000;192.2;28.212903;14.551613;75.793103;
83464;30/06/2001;0000;12.2;27.75;11.416667;70.55;
83464;31/07/2001;0000;6.6;30.174194;12.545161;60.491935;
83464;31/08/2001;0000;33.6;32.893548;13.332258;48.967742;
83464;30/09/2001;0000;65.6;31.926667;16.756667;59.133333;
83464;31/10/2001;0000;80.3;31.145161;18.264516;68.830645;
83464;30/11/2001;0000;274.3;29.77;20.2;79.366667;
83464;31/12/2001;0000;445.1;29.471429;20.121429;80.241935;
83464;31/01/2002;0000;323.6;30.216129;19.719355;78.564516;
83464;28/02/2002;0000;416.6;30.110714;20.396429;81.044643;
83464;31/03/2002;0000;318.8;31.116129;19.632258;77.451613;
83464;30/04/2002;0000;29.1;32.063333;17.686667;69.016667;
83464;31/05/2002;0000;65.8;29.816129;15.364516;71.040323;
83464;30/06/2002;0000;0;30.293333;11.573333;60.691667;
83464;31/07/2002;0000;28.3;29.467742;12.551613;59.91129;
83464;31/08/2002;0000;19.2;31.941935;15.406452;52.604839;
83464;30/09/2002;0000;38.6;31.229412;16.48;56.7;
83464;31/10/2002;0000;69.5;33.188889;19.703226;62.354839;
83464;30/11/2002;0000;96;31.893333;19.986667;69.191667;
83464;31/12/2002;0000;267.5;31.8;20.17931;74.616667;
83464;31/01/2003;0000;239.7;29.835484;20.819355;80.758065;
83464;28/02/2003;0000;229.2;31.160714;19.728571;77.410714;
83464;31/03/2003;0000;270.3;30.187097;19.548387;80.16129;
83464;30/04/2003;0000;157.5;30.183333;18.336667;76.1;
83464;31/05/2003;0000;32.1;28.451613;12.129032;68.927419;
83464;30/06/2003;0000;0;30.076667;11.446667;65.458333;
83464;31/07/2003;0000;0;29.996774;10.619355;55.467742;
83464;31/08/2003;0000;10.4;30.63871;11.890323;50.314516;
83464;30/09/2003;0000;21.6;33.326667;16.526667;49.333333;
83464;31/10/2003;0000;197.8;31.867742;18.664516;62.209677;
83464;30/11/2003;0000;58;31.02;19.576667;70.491667;
83464;31/12/2003;0000;303.9;31.36129;19.854839;74.717742;
83464;31/01/2004;0000;268;29.796774;20.68;81.532258;
83464;29/02/2004;0000;363.4;29.434483;20.027586;80.862069;
83464;31/03/2004;0000;125.8;31.664516;18.874194;73.459677;
83464;30/04/2004;0000;107.5;30.733333;18.936667;77.75;
83464;31/05/2004;0000;37.2;27.112903;15.180645;77.717742;
83464;30/06/2004;0000;8;28.003333;11.31;68.441667;
83464;31/07/2004;0000;15.1;28.664516;11.822581;61.774194;
83464;31/08/2004;0000;0;32;11.822581;46.91129;
83464;30/09/2004;0000;8.6;35.123333;16.096667;36.433333;
83464;31/10/2004;0000;105.6;31.612903;18.390323;64.604839;
83464;30/11/2004;0000;210.3;31.38;19.093333;68.65;
83464;31/12/2004;0000;376.5;30.180645;20.03871;77.774194;
83464;31/01/2005;0000;227.6;29.922581;20.873333;82.604839;
83464;28/02/2005;0000;82.1;31.935714;19.037037;72.571429;
83464;31/03/2005;0000;381.1;30.893333;20.287097;76.91129;
83464;30/04/2005;0000;72.9;31.406667;18.413333;72.55;
83464;31/05/2005;0000;34.9;29.583871;14.2;71.451613;
83464;30/06/2005;0000;2.4;29.013333;13.266667;69.475;
83464;31/07/2005;0000;0;28.435484;11.541935;62.266129;
83464;31/08/2005;0000;11.7;32.093548;12.925806;47.685484;
83464;30/09/2005;0000;73;31.5;17.12;65.266667;
83464;31/10/2005;0000;86.5;33.377419;19.435484;65.814516;
83464;30/11/2005;0000;168.8;30.69;19.923333;75.241667;
83464;31/12/2005;0000;450.1;29.658065;19.925806;79.693548;
83464;31/01/2006;0000;101.9;30.687097;19.354839;73.629032;
83464;28/02/2006;0000;226.1;30.842857;20.225;81.25;
83464;31/03/2006;0000;290.2;30.906452;20.56129;80.532258;
83464;30/04/2006;0000;162.1;29.68;18.606667;79.775;
83464;31/05/2006;0000;17.1;27.864516;11.187097;71.75;
83464;30/06/2006;0000;1.7;29.48;11.33;63.341667;
83464;31/07/2006;0000;9.6;30.509677;11.712903;58.830645;
83464;31/08/2006;0000;11.3;32.922581;13.370968;;
83464;30/09/2006;0000;58.9;31.516667;16.366667;;
83464;31/10/2006;0000;215.6;31.112903;19.575862;;
83464;30/11/2006;0000;182.2;30.669231;19.426923;;
83464;31/12/2006;0000;350.1;30.574194;20.751613;;
83464;31/01/2007;0000;276.1;30.796774;20.903226;80.693548;
83464;28/02/2007;0000;295.4;30.757143;20.032143;77.321429;
83464;31/03/2007;0000;152;31.648387;18.509677;74.822581;
83464;30/04/2007;0000;66.3;31.73;18.631034;73.25;
83464;31/05/2007;0000;60.1;29.307143;15.828571;;
83464;30/06/2007;0000;4.5;29.976667;12.956667;63.1;
83464;31/07/2007;0000;31.2;29.932258;11.413333;59.392857;
83464;31/08/2007;0000;0;31.796774;12.380645;45.717742;
83464;30/09/2007;0000;21.4;35.073333;16.603333;;
83464;31/10/2007;0000;103.9;33.96129;19.129032;60.008621;
83464;30/11/2007;0000;215.4;31.216667;19.856667;71.141667;
83464;31/12/2007;0000;248.1;30.925806;19.841935;75.362903;
83464;31/01/2008;0000;303.2;29.56129;20.135484;80.572581;
83464;29/02/2008;0000;317;29.858621;19.734483;82.103448;
83464;31/03/2008;0000;383.8;29.929032;19.416129;81.274194;
83464;30/04/2008;0000;243.7;29.853333;18.653333;81.583333;
83464;31/05/2008;0000;61.7;28.164516;14.148387;76.887097;
83464;30/06/2008;0000;2.3;28.883333;13.336667;71.783333;
83464;31/07/2008;0000;0;30.280645;9.783871;52.975806;
83464;31/08/2008;0000;0.6;32.925806;13.093548;47.08871;
83464;30/09/2008;0000;12.3;33.6;15.083333;46.175;
83464;31/10/2008;0000;150;32.580645;19.36129;65.483871;
83464;30/11/2008;0000;193.7;31.726667;19.796667;71.691667;
83464;31/12/2008;0000;210.9;30.932258;19.83871;73.766129;
83464;31/01/2009;0000;141;30.867742;19.883871;76.774194;
83464;28/02/2009;0000;217.3;30.992857;20.117857;78.008929;
83464;31/03/2009;0000;221.8;31.712903;20.177419;75.935484;
83464;30/04/2009;0000;53.6;30.01;17.11;76.766667;
83464;31/05/2009;0000;16.2;30.429032;14.248387;71.096774;
83464;30/06/2009;0000;29.3;28.186667;12.24;72.358333;
83464;31/07/2009;0000;5.8;30.816129;12.912903;61.16129;
83464;31/08/2009;0000;20.3;31.706452;14.2;52.879032;
83464;30/09/2009;0000;198.2;32.51;18.76;67.533333;
83464;31/10/2009;0000;207.4;31.551613;19.545161;72.330645;
83464;30/11/2009;0000;288.6;31.723333;21.083333;74.391667;
83464;31/12/2009;0000;333.2;30.112903;20.354839;80.725806;
83464;31/01/2010;0000;190.4;30.919355;20.53871;77.75;
83464;28/02/2010;0000;214.5;32.028571;20.478571;77.625;
83464;31/03/2010;0000;358;32.045161;20.43871;73.782258;
83464;30/04/2010;0000;165.4;30.58;16.98;72.216667;
83464;31/05/2010;0000;6.3;29.090323;13.090323;70.459677;
83464;30/06/2010;0000;2.1;30.56;10.713333;60.716667;
83464;31/07/2010;0000;4.1;31.358065;12.858065;52.241935;
83464;31/08/2010;0000;0;32.754839;11.112903;41.596774;
83464;30/09/2010;0000;9.9;35.67;17.136667;41.558333;
83464;31/10/2010;0000;197.2;32.854839;18.883871;61.733871;
83464;30/11/2010;0000;201.7;31.233333;19.55;71.9;
83464;31/12/2010;0000;216.3;30.680645;20.364516;78.145161;
83464;31/01/2011;0000;244.5;31.041935;20.2;76.766129;
83464;28/02/2011;0000;240.3;31.185714;20.139286;78.580357;
83464;31/03/2011;0000;359.4;29.793548;20.590323;82.548387;
83464;30/04/2011;0000;92.6;30.57;17.643333;75.983333;
83464;31/05/2011;0000;24.8;28.86129;13.470968;71.822581;
83464;30/06/2011;0000;30;28.706667;11.6;67.366667;
83464;31/07/2011;0000;0;30.945161;12.483871;56.080645;
83464;31/08/2011;0000;5.5;32.954839;13.596774;47.040323;
83464;30/09/2011;0000;19.2;34.8;16.156667;43.65;
83464;31/10/2011;0000;114.4;31.306452;19.425806;69.870968;
83464;30/11/2011;0000;123.6;31.33;18.5;68.066667;
83464;31/12/2011;0000;260.1;30.619355;20.196774;;
83464;31/01/2012;0000;342;29.419355;19.774194;81.191176;
83464;29/02/2012;0000;326.9;31.503448;19.206897;74.413793;
83464;31/03/2012;0000;243.8;31.274194;19.177419;77.032258;
83464;30/04/2012;0000;181.7;31.06;19.21;78.858333;
83464;31/05/2012;0000;49.8;28.419355;14.690323;77.080645;
83464;30/06/2012;0000;52.3;28.536667;14.383333;75.3;
83464;31/07/2012;0000;3.1;29.483871;10.845161;63.104839;
83464;31/08/2012;0000;0;31.590323;14.151613;42.225806;
83464;30/09/2012;0000;74.5;34.333333;16.206667;48.558333;
83464;31/10/2012;0000;77.5;34.990323;19.26129;55.75;
83464;30/11/2012;0000;286;30.84;20.573333;76.308333;
83464;31/12/2012;0000;154.6;31.958065;20.458065;;
83464;31/01/2013;0000;278.5;30.354839;20.722581;80.933333;
83464;28/02/2013;0000;203.6;30.210714;20.125;80.044643;
83464;31/03/2013;0000;370.9;31.451613;20.422581;78;
83464;30/04/2013;0000;161.9;29.353333;17.703333;79.383333;
83464;31/05/2013;0000;39.4;30.074194;14.445161;71.620968;
83464;30/06/2013;0000;9.2;30.423333;15.236667;73.325;
83464;31/07/2013;0000;0.3;29.625806;10.983871;57.5;
83464;31/08/2013;0000;2.6;31.664516;11.125806;45.717742;
83464;30/09/2013;0000;6.7;33.366667;16.63;49.65;
83464;31/10/2013;0000;97.4;33.196774;19.622581;;
83464;30/11/2013;0000;139.7;31.79;20.05;71.35;
83464;31/12/2013;0000;226.6;31.587097;20.909677;75.266129;
83464;31/01/2014;0000;140.1;32.054839;19.251613;71.798387;
83464;28/02/2014;0000;175.6;31.617857;19.7;72.366071;
83464;31/03/2014;0000;249.3;31.151613;19.780645;77.701613;
83464;30/04/2014;0000;242.9;30.546667;19.353333;78.05;
83464;31/05/2014;0000;1;29;14.477419;72.403226;
83464;30/06/2014;0000;9;29.69;13.453333;69.05;
83464;31/07/2014;0000;56.3;29.316129;12.912903;61.443548;
83464;31/08/2014;0000;0;32.835484;12.867742;48.169355;
83464;30/09/2014;0000;90.7;34.32;17.573333;56.65;
83464;31/10/2014;0000;152;33.964516;18.383871;;
83464;30/11/2014;0000;277.5;31.303333;20.11;74.575;
83464;31/12/2014;0000;309.2;30.570968;20.458065;76.991935;
83464;31/01/2015;0000;93.1;33.313333;19.819355;68.16129;
83464;28/02/2015;0000;251.7;31.481481;20.103571;76.268519;
83464;31/03/2015;0000;275.2;30.46129;20.029032;79.225806;
83464;30/04/2015;0000;113.1;31.036667;19.906667;78.466667;
83464;31/05/2015;0000;83.3;28.451613;16.741935;78.120968;
83464;30/06/2015;0000;8.9;29.603333;13.983333;70.633333;
83464;31/07/2015;0000;45.2;29.119355;14.429032;;
83464;31/08/2015;0000;1.5;32.945161;13.012903;48.822581;
83464;30/09/2015;0000;62.2;34.236667;17.544828;54.741667;
83464;31/10/2015;0000;155.6;34.587097;20.129032;61.814516;
83464;30/11/2015;0000;176.9;32.706667;20.626667;;
83464;31/12/2015;0000;187.6;32.190323;20.509677;74.866667;
