--------------------
BDMEP - INMET
--------------------
Esta?o           : JURAMENTO - MG (OMM: 83452)
Latitude  (graus) : -16.77
Longitude (graus) : -43.66
Altitude  (metros): 648.00
Esta?o Operante
Inicio de opera?o: 14/11/1986
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83452;31/01/2000;0000;212.8;27.990323;17.512903;82.185484;
83452;29/02/2000;0000;65.7;29.482759;18.641379;75.318966;
83452;31/03/2000;0000;266.8;28.23;17.8;78.408333;
83452;30/04/2000;0000;1;28.22;16.013333;77.725;
83452;31/05/2000;0000;0;27.703226;13.522581;73.604839;
83452;30/06/2000;0000;0;27.08;11.926667;69.625;
83452;31/07/2000;0000;0;26.996774;12.206452;68.83871;
83452;30/09/2000;0000;27;28.353333;15.726667;73.733333;
83452;31/10/2000;0000;2.4;;16.683871;65.919355;
83452;30/11/2000;0000;233.8;;18.293333;80.041667;
83452;31/12/2000;0000;230.2;;18.045161;80.540323;
83452;31/01/2001;0000;48.8;29.903226;16.858065;70.612903;
83452;28/02/2001;0000;16.4;31.828571;17.085714;67.339286;
83452;31/03/2001;0000;103.8;29.251613;17.687097;76.008065;
83452;30/04/2001;0000;0.2;30.193333;16.606667;69.55;
83452;31/05/2001;0000;62.8;28.974194;15.458065;72.290323;
83452;30/06/2001;0000;0;27;12.993333;69.433333;
83452;31/07/2001;0000;0;26.922581;11.825806;65.112903;
83452;31/08/2001;0000;3.4;27.4;13.767742;56.532258;
83452;30/09/2001;0000;0;28.78;15.86;60;
83452;31/10/2001;0000;116.6;29.045161;17.819355;63.83871;
83452;30/11/2001;0000;200;28.12;18.32;75.016667;
83452;31/12/2001;0000;160.1;28.012903;18.612903;76.967742;
83452;31/01/2002;0000;252.2;28.548387;19.406452;76.096774;
83452;28/02/2002;0000;53.6;28.121429;19.135714;79.5625;
83452;31/03/2002;0000;73.4;29.716129;18.212903;73.959677;
83452;30/04/2002;0000;0;;;;
83452;31/05/2002;0000;0;;;;
83452;30/06/2002;0000;0;;;;
83452;31/07/2002;0000;0;;;;
83452;31/08/2002;0000;0;;;;
83452;30/09/2002;0000;0;;;;
83452;31/01/2003;0000;316;28.412903;20.193548;80.467742;
83452;28/02/2003;0000;5;30.457143;18.5;70.071429;
83452;31/03/2003;0000;81;30.245161;19.109677;73.120968;
83452;30/04/2003;0000;38;29.9;17.84;70.283333;
83452;31/05/2003;0000;2.4;28.590323;15.670968;66.258065;
83452;30/06/2003;0000;0;28.56;16.346667;62.408333;
83452;31/07/2003;0000;0;27.090323;;61.564516;
83452;31/08/2003;0000;16.8;28.458065;16.506452;57.112903;
83452;30/09/2003;0000;0.7;30.88;17.706667;48.366667;
83452;31/10/2003;0000;21.6;31.958065;18.235484;48.169355;
83452;30/11/2003;0000;67.8;30.923333;19.686667;61.216667;
83452;31/12/2003;0000;126.8;31.803226;18.829032;62.558333;
83452;31/01/2004;0000;221.3;29.287097;18.741935;76.306452;
83452;29/02/2004;0000;402.6;28.548276;18.937931;78.068966;
83452;31/03/2004;0000;128.8;28.387097;18.112903;77.806452;
83452;30/04/2004;0000;97.7;28.293333;16.743333;74.725;
83452;31/05/2004;0000;0;28.632258;15.364516;72.870968;
83452;30/06/2004;0000;35.7;26.27;13.05;68.991667;
83452;31/07/2004;0000;5.5;25.648387;11.741935;63.322581;
83452;31/08/2004;0000;0;28.129032;11.783871;53.766129;
83452;30/09/2004;0000;0;30.7;13.826667;47.327586;
83452;31/10/2004;0000;41.1;32.216129;18.725806;54.387097;
83452;30/11/2004;0000;86.1;30.923333;19.646667;58.466667;
83452;31/12/2004;0000;230.9;30.316129;19.396774;74.451613;
83452;31/01/2005;0000;160.5;30.26129;20.180645;75.048387;
83452;28/02/2005;0000;217.4;29.403571;18.921429;75.5;
83452;31/03/2005;0000;86.6;29.758065;19.674194;79.709677;
83452;30/04/2005;0000;5.2;30.246667;17.056667;72.883333;
83452;31/05/2005;0000;16.8;28.390323;15.725806;64.556452;
83452;30/06/2005;0000;4;27.226667;14.05;63.233333;
83452;31/07/2005;0000;0.8;27.609677;11.9;62.258065;
83452;31/08/2005;0000;0;29.73871;13.23871;54.387097;
83452;30/09/2005;0000;11.9;31.1;16.206667;55.883333;
83452;31/10/2005;0000;40;34.254839;18.122581;44.830645;
83452;30/11/2005;0000;321.7;28.226667;19.473333;76.408333;
83452;31/12/2005;0000;215.6;28.258065;18.93871;79.741935;
83452;31/01/2006;0000;16.2;30.96129;18.377419;66.524194;
83452;28/02/2006;0000;46.1;32.635714;19.396429;69.089286;
83452;31/03/2006;0000;241;28.916129;20.141935;82.935484;
83452;30/04/2006;0000;72.3;28.416667;17.103333;79.783333;
83452;31/05/2006;0000;0;28.412903;12.951613;75.822581;
83452;30/06/2006;0000;0;26.43;11.68;74.833333;
83452;31/07/2006;0000;0;27.516129;11.345161;66.467742;
83452;31/08/2006;0000;7.6;29.687097;13.203226;60.08871;
83452;30/09/2006;0000;86.7;30.186667;13.933333;60.8;
83452;31/10/2006;0000;114.4;28.735484;15.612903;75.943548;
83452;30/11/2006;0000;275.3;28.256667;17.816667;80.05;
83452;31/12/2006;0000;185.5;29.770968;;79.032258;
83452;31/01/2007;0000;92;31.283871;16.747619;76.387097;
83452;28/02/2007;0000;159.5;28.557143;17.910714;81.767857;
83452;31/03/2007;0000;13.8;31.164516;16.987097;71.403226;
83452;30/04/2007;0000;17;30.166667;16.033333;71.983333;
83452;31/05/2007;0000;12.8;29.577419;13.741935;69.306452;
83452;30/06/2007;0000;0;28.8;11.976667;65.1;
83452;31/07/2007;0000;0;29.119355;11.735484;61.153226;
83452;31/08/2007;0000;0;28.570968;11.870968;;
83452;30/09/2007;0000;0;30.16;13.376667;52.95;
83452;31/10/2007;0000;13.9;33.125806;17.345161;51.008065;
83452;30/11/2007;0000;148.4;32.836667;19.58;60.041667;
83452;31/12/2007;0000;100.3;30.703226;18.677419;74.41129;
83452;31/01/2008;0000;110.8;30;17.283871;;
83452;29/02/2008;0000;55.6;30.765517;18.144828;76.543103;
83452;31/03/2008;0000;204.6;28.725806;18.341935;85.862903;
83452;30/04/2008;0000;106.3;29.756667;17.65;85.666667;
83452;31/05/2008;0000;6.8;28.803226;13.332258;;
