--------------------
BDMEP - INMET
--------------------
Esta?o           : LAGES - SC (OMM: 83891)
Latitude  (graus) : -27.81
Longitude (graus) : -50.33
Altitude  (metros): 936.83
Esta?o Operante
Inicio de opera?o: 01/01/1914
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83891;31/01/2000;0000;177.1;27.054839;16.309677;75.427419;
83891;29/02/2000;0000;130.5;26.031034;16.548276;76.534483;
83891;31/03/2000;0000;91.4;23.645161;15.03871;79.806452;
83891;30/04/2000;0000;137.3;23.213333;12.386667;75.708333;
83891;31/05/2000;0000;82.7;18.251613;8.396774;79.951613;
83891;30/06/2000;0000;130.9;17.97;9.636667;84;
83891;31/07/2000;0000;131.1;15.716129;3;74.645161;
83891;31/08/2000;0000;82.9;19.470968;6.693548;72.153226;
83891;30/09/2000;0000;266.4;18.336667;10.373333;82.666667;
83891;31/10/2000;0000;351.1;22.683871;13.603226;78.604839;
83891;30/11/2000;0000;81.2;23.58;14.61;76.508333;
83891;31/12/2000;0000;203.8;26.380645;15.477419;71.580645;
83891;30/09/2001;0000;46.9;;;;
83891;31/10/2001;0000;251.1;23.059091;13.09;81;
83891;30/11/2001;0000;67;25.427586;14.943333;77.466667;
83891;31/12/2001;0000;122;25.203704;14.589286;77.730769;
83891;31/01/2002;0000;148.9;26.535484;16.187097;74.058333;
83891;28/02/2002;0000;93.8;25.735714;15.075;78.157407;
83891;31/03/2002;0000;136.7;28.332258;18;81.846774;
83891;30/04/2002;0000;148.7;22.843333;15.19;88.448276;
83891;31/05/2002;0000;67.2;20.280645;11.780645;88.104839;
83891;30/06/2002;0000;140.5;17.896667;9.92;89.583333;
83891;31/07/2002;0000;160.4;17.045161;7.625806;85.056452;
83891;31/08/2002;0000;140.7;19.570968;10.432258;83.459677;
83891;30/09/2002;0000;132;18.063333;8.436667;80.141667;
83891;31/10/2002;0000;304.8;22.890323;14.267742;84.024194;
83891;30/11/2002;0000;264.9;24.453333;14.083333;77.758333;
83891;31/12/2002;0000;162.4;25.796774;16.467742;79.153226;
83891;31/01/2003;0000;119.2;27.025806;16.735484;74.846774;
83891;28/02/2003;0000;138.2;28.353571;17.628571;79.160714;
83891;31/03/2003;0000;86.5;25.941935;15.767742;79.032258;
83891;30/04/2003;0000;90.5;22.533333;12.303333;79.391667;
83891;31/05/2003;0000;76;19.341935;8.406452;78.943548;
83891;30/06/2003;0000;114.2;19.86;10.473333;87.35;
83891;31/07/2003;0000;68.9;18.73871;8.351613;84.895161;
83891;31/08/2003;0000;29.5;18.106452;4.887097;72.983871;
83891;30/09/2003;0000;48.4;21.41;9.483333;76.075;
83891;31/10/2003;0000;118.9;22.56129;11.790323;78.403226;
83891;30/11/2003;0000;94.4;24.04;12.523333;73.183333;
83891;31/12/2003;0000;224.5;23.73871;14.112903;79.258065;
83891;31/01/2004;0000;81;26.180645;15.209677;78.322581;
83891;29/02/2004;0000;114.3;26.117241;13.824138;74;
83891;31/03/2004;0000;143.7;25.4;13.716129;75.314516;
83891;30/04/2004;0000;82;23.37;14.406667;84.258333;
83891;31/05/2004;0000;104.4;16.96129;8.535484;86.83871;
83891;30/06/2004;0000;27.5;18.68;7.32;85.216667;
83891;31/07/2004;0000;233.7;15.664516;7.377419;86.379032;
83891;31/08/2004;0000;52.3;20.006452;7.293548;77.33871;
83891;30/09/2004;0000;278.3;22.166667;11.696667;82.575;
83891;31/10/2004;0000;163.7;21.854839;10.816129;75.096774;
83891;30/11/2004;0000;102.7;23.373333;13.206667;76.283333;
83891;31/12/2004;0000;135.7;25.429032;14.690323;74.491935;
83891;31/01/2005;0000;146.9;27.383871;16.864516;77.709677;
83891;28/02/2005;0000;47.2;27.125;16.060714;74.973214;
83891;31/03/2005;0000;130.2;26.564516;15.574194;76.290323;
83891;30/04/2005;0000;169.8;22.776667;13.81;85.183333;
83891;31/05/2005;0000;330.7;19.916129;10.270968;86.209677;
83891;30/06/2005;0000;149.4;19.483333;10.55;87.608333;
83891;31/07/2005;0000;130.4;17.251613;6.203226;82.830645;
83891;31/08/2005;0000;158;21.545161;9.358065;80.451613;
83891;30/09/2005;0000;225.8;16.773333;8.333333;83.916667;
83891;31/10/2005;0000;287.2;21.664516;13.080645;84.532258;
83891;30/11/2005;0000;100;24.766667;12.88;75.391667;
83891;31/12/2005;0000;124.3;25.641935;14.16129;74.33871;
83891;31/01/2006;0000;172.1;29.058065;16.835484;77.040323;
83891;28/02/2006;0000;127.5;27.253571;16.210714;78.428571;
83891;31/03/2006;0000;145.1;26.003226;15.858065;78.935484;
83891;30/04/2006;0000;36.3;22.446667;11.02;78.15;
