--------------------
BDMEP - INMET
--------------------
Esta?o           : MACAPA - AP (OMM: 82098)
Latitude  (graus) : -0.05
Longitude (graus) : -51.11
Altitude  (metros): 14.46
Esta?o Operante
Inicio de opera?o: 01/01/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82098;31/01/2000;0000;309.6;30.222581;23.770968;83.870968;
82098;29/02/2000;0000;294.1;29.555172;23.544828;87.008621;
82098;31/03/2000;0000;443.1;29.206452;23.725806;88.282258;
82098;30/04/2000;0000;362.7;30.01;23.89;88.708333;
82098;31/05/2000;0000;465.1;30.506452;24.109677;90.225806;
82098;30/06/2000;0000;265.5;31.326667;24.216667;86.241667;
82098;31/07/2000;0000;303.6;31.012903;23.932258;85.564516;
82098;31/08/2000;0000;88;32.254839;24.158065;81.08871;
82098;30/09/2000;0000;59.1;33.153333;24.47;74.291667;
82098;31/10/2000;0000;26.6;33.206452;24.780645;69.435484;
82098;30/11/2000;0000;42.3;32.78;24.493333;70.058333;
82098;31/12/2000;0000;42.1;32.251613;24.167742;74.983871;
82098;31/01/2001;0000;442.4;29.4;23.067742;86.16129;
82098;28/02/2001;0000;331.8;29.1;23.035714;87.080357;
82098;31/03/2001;0000;156.8;30.329032;23.670968;84.209677;
82098;30/04/2001;0000;271.6;30.303333;23.896667;87.058333;
82098;31/05/2001;0000;251.2;31.587097;24.254839;82.967742;
82098;30/06/2001;0000;352.2;31.106667;23.63;84.075;
82098;31/07/2001;0000;131.4;32.148387;23.909677;79.887097;
82098;31/08/2001;0000;24.3;33.183871;24.651613;74.032258;
82098;30/09/2001;0000;8;33.606667;24.476667;69.5;
82098;31/10/2001;0000;46.3;33.267742;24.119355;69.145161;
82098;30/11/2001;0000;7.3;33.346667;24.053333;68.625;
82098;31/12/2001;0000;90.5;33.029032;24.816129;74.467742;
82098;31/01/2002;0000;240.3;30.932258;23.458065;85.467742;
82098;28/02/2002;0000;364.7;30.821429;23.196429;87.053571;
