--------------------
BDMEP - INMET
--------------------
Esta?o           : MACAU - RN (OMM: 82594)
Latitude  (graus) : -5.15
Longitude (graus) : -36.57
Altitude  (metros): 32.00
Esta?o Operante
Inicio de opera?o: 18/11/1908
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82594;31/01/2000;0000;97.8;31.503226;25.051613;75.532258;
82594;29/02/2000;0000;167.4;31.275862;24.737931;79.051724;
82594;31/03/2000;0000;146.8;32.232258;25.025806;77.548387;
82594;30/04/2000;0000;178.8;32.033333;24.633333;81.25;
82594;31/05/2000;0000;89.1;32.625806;24.032258;76.120968;
82594;30/06/2000;0000;18.2;32.12;23.48;;
82594;31/07/2000;0000;46.4;31.8;23.070968;;
82594;31/08/2000;0000;29.1;32.2;22.980645;;
82594;30/09/2000;0000;19.2;32.606667;23.42;;
82594;31/03/2001;0000;29.6;32.367742;25.4;;
82594;30/09/2001;0000;0;;;;
82594;31/10/2001;0000;0;31.774194;24.064516;68.645161;
82594;30/11/2001;0000;0;31.931034;24.413333;72.163462;
82594;31/12/2001;0000;0.2;32.7;25.571429;72.5;
82594;31/01/2002;0000;108;31.242857;;78.26;
82594;28/02/2002;0000;104;32.585185;;77.5;
82594;31/03/2002;0000;146.2;32.425806;;78.733871;
82594;30/04/2002;0000;120.1;32.572414;24.986667;79.655172;
82594;31/05/2002;0000;39.4;32.645161;24.980645;76.685484;
82594;30/06/2002;0000;90;31.855172;23.523333;79.732759;
82594;31/07/2002;0000;41.6;31.96129;23.509677;72.080645;
82594;31/08/2002;0000;6.2;32.742857;23.135484;71.205357;
82594;30/09/2002;0000;0;32.355556;23.286207;66.888889;
82594;31/10/2002;0000;0;31.660714;24.019355;65.919643;
82594;30/11/2002;0000;0;32.496667;24.44;67.425;
82594;31/12/2002;0000;25.2;31.524138;25.135484;69.818966;
82594;31/01/2003;0000;103.8;31.293548;25.051613;73.467742;
82594;28/02/2003;0000;44.7;32.157143;25.478571;74.107143;
82594;31/03/2003;0000;152.8;32.187097;24.948387;78.205357;
82594;30/04/2003;0000;155.9;32.073333;25.093333;78.708333;
82594;31/05/2003;0000;46.4;32.367742;24.864516;73.008065;
82594;30/06/2003;0000;28.4;32.66;24.193333;70.575;
82594;31/07/2003;0000;2;33.219355;23.193548;65.558333;
82594;31/08/2003;0000;0;33.341935;23.225806;67.612903;
82594;30/09/2003;0000;1;33.566667;23.746667;64.941667;
82594;31/10/2003;0000;0;33.690323;24.409677;64.782258;
82594;30/11/2003;0000;0;32.7;24.84;67.284483;
82594;31/12/2003;0000;6.8;32.619355;24.967742;68.403226;
82594;31/01/2004;0000;192.9;31.36129;24.651613;78.15;
82594;29/02/2004;0000;134.9;32.110345;25.137931;79.439655;
82594;31/03/2004;0000;42.2;32.587097;24.916129;73.975806;
82594;30/04/2004;0000;65.5;32.8;24.873333;74.266667;
82594;31/05/2004;0000;38.4;32.529032;24.6;74.637097;
82594;30/06/2004;0000;109.1;31.04;23.646667;76.825;
82594;31/07/2004;0000;36;31.232258;23.367742;74.459677;
82594;31/08/2004;0000;6.8;32.593548;22.896774;65.975806;
82594;30/09/2004;0000;1.4;34.14;22.526667;65.241667;
82594;31/10/2004;0000;0;32.96129;23.329032;66.982759;
82594;30/11/2004;0000;0;32.446667;24.24;69.666667;
82594;31/12/2004;0000;0;31.554839;23.870968;68.491935;
82594;31/01/2005;0000;2.8;32.354839;24.651613;71.129032;
82594;28/02/2005;0000;19.7;32.721429;24.6;69.633929;
82594;31/03/2005;0000;191.7;32.248387;24.935484;72.653226;
82594;30/04/2005;0000;34.6;33.18;25.026667;72.95;
82594;31/05/2005;0000;83.2;32.380645;24.083871;75.919355;
82594;30/06/2005;0000;54.7;31.073333;23.853333;76.308333;
82594;31/07/2005;0000;1.9;32.580645;22.935484;66.177419;
82594;31/08/2005;0000;0;32.883871;22.780645;67.790323;
82594;30/09/2005;0000;8.8;32.366667;23.106667;67.25;
82594;31/10/2005;0000;0;33.36129;24.083871;66.491935;
82594;30/11/2005;0000;0;32.74;24.64;68.916667;
82594;31/12/2005;0000;0;32.8;25.277419;75.451613;
82594;31/01/2006;0000;3;33.206452;25.316129;78.104839;
82594;28/02/2006;0000;63.7;31.557143;25.621429;81.794643;
82594;31/03/2006;0000;122.7;31.916129;25.851613;84.274194;
82594;30/04/2006;0000;332.9;31.68;25.313333;90.491667;
82594;31/05/2006;0000;154.1;32.045161;25.290323;88.266129;
82594;30/06/2006;0000;28.5;31.88;24.366667;83.575;
82594;31/07/2006;0000;13.6;32.290323;23.554839;74.201613;
82594;31/08/2006;0000;23;32.554839;23.490323;72.782258;
82594;30/09/2006;0000;5.7;32.77;23.76;71.533333;
82594;31/10/2006;0000;0;32.180645;24.412903;74.169355;
