--------------------
BDMEP - INMET
--------------------
Esta?o           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Esta?o Operante
Inicio de opera?o: 01/01/1909
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82994;31/01/2000;0000;90;30.316129;20.851613;76.391667;
82994;29/02/2000;0000;151;30.762069;20.589655;74.594828;
82994;31/03/2000;0000;136;30.645161;20.842857;75.303571;
82994;30/04/2000;0000;404.2;29.703333;20.873333;75.591667;
82994;31/05/2000;0000;300.3;29.016129;20.474194;78.25;
82994;30/06/2000;0000;235.4;27.863333;18.95;79.95;
82994;31/07/2000;0000;393.5;26.935484;19.809677;84.931034;
82994;31/08/2000;0000;300.2;27.622581;19.535484;81.663793;
82994;30/09/2000;0000;426.9;27.646667;19.77;83.146552;
82994;31/10/2000;0000;64.2;29.090323;19.829032;80.451613;
82994;30/11/2000;0000;55.7;30.62;20.666667;78.616667;
82994;31/12/2000;0000;;30.170968;20.451613;;
82994;31/01/2001;0000;27.6;30.5;20.790323;75.008065;
82994;28/02/2001;0000;16.5;31.428571;20.753571;73.267857;
82994;31/03/2001;0000;64.4;31.464516;21.190323;75.491935;
82994;30/04/2001;0000;128.8;29.943333;19.793333;77.558333;
82994;31/05/2001;0000;49.9;30.409677;19.93871;77.201613;
82994;30/06/2001;0000;413.4;27.886667;18.956667;84.125;
82994;31/07/2001;0000;271.2;27.232258;18.896774;84.040323;
82994;31/08/2001;0000;198.7;27.309677;19.543333;82.428571;
82994;30/09/2001;0000;52;28.84;19.793333;78.858333;
82994;31/10/2001;0000;171.8;29.767742;19.990323;80.475806;
82994;30/11/2001;0000;94.5;30.4;19.76;78.416667;
82994;31/12/2001;0000;115.9;30.164516;19.754839;79.370968;
82994;31/01/2002;0000;356.5;29.509677;19.058065;83.959677;
82994;28/02/2002;0000;91.7;30.896429;19.957143;77.410714;
82994;31/03/2002;0000;201.7;30.193548;19.832258;80.741935;
82994;30/04/2002;0000;133.8;29.85;19.786667;78.25;
82994;31/05/2002;0000;360.2;29.029032;19.190323;82.927419;
82994;30/06/2002;0000;408.8;27.531034;18.346667;86.075;
82994;31/07/2002;0000;109.9;27.480645;17.825806;82;
82994;31/08/2002;0000;177.1;27.274194;17.796774;83.58871;
82994;30/09/2002;0000;44.8;29.07;18.044828;79.916667;
82994;31/10/2002;0000;32.9;29.709677;18.525806;76.879032;
82994;30/11/2002;0000;91.9;30.39;18.666667;75.691667;
82994;31/12/2002;0000;3;31.754839;19.354839;74.322581;
82994;31/01/2003;0000;37.2;32.37;20.39;72.291667;
82994;28/02/2003;0000;78.2;31.077778;20.311111;73.703704;
82994;31/03/2003;0000;135.7;31.187097;22.467742;74.41129;
82994;30/04/2003;0000;124.7;30.9;22.353333;75.05;
82994;31/05/2003;0000;179.4;29.551613;21.522581;80.370968;
82994;30/06/2003;0000;238.3;27.91;19.513333;82.791667;
82994;31/07/2003;0000;229.1;27.570968;18.774194;82.395161;
82994;31/08/2003;0000;144.5;27.558065;18.977419;80.459677;
82994;30/09/2003;0000;139.3;28.43;18.796667;80.366667;
82994;31/10/2003;0000;75.9;29.345161;19.325806;77.216667;
82994;30/11/2003;0000;72.2;31.403333;19.85;75.891667;
82994;31/12/2003;0000;18.9;31.270968;20.229032;75.508065;
82994;31/01/2004;0000;222.8;29.687097;20.209677;79.435484;
82994;29/02/2004;0000;152;30.175862;20.189655;77.965517;
82994;31/03/2004;0000;166.6;30.870968;20.209677;77.620968;
82994;30/04/2004;0000;129.5;29.886667;20.173333;79.333333;
82994;31/05/2004;0000;157.4;29.325806;19.816129;80.717742;
82994;30/06/2004;0000;716.4;27.814286;19.041379;84.827586;
82994;31/07/2004;0000;318.4;27.132258;18.83871;87.120968;
82994;31/08/2004;0000;204.5;27.909677;18.651613;85.137097;
82994;30/09/2004;0000;163.3;28;18.83;81.658333;
82994;31/10/2004;0000;32.9;29.735484;19.132258;77.814516;
82994;30/11/2004;0000;18.9;30.843333;20.296667;72.341667;
82994;31/12/2004;0000;5.1;31.222581;20.406452;70.120968;
82994;31/01/2005;0000;5.9;31.290323;20.563333;71.201613;
82994;28/02/2005;0000;50.8;31.596296;21.37037;73.857143;
82994;31/03/2005;0000;56.4;31.98;21.664516;73.653226;
82994;30/04/2005;0000;126.2;30.855172;21.685714;77.791667;
82994;31/05/2005;0000;394;29.012903;20.86;85.177419;
82994;30/06/2005;0000;346.6;28.076667;19.203333;83.816667;
82994;31/07/2005;0000;162;27.53871;18.848276;81.080645;
82994;31/08/2005;0000;211.9;27.519355;18.817857;82.225806;
82994;30/09/2005;0000;44;28.44;19.813333;77.6;
82994;31/10/2005;0000;32.4;29.948387;21.589655;74.153226;
82994;30/11/2005;0000;12.1;31.426667;21.843333;70.658333;
82994;31/12/2005;0000;91.5;30.451613;21.763333;74.33871;
82994;31/01/2006;0000;57.8;30.109677;21.62069;71.217742;
82994;28/02/2006;0000;10.6;31.817857;22.85;70.169643;
82994;31/03/2006;0000;114.2;31.809677;23.263333;73.080645;
82994;30/04/2006;0000;157.1;30.41;22.683333;78.716667;
