--------------------
BDMEP - INMET
--------------------
Esta?o           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Esta?o Operante
Inicio de opera?o: 01/12/1953
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83767;31/01/2000;0000;242.8;30.967742;20.6;70.717742;
83767;29/02/2000;0000;278.4;29.041379;20.162069;77.456897;
83767;31/03/2000;0000;130.3;29.048387;19.822581;75.782258;
83767;30/04/2000;0000;32;29.07;18.616667;60.525;
83767;31/05/2000;0000;37.8;24.516129;14.732258;67.169355;
83767;30/06/2000;0000;106.6;24.71;16.136667;68.55;
83767;31/07/2000;0000;73.5;21.780645;10.687097;62.306452;
83767;30/09/2000;0000;189.9;26.06;16.683333;68.75;
83767;31/10/2000;0000;79.5;31.367742;20.067742;58.048387;
83767;30/11/2000;0000;239.2;29.936667;19.323333;69.533333;
83767;31/12/2000;0000;178.3;30.164516;20.354839;70.145161;
83767;30/09/2001;0000;61;;;;
83767;31/10/2001;0000;73;29.540741;19.08;62.836538;
83767;30/11/2001;0000;140.4;30.310345;20.533333;75.818966;
83767;31/12/2001;0000;176.8;29.257143;19.860714;75.12963;
83767;31/01/2002;0000;310.7;30.148387;20.648387;74.767241;
83767;28/02/2002;0000;116.8;29.917857;20.303571;73.601852;
83767;31/03/2002;0000;39.9;33.032258;22.46129;70.266129;
83767;30/04/2002;0000;8;32.963333;21.473333;62.491379;
83767;31/05/2002;0000;303;26.048387;17.612903;78.274194;
83767;30/06/2002;0000;2;27.406667;17.22;70.108333;
83767;31/07/2002;0000;64.5;23.693548;14.06129;70.306452;
83767;31/08/2002;0000;59.9;28.229032;17.893548;58.306452;
83767;30/09/2002;0000;176.8;27.183333;15.81;59.55;
83767;31/10/2002;0000;65.7;31.783871;20.770968;63.370968;
83767;30/11/2002;0000;358.8;29.74;19.616667;71.775;
83767;31/12/2002;0000;201.2;31.103226;21.551613;72.08871;
83767;31/01/2003;0000;309.9;29.748387;21.690323;80.435484;
83767;28/02/2003;0000;219.8;30.732143;21.828571;77.633929;
83767;31/03/2003;0000;166.2;30.464516;20.467742;70.056452;
83767;30/04/2003;0000;100.2;28.526667;19.006667;68.05;
83767;31/05/2003;0000;62.7;24.722581;14.693548;66.435484;
83767;30/06/2003;0000;58.7;26.493333;16.71;70.4;
83767;31/07/2003;0000;46.7;25.47;16.051613;65.096774;
83767;31/08/2003;0000;75.2;24.274194;12.774194;57.024194;
83767;30/09/2003;0000;109.8;27.923333;16.39;61.516667;
83767;31/10/2003;0000;106.9;29.251613;17.903226;64.072581;
83767;30/11/2003;0000;112.1;29.876667;19.206667;60.833333;
83767;31/12/2003;0000;137.8;29.987097;20.367742;73.685484;
83767;31/01/2004;0000;53.1;30.754839;20.745161;70.975806;
83767;29/02/2004;0000;96.5;30.9;20.106897;69.344828;
83767;31/03/2004;0000;152.2;30.53871;19.574194;65.790323;
83767;30/04/2004;0000;101.8;28.723333;19.876667;75.741667;
