--------------------
BDMEP - INMET
--------------------
Esta?o           : MOCAMBINHO - MG (OMM: 83389)
Latitude  (graus) : -15.08
Longitude (graus) : -44.01
Altitude  (metros): 452.00
Esta?o Operante
Inicio de opera?o: 01/11/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83389;31/01/2000;0000;208.4;30.667742;20.516129;79.701613;
83389;29/02/2000;0000;55.3;31.8;20.934483;76.008621;
83389;31/03/2000;0000;175.3;30.696774;20.532258;77.016129;
83389;30/04/2000;0000;0.8;31.96;19.336667;68.625;
83389;31/05/2000;0000;0;31.516129;16.248387;60.241667;
83389;30/06/2000;0000;0;30.98;14.913333;57.108333;
83389;31/07/2000;0000;0;30.841935;15.122581;55.274194;
83389;31/08/2000;0000;2.2;32.4;15.741935;48.475806;
83389;30/09/2000;0000;16.8;32.66;17.93;49.283333;
83389;31/10/2000;0000;0.2;35.635484;20.012903;47.540323;
83389;30/11/2000;0000;153;31.083333;20.993333;72.691667;
83389;31/12/2000;0000;315.3;30.164516;21.151613;81.725806;
83389;31/01/2001;0000;89.7;32.058065;20.23871;68.967742;
83389;28/02/2001;0000;33.3;34.296429;20.053571;64.053571;
83389;31/03/2001;0000;64.4;32.23871;20.635484;71.85;
83389;30/04/2001;0000;3.9;33.563333;19.286667;57.791667;
83389;31/05/2001;0000;16.1;32.735484;18.683871;62.5;
83389;30/06/2001;0000;0.1;30.76;16.016667;56.466667;
83389;31/07/2001;0000;0;31.16129;15.083871;53.782258;
83389;31/08/2001;0000;0;30.9;15.845161;48.419355;
83389;30/09/2001;0000;23.8;33.883333;18.416667;45.383333;
83389;31/10/2001;0000;102.4;32.448387;20.629032;60.064516;
83389;30/11/2001;0000;358.6;31.19;21.166667;77.383333;
83389;31/12/2001;0000;156.8;31.719355;20.990323;73.225806;
83389;31/01/2002;0000;281.6;31;21.003226;79.35;
83389;28/02/2002;0000;110.9;31.517857;20.389286;75.991071;
83389;31/03/2002;0000;43.4;32.219355;20.209677;70.575;
83389;30/04/2002;0000;5.9;33.034483;19.27;61.6;
83389;31/05/2002;0000;7.5;32.22;17.363333;62.766129;
83389;30/06/2002;0000;0.4;30.56;15.666667;62.008333;
83389;31/07/2002;0000;0.9;31.490323;15.603333;59.975806;
83389;31/08/2002;0000;0;32.437931;16.180645;50.853448;
83389;30/09/2002;0000;14.9;32.903333;18.506667;51.933333;
83389;31/10/2002;0000;13.8;36.190323;19.463333;43.997581;
83389;30/11/2002;0000;95.6;33.863333;20.33;61.808333;
83389;31/12/2002;0000;403.9;32.451613;21.419355;73.572581;
83389;31/01/2003;0000;229.5;31.032258;21.777419;81.41129;
83389;28/02/2003;0000;10.2;32.732143;20.692593;68.464286;
83389;31/03/2003;0000;81.7;33.277419;21.180645;71.153226;
83389;30/04/2003;0000;104.1;33.456667;20;66.358333;
83389;31/05/2003;0000;13.2;31.5;17.909677;62.830645;
83389;30/06/2003;0000;0;31.586667;14.68;55;
83389;31/07/2003;0000;0;30.345161;13.964516;52.419355;
83389;31/08/2003;0000;5.5;31.641935;16.112903;51.903226;
83389;30/09/2003;0000;0;33.593333;17.646429;44.175;
83389;31/10/2003;0000;12.9;34.76129;19.235484;43.564516;
83389;30/11/2003;0000;129.2;33.096667;21.02;61.325;
83389;31/12/2003;0000;96.4;33.83871;21.396774;62.943548;
83389;31/01/2004;0000;229.7;30.493548;21.606452;78.66129;
83389;29/02/2004;0000;115.1;30.341379;20.968966;80.224138;
83389;31/03/2004;0000;107.9;30.180645;20.558065;79.379032;
83389;30/04/2004;0000;12.8;31.06;19.266667;74.2;
83389;31/05/2004;0000;1.7;31.612903;18.048387;66.346774;
83389;30/06/2004;0000;8.2;29.6;15.49;61.908333;
83389;31/07/2004;0000;0;29.454839;14.283871;55.169355;
83389;31/08/2004;0000;0;31.73871;14.719355;45.443548;
83389;30/09/2004;0000;0;33.686667;15.543333;38.658333;
83389;31/10/2004;0000;85.9;35.22;20.12;47.35;
83389;30/11/2004;0000;156.6;32.896552;20.573333;61.525;
83389;31/12/2004;0000;48.4;32.954839;20.703226;69.467742;
83389;31/01/2005;0000;212.1;32.06129;21.57;75.887097;
83389;28/02/2005;0000;202.7;31.334615;21.028571;78.461538;
83389;31/03/2005;0000;224.6;31.316129;21.419355;78.75;
83389;30/04/2005;0000;46.4;32.548276;19.796667;68.362069;
83389;31/05/2005;0000;31.5;30.564516;17.819355;67.233871;
83389;30/06/2005;0000;5.5;30.2;15.79;61.325;
83389;31/07/2005;0000;0;30.443333;13.980645;54.666667;
83389;31/08/2005;0000;0;32.067742;15.151613;50.064516;
83389;30/09/2005;0000;6.7;33.629167;18.7;50.427083;
83389;31/10/2005;0000;7.6;36.214286;19.167857;;
83389;30/11/2005;0000;213.1;32.148148;;;
83389;31/12/2005;0000;61.5;;;;
83389;31/01/2006;0000;0;34.76875;19.48;;
83389;28/02/2006;0000;87;34.288462;21.819048;;
83389;31/03/2006;0000;142.2;31.525806;20.64;77.483333;
83389;30/04/2006;0000;84.4;30.896667;19.93;75.375;
83389;31/05/2006;0000;1.1;30.587097;15.9;65.346774;
83389;30/06/2006;0000;0;29.493333;14.696667;58.163793;
83389;31/07/2006;0000;0;30.658065;13.003226;55.040323;
83389;31/08/2006;0000;0;33.016129;15.787097;49.475806;
83389;30/09/2006;0000;0;33.49;17.956667;51.375;
83389;31/10/2006;0000;115.7;32.370968;21.270968;62.608333;
83389;30/11/2006;0000;216.5;30.746667;21.176667;75.241379;
83389;31/12/2006;0000;115.7;31.770968;20.966667;73.094828;
83389;31/01/2007;0000;133.4;33.53871;21.512903;70.733871;
83389;28/02/2007;0000;389.4;30.25;21.048148;80.462963;
83389;31/03/2007;0000;5;32.777419;19.674194;66.458333;
83389;30/04/2007;0000;14.7;32.786667;19.92;64.825;
83389;31/05/2007;0000;0;32.4;17.074194;61.080645;
83389;30/06/2007;0000;0;30.976667;15.153571;57.37069;
83389;31/07/2007;0000;0;31.322581;14.809677;55.216667;
83389;31/08/2007;0000;0;31.480645;14.123333;47.2;
83389;30/09/2007;0000;0;33.096667;16.189286;42.821429;
83389;31/10/2007;0000;1.1;35.406452;18.906452;40.814516;
83389;30/11/2007;0000;208.2;35.43;21.373333;50.534483;
83389;31/12/2007;0000;93.1;32.314815;20.940741;68.444444;
83389;31/01/2008;0000;41.8;32.896667;20.586667;65.108333;
83389;29/02/2008;0000;105.6;33.032143;21.148148;69.555556;
83389;31/03/2008;0000;158.3;31.819355;20.764516;74.709677;
83389;30/04/2008;0000;67.3;32.446667;20.358621;74.116667;
83389;31/05/2008;0000;3.8;31.903226;16.7;60.290323;
83389;30/06/2008;0000;0;30.75;15.365517;56.62931;
83389;31/07/2008;0000;0;30.119355;13.010714;50.733871;
83389;31/08/2008;0000;0;32.387097;14.693333;46.358333;
83389;30/09/2008;0000;13.6;34.68;17.636667;46.87037;
83389;31/10/2008;0000;0;;;;
83389;30/11/2008;0000;191.9;30.36;21.475;76.53125;
83389;31/12/2008;0000;162.3;30.58;20.827586;78.163793;
83389;31/01/2009;0000;247.5;31.854839;20.883871;75.483333;
83389;28/02/2009;0000;47.6;33.503571;21.008;67.25;
83389;31/03/2009;0000;74.9;33.632258;20.916129;67.15;
83389;30/04/2009;0000;251;30.576667;20.811111;77.305556;
83389;31/05/2009;0000;15.1;29.841935;17.266667;70.841667;
83389;30/06/2009;0000;0;30.426667;16.203333;63.116667;
83389;31/07/2009;0000;0;31.790323;15.067742;54.903226;
83389;31/08/2009;0000;0;32.441935;15.96;48.983333;
83389;30/09/2009;0000;10;35.766667;19.6;49.034483;
83389;31/10/2009;0000;252.6;33.619355;21.455556;62.035714;
83389;30/11/2009;0000;44.7;33.733333;20.946667;66.725;
83389;31/12/2009;0000;158.1;31.996774;21.374194;74.830645;
83389;31/01/2010;0000;34.7;33.377419;21.070968;68.620968;
83389;28/02/2010;0000;35.1;34.914286;21.014286;62.508929;
83389;31/03/2010;0000;146.9;31.732258;21.554839;77.967742;
83389;30/04/2010;0000;78.4;31.75;19.22;69.45;
83389;31/05/2010;0000;3.7;32.66129;18.696774;63.790323;
83389;30/06/2010;0000;0;30.78;14.693333;54.691667;
83389;31/07/2010;0000;0;30.217241;15.096552;52.141667;
83389;31/08/2010;0000;0;31.245161;13.257143;48.732143;
83389;30/09/2010;0000;4.8;33.4;16.053333;42.35;
83389;31/10/2010;0000;62.3;35.826923;21.6;50.675;
83389;30/11/2010;0000;359.6;31.523333;21.117241;74.758621;
83389;31/12/2010;0000;200.4;31.041935;21.323333;78.572581;
83389;31/01/2011;0000;153;31.680645;20.535484;74.758065;
83389;28/02/2011;0000;68.7;33.407143;20.435714;65.675926;
83389;31/03/2011;0000;326.5;30.426667;21.073333;84.583333;
83389;31/05/2011;0000;6.5;29.972222;15.838889;67.611111;
83389;30/06/2011;0000;0;31.053571;15.675;61.964286;
83389;31/07/2011;0000;0;30.945161;13.535484;56.209677;
83389;31/08/2011;0000;0;33.287097;14.580645;49.346774;
83389;30/09/2011;0000;0;33.216667;14.7;43.008333;
83389;31/10/2011;0000;92.3;31.856667;20.067857;63.464286;
83389;30/11/2011;0000;171;29.556667;19.636667;74.641667;
83389;31/12/2011;0000;146.5;30.206452;20.134483;76.725;
83389;31/01/2012;0000;85.2;30.858065;19.8;73.637097;
83389;29/02/2012;0000;29.9;32.625;19.964286;65.071429;
83389;31/03/2012;0000;67.4;33.72;20.441379;62.933333;
83389;30/04/2012;0000;6.3;34.55;19.27931;58.827586;
83389;31/05/2012;0000;23.1;31.496552;17.92963;61.098214;
83389;30/06/2012;0000;3.8;31.913333;16.546667;57.966667;
83389;31/07/2012;0000;0;31.380645;14.848276;55.034483;
