--------------------
BDMEP - INMET
--------------------
Esta?o           : MONTE SANTO - BA (OMM: 83090)
Latitude  (graus) : -10.43
Longitude (graus) : -39.29
Altitude  (metros): 464.60
Esta?o Operante
Inicio de opera?o: 15/05/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83090;31/01/2000;0000;120.1;31.154839;20.835484;63.709677;
83090;29/02/2000;0000;84.3;31.27931;21.134483;66.034483;
83090;31/03/2000;0000;13;31.625806;21.13871;63.637097;
83090;30/04/2000;0000;61.8;30.4;20.866667;71.344828;
83090;31/05/2000;0000;33.8;29.712903;20.345161;73.274194;
83090;30/06/2000;0000;83.6;26.87;18.706667;83.316667;
83090;31/07/2000;0000;32.1;26.835484;17.748387;82.935484;
83090;31/08/2000;0000;29.5;27.670968;18.174194;79.883333;
83090;30/09/2000;0000;35.2;29.093333;18.9;72.016667;
83090;31/10/2000;0000;0.4;31.73871;19.687097;60.653226;
83090;30/11/2000;0000;196.9;30.493333;20.573333;69.158333;
83090;31/12/2000;0000;65.6;30.780645;20.619355;66;
83090;31/01/2001;0000;11.8;32.348387;20.409677;62.540323;
83090;28/02/2001;0000;0;34.039286;21.071429;53.410714;
83090;31/03/2001;0000;51;32.16129;20.870968;62.217742;
83090;30/04/2001;0000;11.7;31.23;20.323333;66.066667;
83090;31/05/2001;0000;8.2;32.058065;20.490323;62.024194;
83090;30/06/2001;0000;64.9;27.263333;19.096667;77.275;
83090;31/07/2001;0000;31.8;26.664516;18.319355;78.774194;
83090;31/08/2001;0000;25.2;26.36129;17.645161;78.443548;
83090;30/09/2001;0000;14;29.326667;18.603333;68.9;
83090;31/10/2001;0000;11.2;32.3;19.406452;60.620968;
83090;30/11/2001;0000;2.3;33.916667;20.546667;54.810345;
83090;31/12/2001;0000;217.3;32.309677;20.806452;61.33871;
83090;31/01/2002;0000;220.7;29.241935;19.948387;72.193548;
83090;28/02/2002;0000;43.9;31.210714;20.332143;61.785714;
83090;31/03/2002;0000;6.2;32.151613;20.719355;56.733871;
83090;30/04/2002;0000;3.9;31.346667;20.793333;64.266667;
83090;31/05/2002;0000;27.1;29.4;19.751613;72.322581;
83090;30/06/2002;0000;62.2;27.186207;18.167857;78.566667;
83090;31/07/2002;0000;28.7;27.564516;17.167742;77.483871;
83090;31/08/2002;0000;32.4;28.119355;18.167742;75.951613;
83090;30/09/2002;0000;38.8;31.158621;18.986667;70.233333;
83090;31/10/2002;0000;1.5;32.83871;19.741935;64.120968;
83090;30/11/2002;0000;15.4;33.253333;20.396667;59.608333;
83090;31/12/2002;0000;49.4;33.36129;21.654839;57.387097;
83090;31/01/2003;0000;69.6;34.564516;21.748387;55.604839;
83090;28/02/2003;0000;55.2;32.367857;20.582143;65.508929;
83090;31/03/2003;0000;20.4;32.954839;21.319355;65.346774;
83090;30/04/2003;0000;5.9;33.16;21.033333;61.425;
83090;31/05/2003;0000;120;28.864516;19.880645;78.782258;
83090;30/06/2003;0000;61.3;26.893333;18.576667;80.866667;
83090;31/07/2003;0000;71.3;25.845161;17.141935;84.177419;
83090;31/08/2003;0000;21.5;28.425806;17.903226;75.685484;
83090;30/09/2003;0000;24.9;30.1;18.316667;67.675;
83090;31/10/2003;0000;9.4;31.451613;18.758065;63.072581;
83090;30/11/2003;0000;67.7;30.973333;19.376667;66.433333;
83090;31/12/2003;0000;0.4;33.674194;20.270968;55.870968;
83090;31/01/2004;0000;267.4;30.43871;20;73.120968;
83090;29/02/2004;0000;182.1;30.486207;19.862069;67.758621;
83090;31/03/2004;0000;1.2;31.36129;19.996774;67;
83090;30/04/2004;0000;9.9;31.443333;19.826667;66.858333;
83090;31/05/2004;0000;70.5;29.016129;18.754839;75.145161;
83090;30/06/2004;0000;49.7;27.75;17.593333;76.65;
83090;31/07/2004;0000;32;26.612903;16.9;76.241935;
83090;31/08/2004;0000;13;28.270968;16.683871;70.693548;
83090;30/09/2004;0000;5.4;30.3;17.386667;65.025;
83090;31/10/2004;0000;0;32.751613;18.9;56.620968;
83090;30/11/2004;0000;26.2;33.286667;19.683333;58.075;
83090;31/12/2004;0000;4.5;34.303226;20.593548;54.362903;
83090;31/01/2005;0000;56.3;33.874194;20.383871;55.483871;
83090;28/02/2005;0000;167.8;32.267857;20.335714;62.803571;
83090;31/03/2005;0000;82.3;32.216129;20.367742;63.104839;
83090;30/04/2005;0000;68.3;30.573333;19.293333;72.216667;
83090;31/05/2005;0000;87;27.890323;18.151613;79.290323;
83090;30/06/2005;0000;70.5;26.62;17.23;82.383333;
83090;31/07/2005;0000;56.7;25.567742;16.406452;84.153226;
83090;31/08/2005;0000;40.6;26.922581;18.003226;78.975806;
83090;30/09/2005;0000;6.9;30.506667;18.99;65.8;
83090;31/10/2005;0000;0.2;32.893548;19.945161;57.879032;
83090;30/11/2005;0000;119.7;32.99;20.76;58.383333;
83090;31/12/2005;0000;110.3;31.983871;20.319355;61.782258;
83090;31/01/2006;0000;1.7;33.103226;19.977419;55.822581;
83090;28/02/2006;0000;9.4;34.525;21.585714;53.169643;
83090;31/03/2006;0000;188.7;32.596774;21.329032;62.903226;
83090;30/04/2006;0000;113.5;30.323333;20.946667;74.758333;
83090;31/05/2006;0000;44.5;28.522581;19.43871;76.637097;
83090;30/06/2006;0000;96.1;25.203333;18.066667;88.291667;
83090;31/07/2006;0000;57;24.783871;17.274194;85.508065;
83090;31/08/2006;0000;27.5;26.887097;17.354839;76.3;
83090;30/09/2006;0000;46;29.16;18.133333;68.033333;
83090;31/10/2006;0000;52.3;30.793548;19.574194;66.193548;
83090;30/11/2006;0000;30.7;31.643333;20.09;60.891667;
83090;31/12/2006;0000;52;33.7;20.354839;53.701613;
83090;31/01/2007;0000;2.5;35.106667;20.566667;49.408333;
83090;28/02/2007;0000;201;31.725;20.257143;67.053571;
83090;31/03/2007;0000;53.4;30.55;19.974194;67.491935;
83090;30/04/2007;0000;36.6;31.246667;19.703333;63.866667;
83090;31/05/2007;0000;59;28.4;19.1;76.209677;
83090;30/06/2007;0000;55.7;27.136667;17.463333;81.708333;
83090;31/07/2007;0000;60.9;26.935484;17.109677;79.266129;
83090;31/08/2007;0000;30;27.048387;16.474194;80.637097;
83090;30/09/2007;0000;20.5;28.883333;16.936667;73.116667;
83090;31/10/2007;0000;1.6;31.529032;17.916129;66.927419;
