--------------------
BDMEP - INMET
--------------------
Esta?o           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Esta?o Operante
Inicio de opera?o: 01/01/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83437;31/01/2000;0000;211.2;29.187097;19.916129;77.604839;
83437;29/02/2000;0000;85.4;30.137931;19.851724;72.655172;
83437;31/03/2000;0000;250.3;29.477419;19.690323;74.895161;
83437;30/04/2000;0000;8.4;29.22;17.83;70.466667;
83437;31/05/2000;0000;0;29.251613;15.164516;62.669355;
83437;30/06/2000;0000;0;28.34;12.943333;61.075;
83437;31/07/2000;0000;0;28.141935;13.674194;58.153226;
83437;31/08/2000;0000;0.8;29.864516;14.670968;51.806452;
83437;30/09/2000;0000;34;29.6;17.573333;55.308333;
83437;31/10/2000;0000;5;33.190323;19.203226;51.830645;
83437;30/11/2000;0000;307.3;29.15;19.873333;76.6;
83437;31/12/2000;0000;234;28.390323;20.303226;82.233871;
83437;31/01/2001;0000;66;30.554839;18.935484;65.943548;
83437;28/02/2001;0000;69.7;32.567857;19.289286;59.473214;
83437;31/03/2001;0000;106.2;30.587097;19.512903;70.177419;
83437;30/04/2001;0000;2;31.29;17.796667;57.475;
83437;31/05/2001;0000;62.3;29.7;16.9;63.064516;
83437;30/06/2001;0000;0;28.02;14.676667;59.908333;
83437;31/07/2001;0000;0.6;28.36129;14.264516;55.733871;
83437;31/08/2001;0000;0;28.716129;15.409677;48.185484;
83437;30/09/2001;0000;1.6;30.86;17.636667;48.108333;
83437;31/10/2001;0000;166.6;30.222581;19.070968;62.677419;
83437;30/11/2001;0000;333;28.606667;20;77.358333;
83437;31/12/2001;0000;164.1;29.083871;19.958065;72.91129;
