--------------------
BDMEP - INMET
--------------------
Esta?o           : MORADA NOVA - CE (OMM: 82588)
Latitude  (graus) : -5.11
Longitude (graus) : -38.36
Altitude  (metros): 43.62
Esta?o Operante
Inicio de opera?o: 01/10/1962
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82588;31/01/2000;0000;238.2;32.570968;22.564516;75.395161;
82588;29/02/2000;0000;125.9;32.968966;21.534483;75.448276;
82588;31/03/2000;0000;0.1;;;;
82588;30/04/2000;0000;165.4;32.31;22.283333;79.908333;
82588;31/05/2000;0000;67.8;31.616129;21.935484;77.75;
82588;30/06/2000;0000;58.4;32.336667;21.31;;
82588;31/07/2000;0000;55.9;33.096774;21.651613;;
82588;31/08/2000;0000;114.1;32.8;20.419355;;
82588;30/04/2001;0000;136.9;31.606667;23.266667;;
82588;30/09/2001;0000;0;;;;
82588;31/10/2001;0000;0.2;36.351613;22.641935;57.442308;
82588;30/11/2001;0000;0;;;;
82588;31/12/2001;0000;0;;;;
82588;31/01/2002;0000;0;;;;
82588;28/02/2002;0000;0;;;;
82588;31/03/2002;0000;0;;;;
82588;30/04/2002;0000;0;;;;
82588;31/05/2002;0000;0;;;;
82588;30/06/2002;0000;0;;;;
82588;31/07/2002;0000;19.5;33.522581;20.264516;70.903226;
82588;31/08/2002;0000;0;;;;
82588;30/09/2002;0000;0;;;;
82588;30/11/2002;0000;0.7;36.076667;22.8;59.316667;
82588;31/01/2003;0000;163;34.7;22.767742;66.83871;
82588;28/02/2003;0000;133.5;32.55;21.446429;75.839286;
82588;30/04/2003;0000;156.4;32.1;22.273333;81.010417;
82588;31/05/2003;0000;57.7;32.009677;22.777419;81.008621;
82588;30/06/2003;0000;88.7;32.553333;22.02;74.983333;
82588;31/07/2003;0000;1.4;33.651613;21.06129;;
82588;31/08/2003;0000;1.4;34.883871;20.435484;61.316667;
82588;30/09/2003;0000;0;36.04;20.966667;57.383333;
82588;31/10/2003;0000;0;36.706452;21.53871;57.072581;
82588;30/11/2003;0000;0;36.873333;22.253333;58.808333;
82588;31/12/2003;0000;1.6;36.63871;23.345161;60.535714;
82588;31/01/2004;0000;342.4;33.545161;22.783871;;
82588;29/02/2004;0000;236;31.696552;23.265517;;
82588;30/04/2004;0000;71.6;33.25;21.743333;73.675;
82588;31/05/2004;0000;70.4;32.616129;22.019355;74.458333;
82588;30/06/2004;0000;146.2;30.693333;21.28;78.465517;
82588;31/07/2004;0000;24.4;31.558065;21.229032;70.341667;
82588;31/08/2004;0000;0.6;33.696774;20.683871;65.741379;
82588;30/09/2004;0000;0;35.34;20.793333;65.733333;
82588;31/10/2004;0000;3.6;35.73871;21.948387;67.258065;
82588;30/11/2004;0000;0.5;36.106667;22.34;66.482759;
82588;31/12/2004;0000;0.5;36.396774;23.1;68.548387;
82588;31/01/2005;0000;1.1;36.296774;23.616129;68.6;
82588;28/02/2005;0000;61.1;35.692857;24;72.851852;
82588;31/03/2005;0000;254.7;34.851613;23.719355;76.516129;
82588;30/04/2005;0000;116.4;33.226667;23.99;79.866667;
82588;31/05/2005;0000;161.6;31.845161;23.329032;82.935484;
82588;30/06/2005;0000;64.2;31.116667;22.313333;82.310345;
82588;31/08/2005;0000;11.5;34.53871;21.445161;67.677419;
82588;30/09/2005;0000;0;35.153333;20.78;68.206897;
82588;31/10/2005;0000;0;35.922581;21.712903;65.8;
82588;30/11/2005;0000;0;36.04;22.543333;65.464286;
82588;31/12/2005;0000;11.3;35.548387;23.187097;67.483871;
82588;31/01/2006;0000;9.8;36.390323;23.206452;66.903226;
82588;28/02/2006;0000;51;35.15;24.228571;73.464286;
82588;31/03/2006;0000;222.6;33.093548;23.451613;81.709677;
82588;30/04/2006;0000;219.9;31.983333;23.53;86.7;
82588;31/05/2006;0000;165.9;31.435484;22.629032;86.935484;
82588;30/06/2006;0000;114.7;30.973333;21.73;83.37931;
82588;31/08/2006;0000;14;33.767742;20.83871;72.451613;
82588;30/09/2006;0000;0;35.266667;21.483333;73.6;
82588;31/10/2006;0000;0;35.451613;22.222581;76.032258;
82588;30/11/2006;0000;5.1;35.433333;22.243333;78.233333;
82588;31/12/2006;0000;18.4;35.467742;22.232258;76.322581;
82588;31/01/2007;0000;24.6;35.967742;22.064516;70.333333;
82588;28/02/2007;0000;264;33.521429;22.542857;82.035714;
82588;31/03/2007;0000;76.1;32.796774;22.477419;82.533333;
82588;30/04/2007;0000;138.4;33.523333;22.773333;82.766667;
82588;31/05/2007;0000;152.8;32.256667;22.354839;82.451613;
82588;30/06/2007;0000;143.4;31.816667;21.563333;83.551724;
82588;31/08/2007;0000;0;33.629032;21.054839;69.524194;
82588;30/09/2007;0000;0;34.623333;21.303333;69.633333;
82588;31/10/2007;0000;9.1;35.474194;21.632258;73.870968;
82588;30/11/2007;0000;0;35.776667;22.426667;75.333333;
82588;31/12/2007;0000;2.4;35.512903;23.219355;75.741935;
82588;31/01/2008;0000;121.2;34.951613;23.541935;77;
82588;29/02/2008;0000;31.6;35.134483;23.317241;74.551724;
82588;31/03/2008;0000;220.4;32.670968;23.067742;89.967742;
82588;30/04/2008;0000;254.6;31.586667;23.233333;91;
82588;31/05/2008;0000;132.9;31.2;23.1;89.451613;
82588;30/06/2008;0000;39.8;31.16;22.296667;88.233333;
82588;31/08/2008;0000;11.6;33.790323;23.183871;82.16129;
82588;30/09/2008;0000;1.4;35.023333;23.96;79.586207;
82588;31/10/2008;0000;0;35.451613;24.716129;72.387097;
82588;30/11/2008;0000;0;36.04;24.373333;72.066667;
82588;31/12/2008;0000;0.1;36.23871;24.241935;72.580645;
82588;31/01/2009;0000;74.8;35.512903;24.022581;76.548387;
82588;28/02/2009;0000;171.3;32.617857;23.675;86.178571;
82588;31/03/2009;0000;183.9;32.309677;23.780645;89.387097;
82588;30/04/2009;0000;252.7;31.213333;23.536667;93.233333;
82588;31/05/2009;0000;327.6;30.8;23.522581;92.806452;
82588;30/06/2009;0000;94.6;31.086667;21.896667;89.5;
82588;31/08/2009;0000;56.8;32.964516;21.33871;84.158333;
82588;30/09/2009;0000;0.2;34.363333;21.41;76.6;
82588;31/10/2009;0000;0.2;35.067742;22.2;75.935484;
82588;30/11/2009;0000;0.4;35.74;22.343333;73.5;
82588;31/12/2009;0000;3.1;35.648387;23.2;72.967742;
82588;31/01/2010;0000;146.2;34.345161;22.545161;82.290323;
82588;28/02/2010;0000;9.2;35.439286;22.925;77.25;
82588;31/03/2010;0000;33.6;36.454839;23.609677;77.516129;
82588;30/04/2010;0000;173.6;33.736667;24.023333;86.166667;
82588;31/05/2010;0000;16.2;34.690323;23.045161;81.064516;
82588;30/06/2010;0000;31.5;34.05;23.046667;73.241379;
82588;31/08/2010;0000;0;34.896774;22.167742;66.048387;
82588;30/09/2010;0000;0;35.456667;21.78;68.275862;
82588;31/10/2010;0000;51.9;35.587097;22.851613;75.16129;
82588;30/11/2010;0000;3.6;35.583333;22.493333;73.862069;
82588;31/12/2010;0000;140.1;33.719355;23.125806;82.419355;
82588;31/01/2011;0000;300.2;32.619355;22.922581;86.967742;
82588;28/02/2011;0000;88.5;32.985714;23.2;88.928571;
82588;31/03/2011;0000;122.1;32.606452;23.532258;90;
82588;30/04/2011;0000;108.6;32.206667;23.733333;90.6;
82588;31/05/2011;0000;170.6;31.277419;23.483871;90.451613;
82588;30/06/2011;0000;10.3;32.433333;22.293333;82.5;
82588;31/08/2011;0000;8.5;33.141935;22.190323;77.064516;
82588;30/09/2011;0000;3.6;34.696667;22.44;73.133333;
82588;31/10/2011;0000;42.9;34.854839;23.180645;76.580645;
82588;30/11/2011;0000;0.2;35.133333;23.433333;75.933333;
82588;31/12/2011;0000;5.1;35.53871;23.803226;75.258065;
82588;31/01/2012;0000;51.8;35.3;23.770968;75;
82588;29/02/2012;0000;163;33.862069;23.5;80.862069;
82588;31/03/2012;0000;74;33.632258;23.76129;84.344828;
82588;30/04/2012;0000;36.8;35.216667;23.95;79.333333;
82588;31/05/2012;0000;2.6;35.283871;23.53871;75.741935;
82588;30/06/2012;0000;43.2;34.496667;23.15;75.766667;
82588;31/08/2012;0000;0;35.183871;22.993548;71.419355;
82588;30/09/2012;0000;0;35.136667;22.716667;72.633333;
82588;31/10/2012;0000;0;35.658065;23.370968;73.645161;
82588;30/11/2012;0000;0;35.443333;23.606667;74.333333;
82588;31/12/2012;0000;0;35.53871;23.951613;75.064516;
82588;31/01/2013;0000;3.1;35.764516;24.083871;74.548387;
82588;28/02/2013;0000;98.7;36.028571;24.025;74.678571;
82588;31/03/2013;0000;116.4;35.435484;24.045161;78.387097;
82588;30/04/2013;0000;215.4;34.023333;23.893333;84.133333;
82588;31/05/2013;0000;106;32.329032;23.535484;85.16129;
82588;30/06/2013;0000;222.4;32.043333;23.21;86.766667;
82588;31/08/2013;0000;0.2;34.403226;21.590323;73.241935;
82588;30/09/2013;0000;0;35.196667;22.513333;70.827586;
82588;31/10/2013;0000;0.1;35.635484;22.96129;72;
82588;30/11/2013;0000;60.1;34.32;23.406667;76.233333;
82588;31/12/2013;0000;22;34.577419;23.770968;75.935484;
82588;31/01/2014;0000;12.3;35.077419;23.680645;73.935484;
82588;28/02/2014;0000;84.8;34.589286;23.846429;77.357143;
82588;31/03/2014;0000;216.7;34.019355;23.741935;85.290323;
82588;30/04/2014;0000;163.5;32.79;23.983333;87.566667;
82588;31/05/2014;0000;104.7;32.648387;23.76129;87.322581;
82588;30/06/2014;0000;17.4;33.466667;23.773333;78;
82588;31/08/2014;0000;0.2;35.035484;23.56129;70.104839;
82588;30/09/2014;0000;1.6;35.66;23.486667;74.708333;
82588;31/10/2014;0000;2.6;36.074194;23.387097;71.580645;
82588;30/11/2014;0000;6.4;35.43;22.736667;73.466667;
82588;31/12/2014;0000;3.2;35.670968;21.596774;70.709677;
82588;31/01/2015;0000;25.3;35.712903;21.287097;74.580645;
82588;28/02/2015;0000;96.4;35.028571;21.55;81.392857;
82588;31/03/2015;0000;139.4;33.283871;21.264516;87.033333;
82588;30/04/2015;0000;138.2;33.136667;21.136667;86.37931;
82588;31/05/2015;0000;24;35.048387;20.977419;80.551724;
82588;30/06/2015;0000;44;34.276667;20.343333;81.892857;
82588;31/08/2015;0000;0;35.151613;19.280645;73.967742;
82588;30/09/2015;0000;0.6;36.006667;20.2;73.6;
82588;31/10/2015;0000;0;36.003226;20.570968;73.483871;
82588;30/11/2015;0000;0;36.376667;21.226667;76.6;
82588;31/12/2015;0000;29.8;36.419355;21.62;79.483871;
