--------------------
BDMEP - INMET
--------------------
Esta?o           : OBIDOS - PA (OMM: 82178)
Latitude  (graus) : -1.91
Longitude (graus) : -55.51
Altitude  (metros): 37.00
Esta?o Operante
Inicio de opera?o: 01/01/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82178;31/01/2000;0000;508.1;30.170968;21.609677;89.08871;
82178;29/02/2000;0000;229.2;30.127586;21.906897;87.982759;
82178;31/03/2000;0000;456.3;29.922581;21.56129;89.451613;
82178;30/04/2000;0000;426.8;29.966667;21.763333;89.416667;
82178;31/05/2000;0000;198.3;30.358065;21.935484;88.266129;
82178;30/06/2000;0000;70.7;31.186667;21.926667;84.375;
82178;31/07/2000;0000;108;30.487097;21.464516;87.370968;
82178;31/08/2000;0000;23.7;32.141935;21.603226;82.66129;
82178;30/09/2000;0000;79.3;32.313333;22.023333;81.891667;
82178;31/10/2000;0000;11.4;32.793548;23.822581;77.991935;
82178;30/11/2000;0000;27.7;32.71;24.023333;77.591667;
82178;31/12/2000;0000;82.3;32.854839;23.916129;77.322581;
82178;31/01/2001;0000;454.9;29.945161;22.941935;88.814516;
82178;28/02/2001;0000;306.1;29.753571;22.575;88.696429;
82178;31/03/2001;0000;284.2;30.364516;23.319355;87.451613;
82178;30/04/2001;0000;297.2;30.43;23.196667;87.891667;
82178;31/05/2001;0000;138.1;30.7;23.648387;87.895161;
82178;30/06/2001;0000;160.1;29.79;22.883333;88.033333;
82178;31/07/2001;0000;21.1;31.380645;23.029032;82.741935;
82178;31/08/2001;0000;14.4;32.825806;23.341935;76.354839;
82178;30/09/2001;0000;53.5;32.723333;23.46;80.566667;
82178;31/10/2001;0000;105;33.532258;24.225806;79.596774;
82178;30/11/2001;0000;25.7;33.353333;24.8;78.716667;
82178;31/12/2001;0000;20.9;34.174194;25.619355;74.548387;
82178;31/01/2002;0000;264;30.651613;23.832258;87.08871;
82178;28/02/2002;0000;367.8;31.221429;23.917857;85.339286;
82178;31/03/2002;0000;251.2;30.703226;23.658065;85.112903;
82178;30/04/2002;0000;455.9;30.23;23.543333;87.6;
82178;31/05/2002;0000;157.7;31.086207;24.2;85.91129;
82178;30/06/2002;0000;139;30.9;23.36;83.858333;
82178;31/07/2002;0000;52.7;31.812903;23.719355;80.112903;
82178;31/08/2002;0000;20.9;32.541935;23.809677;77.290323;
82178;30/09/2002;0000;7.3;33.873333;24.473333;71.15;
82178;31/10/2002;0000;23.3;33.564516;24.66129;72.209677;
82178;30/11/2002;0000;89.6;33.156667;24.383333;74.508333;
82178;31/12/2002;0000;194.7;32.383871;24.316129;79.758065;
82178;31/01/2003;0000;125;32.467742;24.36129;79.427419;
82178;28/02/2003;0000;313.1;30.321429;23.639286;88.267857;
82178;31/03/2003;0000;275.6;30.832258;23.612903;86.153226;
82178;30/04/2003;0000;239.7;30.87;23.85;86.625;
82178;31/05/2003;0000;131.4;31.332258;24.167742;84.266129;
82178;30/06/2003;0000;130.9;31.49;23.906667;84.45;
82178;31/07/2003;0000;43;32.129032;23.706452;80.959677;
82178;31/08/2003;0000;41.4;32.470968;23.696774;78.975806;
82178;30/09/2003;0000;91.2;32.526667;23.606667;79.066667;
82178;31/10/2003;0000;19.1;32.983871;24.558065;75.903226;
82178;30/11/2003;0000;51.3;32.94;24.63;79.408333;
82178;31/12/2003;0000;52.9;33.380645;24.583871;76.975806;
