--------------------
BDMEP - INMET
--------------------
Esta?o           : OURICURI - PE (OMM: 82753)
Latitude  (graus) : -7.9
Longitude (graus) : -40.04
Altitude  (metros): 459.28
Esta?o Operante
Inicio de opera?o: 16/09/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82753;31/01/2000;0000;0;;;;
82753;29/02/2000;0000;110.5;30.806897;21.003448;82.043103;
82753;31/03/2000;0000;91.9;30.587097;20.945161;83.056452;
82753;30/04/2000;0000;80.4;30.59;21.216667;81.316667;
82753;31/05/2000;0000;0.3;31.290323;20.490323;75.25;
82753;30/06/2000;0000;8.4;29.973333;20.256667;73.058333;
82753;31/07/2000;0000;5.1;30.225806;19.535484;67.701613;
82753;31/08/2000;0000;4.4;31.712903;19.954839;64;
82753;30/09/2000;0000;1.2;32.543333;21.15;;
82753;31/10/2000;0000;0;34.23871;22.135484;58.158333;
82753;30/11/2000;0000;59.3;33.66;22.366667;69.435185;
82753;31/12/2000;0000;125.8;32.426667;22.216129;;
82753;31/01/2001;0000;32.9;32.283871;21.325806;74.016129;
82753;28/02/2001;0000;71.8;30.767857;21.85;80.651786;
82753;31/03/2001;0000;248.1;30.277419;21.067742;85.177419;
82753;30/04/2001;0000;28.2;30.946667;20.736667;80.366667;
82753;31/05/2001;0000;4;32.824138;21.227586;69.715517;
82753;30/06/2001;0000;2.1;30.303333;20.573333;57.3;
82753;31/07/2001;0000;2.1;30.212903;19.9;58.41129;
82753;31/08/2001;0000;4;30.009677;19.177419;;
82753;30/09/2001;0000;0;33.083333;20.696667;43.325;
82753;31/10/2001;0000;27.1;34.396774;22.312903;43;
82753;30/11/2001;0000;1.3;35.463333;23.17931;39.675;
82753;31/12/2001;0000;205.9;33.444828;22.927586;52.089286;
82753;31/01/2002;0000;370.3;28.880645;21.316129;78.798387;
82753;28/02/2002;0000;24.9;31.181481;20.975;70.230769;
82753;31/03/2002;0000;38.2;32.190323;21.690323;67.4;
82753;30/04/2002;0000;38;31.065517;21.23;69.068966;
82753;31/05/2002;0000;5.6;31.645161;21.122581;61.25;
82753;30/06/2002;0000;9.6;30.016667;20.19;63.291667;
82753;31/07/2002;0000;26.6;30.583871;19.322581;55.435484;
82753;31/08/2002;0000;3;31.086667;19.196774;54.416667;
82753;30/09/2002;0000;0;33.532143;21.196667;43.053571;
82753;31/10/2002;0000;0;34.596667;21.624138;39.133333;
82753;30/11/2002;0000;1.5;35.253333;22.8;39.25;
82753;31/12/2002;0000;161.2;34.283871;23.267742;51.306452;
82753;31/01/2003;0000;71.7;32.903571;22.553571;58.931034;
82753;28/02/2003;0000;42.5;31.567857;21.985714;64.223214;
82753;31/03/2003;0000;151.9;31.474194;21.558065;67.306452;
82753;30/04/2003;0000;29.2;31.226667;21.003333;65.908333;
82753;31/05/2003;0000;28.9;31.219355;20.709677;65.290323;
82753;30/06/2003;0000;0.3;30.886667;20.303333;54.35;
82753;31/07/2003;0000;7.1;29.948387;18.670968;58.419355;
82753;31/08/2003;0000;4.5;32.041935;20.074194;52.185185;
82753;30/09/2003;0000;0;33.023333;20.486667;45.96;
82753;31/10/2003;0000;0;34.025806;21.922581;44.142857;
82753;30/11/2003;0000;8.4;34.806667;23.006667;54.666667;
82753;31/12/2003;0000;8.8;35.548387;23.948387;50.966667;
82753;29/02/2004;0000;260.9;29.448276;21.358621;84.068966;
82753;31/03/2004;0000;13.3;30.654839;21.312903;79.833333;
82753;30/04/2004;0000;11.2;32.253333;21.496667;75.1;
82753;31/05/2004;0000;55.5;30.803226;20.76129;75.258065;
82753;30/06/2004;0000;3.2;29.133333;19.293103;73;
82753;31/07/2004;0000;0.3;29.551613;19.296774;67.225806;
82753;31/08/2004;0000;1.4;31.106452;19.567742;60.870968;
82753;30/09/2004;0000;0;31.956667;20.29;55.966667;
82753;31/10/2004;0000;0;34.5;22.367742;52.241379;
82753;30/11/2004;0000;21.4;34.796667;22.816667;51.965517;
82753;31/12/2004;0000;36.3;34.670968;23.358065;55.266667;
82753;31/01/2005;0000;210.1;32.1;22.606452;74.533333;
82753;28/02/2005;0000;7.9;32.007143;22.35;74.321429;
82753;31/03/2005;0000;279.1;31.629032;22.345161;79.333333;
82753;30/04/2005;0000;23.5;30.706667;21.563333;81.366667;
82753;31/05/2005;0000;84.4;29.019355;20.829032;85.258065;
82753;31/07/2005;0000;5.2;29.280645;18.816129;69.580645;
82753;31/08/2005;0000;9;30.66129;19.277419;60.516129;
82753;30/09/2005;0000;0.9;33.183333;20.666667;48.866667;
82753;31/10/2005;0000;1.7;34.951613;21.96129;43.866667;
82753;30/11/2005;0000;176.9;34.883333;22.926667;49.266667;
82753;31/12/2005;0000;187.9;31.419355;21.706667;70.133333;
82753;31/01/2006;0000;0;33.787097;22.093548;55.83871;
82753;28/02/2006;0000;139.6;31.878571;22.171429;73.535714;
82753;31/03/2006;0000;142.8;30.787097;21.806452;81.903226;
82753;30/04/2006;0000;147.3;29.006667;21.596667;87.793103;
82753;30/06/2006;0000;11.9;28.603333;19.12;79.133333;
82753;31/07/2006;0000;34.4;28.693548;18.416129;74.322581;
82753;31/08/2006;0000;2.8;31.2;18.725806;56.741935;
82753;30/09/2006;0000;0;33.266667;20.213333;52.4;
82753;31/10/2006;0000;12.9;34.835484;22.254839;51;
82753;30/11/2006;0000;27.2;34.893333;22.876667;53.275862;
82753;31/12/2006;0000;0.5;35.590909;23.990909;47.181818;
82753;31/01/2007;0000;18.9;35.687097;23.93871;50.645161;
82753;28/02/2007;0000;404.3;30.335714;21.803571;80.428571;
82753;31/03/2007;0000;118.3;29.148387;21.106452;81.633333;
82753;30/04/2007;0000;5.5;31.6;20.936667;73.825;
82753;31/05/2007;0000;110.9;31.041935;20.416129;;
82753;30/06/2007;0000;4.8;28.4;19.34;;
82753;31/07/2007;0000;2;30.141935;;;
82753;30/09/2007;0000;2.6;31.46;;;
82753;31/10/2007;0000;0;33.983871;;;
82753;30/11/2007;0000;3.4;35.156667;;;
82753;31/12/2007;0000;19.4;34.322581;;;
82753;31/01/2008;0000;29;33.43871;;;
82753;29/02/2008;0000;96.4;30.927586;;;
82753;31/03/2008;0000;272.3;29.896774;;;
82753;30/04/2008;0000;107.8;28.92;;;
82753;31/05/2008;0000;22.9;28.229032;;;
82753;30/06/2008;0000;0.2;28.753333;;;
82753;31/07/2008;0000;17.2;28.26129;;;
82753;31/08/2008;0000;0.8;30.632258;;;
82753;31/10/2008;0000;0;33.980645;;;
82753;30/11/2008;0000;1.5;35.856667;;;
82753;31/12/2008;0000;53.6;33.541935;;;
82753;31/01/2009;0000;100.3;33.025806;;;
82753;28/02/2009;0000;127.8;30.707143;;;
82753;31/03/2009;0000;203.1;30.787097;;;
