--------------------
BDMEP - INMET
--------------------
Esta?o           : PALMEIRA DOS INDIOS - AL (OMM: 82992)
Latitude  (graus) : -9.44
Longitude (graus) : -36.7
Altitude  (metros): 274.90
Esta?o Operante
Inicio de opera?o: 01/01/1928
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82992;31/01/2000;0000;52.6;31.86129;21.6;69.032258;
82992;29/02/2000;0000;51.9;32.5;21.986207;68.25;
82992;31/03/2000;0000;88.7;32.296774;21.790323;69.467742;
82992;30/04/2000;0000;153.1;30.126667;21.206667;79.741667;
82992;31/05/2000;0000;100;28.603226;20.074194;82.564516;
82992;30/06/2000;0000;126.6;27.023333;19.08;86.692308;
82992;31/07/2000;0000;142.9;26.329032;17.945161;84.5;
82992;31/08/2000;0000;99.4;27.709677;18.580645;80.072581;
82992;30/09/2000;0000;110;27.65;18.456667;81.933333;
82992;31/10/2000;0000;1.8;30.129032;19.143333;73.701613;
82992;30/11/2000;0000;29.9;32.336667;20.206667;65.933333;
82992;31/12/2000;0000;130;32.376667;20.13871;67.108333;
82992;31/01/2001;0000;7.6;31.66129;19.522581;68.120968;
82992;28/02/2001;0000;1.9;33.728571;20.446429;62.803571;
82992;31/03/2001;0000;10.6;33.619355;20.751613;64.887097;
82992;30/04/2001;0000;62.9;31.753333;20.353333;68.225;
82992;31/05/2001;0000;8.9;31.819355;19.832258;68.666667;
82992;30/06/2001;0000;251.3;27.133333;18.28;81.816667;
82992;31/07/2001;0000;174;26.254839;17.566667;84.879032;
82992;31/08/2001;0000;99.9;26.370968;17.293548;81.903226;
82992;30/09/2001;0000;3.3;29.446667;17.73;72.6;
82992;31/10/2001;0000;65.9;31.470968;19.203226;72.387097;
82992;30/11/2001;0000;0;32.563333;20.31;65.008333;
82992;31/12/2001;0000;12.3;32.445161;21.767742;70.362903;
82992;31/01/2002;0000;184.6;30.148387;20.635484;80.330645;
82992;28/02/2002;0000;98.1;30.760714;20.178571;76.526786;
82992;31/03/2002;0000;45.8;30.929032;21.006452;74.790323;
82992;30/04/2002;0000;20.5;30.48;20.77;75.658333;
82992;31/05/2002;0000;240.8;28.670968;20.348387;80.927419;
82992;30/06/2002;0000;207.6;26.316667;19.45;85.858333;
82992;31/07/2002;0000;90.9;27.058065;18.854839;82.298387;
82992;31/08/2002;0000;83.6;26.958065;18.416129;81.927419;
82992;30/09/2002;0000;14.4;29.686667;18.826667;74.983333;
82992;31/10/2002;0000;11.4;31.103226;19.196774;75.419355;
82992;30/11/2002;0000;1;32.83;20.39;70.633333;
82992;31/12/2002;0000;42.2;34.232258;21.222581;67.967742;
82992;31/01/2003;0000;23.7;34.883871;21.929032;60.5;
82992;28/02/2003;0000;43.1;31.982143;22.178571;69.839286;
82992;31/03/2003;0000;63.6;32.506452;22.067742;70.016129;
82992;30/04/2003;0000;32.9;32.193333;21.31;69.608333;
82992;31/05/2003;0000;65.7;30.290323;20.864516;75.653226;
82992;30/06/2003;0000;101;27.196667;19.04;81.85;
82992;31/07/2003;0000;84.1;26.832258;18.6;80.298387;
82992;31/08/2003;0000;40.9;28.041935;18.683871;78.080645;
82992;30/09/2003;0000;34.6;29.39;19.176667;72.925;
82992;31/10/2003;0000;21.6;30.754839;19.741935;68.91129;
82992;30/11/2003;0000;47.2;32.186667;21.016667;65.733333;
82992;31/12/2003;0000;6.2;33.693548;21.541935;61.290323;
82992;31/01/2004;0000;277.9;31.222581;21.751613;74.798387;
82992;29/02/2004;0000;82.5;30.87931;20.951724;74.75;
82992;31/03/2004;0000;12.5;32.316129;21.083871;68.604839;
82992;30/04/2004;0000;25.2;31.473333;21;72.533333;
82992;31/05/2004;0000;67.6;30.203226;20.632258;75.233871;
82992;30/06/2004;0000;255.5;26.206667;19.98;90.866667;
