--------------------
BDMEP - INMET
--------------------
Esta?o           : PAO DE ACUCAR - AL (OMM: 82990)
Latitude  (graus) : -9.75
Longitude (graus) : -37.43
Altitude  (metros): 19.10
Esta?o Operante
Inicio de opera?o: 14/03/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82990;31/01/2000;0000;20.9;35.251613;23.777419;65.887097;
82990;29/02/2000;0000;41.9;35.768966;23.882759;62.172414;
82990;31/03/2000;0000;24.6;35.790323;23.880645;62.419355;
82990;30/04/2000;0000;100.6;33.8;23.716667;69.191667;
82990;31/05/2000;0000;70.7;32.151613;21.983871;79.193548;
82990;30/06/2000;0000;103.6;30.08;21.59;;
82990;31/07/2000;0000;71.8;29.725806;21.53871;;
82990;31/08/2000;0000;54.2;30.980645;20.964516;;
82990;30/09/2000;0000;62.5;31.96;21.313333;;
82990;31/03/2001;0000;20.2;36.609677;24.419355;;
82990;30/04/2001;0000;16.5;35.453333;23.206667;;
82990;30/09/2001;0000;8.3;;;;
82990;31/10/2001;0000;73.3;34.696774;22.135484;75.693548;
82990;30/11/2001;0000;0;37.771429;22.478571;71.451923;
82990;31/12/2001;0000;6.9;36.432143;24.276923;74.22;
82990;31/01/2002;0000;123.2;32.296;23.303571;86.385417;
82990;28/02/2002;0000;43.6;33.7;23.025926;82.534091;
82990;31/03/2002;0000;50;35.280645;23.287097;77.784483;
82990;30/04/2002;0000;16.2;34.564286;23.02;76.982143;
82990;31/05/2002;0000;82.5;32.193333;22.6;81.653226;
82990;30/06/2002;0000;66.6;29.143333;21.68;86.308333;
82990;31/07/2002;0000;63.5;30.258065;20.943333;78.701613;
