--------------------
BDMEP - INMET
--------------------
Esta?o           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Esta?o Operante
Inicio de opera?o: 13/05/1918
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83479;31/01/2000;0000;242;30.387097;20.83871;78.133333;
83479;29/02/2000;0000;205.9;30.296552;20.589655;77.887931;
83479;31/03/2000;0000;256.7;30.051613;20.341935;79.830645;
83479;30/04/2000;0000;33.3;30.193333;18.786667;72.116667;
83479;31/05/2000;0000;0;29.758065;16.380645;66.467742;
83479;30/06/2000;0000;0;28.943333;14.333333;63.983333;
83479;31/07/2000;0000;2.8;28.3;14.703226;62.951613;
83479;31/08/2000;0000;16.2;30.86129;16.470968;55.701613;
83479;30/09/2000;0000;74.7;30.1;19.04;65.066667;
83479;31/10/2000;0000;67.8;33.996774;20.774194;56.419355;
83479;30/11/2000;0000;269;29.32;20;78.816667;
83479;31/12/2000;0000;250.9;30.541935;20.783871;79.290323;
83479;31/01/2001;0000;160.7;31.7;20.374194;70.701613;
83479;28/02/2001;0000;56.2;34.057143;21.035714;63.678571;
83479;31/03/2001;0000;124.3;30.93871;20.203226;75.435484;
83479;30/04/2001;0000;0;32.103333;19.56;63.408333;
83479;31/05/2001;0000;27.4;30.325806;17.616129;70.032258;
83479;30/06/2001;0000;4.2;29.22;15.696667;68.9;
83479;31/07/2001;0000;0.6;29.858065;15.658065;70.298387;
83479;31/08/2001;0000;56.5;29.493548;15.854839;66.403226;
83479;30/09/2001;0000;87.1;30.633333;18.866667;62.853448;
83479;31/10/2001;0000;96.9;30.032258;19.270968;70.741935;
83479;30/11/2001;0000;224.6;30.32;20.6;78.65;
83479;31/12/2001;0000;254.3;29.670968;20.66129;79.435484;
83479;31/01/2002;0000;224.3;30.919355;21.219355;76.362903;
83479;28/02/2002;0000;213.3;29.742857;20.635714;82.607143;
83479;31/03/2002;0000;136.5;30.906452;20.4;77.354839;
83479;30/04/2002;0000;0;31.72;19.85;70.358333;
83479;31/05/2002;0000;13.8;29.893333;17.429032;74.556452;
83479;30/06/2002;0000;0;28.876667;15.266667;70.383333;
83479;31/07/2002;0000;3.3;29.922581;16.258065;65.08871;
83479;31/08/2002;0000;0;31.02;17.041935;58.1;
83479;30/09/2002;0000;47.3;31.66;19.313333;61.733333;
83479;31/10/2002;0000;60.7;35.180645;21.545161;51.185484;
83479;30/11/2002;0000;87;32.016667;21.055172;68.825;
83479;31/12/2002;0000;409.1;31.116129;21.329032;77.887097;
83479;31/01/2003;0000;519.2;29.783871;20.967742;83.790323;
83479;28/02/2003;0000;116.4;31.625;21.078571;72.607143;
83479;31/03/2003;0000;322;29.806452;20.393548;80.596774;
83479;30/04/2003;0000;56.8;30.603333;19.726667;73.833333;
83479;31/05/2003;0000;75.7;28.435484;16.2;73.903226;
83479;30/06/2003;0000;0;28.95;14.88;69.733333;
83479;31/07/2003;0000;0;28.319355;14.341935;64.620968;
83479;31/08/2003;0000;45.3;30.877419;16.951613;60.491935;
83479;30/09/2003;0000;16.6;31.436667;18.76;57.241667;
83479;31/10/2003;0000;93.3;32.016129;20.135484;57.806452;
83479;30/11/2003;0000;116.1;31.003333;19.973333;71.375;
83479;31/12/2003;0000;298.9;31.841935;21.077419;73.258065;
83479;31/01/2004;0000;424.3;28.941935;20.706452;83.677419;
83479;29/02/2004;0000;526.4;28.555172;20.034483;86.043103;
83479;31/03/2004;0000;209;29.941935;19.832258;77.75;
83479;30/04/2004;0000;141.9;29.156667;19.02;77.533333;
83479;31/05/2004;0000;6.1;29.003226;17.658065;73.717742;
83479;30/06/2004;0000;0;27.586667;14.5;69.358333;
83479;31/07/2004;0000;5.1;26.719355;14.129032;65.83871;
83479;31/08/2004;0000;0;29.854839;14.964516;54.016129;
83479;30/09/2004;0000;0;32.923333;18.313333;45.141667;
83479;31/10/2004;0000;46.6;32.751613;21.190323;60.209677;
83479;30/11/2004;0000;131.8;31.626667;21.31;70.266667;
83479;31/12/2004;0000;457.3;29.335484;19.793548;83.298387;
83479;31/01/2005;0000;359.3;30.190323;20.870968;81.451613;
83479;28/02/2005;0000;327.3;30.917857;20.557143;78.142857;
83479;31/03/2005;0000;315.5;30.164516;20.819355;82.048387;
83479;30/04/2005;0000;25;30.946667;19.566667;72.216667;
83479;31/05/2005;0000;4.2;28.307407;16.922222;68.685185;
83479;30/06/2005;0000;3;26.803333;15.806667;69.458333;
83479;31/07/2005;0000;0;27.219355;14.683871;61.217742;
83479;31/08/2005;0000;0;29.393548;16.322581;52.967742;
83479;30/09/2005;0000;30.2;31.316667;19.063333;55.025;
83479;31/10/2005;0000;11.8;34.435484;20.919355;44.330645;
83479;30/11/2005;0000;323.5;27.756667;19.526667;82.416667;
83479;31/12/2005;0000;433.5;27.974194;18.83871;81.330645;
83479;31/01/2006;0000;184.9;30.393548;19.258065;70.806452;
83479;28/02/2006;0000;153.8;31.253571;20.257143;74.723214;
83479;31/03/2006;0000;294.8;29.264516;19.809677;82.653226;
83479;30/04/2006;0000;48.7;28.82069;18.710345;79.913793;
83479;31/05/2006;0000;18.1;27.854839;15.180645;69.887097;
83479;30/06/2006;0000;1.4;26.546667;13.966667;70.225;
83479;31/07/2006;0000;0.1;27.216129;13.767742;64.387097;
83479;31/08/2006;0000;6.4;30.006452;16.148387;57.782258;
83479;30/09/2006;0000;29.1;30.736667;17.17;60.258333;
83479;31/10/2006;0000;239.9;28.825806;19.003226;80.129032;
83479;30/11/2006;0000;191.8;29.163333;19.1;81.183333;
83479;31/12/2006;0000;401.9;29.522581;19.787097;83.064516;
83479;31/01/2007;0000;309.1;29.887097;19.83871;89.120968;
83479;28/02/2007;0000;420;29.221429;19.321429;86.857143;
83479;31/03/2007;0000;26;31.396774;18.967742;72.596774;
83479;30/04/2007;0000;78.6;30.113333;18.433333;71.85;
83479;31/05/2007;0000;2.5;28.803226;15.587097;66.532258;
83479;30/06/2007;0000;0.3;28.076667;13.94;63.516667;
83479;31/07/2007;0000;0;28.558065;14.529032;65.104839;
83479;31/08/2007;0000;0;29.083871;14.596774;56.112903;
83479;30/09/2007;0000;0;31.853333;16.733333;51.366667;
83479;31/10/2007;0000;12.1;33.616129;19.890323;50.620968;
83479;30/11/2007;0000;151.7;31.441379;20.434483;68.327586;
83479;31/12/2007;0000;179.4;30.296774;19.780645;75.782258;
83479;31/01/2008;0000;195.3;30.209677;19.716129;77.532258;
83479;29/02/2008;0000;250.2;30.113793;20.124138;79.836207;
83479;31/03/2008;0000;185.5;29.519355;19.593548;81.806452;
83479;30/04/2008;0000;167;30.143333;19.226667;77.058333;
83479;31/05/2008;0000;0;28.483871;15.903226;68.491935;
83479;30/06/2008;0000;0;27.866667;15.233333;66.466667;
83479;31/07/2008;0000;0;27.177419;13.232258;58.403226;
83479;31/08/2008;0000;0;30.258065;15.480645;48.040323;
83479;30/09/2008;0000;37.1;32.073333;18.02;48.75;
83479;31/10/2008;0000;26;33.880645;20.535484;46.612903;
83479;30/11/2008;0000;153.5;30.416667;19.86;72.658333;
83479;31/12/2008;0000;343.2;29.093548;20.077419;80.225806;
83479;31/01/2009;0000;242.9;30.083871;19.877419;78.362903;
83479;28/02/2009;0000;172.6;30.396429;20.042857;73.482143;
83479;31/03/2009;0000;144.3;31.051613;20.354839;75.040323;
83479;30/04/2009;0000;251.4;28.25;18.926667;80.883333;
83479;31/05/2009;0000;0.9;27.712903;16.677419;75.024194;
83479;30/06/2009;0000;19.7;27.236667;15.093333;72.991667;
83479;31/07/2009;0000;0;29.183871;15.458065;62.701613;
83479;31/08/2009;0000;44.7;29.106452;16.277419;61.532258;
83479;30/09/2009;0000;63.7;31.78;19.72;63.233333;
83479;31/10/2009;0000;149.4;30.767742;20.16129;74.387097;
83479;30/11/2009;0000;108.5;31.7;20.426667;70.191667;
83479;31/12/2009;0000;410.6;29.403226;19.787097;81.83871;
83479;31/01/2010;0000;95.3;31.096774;20.296774;73.282258;
83479;28/02/2010;0000;99.6;32.067857;20.7;68.464286;
83479;31/03/2010;0000;226.5;30.958065;20.219355;79.685484;
83479;30/04/2010;0000;129.4;29.896667;18.18;72.1;
83479;31/05/2010;0000;11.9;29.451613;16.903226;70.524194;
83479;30/06/2010;0000;0.1;27.613333;13.966667;67.425;
83479;31/07/2010;0000;0;28.416129;15.141935;61.532258;
83479;31/08/2010;0000;0;29.880645;14.580645;51.108333;
83479;30/09/2010;0000;7.7;32.343333;17.873333;49.158333;
83479;31/10/2010;0000;159.5;32.896774;20.077419;66.991935;
83479;30/11/2010;0000;272.9;29.61;19.406667;80.633333;
83479;31/12/2010;0000;406.8;30.883871;20.264516;77.540323;
83479;31/01/2011;0000;302.6;30.270968;20.206452;77.524194;
83479;28/02/2011;0000;60.9;32.614286;20.407143;68.455357;
83479;31/03/2011;0000;547.2;29.412903;19.774194;84.685484;
83479;30/04/2011;0000;43.6;29.816667;18.373333;74.533333;
83479;31/05/2011;0000;0;28.73871;16.122581;69.193548;
83479;30/06/2011;0000;1.4;28.076667;14.58;65.525;
83479;31/07/2011;0000;0;28.93871;14.2;59.637097;
83479;31/08/2011;0000;0;31.819355;15.941935;47.370968;
83479;30/09/2011;0000;0;32.713333;17.18;43.358333;
83479;31/10/2011;0000;141.4;30.012903;19.032258;73.806452;
83479;30/11/2011;0000;181.1;29.35;18.833333;74.433333;
83479;31/12/2011;0000;480.7;29.445161;19.490323;83.137097;
83479;31/01/2012;0000;376.9;29.148387;18.832258;80.25;
83479;29/02/2012;0000;93;31.037931;19.710345;71.241379;
83479;31/03/2012;0000;114.1;31.435484;19.541935;72.33871;
83479;30/04/2012;0000;13.4;31.916667;19.553333;71.316667;
83479;31/05/2012;0000;20;28.909677;16.670968;73.330645;
83479;30/06/2012;0000;32.8;29.793333;16.353333;68.616667;
83479;31/07/2012;0000;0;29.016129;14.883871;58.766129;
83479;31/08/2012;0000;0;28.36129;15.580645;52.024194;
83479;30/09/2012;0000;22.4;31.88;18.166667;49.091667;
83479;31/10/2012;0000;31.9;33.458065;19.877419;49.887097;
83479;30/11/2012;0000;393.1;29.393333;19.986667;81.15;
83479;31/12/2012;0000;166.2;31.932258;20.516129;69.540323;
83479;31/01/2013;0000;372.6;28.651613;20.174194;80.991935;
83479;28/02/2013;0000;133.9;30.896429;20.057143;69.491071;
83479;31/03/2013;0000;260.1;29.903226;20.464516;79.056452;
83479;30/04/2013;0000;169.1;28.355172;18.068966;77.758621;
83479;31/05/2013;0000;17.4;28.306452;16.670968;70.645161;
83479;30/06/2013;0000;25;27.63;16.606667;73.633333;
83479;31/07/2013;0000;0;28.319355;15.206452;63.862903;
83479;31/08/2013;0000;0;29.793548;15.212903;55.919355;
83479;30/09/2013;0000;16.4;31.316667;18.26;57.691667;
83479;31/10/2013;0000;80.8;30.203226;19.148387;68.443548;
83479;30/11/2013;0000;183.6;30.326667;19.606667;73.991667;
83479;31/12/2013;0000;381.1;29.732258;20.090323;81.475806;
83479;31/01/2014;0000;135.2;31.096774;19.683871;70.766667;
83479;28/02/2014;0000;73;31.342857;19.807143;69.276786;
83479;31/03/2014;0000;130;29.858065;19.883871;79.225806;
83479;30/04/2014;0000;155.1;29.943333;19.386667;78.975;
83479;31/05/2014;0000;5.2;28.922581;16.096774;69.895161;
83479;30/06/2014;0000;0.5;28.103333;15.726667;69.641667;
83479;31/07/2014;0000;14.3;27.077419;15.206452;66.048387;
