--------------------
BDMEP - INMET
--------------------
Esta?o           : PARANAGUA - PR (OMM: 83844)
Latitude  (graus) : -25.53
Longitude (graus) : -48.51
Altitude  (metros): 4.50
Esta?o Operante
Inicio de opera?o: 01/01/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83844;31/01/2000;0000;358.1;29.548387;22.077419;80.967742;
83844;29/02/2000;0000;227.4;29.424138;21.996552;80.698276;
83844;31/03/2000;0000;194.3;28.158065;20.922581;82.040323;
83844;30/04/2000;0000;20.5;28.473333;19.416667;78.9;
83844;31/05/2000;0000;25.2;25.33871;16.26129;77.314516;
83844;30/06/2000;0000;167.4;24.03;16.356667;85.791667;
83844;31/07/2000;0000;53.2;21.358065;12.032258;78.241935;
83844;31/08/2000;0000;116.4;20.96129;12.522581;86.387097;
83844;30/09/2000;0000;165.5;21.356667;15.056667;87.066667;
83844;31/10/2000;0000;182.2;25.993548;19.1;83.177419;
83844;30/11/2000;0000;202.1;26.816667;19.54;82.416667;
83844;31/12/2000;0000;179.2;29.66129;21.248387;78.314516;
83844;30/09/2001;0000;71.5;;;;
83844;31/10/2001;0000;128.1;25.759259;18.263333;80.701923;
83844;30/11/2001;0000;113.9;26.886667;20.436667;83.65;
83844;31/12/2001;0000;158.2;28.646429;21.114286;82.064815;
83844;31/01/2002;0000;458.3;31.014286;22.232143;80.824074;
83844;28/02/2002;0000;275.3;29.817857;21.021429;82.75;
83844;31/03/2002;0000;226.6;32.058065;22.877419;83.629032;
83844;30/04/2002;0000;204.1;28.993333;21.073333;88;
83844;31/05/2002;0000;195.9;26.177419;18.790323;87.524194;
83844;30/06/2002;0000;53.4;24.47;16.553333;88.225;
83844;31/07/2002;0000;48.5;22.125806;14.029032;83.66129;
83844;31/08/2002;0000;106;23.73871;15.780645;86.41129;
83844;30/09/2002;0000;133.7;22.723333;14.676667;80.283333;
83844;31/10/2002;0000;159.9;26.903226;19.629032;84.209677;
83844;30/11/2002;0000;245.4;27.646667;20.33;80.758333;
83844;31/12/2002;0000;296.4;29.06129;21.625806;81.645161;
83844;31/01/2003;0000;430.3;29.254839;22.129032;84.443548;
83844;28/02/2003;0000;332.4;32.367857;23.471429;79.526786;
83844;31/03/2003;0000;211.1;29.73871;21.867742;81.58871;
83844;30/04/2003;0000;80.9;27.21;20.066667;83.791667;
83844;31/05/2003;0000;53.6;25.527273;16.006452;77.935484;
83844;30/06/2003;0000;72.1;;16.883333;85.883333;
83844;31/07/2003;0000;160.3;;14.890323;87.177419;
83844;31/08/2003;0000;55.8;;13.570968;82.330645;
83844;30/09/2003;0000;202.7;;15.296667;83.941667;
83844;31/10/2003;0000;88.5;25.688889;17.616129;80.766129;
83844;30/11/2003;0000;137.9;27.436667;19.17;75.675;
83844;31/12/2003;0000;350.4;28.622581;20.567742;82.5;
83844;31/01/2004;0000;510.5;27.835484;21.164516;82.854839;
83844;29/02/2004;0000;318.9;29.062069;21.113793;81.413793;
83844;31/03/2004;0000;158;28.46129;20.56129;82.024194;
83844;30/04/2004;0000;284;27.383333;20.836667;86.841667;
83844;31/05/2004;0000;184.6;22.474194;16.132258;84.935484;
83844;30/06/2004;0000;73.7;22.843333;14.87;85.483333;
83844;31/07/2004;0000;186.2;20.990323;14.312903;87.129032;
83844;31/08/2004;0000;32.6;22.864516;14.690323;84.217742;
83844;30/09/2004;0000;150;24.223333;17.856667;85.558333;
83844;31/10/2004;0000;184;23.903226;17.06129;81.870968;
83844;30/11/2004;0000;182.3;26.356667;19.373333;80.508333;
83844;31/12/2004;0000;361.4;27.122581;20.532258;82.306452;
83844;31/01/2005;0000;278.9;28.567742;21.777419;83.209677;
83844;28/02/2005;0000;168.4;29.378571;21.807143;80.035714;
83844;31/03/2005;0000;349.3;29.380645;21.751613;82.612903;
83844;30/04/2005;0000;157.5;27.55;20.916667;84.975;
83844;31/05/2005;0000;138.5;25.954839;18.354839;86.387097;
83844;30/06/2005;0000;83;25.55;17.946667;86.116667;
83844;31/07/2005;0000;109.1;23.358065;14.532258;82.225806;
83844;31/08/2005;0000;112.4;25.609677;15.522581;80.959677;
83844;30/09/2005;0000;348.9;21.133333;15.266667;86.966667;
83844;31/10/2005;0000;145.9;23.874194;18.332258;87.072581;
83844;30/11/2005;0000;176.9;26.58;18.773333;81.891667;
83844;31/12/2005;0000;165.9;27.545161;19.664516;80.112903;
83844;31/01/2006;0000;151.8;30.748387;22.6;79.354839;
83844;28/02/2006;0000;276.5;30.5;22.467857;81.696429;
83844;31/03/2006;0000;325.1;29.996774;22.516129;81.193548;
83844;30/04/2006;0000;83.6;27.556667;19.3;80.766667;
83844;31/05/2006;0000;28;24.025806;15.46129;80.266129;
83844;30/06/2006;0000;34.2;24.063333;16.206667;83.925;
83844;31/07/2006;0000;75.3;25.019355;15.719355;83.322581;
83844;31/08/2006;0000;58;23.996774;15.287097;81.814516;
83844;30/09/2006;0000;213.6;23.33;15.353333;81.4;
83844;31/10/2006;0000;115.7;23.994444;18.190323;83.153226;
83844;30/11/2006;0000;355.7;;19.713333;82.925;
83844;31/12/2006;0000;257.3;;22.212903;80.475806;
83844;31/01/2007;0000;312.5;;22.090323;81.620968;
83844;28/02/2007;0000;224.8;;22.521429;80.517857;
83844;31/03/2007;0000;143.6;;23.058065;80.072581;
83844;30/04/2007;0000;154.4;;20.98;82.533333;
83844;31/05/2007;0000;182.4;;16.080645;82.516129;
83844;30/06/2007;0000;12.8;;14.596667;81.108333;
83844;31/07/2007;0000;99.1;;12.190323;82.290323;
83844;31/08/2007;0000;37.9;;13.680645;84.870968;
83844;30/09/2007;0000;95.5;;16.853333;83.883333;
83844;31/10/2007;0000;175;;18.43871;82.91129;
83844;30/11/2007;0000;173.2;;18.846667;80.741667;
83844;31/12/2007;0000;271.1;;21.212903;78.629032;
83844;31/01/2008;0000;562.8;;20.941935;84.314516;
