--------------------
BDMEP - INMET
--------------------
Esta?o           : PARANAIBA - MS (OMM: 83565)
Latitude  (graus) : -19.75
Longitude (graus) : -51.18
Altitude  (metros): 331.25
Esta?o Operante
Inicio de opera?o: 07/07/1971
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83565;31/01/2000;0000;269.8;32.212903;22.416129;75.879032;
83565;29/02/2000;0000;261.6;31.337931;22.07931;78.474138;
83565;31/03/2000;0000;326.2;29.787097;21.319355;82.903226;
83565;30/04/2000;0000;7.1;30.793333;19.1;66.108333;
83565;31/05/2000;0000;11.4;29.103448;15.496552;63.887931;
83565;30/06/2000;0000;0;30.046667;14.67;55.983333;
83565;31/07/2000;0000;31.2;27.567742;10.812903;54.16129;
83565;31/08/2000;0000;52.8;31.148387;15.125806;55.725806;
83565;30/09/2000;0000;120.8;29.913333;17.116667;69.175;
83565;31/10/2000;0000;60;34.941935;19.706452;54.104839;
83565;30/11/2000;0000;251.8;32.22069;19.053333;68.975;
83565;31/12/2000;0000;165.8;31.051613;18.832258;75.322581;
83565;31/01/2001;0000;161.4;32.058065;18.996774;72.572581;
83565;28/02/2001;0000;118;32.785714;19.128571;72.544643;
83565;31/03/2001;0000;108.4;31.967742;18.393548;72.064516;
83565;30/04/2001;0000;16.6;32.833333;17.51;62.275;
83565;31/05/2001;0000;123;27.722581;13.003226;70.725806;
83565;30/06/2001;0000;8.6;26.446667;10.266667;68.733333;
83565;31/07/2001;0000;10.6;29.329032;13.456667;59.572581;
83565;31/08/2001;0000;27.2;30.619355;16.693548;51.120968;
83565;30/09/2001;0000;78.2;32.246667;18.746667;;
83565;31/10/2001;0000;32.4;32.496774;20.441935;;
83565;30/11/2001;0000;167.8;31.466667;22.223333;;
83565;31/12/2001;0000;332;30.664516;21.325806;;
83565;31/01/2002;0000;265.2;31.290323;21.854839;;
83565;28/02/2002;0000;324.6;30.442857;21.457143;;
83565;31/03/2002;0000;92;32.43871;21.841935;;
83565;30/04/2002;0000;0;33.613333;21.46;;
83565;30/06/2002;0000;0;31.143333;16.68;61.785714;
83565;31/07/2002;0000;46.2;28.735484;14.532258;66.596774;
83565;31/08/2002;0000;15;32.206452;17.83871;58.758621;
83565;30/09/2002;0000;47.4;30.36;18.117241;63.033333;
83565;31/10/2002;0000;28.2;36.316129;23.209677;52.943548;
83565;30/11/2002;0000;106.6;32.966667;22.133333;67.275;
83565;31/12/2002;0000;116;33.922581;22.732258;66.935484;
83565;31/01/2003;0000;522.2;31.154839;21.448387;82.169355;
83565;28/02/2003;0000;149.8;32.264286;21.442857;73.464286;
83565;31/03/2003;0000;295.4;30.890323;21.454839;76.056452;
83565;30/04/2003;0000;76.4;29.926667;20.123333;72.883333;
83565;31/05/2003;0000;1.8;;;;
83565;30/06/2003;0000;0;29.92;15.948;66.166667;
83565;31/07/2003;0000;0.4;29.864516;15.229032;57.333333;
83565;31/12/2003;0000;205.6;32.606452;22.56129;77.782258;
83565;31/01/2004;0000;206.6;31.135484;22.383871;81.193548;
83565;29/02/2004;0000;259.8;30.917241;21.203448;81.275862;
83565;31/03/2004;0000;91.8;31.974194;20.809677;76.095238;
83565;30/04/2004;0000;132;31.1;20.906667;;
83565;31/05/2004;0000;55.6;26.509677;16.477419;;
83565;30/06/2004;0000;23.8;27.046667;14.236667;;
83565;31/07/2004;0000;23.8;27.141935;14.06129;;
83565;31/08/2004;0000;0;31.432258;15.145161;;
83565;30/09/2004;0000;1.6;35.753333;19.723333;;
83565;31/10/2004;0000;155.4;30.567742;19.993548;;
83565;30/11/2004;0000;123;31.68;21.206667;;
83565;31/12/2004;0000;338.6;31.741935;21.841935;;
83565;31/01/2005;0000;417.8;31.090323;22.46129;;
83565;28/02/2005;0000;64.4;33.107143;21.655556;;
83565;31/03/2005;0000;155.9;31.896774;21.625806;;
83565;30/04/2005;0000;14;31.886667;20.563333;;
83565;31/05/2005;0000;80;29.380645;15.96129;;
83565;30/06/2005;0000;41.2;28.28;15.093333;;
83565;31/07/2005;0000;41.2;26.341935;12.390323;;
83565;31/08/2005;0000;8.4;31.041935;16.525806;50.798387;
83565;30/09/2005;0000;91.3;29.646667;18.15;68.658333;
83565;31/10/2005;0000;86.4;33.612903;21.974194;64.790323;
83565;30/11/2005;0000;159.4;31.713333;21.746667;69.45;
83565;31/12/2005;0000;259;30.5;21.43871;;
83565;31/01/2006;0000;318.6;32.135484;21.948387;66.29;
83565;28/02/2006;0000;544.4;31.785714;21.692857;78.892857;
83565;31/03/2006;0000;165;31.6;21.887097;77.556452;
83565;30/04/2006;0000;35.6;30.533333;20.173333;72.1;
83565;31/05/2006;0000;23.4;27.406452;13.954839;63.645161;
83565;30/06/2006;0000;0;28.713333;14.64;59.566667;
83565;31/07/2006;0000;2.4;30.232258;15.490323;52.806452;
83565;31/08/2006;0000;30;32.587097;16.783871;;
83565;30/09/2006;0000;6.2;31.3;17.653333;56.525;
83565;31/10/2006;0000;119.4;32.245161;20.048387;66.637097;
83565;30/11/2006;0000;198.2;32.04;20.123333;68.633333;
83565;31/12/2006;0000;506.8;31.251613;20.383871;;
83565;31/01/2007;0000;525;30.845161;20.109677;83.540323;
83565;28/02/2007;0000;108;31.757143;21.810714;74.071429;
83565;31/03/2007;0000;166.8;32.451613;21.635484;67.758065;
83565;30/04/2007;0000;91;31.713333;20.23;68.083333;
83565;31/05/2007;0000;96.4;28.703226;15.206452;62.629032;
83565;30/06/2007;0000;3.6;29.4;13.87;58.758333;
83565;31/07/2007;0000;37.8;28.866667;12.745161;;
83565;31/08/2007;0000;0;31.051613;15.741935;50.91129;
83565;30/09/2007;0000;14.6;34.993333;19.84;38.783333;
83565;31/10/2007;0000;78.4;34.419355;22.474194;52.669355;
83565;30/11/2007;0000;69.4;31.373333;21.673333;68.3;
83565;31/12/2007;0000;200.8;32.187097;21.816129;69.266129;
83565;31/01/2008;0000;331.8;30.548387;21.358065;;
83565;29/02/2008;0000;215.6;30.558621;20.558621;82.267241;
83565;31/03/2008;0000;314.2;29.825806;20.996774;77.274194;
83565;30/04/2008;0000;124.8;30.08;20.853333;78.325;
83565;31/05/2008;0000;51.2;26.845161;16.006452;70.693548;
83565;30/06/2008;0000;0;28.06;16.08;67.325;
83565;31/07/2008;0000;0;30.090323;15.048387;48.233871;
83565;31/08/2008;0000;22.4;31.851613;17.406452;48.677419;
83565;30/09/2008;0000;6.8;31.486667;17.96;45.991667;
83565;31/10/2008;0000;70.6;33.496774;21.454839;60.129032;
83565;30/11/2008;0000;145.2;32.126667;20.786667;67.058333;
83565;31/12/2008;0000;198.4;32.419355;21.229032;67.629032;
83565;31/01/2009;0000;303.6;30.56129;21.525806;75.475806;
83565;28/02/2009;0000;167.1;31.042857;21.807143;74.705357;
83565;31/03/2009;0000;232.3;31.212903;21.416129;74.604839;
83565;30/04/2009;0000;4;30.813333;19.576667;65.258333;
83565;31/05/2009;0000;46.4;29.741935;17.277419;67.475806;
83565;30/06/2009;0000;26.9;26.426667;14.806667;68.266667;
83565;31/07/2009;0000;12.2;29.245161;15.670968;63.943548;
83565;31/08/2009;0000;33.6;30.477419;16.616129;55.919355;
83565;30/09/2009;0000;250.8;31.12;20.023333;70.775;
83565;31/10/2009;0000;123.6;31.406452;20.654839;72.362903;
83565;30/11/2009;0000;165.8;32.253333;22.153333;72.766667;
83565;31/12/2009;0000;301.6;30.63871;21.535484;81.064516;
83565;31/01/2010;0000;335.2;30.806452;21.309677;81.516129;
83565;28/02/2010;0000;213.4;32.05;22.442857;74.223214;
83565;31/03/2010;0000;290.8;32.025806;21.5;71.701613;
83565;30/04/2010;0000;93.8;30.593333;19.47;66.175;
83565;31/05/2010;0000;20.4;28.36129;15.167742;;
83565;30/06/2010;0000;4.2;29.153333;14.423333;58.15;
83565;31/07/2010;0000;0.2;30.16;15.919355;50.185484;
83565;31/08/2010;0000;0;31.483871;15.145161;40.830645;
83565;30/09/2010;0000;39.2;32.733333;20.016667;49.308333;
83565;31/10/2010;0000;99.6;32.322581;;61.637097;
83565;30/11/2010;0000;90.7;31.886667;20.82;66.216667;
83565;31/12/2010;0000;177.1;31.858065;22.06129;;
83565;31/01/2011;0000;318.8;31.780645;22.058065;76.282258;
83565;28/02/2011;0000;243.7;30.935714;21.5;78.776786;
83565;31/03/2011;0000;595;29.348387;21.506452;84.491935;
83565;30/04/2011;0000;62.4;30.593333;19.923333;70.975;
83565;31/05/2011;0000;37.6;28.43871;16.167742;66.427419;
83565;30/06/2011;0000;37.9;27.516667;13.936667;64.533333;
83565;31/07/2011;0000;0.4;30.264516;15.7;;
83565;31/08/2011;0000;12.4;32.041935;15.935484;49.129032;
83565;30/09/2011;0000;3.2;33.933333;19.073333;41.983333;
83565;31/10/2011;0000;104.4;31.980645;20.583871;65.024194;
83565;30/11/2011;0000;56.7;32.296667;19.583333;57.75;
83565;31/12/2011;0000;78.8;33.354839;20.790323;;
83565;31/01/2012;0000;277.6;30.322581;21.093548;76.959677;
83565;29/02/2012;0000;64.8;32.648276;21.755172;65.241379;
83565;31/03/2012;0000;64.8;32.064516;21.470968;68.1;
83565;30/04/2012;0000;56.2;31.213333;20.743333;71.663793;
83565;31/05/2012;0000;50;27.309677;16.16129;;
83565;30/06/2012;0000;149.4;27.133333;15.943333;74.431034;
83565;31/07/2012;0000;1.8;28.267742;13.216129;;
83565;31/08/2012;0000;0;30.490323;16.009677;46.798387;
83565;30/09/2012;0000;86.4;33.746667;19.463333;47.883333;
83565;31/10/2012;0000;53;35.083871;21.93871;53.330645;
83565;30/11/2012;0000;184.8;32.566667;21.913333;67.5;
83565;31/12/2012;0000;171.4;33.406452;22.177419;69.177419;
83565;31/01/2013;0000;218.5;30.993548;21.241935;76.91129;
83565;28/02/2013;0000;211.8;30.928571;21.707143;75.883929;
83565;31/03/2013;0000;194.5;30.903226;21.609677;77.032258;
83565;30/04/2013;0000;122.8;29.16;18.95;74.658333;
83565;31/05/2013;0000;5;30.103226;17.064516;64.193548;
83565;30/06/2013;0000;83;29.303333;18.086667;;
83565;31/07/2013;0000;22.8;27.425806;14.277419;;
83565;31/08/2013;0000;0.4;30.193548;14.06129;45.346774;
83565;30/09/2013;0000;20.4;32.353333;18.423333;51.183333;
83565;31/10/2013;0000;131.6;31.890323;20.454839;61.798387;
83565;30/11/2013;0000;56.2;32.64;21.426667;67.575;
83565;31/12/2013;0000;129.9;33.232258;21.674194;68.306452;
83565;31/01/2014;0000;132.2;32.903226;21.467742;67.556452;
83565;28/02/2014;0000;241.8;32.535714;21.857143;66.241071;
83565;31/03/2014;0000;161.4;30.916129;20.848387;75.435484;
83565;30/04/2014;0000;73.4;31.113333;20.656667;71.966667;
83565;31/05/2014;0000;24.8;28.36129;16.4;67.887097;
83565;30/06/2014;0000;7.8;28.806667;16.13;63.65;
83565;31/07/2014;0000;100;28.074194;14.916129;;
83565;31/08/2014;0000;0;31.709677;16.783871;47.017241;
83565;30/09/2014;0000;82.6;33.013333;19.686667;55.8;
83565;31/10/2014;0000;86.5;34.354839;20.187097;;
83565;30/11/2014;0000;210.3;31.186667;20.24;73.141667;
83565;31/12/2014;0000;183.4;31.696774;20.312903;76.233871;
83565;31/01/2015;0000;108.4;34.451613;22.390323;63.548387;
83565;28/02/2015;0000;333.4;31.921429;21.25;74.919643;
83565;31/03/2015;0000;228.4;30.858065;20.335484;78.104839;
83565;30/04/2015;0000;69.2;31.226667;19.94;72.05;
83565;31/05/2015;0000;73;27.896774;16.822581;76.217742;
83565;30/06/2015;0000;38.2;28;16.583333;70.416667;
83565;31/07/2015;0000;39;28.23871;16.258065;68.637097;
83565;31/08/2015;0000;23.6;31.812903;15.416129;48.564516;
83565;30/09/2015;0000;56;33.426667;18.49;57.925;
83565;31/10/2015;0000;60.8;34.483871;20.064516;60.943548;
83565;30/11/2015;0000;173.6;32.913333;19.606667;71.391667;
83565;31/12/2015;0000;170.4;32.296774;;74.193548;
