--------------------
BDMEP - INMET
--------------------
Esta?o           : PARINTINS - AM (OMM: 82240)
Latitude  (graus) : -2.63
Longitude (graus) : -56.73
Altitude  (metros): 29.00
Esta?o Operante
Inicio de opera?o: 01/01/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82240;31/01/2000;0000;397.8;30.558065;23.374194;87.120968;
82240;29/02/2000;0000;422.8;30.131034;23.206897;87.827586;
82240;31/03/2000;0000;505.9;30.583871;23.329032;88.370968;
82240;30/04/2000;0000;351.3;30.706667;23.27;87.933333;
82240;31/05/2000;0000;429.9;31.154839;24.190323;86.806452;
82240;30/06/2000;0000;185;31.743333;24.143333;84.85;
82240;31/07/2000;0000;136.1;31.080645;23.703226;83.330645;
82240;31/08/2000;0000;83.9;33.2;24.645161;77.024194;
82240;30/09/2000;0000;74.9;33.556667;24.626667;75.141667;
82240;31/10/2000;0000;95;33.732258;25.422581;72.927419;
82240;30/11/2000;0000;24.2;33.15;24.903333;74.133333;
82240;31/12/2000;0000;43.6;33.506452;24.909677;71.830645;
82240;31/01/2001;0000;516.9;29.948387;23.141935;84.709677;
82240;28/02/2001;0000;481.6;30.192857;23.271429;85.696429;
82240;31/03/2001;0000;413.4;30.945161;23.648387;83.91129;
82240;30/04/2001;0000;438.6;30.94;23.8;84.591667;
82240;31/05/2001;0000;298.4;31.383871;24.109677;83.564516;
82240;30/06/2001;0000;224.3;30.452632;23.19;85.833333;
82240;31/07/2001;0000;119.5;31.53;23.970968;81.919355;
82240;31/08/2001;0000;89.3;33.906452;25.280645;74.016129;
82240;30/09/2001;0000;67;33.456667;25.213333;73.841667;
82240;31/10/2001;0000;125.9;34.619355;25.877419;68.951613;
82240;30/11/2001;0000;11.4;34.626667;25.696667;67.283333;
82240;31/12/2001;0000;103.4;34.516129;25.793548;69.604839;
82240;31/01/2002;0000;294;30.967742;23.725806;81;
82240;28/02/2002;0000;415;31.164286;24.114286;86.117647;
82240;31/03/2002;0000;335.9;30.532258;23.609677;84.683333;
82240;30/04/2002;0000;523.7;30.8;23.853333;84.543103;
82240;31/05/2002;0000;314.2;31.116129;24.4;82.25;
82240;30/06/2002;0000;255.6;31.37;23.896667;81.441667;
82240;31/07/2002;0000;44.9;32.777419;24.496774;74.556452;
82240;31/08/2002;0000;68.9;33.445161;24.922581;71.419355;
82240;30/09/2002;0000;4.5;35.276667;25.46;63.916667;
82240;31/10/2002;0000;17.4;35.306452;25.587097;68.387097;
82240;30/11/2002;0000;20.2;34.453333;25.173333;74.325;
82240;31/12/2002;0000;177.6;32.580645;24.551613;80.258065;
82240;31/01/2003;0000;258.2;32.122581;24.335484;82.266129;
82240;28/02/2003;0000;426.2;30.317857;23.417857;87.848214;
82240;31/03/2003;0000;288.1;31.303226;23.545161;85.991935;
82240;30/04/2003;0000;571.1;31.173333;23.436667;87.858333;
82240;31/05/2003;0000;224;31.590323;23.909677;87.395161;
82240;30/06/2003;0000;169.3;32.276667;23.413333;85.616667;
82240;31/07/2003;0000;170.7;32.583871;23.409677;83.266129;
82240;31/08/2003;0000;28.3;33.152941;24.352941;81.529412;
82240;30/09/2003;0000;63.6;33.08;24.716667;81.2;
82240;31/10/2003;0000;33.8;34.148387;25.677419;76.790323;
82240;31/07/2005;0000;19.2;;25.141176;87.470588;
82240;31/08/2005;0000;24.1;33.745161;25.358065;80.387097;
82240;30/09/2005;0000;26.1;34.726667;25.406667;77.008333;
82240;31/10/2005;0000;9.1;35.1;25.851613;75.137097;
82240;30/11/2005;0000;186;33.24;25.036667;80.816667;
82240;31/12/2005;0000;446.4;30.9;23.932258;89.604839;
82240;31/01/2006;0000;178.6;31.190323;24.245161;88.693548;
82240;28/02/2006;0000;445.6;30.682143;24.214286;88.910714;
82240;31/03/2006;0000;391.3;31.183871;24.122581;89.008065;
82240;30/04/2006;0000;391.1;30.66;24.296667;89.666667;
82240;31/05/2006;0000;355.5;30.316129;24.312903;88.959677;
82240;30/06/2006;0000;105.3;32.26;24.893333;83.858333;
82240;31/07/2006;0000;234.9;32.483871;25.064516;84.120968;
82240;31/08/2006;0000;57.4;33.745161;25.641935;79.572581;
82240;30/09/2006;0000;24.9;34.923333;25.79;73.65;
82240;31/10/2006;0000;58.7;34.967742;25.867742;73.870968;
82240;30/11/2006;0000;223.7;33.393333;24.896667;81.683333;
82240;31/12/2006;0000;101.2;33.596774;25.406452;79.685484;
82240;31/01/2007;0000;261.6;33.206452;25.393548;82.346774;
82240;28/02/2007;0000;275.8;32.407143;24.614286;83.517857;
82240;31/03/2007;0000;423.5;31.432258;24.158065;87.733871;
82240;30/04/2007;0000;514.5;31.39;24.563333;88.508333;
82240;31/05/2007;0000;367.8;32.219355;24.73871;88.145161;
82240;30/06/2007;0000;100.3;33.52;24.703333;83.125;
82240;31/07/2007;0000;161.3;33.916129;24.683871;82.346774;
82240;31/08/2007;0000;85.1;34.603226;25.483871;80.120968;
82240;30/09/2007;0000;42.7;35.72;25.74;75.733333;
82240;31/10/2007;0000;150.4;34.935484;25.312903;77.596774;
82240;30/11/2007;0000;132.9;34.913333;25.333333;77.408333;
82240;31/12/2007;0000;124.8;33.119355;24.354839;83.258065;
82240;31/01/2008;0000;608.6;31.851613;23.877419;88.104839;
82240;29/02/2008;0000;194.1;32.575862;24.203448;86.215517;
82240;31/03/2008;0000;373.3;32.2;23.903226;87.693548;
82240;30/04/2008;0000;192.4;32.606667;24.25;86.808333;
82240;31/05/2008;0000;335.1;32.316129;24.23871;87.959677;
82240;30/06/2008;0000;287.6;33.03;24.35;85.525;
82240;31/07/2008;0000;100.9;;25.064516;81.741935;
82240;31/08/2008;0000;80;33.782143;25.535484;78.225806;
82240;30/09/2008;0000;116.6;33.72;25.166667;77.825;
82240;31/10/2008;0000;82.1;33.545161;25.451613;78.903226;
82240;30/11/2008;0000;110.8;33.33;24.916667;81.608333;
82240;31/12/2008;0000;212.1;31.541935;24.525806;84.66129;
82240;31/01/2009;0000;222.2;31;24.509677;86.677419;
82240;28/02/2009;0000;486.7;30.310714;24.160714;86.9375;
82240;31/03/2009;0000;450.3;30.23871;24.193548;88.072581;
82240;30/04/2009;0000;368.8;30.98;24.67;87.258333;
82240;31/05/2009;0000;302.9;30.509677;24.364516;87.766129;
82240;30/06/2009;0000;128;31.255172;24.84;85.666667;
82240;31/07/2009;0000;176.4;32.487097;24.964516;82.701613;
82240;31/08/2009;0000;22.1;34.106452;26.209677;76.645161;
82240;30/09/2009;0000;31;34.99;26.086667;71.658333;
82240;31/10/2009;0000;92.9;35.170968;25.780645;71.525;
82240;30/11/2009;0000;49.2;35.01;25.913333;71.191667;
82240;31/12/2009;0000;199.3;33.067742;25.122581;79.209677;
82240;31/01/2010;0000;208.8;32.11;24.753333;84.125;
82240;28/02/2010;0000;125.2;31.871429;25.192857;85.767857;
82240;31/03/2010;0000;175.7;32.603226;25.583871;83.282258;
82240;30/04/2010;0000;490.9;31.056667;25.07;87.941667;
82240;31/05/2010;0000;258;31.625806;25.36129;84.645161;
82240;30/06/2010;0000;139.7;32.333333;24.89;83.283333;
82240;31/07/2010;0000;152.3;31.751613;24.964516;82.814516;
82240;31/08/2010;0000;73.3;33.641935;25.683871;77.104839;
82240;30/09/2010;0000;43.3;34.603333;26.266667;70.716667;
82240;31/10/2010;0000;45;35.293548;25.922581;68.758065;
82240;30/11/2010;0000;111.8;33.683333;25.066667;75.325;
82240;31/12/2010;0000;233.5;31.903226;24.516129;81.903226;
82240;31/01/2011;0000;272.2;30.793548;24.290323;84.653226;
82240;28/02/2011;0000;472.7;30.692857;23.989286;86.4375;
82240;31/03/2011;0000;368.5;30.76129;24.319355;84.879032;
82240;30/04/2011;0000;507.9;30.59;24.306667;86.3;
82240;31/05/2011;0000;306.8;31.029032;25.083871;87.701613;
82240;30/06/2011;0000;146.3;32.37;25.47;81.008333;
82240;31/07/2011;0000;114.2;32.809677;25.16129;79.048387;
82240;31/08/2011;0000;58.7;34.003226;26.541935;73.701613;
82240;30/09/2011;0000;30.7;34.513333;25.24;71.858333;
82240;31/10/2011;0000;94.7;33.870968;25.377419;81.362903;
82240;30/11/2011;0000;58.5;32.826667;25.046667;76.341667;
82240;31/12/2011;0000;335.3;32.851613;25.096774;77.066667;
82240;31/01/2012;0000;381.3;30.367742;24.003226;84.258065;
82240;29/02/2012;0000;470.4;30.013793;24.02069;83.928571;
82240;31/03/2012;0000;306;30.609677;24.303333;84.346774;
82240;30/04/2012;0000;177;31.36;25.036667;83.866667;
82240;31/05/2012;0000;295.4;31.390323;24.622581;83.104839;
82240;30/06/2012;0000;175.3;32.243333;24.73;79.9;
82240;31/07/2012;0000;232.9;31.493548;24.567742;81.58871;
82240;31/08/2012;0000;90.9;33.496774;25.335484;73.532258;
82240;30/09/2012;0000;49.7;34.416667;25.96;70.108333;
82240;31/10/2012;0000;54.4;34.541935;25.370968;69.169355;
82240;30/11/2012;0000;1.3;35.396667;25.373333;66.866667;
82240;31/12/2012;0000;315.2;31.690323;23.629032;79.866667;
82240;31/01/2013;0000;709.2;30.63871;23.6;84.072581;
82240;28/02/2013;0000;179.1;31.189286;24.057143;82.6875;
82240;31/03/2013;0000;666.9;30.922581;24.083871;84.564516;
82240;30/04/2013;0000;213;31.283333;24.526667;83.525;
82240;31/05/2013;0000;339;31.387097;24.445161;83.604839;
82240;30/06/2013;0000;210.8;32.273333;25.003333;80.441667;
82240;31/07/2013;0000;291.5;31.625806;24.474194;80.33871;
82240;31/08/2013;0000;194.5;32.509677;25.245161;77.830645;
82240;30/09/2013;0000;74.5;33.516667;25.683333;74.466667;
82240;31/10/2013;0000;73.1;34.380645;25.890323;71.637097;
82240;30/11/2013;0000;60.9;33.266667;25.25;76.391667;
82240;31/12/2013;0000;213.7;32.809677;25.270968;76.346774;
82240;31/01/2014;0000;144;31.625806;24.706452;78.830645;
82240;28/02/2014;0000;408.7;30.525;23.878571;85.223214;
82240;31/03/2014;0000;381.7;30.512903;24.309677;84.580645;
82240;30/04/2014;0000;203.6;31.37;24.593333;83.691667;
82240;31/05/2014;0000;341.9;30.874194;24.858065;84.846774;
82240;30/06/2014;0000;295.4;32.116667;24.857143;81.975;
82240;31/07/2014;0000;206.5;32.248387;24.782143;82.169355;
82240;31/08/2014;0000;62.6;33.796774;25.077419;74.395161;
82240;30/09/2014;0000;10.4;35.193333;25.72069;68.45;
82240;31/10/2014;0000;93.7;34.433333;25.085185;73.758333;
82240;30/11/2014;0000;138.9;33.93;24.975;73.425;
82240;31/12/2014;0000;51.2;33.86129;25.333333;72.266129;
82240;31/01/2015;0000;207.7;31.848387;24.086207;77.83871;
82240;28/02/2015;0000;267.5;31.596154;24.088;80.932692;
82240;31/03/2015;0000;558.9;30.793333;24.316667;84.433333;
82240;30/04/2015;0000;406.2;31.133333;24.45;83.933333;
82240;31/05/2015;0000;315.8;31.574194;24.431034;83.580645;
82240;30/06/2015;0000;209.6;32.393333;24.817857;78.85;
82240;31/07/2015;0000;134.9;32.258065;24.810714;80.516129;
82240;31/08/2015;0000;10.4;34.366667;25.957143;70.83871;
82240;30/09/2015;0000;3.9;36.16;26.73;63.35;
82240;31/10/2015;0000;0;36.416129;26.932258;62.959677;
82240;30/11/2015;0000;1.5;36.37;26.433333;62.375;
82240;31/12/2015;0000;103.3;35.635484;26.719355;62.645161;
