--------------------
BDMEP - INMET
--------------------
Esta?o           : PASSO FUNDO - RS (OMM: 83914)
Latitude  (graus) : -28.21
Longitude (graus) : -52.4
Altitude  (metros): 684.05
Esta?o Operante
Inicio de opera?o: 01/08/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83914;31/01/2000;0000;143.6;28.548387;17.551613;68.967742;
83914;29/02/2000;0000;105.7;26.993103;17.144828;71.603448;
83914;31/03/2000;0000;267.4;26.1;15.767742;76.258065;
83914;30/04/2000;0000;76.1;24.856667;14.273333;71.45;
83914;31/05/2000;0000;76.8;19.316129;9.683871;73.629032;
83914;30/06/2000;0000;205.5;19.163333;11.06;77.733333;
83914;31/07/2000;0000;148.1;15.980645;5.096774;68.282258;
83914;30/09/2000;0000;169;20.81;10.593333;72.558333;
83914;31/10/2000;0000;339.3;24.493548;14.887097;75;
83914;30/11/2000;0000;164.2;26.653333;14.783333;63.575;
83914;31/12/2000;0000;159.9;27.848387;16.674194;68.91129;
83914;30/09/2001;0000;99.6;;;;
83914;31/10/2001;0000;231.4;25.107407;13.953333;70.653846;
83914;30/11/2001;0000;85.5;27.782759;15.92;69.387931;
83914;31/12/2001;0000;147.3;28.023077;15.6;69.16;
83914;31/01/2002;0000;96;28.04;16.83871;73.016667;
83914;28/02/2002;0000;76.7;27.357143;15.925;73.685185;
83914;31/03/2002;0000;356.8;28.896774;18.587097;81.129032;
83914;30/04/2002;0000;135.9;25.743333;15.563333;78.543103;
83914;31/05/2002;0000;140.4;22.480645;13.058065;81.201613;
83914;30/06/2002;0000;219;18.29;9.644828;82.966667;
83914;31/07/2002;0000;146.3;17.880645;8.687097;82.120968;
83914;31/08/2002;0000;233.8;20.303226;11.464516;78.83871;
83914;30/09/2002;0000;253.6;19.92;9.183333;73.383333;
83914;31/10/2002;0000;372.3;23.964516;14.912903;82.685484;
83914;30/11/2002;0000;205;26.406667;15.186667;71.883333;
83914;31/12/2002;0000;329.5;27.193548;16.796774;75.16129;
83914;31/01/2003;0000;176.2;28.735484;17.412903;72.943548;
83914;28/02/2003;0000;265.7;28.007143;17.807143;78.9375;
83914;31/03/2003;0000;128.3;26.63871;16.329032;80.306452;
83914;30/04/2003;0000;114.3;24.396667;12.973333;72.691667;
83914;31/05/2003;0000;107.3;21.025806;10.216129;71.217742;
83914;30/06/2003;0000;152.6;20.826667;11.916667;80.541667;
83914;31/07/2003;0000;100.6;19.670968;8.929032;77.58871;
83914;31/08/2003;0000;57.5;19.006452;7.654839;66.830645;
83914;30/09/2003;0000;64;22.493333;10.813333;68.841667;
83914;31/10/2003;0000;237.1;25.209677;13.306452;68.435484;
83914;30/11/2003;0000;168.2;26.496667;13.783333;63.641667;
83914;31/12/2003;0000;391.5;26.451613;15.374194;71.491935;
83914;31/01/2004;0000;97.5;28.232258;16.593548;72.459677;
83914;29/02/2004;0000;123;26.968966;15.110345;68.232759;
83914;31/03/2004;0000;26.7;28.316129;15.080645;66.790323;
83914;30/04/2004;0000;142.3;26.916667;15.106667;68.975;
83914;31/05/2004;0000;222.4;18.074194;9.603226;82.887097;
83914;30/06/2004;0000;133.5;20.163333;10.373333;77.958333;
83914;31/07/2004;0000;88.8;17.145161;8.174194;76.370968;
83914;31/08/2004;0000;53;20.93871;9.225806;70.104839;
83914;30/09/2004;0000;234.3;23.046667;12.836667;75.141667;
83914;31/10/2004;0000;193.2;24.193548;12.112903;65.75;
83914;30/11/2004;0000;121.9;25.763333;14.266667;66.608333;
83914;31/12/2004;0000;67.3;28.170968;16.345161;63.5;
83914;31/01/2005;0000;104.5;30.254839;18.087097;64.483871;
83914;28/02/2005;0000;28.1;30.128571;17.689286;61.464286;
83914;31/03/2005;0000;88.3;29.332258;17.041935;62.096774;
83914;30/04/2005;0000;291.9;23.143333;14.376667;80.316667;
83914;31/05/2005;0000;317;21.264516;12.654839;77.508065;
83914;30/06/2005;0000;273.1;20.293333;12.683333;83.466667;
83914;31/07/2005;0000;83.7;17.66129;7.977419;74.572581;
83914;31/08/2005;0000;135.4;21.36129;10.674194;73;
83914;30/09/2005;0000;152.7;17.356667;8.87;77.758333;
83914;31/10/2005;0000;384.8;23.823333;13.974194;77.008065;
83914;30/11/2005;0000;146;27.726667;15.226667;63.083333;
83914;31/12/2005;0000;81.6;27.958065;15.787097;62.798387;
83914;31/01/2006;0000;132.4;29.183871;18.487097;73.370968;
83914;28/02/2006;0000;111.1;27.967857;17.257143;73.991071;
83914;31/03/2006;0000;164.6;26.790323;16.741935;74.774194;
83914;30/04/2006;0000;55;23.966667;12.596667;70.208333;
83914;31/05/2006;0000;36.8;19.419355;8.854839;73.967742;
83914;30/06/2006;0000;167.5;20.02;10.65;78.975;
83914;31/07/2006;0000;147.9;19.990323;10.96129;78.959677;
83914;31/08/2006;0000;132.2;20.145161;9.283871;68.822581;
83914;30/09/2006;0000;112.8;21.253333;9.876667;67.583333;
83914;31/10/2006;0000;94.9;26.845161;14.351613;68.08871;
83914;30/11/2006;0000;311.9;26.37;14.836667;66.125;
83914;31/12/2006;0000;106.3;30.035484;18.093548;65.241935;
83914;31/01/2007;0000;260.7;27.777419;18.064516;77.08871;
83914;28/02/2007;0000;126.8;27.546429;17.464286;75.580357;
83914;31/03/2007;0000;198.7;28.219355;18.141935;77.596774;
83914;30/04/2007;0000;254.5;25.4;15.273333;75.575;
83914;31/05/2007;0000;295.3;17.664516;9.1;79.120968;
83914;30/06/2007;0000;68.3;19.143333;10.246667;75.675;
83914;31/07/2007;0000;325.7;16.232258;6.422581;76.096774;
83914;31/08/2007;0000;128.7;19.248387;8.73871;77.427419;
83914;30/09/2007;0000;268.6;23.443333;13.516667;70.95;
