--------------------
BDMEP - INMET
--------------------
Esta?o           : PATOS DE MINAS - MG (OMM: 83531)
Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Altitude  (metros): 940.28
Esta?o Operante
Inicio de opera?o: 23/10/1947
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83531;31/01/2000;0000;378.5;28.53871;18.432258;81.887097;
83531;29/02/2000;0000;163.1;28.375862;18.568966;81.603448;
83531;31/03/2000;0000;175.4;27.987097;18.335484;83.548387;
83531;31/05/2000;0000;0.9;27.309677;13.609677;67.483871;
83531;30/06/2000;0000;0;26.92;12.55;61.033333;
83531;31/07/2000;0000;1.5;26.33871;12.096774;62.919355;
83531;31/08/2000;0000;18.3;28.83871;14.822581;54.346774;
83531;30/09/2000;0000;80.8;27.506667;16.413333;67.116667;
83531;31/10/2000;0000;42.8;32.074194;18.541935;54.903226;
83531;30/11/2000;0000;424.8;27.133333;17.986667;78.883333;
83531;31/12/2000;0000;191.3;28.577419;18.816129;79.669355;
83531;31/01/2001;0000;139.5;29.583871;17.932258;75.233871;
83531;28/02/2001;0000;69.6;31.085714;18.257143;66.053571;
83531;31/03/2001;0000;183.2;29.216129;17.558065;75.782258;
83531;30/04/2001;0000;10.5;29.813333;16.9;65.283333;
83531;31/05/2001;0000;39.9;27.509677;14.364516;65.935484;
83531;30/06/2001;0000;0;26.993333;13.133333;61.266667;
83531;31/07/2001;0000;0.9;27.893548;13.616129;56.629032;
83531;31/08/2001;0000;57.9;27.312903;14.080645;55.032258;
83531;30/09/2001;0000;41.3;28.886667;15.733333;60.908333;
83531;31/10/2001;0000;90.9;28.248387;16.932258;68.266129;
83531;30/11/2001;0000;178.1;28.61;18.424138;78.308333;
83531;31/12/2001;0000;306.8;27.732258;18.429032;76.741935;
83531;31/01/2002;0000;257.9;28.983333;19.225806;78.177419;
83531;28/02/2002;0000;358.3;28.225;18.725;83.848214;
83531;31/03/2002;0000;91.1;29.558065;18.509677;75.403226;
83531;30/04/2002;0000;2.6;30.051724;16.916667;66.583333;
83531;31/05/2002;0000;43.8;27.906897;15.619355;69.508333;
83531;30/06/2002;0000;0;27.373333;13.85;62.075;
83531;31/07/2002;0000;4.2;27.71;14.303226;59.9;
83531;31/08/2002;0000;4;29.672414;15.625806;49.758621;
83531;30/09/2002;0000;70.9;29.544444;16.677419;54.722222;
