--------------------
BDMEP - INMET
--------------------
Esta?o           : PAULISTANA - PI (OMM: 82882)
Latitude  (graus) : -8.13
Longitude (graus) : -41.13
Altitude  (metros): 374.22
Esta?o Operante
Inicio de opera?o: 22/09/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82882;31/01/2000;0000;133.1;31.777419;22.193548;83.717742;
82882;29/02/2000;0000;176.8;30.910345;21.427586;80.560345;
82882;31/03/2000;0000;55.7;31.232258;21.893548;81.459677;
82882;30/04/2000;0000;56.3;31.83;22.113333;82.116667;
82882;31/05/2000;0000;17.2;32.819355;22.312903;72.540323;
82882;30/06/2000;0000;1;32.076667;21.75;68.25;
82882;31/07/2000;0000;0;31.922581;21.148387;66.241379;
82882;31/08/2000;0000;0;33.241935;21.76129;63.177419;
82882;30/09/2000;0000;0;33.906667;22.793333;59.491667;
82882;31/10/2000;0000;7.5;35.341935;23.790323;58.466667;
82882;30/11/2000;0000;92.6;33.106667;23.21;70.675;
82882;31/12/2000;0000;105.2;32.7;22.829032;73.919355;
82882;31/01/2001;0000;65.4;32.696774;22.225806;71.145161;
82882;28/02/2001;0000;73.4;31.228571;21.967857;78.857143;
82882;31/03/2001;0000;160.8;31.022581;21.483871;81.354839;
82882;30/04/2001;0000;52.4;32.393103;21.765517;70.616071;
82882;31/05/2001;0000;51.2;33.436667;22.325806;67.298387;
82882;30/06/2001;0000;2.8;31.876667;21.563333;55.983333;
82882;31/07/2001;0000;0.1;31.870968;21.335484;51.814516;
82882;31/08/2001;0000;0;31.822581;20.603226;47.83871;
82882;30/09/2001;0000;1.4;34.53;22.426667;43.183333;
82882;31/10/2001;0000;12.2;35.958065;24.23871;40.516129;
82882;30/11/2001;0000;36.5;36.696667;25.253333;41.383333;
82882;31/12/2001;0000;51.8;34.658065;24.293548;50.717742;
82882;31/01/2002;0000;285.4;29.93871;21.332258;78.991935;
82882;28/02/2002;0000;16.2;32.596429;21.939286;64.580357;
82882;31/03/2002;0000;92.3;33.045161;22.187097;61.814516;
82882;30/04/2002;0000;87.8;32.16;22.283333;64.291667;
82882;31/05/2002;0000;0;33.429032;22.635484;51.072581;
82882;30/06/2002;0000;5.9;31.69;21.32;53.441667;
82882;31/07/2002;0000;0;32.374194;21.135484;48.879032;
