--------------------
BDMEP - INMET
--------------------
Esta?o           : PEIXE - TO (OMM: 83228)
Latitude  (graus) : -12.01
Longitude (graus) : -48.35
Altitude  (metros): 242.49
Esta?o Operante
Inicio de opera?o: 01/05/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83228;31/01/2000;0000;231.5;31.948387;22.112903;82.137097;
83228;29/02/2000;0000;410.2;30.824138;22.031034;85.818966;
83228;31/03/2000;0000;289.7;32.158065;22.370968;81.701613;
83228;30/04/2000;0000;238.2;32.333333;22.07;80.625;
83228;31/05/2000;0000;0;33.3;20.090323;68.669355;
83228;30/06/2000;0000;0;33.363333;18.69;63.25;
83228;31/07/2000;0000;0;34.309677;18.793548;60.072581;
83228;31/08/2000;0000;0.2;36.054839;20.012903;52.516129;
83228;30/09/2000;0000;144.7;34.65;22.036667;62.191667;
83228;31/10/2000;0000;46.6;35.654839;22.23871;64.266129;
83228;30/11/2000;0000;159.6;31.686667;22.37;78.766667;
83228;31/12/2000;0000;527.5;31.222581;22.670968;81.903226;
83228;31/01/2001;0000;151.5;32.467742;21.8;77.258065;
83228;28/02/2001;0000;87.7;32.660714;21.814286;78.625;
83228;31/03/2001;0000;264.5;32.012903;21.929032;82.475806;
83228;30/04/2001;0000;55.4;32.976667;21.76;76.05;
83228;31/05/2001;0000;16.1;34.112903;22;69.879032;
83228;30/06/2001;0000;0;33.533333;19.613333;61.075;
83228;31/07/2001;0000;0;34.512903;18.525806;55.217742;
83228;31/08/2001;0000;0;34.880645;19.470968;45.725806;
83228;30/09/2001;0000;15.5;36.796667;22.353333;53.475;
83228;31/10/2001;0000;188.5;33.796774;22.293548;72.25;
83228;30/11/2001;0000;134.7;32.756667;22.703333;77.333333;
83228;31/12/2001;0000;219.1;32.11;22.746667;80.33871;
83228;31/01/2002;0000;348.5;30.893548;22.506452;85.66129;
83228;28/02/2002;0000;218;32.825;22.717857;79.142857;
83228;31/03/2002;0000;173.5;;22.716129;75.524194;
83228;30/04/2002;0000;27.3;;22.456667;73.4;
83228;31/05/2002;0000;47.8;33.664516;20.641935;66.846774;
83228;30/06/2002;0000;0;33.143333;18.576667;56.658333;
83228;31/07/2002;0000;0;35.019355;19.380645;54.459677;
83228;31/08/2002;0000;0;36.422581;19.525806;43.758065;
83228;30/09/2002;0000;39.1;36.466667;21.636667;51.108333;
83228;31/10/2002;0000;75.2;36.312903;22.380645;61.241935;
83228;30/11/2002;0000;115.2;35.133333;22.37;67.733333;
83228;31/12/2002;0000;483.4;32.548387;21.922581;80.362903;
83228;31/01/2003;0000;270;32.274194;22.53871;81.645161;
83228;28/02/2003;0000;212.5;32.575;21.967857;80.178571;
83228;31/03/2003;0000;362.6;32.187097;22.522581;81.725806;
83228;30/04/2003;0000;167.2;32.98;22.716667;77.308333;
83228;31/05/2003;0000;15.4;32.883871;21.858065;71.725806;
83228;30/06/2003;0000;0;33.143333;18.806667;64.508333;
83228;31/07/2003;0000;0;33.358065;17.222581;56.766129;
83228;31/08/2003;0000;0.3;35.167742;20.677419;53.766129;
83228;30/09/2003;0000;9.8;37.058621;22.54;48.383333;
83228;31/10/2003;0000;48.1;35.067742;22.987097;62.943548;
83228;30/11/2003;0000;96.2;33.276667;22.82;74.083333;
83228;31/12/2003;0000;81.4;33.335484;22.890323;75.741935;
83228;31/01/2004;0000;349.8;30.625806;22.748387;85.572581;
83228;29/02/2004;0000;286;31.025;22.548276;85.103448;
83228;31/03/2004;0000;296.1;31.567742;22.764516;83.169355;
83228;30/04/2004;0000;128.1;32.566667;22.826667;78.15;
83228;31/05/2004;0000;2.5;33.596774;22.006452;69.967742;
83228;30/06/2004;0000;0;32.63;19.158621;62.283333;
83228;31/07/2004;0000;0;32.832258;18.235484;58.91129;
83228;31/08/2004;0000;0;35.364516;16.887097;49.435484;
83228;30/09/2004;0000;1.7;37;18.653333;43.641667;
83228;31/10/2004;0000;93.2;34.893333;22.419355;65.072581;
83228;30/11/2004;0000;175.5;34.19;22.463333;72.291667;
83228;31/12/2004;0000;260.5;32.648387;22.312903;78.879032;
83228;31/01/2005;0000;442;32.02069;22.463333;83.715517;
83228;28/02/2005;0000;136.8;32.817857;22.885714;80.875;
83228;31/03/2005;0000;256.2;31.264516;22.748387;85.903226;
83228;30/04/2005;0000;89;32.836667;22.613333;79.075;
83228;31/05/2005;0000;33.9;32.151613;20.070968;73.330645;
83228;30/06/2005;0000;0;32.49;18.996667;67.616667;
83228;31/07/2005;0000;0;33.270968;16.325806;59.282258;
83228;31/08/2005;0000;0;35.33871;17.667742;49.532258;
83228;30/09/2005;0000;11.8;36.656667;20.583333;49.458333;
83228;31/10/2005;0000;37.8;36.287097;21.287097;59.774194;
83228;30/11/2005;0000;134.1;33.383333;22.746667;74.4;
83228;31/12/2005;0000;263.3;30.603226;22.229032;82.379032;
83228;31/01/2006;0000;127.2;33.506452;21.867742;74.112903;
83228;28/02/2006;0000;142.7;32.75;22.678571;82.830357;
83228;31/03/2006;0000;336.3;31.809677;22.245161;84.645161;
83228;30/04/2006;0000;192.8;31.5;22.26;85.041667;
83228;31/05/2006;0000;21.6;32.096774;20.954839;74.5;
83228;30/06/2006;0000;0;31.893333;17.113333;66.458333;
83228;31/07/2006;0000;0;33.125806;16.935484;61.943548;
83228;31/08/2006;0000;0;35.596774;18.235484;51.959677;
83228;30/09/2006;0000;125.4;35.686667;20.983333;58.1;
83228;31/10/2006;0000;175.4;33.76129;23.241935;70.669355;
83228;30/11/2006;0000;86.8;32.533333;22.363333;76.966667;
83228;31/12/2006;0000;233.9;32.406452;22.596774;79.612903;
83228;31/01/2007;0000;207.9;32.922581;22.790323;81.032258;
83228;28/02/2007;0000;318.5;30.562963;22.440741;86.759259;
83228;31/03/2007;0000;127.4;33.177419;22.119355;75.685484;
83228;30/04/2007;0000;56.7;33.616667;22.45;76.825;
83228;31/05/2007;0000;0;34.564516;20.564516;65.903226;
83228;30/06/2007;0000;0;33.503333;17.783333;58.433333;
