--------------------
BDMEP - INMET
--------------------
Esta?o           : PELOTAS - RS (OMM: 83985)
Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Altitude  (metros): 13.00
Esta?o Operante
Inicio de opera?o: 01/01/1926
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83985;31/01/2000;0000;41.6;28.974194;19.358065;76.282258;
83985;29/02/2000;0000;68.3;27.77931;18.586207;77.75;
83985;31/03/2000;0000;128;25.632258;16.980645;82.790323;
83985;30/04/2000;0000;55.5;25.126667;15.993333;86.483333;
83985;31/05/2000;0000;241.2;19.987097;12.235484;85.217742;
83985;30/06/2000;0000;199.2;18.986667;11.82;87.075;
83985;31/07/2000;0000;144.8;15.374194;7.251613;80.346774;
83985;31/08/2000;0000;133.3;18.225806;8.032258;80.145161;
83985;30/09/2000;0000;171;18.566667;9.833333;84;
83985;31/10/2000;0000;118.4;21.348387;14.96129;84.379032;
83985;30/11/2000;0000;137.4;24.06;15.18;74.566667;
83985;31/12/2000;0000;52.6;27.187097;17.825806;75.056452;
83985;30/09/2001;0000;0;;;;
83985;31/10/2001;0000;0;;;;
83985;30/11/2001;0000;0;;;;
83985;31/12/2001;0000;0;;;;
83985;31/01/2002;0000;177.1;27.980645;19.754839;;
83985;28/02/2002;0000;138.9;26.914286;18.364286;;
83985;31/03/2002;0000;343.2;28.36129;21.245161;;
83985;30/04/2002;0000;253.6;22.613333;16.146667;;
83985;31/05/2002;0000;0;;;;
83985;30/06/2002;0000;0;;;;
83985;31/07/2002;0000;109.8;16.890323;9.322581;85.443548;
83985;31/08/2002;0000;187.2;18.606452;11.467742;87.766667;
83985;30/09/2002;0000;179.2;18.353333;10.853333;86.525;
83985;31/10/2002;0000;193.1;23.167742;17.022581;86.274194;
83985;30/11/2002;0000;118.6;25.14;17.64;78.633333;
83985;31/12/2002;0000;340.6;25.451613;19.048387;82.083333;
83985;31/01/2003;0000;28.8;28.612903;19.506452;74.185484;
83985;28/02/2003;0000;295.8;28.971429;20.557143;81.107143;
83985;31/03/2003;0000;143.8;26.529032;19.145161;86.935484;
83985;30/04/2003;0000;150.4;22.46;14.603333;86.108333;
83985;31/05/2003;0000;60.6;20.929032;12.883871;85.604839;
83985;30/06/2003;0000;246.2;18.126667;11.856667;91.133333;
83985;31/07/2003;0000;90.4;17.766667;8.886207;85.048077;
83985;31/08/2003;0000;93.4;18.03871;8.509677;82.427419;
83985;30/09/2003;0000;115.5;19.506667;10.34;83.8;
83985;31/10/2003;0000;48.2;23.225806;14.396774;79.341667;
83985;30/11/2003;0000;104.8;24.78;15.933333;78.925;
83985;31/12/2003;0000;82.1;25.458065;16.564516;76.048387;
83985;31/01/2004;0000;67.2;27.787097;19.396774;82.814516;
83985;29/02/2004;0000;71;28.055172;18.365517;77.353448;
83985;31/03/2004;0000;47.2;27.167742;17.751613;80.395161;
83985;30/04/2004;0000;132;25.506667;16.39;83.958333;
