--------------------
BDMEP - INMET
--------------------
Esta?o           : PIRIPIRI - PI (OMM: 82480)
Latitude  (graus) : -4.26
Longitude (graus) : -41.78
Altitude  (metros): 161.12
Esta?o Operante
Inicio de opera?o: 09/03/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82480;31/01/2000;0000;238.1;31.832258;22.148387;77.596774;
82480;29/02/2000;0000;334.4;31.455172;22.158621;83.241379;
82480;31/03/2000;0000;241.3;31.470968;22.432258;85.822581;
82480;30/04/2000;0000;352.6;31.006667;22.44;85.9;
82480;31/05/2000;0000;36.4;32.103226;22.193548;75.75;
82480;30/06/2000;0000;13.6;32.653333;21.453333;68.85;
82480;31/07/2000;0000;56.9;33.387097;22.109677;70.66129;
82480;31/08/2000;0000;31.9;34.651613;21.322581;60.91129;
82480;30/09/2000;0000;25.6;35.786667;21.706667;58.916667;
82480;31/10/2000;0000;5.6;36.948387;21.83871;54.346774;
82480;30/11/2000;0000;0.5;36.906667;22.053333;52.141667;
82480;31/12/2000;0000;83.1;35.270968;22.403226;58.927419;
82480;31/01/2001;0000;219.5;32.380645;22.129032;77.225806;
82480;28/02/2001;0000;288.8;31.664286;21.95;84.267857;
82480;31/03/2001;0000;177.2;31.393548;22.509677;84.008065;
82480;30/04/2001;0000;340;30.78;22.566667;87.941667;
82480;31/05/2001;0000;66.8;32.2;22.390323;78.629032;
82480;30/06/2001;0000;66.3;32.246667;22.116667;75.858333;
82480;31/07/2001;0000;3.5;33.483871;21.206452;66.693548;
82480;31/08/2001;0000;0;35.264516;20.212903;53.491935;
82480;30/09/2001;0000;1;36.82;21.34;55.941667;
82480;31/10/2001;0000;8.2;37.412903;21.980645;54.314516;
82480;30/11/2001;0000;8.7;37.16;22.56;57.233333;
82480;31/12/2001;0000;78.3;35.787097;23.722581;61.354839;
82480;31/01/2002;0000;346.7;31.832258;22.425806;81.282258;
82480;28/02/2002;0000;109.7;33.078571;22.457143;75.607143;
82480;31/03/2002;0000;317.8;31.664516;22.593103;85.672414;
82480;30/04/2002;0000;396.6;31.626667;22.52;86.766667;
82480;31/05/2002;0000;170.6;32.070968;22.277419;80.080645;
82480;30/06/2002;0000;33.4;32.473333;21.86;72.683333;
82480;31/07/2002;0000;1.3;34.103226;21.658065;64.25;
82480;31/08/2002;0000;0;35.987097;20.658065;58.403226;
82480;30/09/2002;0000;5.6;37.08;21.306667;56.408333;
82480;31/10/2002;0000;10.6;37.587097;22.045161;54.145161;
82480;30/11/2002;0000;1.2;37.513333;22.38;53.775;
82480;31/12/2002;0000;56.1;36.212903;23.6;58.967742;
82480;31/01/2003;0000;172.7;35.083871;22.903226;66.362903;
82480;28/02/2003;0000;291.1;31.742857;23;82.169643;
82480;31/03/2003;0000;474.7;31.36129;22.793333;85.266667;
82480;30/04/2003;0000;173.7;31.593333;22.98;84.675;
82480;31/05/2003;0000;59.4;32.151613;22.387097;78.354839;
82480;30/06/2003;0000;106.1;32.013333;22.06;75.608333;
82480;31/07/2003;0000;23.8;33.451613;20.954839;64.33871;
82480;31/08/2003;0000;42;35.458065;21.329032;62.669355;
82480;30/09/2003;0000;15.7;36.806667;21.586667;55.45;
