--------------------
BDMEP - INMET
--------------------
Esta?o           : POMPEU - MG (OMM: 83570)
Latitude  (graus) : -19.21
Longitude (graus) : -45
Altitude  (metros): 690.91
Esta?o Operante
Inicio de opera?o: 01/11/1972
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83570;31/01/2000;0000;223.8;30.245161;20.109677;77.75;
83570;29/02/2000;0000;218.5;30.441379;19.8;78.887931;
83570;31/03/2000;0000;328.3;29.36129;19.251613;80;
83570;30/04/2000;0000;39;29.173333;16.576667;70.125;
83570;31/05/2000;0000;5;27.925806;13.66129;67.620968;
83570;30/06/2000;0000;1;27.916667;11.61;64.066667;
83570;31/07/2000;0000;7.7;26.845161;12.345161;65.241935;
83570;31/08/2000;0000;20.8;29.232258;14.251613;57.032258;
83570;31/10/2000;0000;34.5;33.493548;20.558065;55.596774;
83570;30/11/2000;0000;333.2;28.126667;19.483333;78.566667;
83570;31/12/2000;0000;195.8;30.535484;20.712903;75.241935;
83570;31/01/2001;0000;83.6;31.258065;20.096774;70.959677;
83570;28/02/2001;0000;35.1;33.321429;20.525;64.017857;
83570;31/03/2001;0000;118;31.154839;19.8;71.620968;
83570;30/04/2001;0000;8.2;31.46;18.093333;63.658333;
83570;31/05/2001;0000;21.1;28.496774;15.612903;67.362903;
83570;30/06/2001;0000;0;28.38;13.88;56.791667;
83570;31/07/2001;0000;1.2;28.706452;13.883871;52.032258;
83570;31/08/2001;0000;32.3;28.041935;15.193548;49.580645;
83570;30/09/2001;0000;40.4;29.81;17.3;53.175;
83570;31/10/2001;0000;126.1;29.641935;18.183871;59.870968;
83570;30/11/2001;0000;261.1;29.586667;20.613333;72.033333;
83570;31/12/2001;0000;290.4;28.787097;20.1;72.16129;
83570;31/01/2002;0000;140.2;30.758065;21.16129;69.298387;
83570;28/02/2002;0000;171.4;29.339286;20.4;77.616071;
83570;31/03/2002;0000;62.8;31.109677;19.925806;69.185484;
83570;30/04/2002;0000;9.8;31.263333;17.99;62.166667;
83570;31/05/2002;0000;12;29.02;16.290323;66.08871;
83570;30/06/2002;0000;0;28.763333;14.043333;60.35;
83570;31/07/2002;0000;4;28.3;14.422581;60.354839;
83570;31/08/2002;0000;0;30.69;16.364516;49;
83570;30/09/2002;0000;41.1;29.99;17.751724;53.65;
83570;31/10/2002;0000;88.4;33.9;19.896774;46.145161;
83570;30/11/2002;0000;106.8;30.726667;20.266667;63.308333;
83570;31/12/2002;0000;272.5;30.954839;21.467742;72.685484;
83570;31/01/2003;0000;274.8;29.458065;21.229032;78.91129;
83570;28/02/2003;0000;175.1;32.078571;20.153571;61.821429;
83570;31/03/2003;0000;168.9;29.948387;20.054839;74.580645;
83570;30/04/2003;0000;37.1;30.056667;18.516667;68.358333;
83570;31/05/2003;0000;25;27.364516;14.151613;64.983871;
83570;30/06/2003;0000;0;28.803333;13.383333;60.033333;
83570;31/07/2003;0000;1;27.619355;12.529032;53.604839;
83570;31/08/2003;0000;17.8;29.232258;14.909677;53.870968;
83570;30/09/2003;0000;9.1;30.866667;17.316667;51.633333;
83570;31/10/2003;0000;28.8;32.125806;18.690323;47.870968;
83570;30/11/2003;0000;91.7;31.153333;20.426667;64.366667;
83570;31/12/2003;0000;207.6;31.190323;20.887097;68.016129;
83570;31/01/2004;0000;159.1;29.145161;20.751613;75.782258;
83570;29/02/2004;0000;294.5;28.52069;19.996552;82.551724;
83570;31/03/2004;0000;245.8;29.190323;19.3;73.919355;
83570;30/04/2004;0000;107.8;28.623333;18.406667;74.566667;
83570;31/05/2004;0000;1;27.874194;15.677419;70.766129;
83570;30/06/2004;0000;0;26.276667;13.2;65.6;
83570;31/07/2004;0000;51.2;25.33871;12.812903;62.524194;
83570;31/08/2004;0000;0;28.580645;13.396774;47.822581;
83570;30/09/2004;0000;0;32.336667;17.11;38.133333;
83570;31/10/2004;0000;46.3;31.229032;19.606452;57.016129;
83570;30/11/2004;0000;102;31.136667;20.583333;61.583333;
83570;31/12/2004;0000;282;28.748387;20.370968;77.25;
83570;31/01/2005;0000;261;29.432258;19.474194;78.080645;
83570;28/02/2005;0000;68.3;30.778571;17.692857;69.446429;
83570;31/03/2005;0000;278;29.596774;18.425806;78.040323;
83570;30/04/2005;0000;61.7;;17;67.091667;
83570;31/05/2005;0000;35.9;;14.096774;68.766129;
83570;30/06/2005;0000;3;27.19;13.153333;66.45;
83570;31/07/2005;0000;0.2;27.454839;12.151613;58.887097;
83570;31/08/2005;0000;0;30.041935;15.273333;48.145161;
83570;30/09/2005;0000;13.7;31.216667;18.493333;54.791667;
83570;31/10/2005;0000;41.1;34.874194;20.425806;44.846774;
83570;30/11/2005;0000;220.6;28.21;19.76;77.166667;
83570;31/12/2005;0000;168.1;28.703226;19.519355;74.298387;
83570;31/01/2006;0000;172.2;31.696774;20.054839;62.040323;
83570;28/02/2006;0000;158.8;32.403571;20.617857;68.6875;
83570;31/03/2006;0000;241.9;29.996774;20.458065;76.717742;
83570;30/04/2006;0000;107.1;29.546667;18.473333;71.7;
83570;31/05/2006;0000;27.9;27.96129;14.16129;66.137097;
83570;30/06/2006;0000;3.5;27.07;13.126667;61.208333;
83570;31/07/2006;0000;1.8;28.112903;12.083871;54.782258;
83570;31/08/2006;0000;12;30.312903;15.577419;50.467742;
83570;30/09/2006;0000;52.6;30.51;16.753333;53.508333;
83570;31/10/2006;0000;65.3;29.180645;19.764516;70.25;
83570;30/11/2006;0000;305.6;29.27;19.823333;75.558333;
83570;31/12/2006;0000;426;29.696774;20.732258;78.330645;
83570;31/01/2007;0000;344.2;29.922581;20.9;79.612903;
83570;28/02/2007;0000;143.1;30.360714;20.171429;71.401786;
83570;31/03/2007;0000;9;33.006452;19.583871;56.830645;
83570;30/04/2007;0000;45.7;30.97;18.74;64.875;
83570;31/05/2007;0000;15.2;29.193548;15.009677;59.959677;
83570;30/06/2007;0000;2.6;28.756667;13.243333;57.458333;
83570;31/07/2007;0000;10;28.783871;13.641935;52.379032;
83570;31/08/2007;0000;0;30.112903;14.519355;41.83871;
83570;30/09/2007;0000;0;32.476667;17.573333;39.766667;
83570;31/10/2007;0000;38.8;33.958065;19.819355;45.959677;
83570;30/11/2007;0000;130.8;31.736667;20.4;66.491667;
83570;31/12/2007;0000;207.8;31.519355;20.519355;67.508065;
83570;31/01/2008;0000;404.6;30.119355;19.993333;72.620968;
83570;29/02/2008;0000;129.9;31.286207;19.335714;69.732759;
83570;31/03/2008;0000;219.7;30.345161;18.609677;73.177419;
83570;30/04/2008;0000;46.8;30.503333;17.873333;70.908333;
83570;31/05/2008;0000;3;28.545161;13.454839;64.040323;
83570;30/06/2008;0000;1;28.773333;13.056667;60;
83570;31/07/2008;0000;0;28.148387;10.367742;49.669355;
83570;31/08/2008;0000;19.6;30.822581;14.148387;47.395161;
83570;30/09/2008;0000;64.2;31.72;15.016667;49.172414;
83570;31/10/2008;0000;44.7;33.509677;18.729032;51.814516;
83570;30/11/2008;0000;231;30.426667;18.986667;69.658333;
83570;31/12/2008;0000;380.4;29.367742;19.293548;74.66129;
83570;31/01/2009;0000;163.4;31.03871;19.609677;73.717742;
83570;28/02/2009;0000;258.6;31.978571;19.492857;69.732143;
83570;31/03/2009;0000;91.7;31.896774;19.4;70.951613;
83570;30/04/2009;0000;46.1;29.433333;16.886667;71.941667;
83570;31/05/2009;0000;3.6;28.822581;14.525806;65.008065;
83570;30/06/2009;0000;19.3;27.416667;12.51;65.366667;
83570;31/07/2009;0000;0.2;29.548387;13.73871;55.217742;
83570;31/08/2009;0000;20.9;29.651613;14.429032;52.862903;
83570;30/09/2009;0000;47.2;32.343333;18.223333;56.075;
83570;31/10/2009;0000;92.3;31.322581;19.216129;66.798387;
83570;30/11/2009;0000;87.9;32.893333;20.123333;61.95;
83570;31/12/2009;0000;222.9;29.93871;19.690323;74.895161;
83570;31/01/2010;0000;94.4;32.632258;19.945161;65.467742;
83570;28/02/2010;0000;33.9;33.603571;19.832143;59.017857;
83570;31/03/2010;0000;185.8;31.580645;19.809677;71.459677;
83570;30/04/2010;0000;19.2;30.606667;16.55;62.658333;
83570;31/05/2010;0000;30.1;29.319355;14.464516;63.580645;
83570;30/06/2010;0000;10.8;27.196667;10.606667;61.5;
83570;31/07/2010;0000;0;28.645161;13.358065;52.258065;
83570;31/08/2010;0000;0;30.335484;12.177419;40.233871;
83570;30/09/2010;0000;27.1;32.13;15.866667;43.541667;
83570;31/10/2010;0000;88.8;32.087097;18.429032;61.459677;
83570;30/11/2010;0000;189.9;29.58;19.243333;73.933333;
83570;31/12/2010;0000;328.3;31.593548;20.26129;70.572581;
83570;31/01/2011;0000;161.9;31.229032;19.909677;66.387097;
83570;28/02/2011;0000;79;34.135714;19.846429;55.401786;
83570;31/03/2011;0000;437;29.864516;19.622581;77.201613;
83570;30/04/2011;0000;80.2;30.37;17.356667;67.95;
83570;31/05/2011;0000;6.1;28.796774;13.987097;63.919355;
83570;30/06/2011;0000;12.4;27.87;12.226667;61.583333;
83570;31/07/2011;0000;0;28.719355;11.806452;54.596774;
83570;31/08/2011;0000;0;32.406667;14.251613;41.983871;
83570;30/09/2011;0000;0;33.646667;15.043333;38.775;
83570;31/10/2011;0000;175.7;30.546429;18.129032;66.362903;
83570;30/11/2011;0000;173.1;;17.458621;64.175;
83570;31/12/2011;0000;338.8;;18.916129;78.612903;
83570;31/01/2012;0000;235.2;;18.909677;71.967742;
83570;29/02/2012;0000;96.7;;18.7;59.232759;
83570;31/03/2012;0000;81.5;;18.46129;65.540323;
83570;30/04/2012;0000;38.7;;17.46;65.95;
83570;31/05/2012;0000;6.2;;13.987097;66.58871;
83570;30/06/2012;0000;19.7;;14.693333;64.066667;
83570;31/07/2012;0000;0;28.380645;11.877419;53.645161;
83570;31/08/2012;0000;0;28.2;13.551613;47.806452;
83570;30/09/2012;0000;35;31.993333;16.186667;43.925;
83570;31/10/2012;0000;8.8;33.448387;18.654839;43.564516;
83570;30/11/2012;0000;201.7;30.346667;19.436667;67.883333;
83570;31/12/2012;0000;97;32.896774;20.3;62.41129;
83570;31/01/2013;0000;309.3;29.570968;19.7;74.943548;
83570;28/02/2013;0000;40.7;32.460714;19.342857;61.794643;
83570;31/03/2013;0000;216.7;30.296774;19.941935;73.629032;
