--------------------
BDMEP - INMET
--------------------
Esta?o           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Esta?o Operante
Inicio de opera?o: 24/11/1941
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83702;31/01/2000;0000;91.1;31.6;20.825806;70.66129;
83702;29/02/2000;0000;98.2;30.275862;19.768966;75.853448;
83702;31/03/2000;0000;154.4;29.432258;19.374194;80.717742;
83702;30/04/2000;0000;144.4;29.093333;16.14;68.708333;
83702;31/05/2000;0000;150;23.548387;12.654839;74.177419;
83702;30/06/2000;0000;125.8;23.433333;13.706667;78.2;
83702;31/07/2000;0000;94;20.903226;7.580645;65.774194;
83702;31/08/2000;0000;111;25.609677;13.729032;69.048387;
83702;30/09/2000;0000;262.2;25.71;14.523333;76.15;
83702;31/10/2000;0000;149.8;30.28;19.077419;65.241667;
83702;30/11/2000;0000;186;29.43;17.513333;72.016667;
83702;31/12/2000;0000;188.4;29.980645;18.867742;69.370968;
83702;31/01/2001;0000;231.3;30.735484;19.516129;75.95;
83702;28/02/2001;0000;341.4;29.45;20.128571;83.107143;
83702;31/03/2001;0000;182.7;30.283871;19.912903;79.096774;
83702;30/04/2001;0000;149.6;29.84;18.126667;74.4;
83702;31/05/2001;0000;82.4;23.380645;12.912903;78.887097;
83702;30/06/2001;0000;84;22.066667;10.846667;77.633333;
83702;31/07/2001;0000;35.9;25.096774;12.76129;69.516129;
83702;31/08/2001;0000;40.3;28.783871;14.790323;56.048387;
83702;30/09/2001;0000;207;28.06;15.346667;65.65;
83702;31/10/2001;0000;82.4;29.1;17.383871;63.830645;
83702;30/11/2001;0000;250;29.02;19.033333;75.983333;
83702;31/12/2001;0000;237.2;28.703226;18.583871;71.7;
83702;31/01/2002;0000;101.2;30.470968;19.68;70.33871;
83702;28/02/2002;0000;242.7;28.928571;18.714286;77.151786;
83702;31/03/2002;0000;60.4;31.541935;21.054839;71.108333;
83702;30/04/2002;0000;43.2;31.933333;19.4;63.866667;
83702;31/05/2002;0000;0;26.31;16.425806;82.413793;
83702;30/06/2002;0000;1.1;25.193333;13.714286;73.808333;
83702;31/07/2002;0000;33.1;23.709677;11.535484;70.854839;
83702;31/08/2002;0000;22.3;27.993103;14.996774;58.556452;
