--------------------
BDMEP - INMET
--------------------
Esta?o           : PORTO DE PEDRAS - AL (OMM: 82996)
Latitude  (graus) : -9.18
Longitude (graus) : -35.43
Altitude  (metros): 50.02
Esta?o Operante
Inicio de opera?o: 14/03/1927
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82996;31/01/2000;0000;0.3;;;;
82996;29/02/2000;0000;185.7;29.717241;23.303448;;
82996;31/03/2000;0000;149.4;30.167742;23.858065;;
82996;30/04/2000;0000;356.5;29.396667;23.74;;
82996;31/05/2000;0000;159.6;29.154839;23;;
82996;30/06/2000;0000;324.9;28.016667;22.953333;;
82996;31/07/2000;0000;344.3;27.187097;21.974194;;
82996;31/08/2000;0000;381.7;27.406452;21.974194;;
82996;30/09/2000;0000;420.1;27.983333;22.743333;;
82996;31/10/2000;0000;27.4;29.154839;23.619355;;
82996;30/11/2000;0000;10.5;30.05;23.326667;;
82996;31/12/2000;0000;79.1;29.92069;22.606452;;
82996;28/02/2001;0000;24.2;31.046154;24.496296;;
82996;31/03/2001;0000;156.4;31.032258;24.009677;;
82996;30/04/2001;0000;108.3;30.186667;23.523333;;
82996;31/05/2001;0000;22.9;29.96129;22.645161;;
82996;30/06/2001;0000;487.2;28.076667;22.206667;;
82996;31/07/2001;0000;274.4;27.770968;21.925806;;
82996;31/08/2001;0000;206.3;27.303226;21.725806;;
82996;30/09/2001;0000;64.9;28.19;22.326667;;
82996;31/10/2001;0000;132.9;29.070968;23.241935;;
82996;30/11/2001;0000;19.1;29.8;23.75;;
82996;31/12/2001;0000;46.2;30.309677;24.909677;;
82996;31/01/2002;0000;0;;;;
82996;28/02/2002;0000;130.6;29.867857;23.753571;;
82996;31/03/2002;0000;376.6;29.548387;23.629032;;
82996;30/04/2002;0000;133.4;29.406667;23.5;;
82996;31/05/2002;0000;226.9;28.812903;22.954839;86.375;
82996;30/06/2002;0000;489;27.563333;22.296667;86.62069;
82996;31/07/2002;0000;156.2;27.670968;22.119355;83.566667;
82996;31/08/2002;0000;122.3;27.487097;21.767742;79.903226;
82996;30/09/2002;0000;62.6;28.576667;21.9;76.892857;
82996;31/10/2002;0000;20.4;29.412903;23.764516;79.354839;
82996;30/11/2002;0000;18.8;29.95;24.281818;78.227273;
82996;31/12/2002;0000;6.1;30.670968;24.470968;79.322581;
82996;28/02/2003;0000;80.9;30.921429;24.65;78.96;
82996;31/03/2003;0000;182;30.706452;24.267742;82.266667;
82996;30/04/2003;0000;75.5;30.37;23.596667;80.275862;
82996;31/05/2003;0000;121.2;29.56129;23.035484;83.633333;
82996;30/06/2003;0000;272.8;28.093333;21.946667;84.3;
82996;31/07/2003;0000;113.1;27.680645;21.764516;83.931034;
82996;31/08/2003;0000;127.3;27.767742;21.954839;81.353448;
82996;30/09/2003;0000;147.2;28.393333;22.706667;79.555556;
82996;31/10/2003;0000;74.2;29.622581;23.477419;76.75;
82996;30/11/2003;0000;15.6;30.506667;23.99;77.344828;
82996;31/12/2003;0000;15.5;31.129032;24.416129;76.535714;
82996;29/02/2004;0000;140.8;30.503448;24.003448;82.034483;
82996;31/03/2004;0000;88.7;30.7;24.125806;80.16129;
82996;30/04/2004;0000;215.6;30.083333;23.8;82.066667;
82996;31/05/2004;0000;127.6;29.464516;23.367742;83.066667;
82996;30/06/2004;0000;641.1;27.55;22.383333;85.035714;
82996;31/07/2004;0000;202.6;27.2;21.377419;83.354839;
82996;31/08/2004;0000;247.7;27.464516;21.383871;84.233333;
82996;30/09/2004;0000;127.5;28.113793;22.448276;79.392857;
82996;31/10/2004;0000;30.9;29.258065;23.154839;78.774194;
82996;30/11/2004;0000;20.7;30.186667;23.96;76.896552;
82996;31/12/2004;0000;5.7;30.751613;23.977419;76.258065;
82996;31/01/2005;0000;9.3;31.219355;24.7;79;
82996;28/02/2005;0000;69.2;31.021429;24.846429;83.074074;
82996;30/04/2005;0000;87.6;30.763333;24.463333;81.178571;
82996;31/05/2005;0000;287.6;29;23.082143;90.37931;
82996;30/06/2005;0000;465.4;27.865517;22.917241;91.482759;
82996;31/07/2005;0000;141.3;27.522581;22.425806;89.935484;
82996;31/08/2005;0000;202.1;27.216129;21.53871;84.282258;
82996;30/09/2005;0000;59;28.213333;22.123333;79.575;
82996;31/10/2005;0000;19.3;29.467742;23.083871;77.056452;
82996;30/11/2005;0000;9.3;30.466667;23.66;76.7;
82996;31/12/2005;0000;33.2;30.487097;23.409677;78.266129;
82996;31/01/2006;0000;53.7;30.429032;23.858065;74.959677;
82996;28/02/2006;0000;42.6;31.382143;23.607143;77.205357;
82996;31/03/2006;0000;178.7;30.716129;23.370968;81.919355;
82996;30/04/2006;0000;191.4;29.966667;22.823333;83.725;
82996;31/05/2006;0000;260.2;28.651613;22.03871;86.008065;
82996;30/06/2006;0000;170.3;27.746667;21.516667;85.125;
82996;31/07/2006;0000;222.1;27.058065;20.696774;83.58871;
82996;31/08/2006;0000;82.6;27.722581;21.06129;79.967742;
82996;30/09/2006;0000;58.4;28.846667;22.793333;78.058333;
82996;31/10/2006;0000;32.9;29.841935;22.935484;77.983871;
82996;30/11/2006;0000;106.4;29.996667;23.133333;79.783333;
82996;31/12/2006;0000;25.6;30.632258;23.625806;79.459677;
82996;31/01/2007;0000;178.7;30.358065;23.874194;79.814516;
82996;28/02/2007;0000;135.6;30.796429;23.867857;80.169643;
82996;31/03/2007;0000;258.9;29.73871;23.270968;83.612903;
82996;30/04/2007;0000;206.2;29.68;23.163333;83.566667;
82996;31/05/2007;0000;236.3;28.809677;22.377419;85.532258;
82996;30/06/2007;0000;288.4;27.943333;21.966667;84.741667;
82996;31/07/2007;0000;243.4;27.125806;20.719355;85.782258;
82996;31/08/2007;0000;252.6;26.83871;21.264516;82.346774;
82996;30/09/2007;0000;61.3;27.586667;21.823333;78.5;
82996;31/10/2007;0000;38.4;28.63871;23.045161;78.846774;
82996;30/11/2007;0000;22;29.536667;23.65;79.175;
82996;31/12/2007;0000;24.1;29.7;23.916129;80.483871;
82996;31/01/2008;0000;28.9;30.541935;24.303226;79.419355;
82996;29/02/2008;0000;19.6;31.124138;24.117241;77.896552;
82996;31/03/2008;0000;580.9;29.893548;23.529032;84.25;
82996;30/04/2008;0000;241;29.716667;23.383333;83.85;
82996;31/05/2008;0000;476.8;28.674194;23.351613;86.717742;
82996;30/06/2008;0000;259.3;27.44;22.51;83.666667;
82996;31/07/2008;0000;301.8;26.780645;21.858065;81.637097;
82996;31/08/2008;0000;209.6;27.080645;21.7;82.975806;
82996;30/09/2008;0000;39;28.253333;23.413333;81.883333;
82996;31/10/2008;0000;47.1;29.254839;23.43871;81.137097;
82996;30/11/2008;0000;13.7;30.133333;24.316667;77.933333;
82996;31/12/2008;0000;17.7;30.403226;24.43871;79.217742;
82996;31/01/2009;0000;98.9;30.490323;23.63871;81.709677;
82996;28/02/2009;0000;191.9;29.978571;24.085714;82.223214;
82996;31/03/2009;0000;149.6;30.309677;23.622581;80.419355;
82996;30/04/2009;0000;303.6;30.026667;23.833333;84.275;
82996;31/05/2009;0000;436.1;28.53871;23.496774;89.564516;
82996;30/06/2009;0000;400.1;27.95;22.843333;86.6;
82996;31/07/2009;0000;250.5;27.512903;22.203226;85.629032;
82996;31/08/2009;0000;251.4;27.374194;22.580645;83.112903;
82996;30/09/2009;0000;55.5;28.38;23.28;78.875;
82996;31/10/2009;0000;15.4;29.145161;22.490323;76.427419;
82996;30/11/2009;0000;20.8;29.443333;24.383333;76.358333;
82996;31/12/2009;0000;25.8;29.874194;24.654839;78.782258;
82996;31/01/2010;0000;177;29.351613;23.990323;83.016129;
82996;28/02/2010;0000;67.4;30.171429;25.010714;81.821429;
82996;31/03/2010;0000;209.7;30.748387;24.132258;81.508065;
82996;30/04/2010;0000;208.4;30.096667;24.493333;83.725;
82996;31/05/2010;0000;96.4;29.512903;23.722581;83.725806;
82996;30/06/2010;0000;460.3;28.206667;23.006667;85.666667;
82996;31/07/2010;0000;142.7;27.664516;22.270968;82.846774;
82996;31/08/2010;0000;115;27.151613;21.754839;79.895161;
82996;30/09/2010;0000;91.7;27.626667;22.79;79.216667;
82996;31/10/2010;0000;17.4;29.187097;23.4;81.677419;
82996;30/11/2010;0000;7.4;29.743333;23.97;76.508333;
82996;31/12/2010;0000;22.7;29.954839;24.551613;79.153226;
82996;31/01/2011;0000;100.6;29.996774;24.148387;82.16129;
82996;28/02/2011;0000;150.2;29.875;24.342857;80.116071;
82996;31/03/2011;0000;67.4;30.448387;23.903226;80.354839;
82996;30/04/2011;0000;513.5;29.503333;23.666667;84.825;
82996;31/05/2011;0000;418;28.132258;23.329032;87.5;
82996;30/06/2011;0000;138.2;27.716667;22.696667;85.8;
82996;31/07/2011;0000;357.3;26.887097;21.767742;87.7;
82996;31/08/2011;0000;178.9;27.529032;22.032258;81.741935;
82996;30/09/2011;0000;32.1;28.073333;22.48;80.066667;
82996;31/10/2011;0000;54.9;28.8;23.641935;81.83871;
82996;30/11/2011;0000;97.6;29.13;23.83;82.896552;
82996;31/01/2012;0000;86.3;29.703226;23.932258;82.096774;
82996;29/02/2012;0000;105.2;29.662069;24.382759;80.758621;
82996;31/03/2012;0000;148.4;29.574194;24.187097;81.935484;
82996;30/04/2012;0000;39.9;29.88;23.746667;82.233333;
82996;31/05/2012;0000;119.6;29.487097;23.145161;81.354839;
82996;30/06/2012;0000;228;27.896667;22.286667;85.933333;
82996;31/07/2012;0000;214.3;27.174194;21.616129;83.870968;
82996;31/08/2012;0000;95.1;27.064516;21.483871;80.774194;
82996;30/09/2012;0000;15.1;28.233333;22.426667;78.866667;
82996;31/10/2012;0000;33;28.964516;23.054839;79.193548;
82996;30/11/2012;0000;4.2;29.746667;23.513333;81.533333;
82996;31/12/2012;0000;7.3;;;;
82996;31/03/2013;0000;3.2;31.422727;25.063636;80;
82996;30/04/2013;0000;148.5;30.45;24.143333;84.833333;
82996;31/05/2013;0000;167.6;29.251724;23.710345;85.928571;
82996;30/06/2013;0000;264.8;28.34;22.626667;88.5;
82996;31/07/2013;0000;344.1;27.632258;22.080645;85.645161;
82996;31/08/2013;0000;150.9;27.425806;22.232258;86.258065;
82996;30/09/2013;0000;65.5;28.246667;23.163333;81.9;
82996;31/10/2013;0000;137.5;29.170968;23.619355;83.870968;
82996;30/11/2013;0000;61.1;29.006667;24.2;79.733333;
82996;31/12/2013;0000;11.3;;;;
82996;31/01/2014;0000;28.9;30.26129;23.996667;79.774194;
82996;28/02/2014;0000;94.6;29.764286;23.517857;83.321429;
82996;31/03/2014;0000;115.7;30.070968;23.577419;83.322581;
82996;30/04/2014;0000;307.7;29.87;23.583333;87.033333;
82996;31/05/2014;0000;372.5;28.577419;22.864516;89.16129;
82996;30/06/2014;0000;114.7;28.2;22.61;83.5;
82996;31/07/2014;0000;169.4;27.429032;21.964516;89.857143;
82996;31/08/2014;0000;157.9;27.406452;21.470968;84.451613;
82996;30/09/2014;0000;97.8;27.836667;22.413333;87.566667;
82996;31/10/2014;0000;139.5;28.480645;23.219355;87.16129;
82996;30/11/2014;0000;61.1;29.173333;22.996667;84.533333;
82996;31/12/2014;0000;1.2;;;;
82996;31/01/2015;0000;1.7;;;;
82996;28/02/2015;0000;71.7;30.507692;23.9;81.307692;
82996;31/03/2015;0000;150.6;30.306452;23.980645;80.83871;
82996;30/04/2015;0000;26.9;30.803333;23.46;79.8;
82996;31/05/2015;0000;161.2;29.812903;23.264516;82.258065;
82996;30/06/2015;0000;287.1;28.376667;22.976667;86.2;
82996;31/07/2015;0000;341.4;27.432258;22.270968;86.866667;
82996;31/08/2015;0000;47.6;27.813793;22.062069;80.965517;
82996;30/09/2015;0000;42.2;28.63;22.68;80.166667;
82996;31/10/2015;0000;35.8;29.326667;23.248387;77.258065;
82996;30/11/2015;0000;12.2;29.933333;23.337931;79.466667;
82996;31/12/2015;0000;62;30.067742;23.89;80.903226;
