--------------------
BDMEP - INMET
--------------------
Esta?o           : POXOREO - MT (OMM: 83358)
Latitude  (graus) : -15.83
Longitude (graus) : -54.38
Altitude  (metros): 450.00
Esta?o Operante
Inicio de opera?o: 18/09/1978
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83358;31/01/2000;0000;259.2;31.667742;21.858065;79.366667;
83358;29/02/2000;0000;351.3;31.565517;21.231034;83.87931;
83358;31/03/2000;0000;328.5;30.948387;21.216129;83.314516;
83358;30/04/2000;0000;77.1;31.74;19.47;79.175;
83358;31/05/2000;0000;0;31.054839;16.532258;75.201613;
83358;30/06/2000;0000;0;31.663333;14.203333;68.55;
83358;31/07/2000;0000;0;30.287097;12.309677;61.822581;
83358;31/08/2000;0000;15.7;34.458065;16.819355;61.441667;
83358;30/09/2000;0000;71.2;31.69;19.356667;71.068966;
83358;30/11/2000;0000;118.4;30.977273;21.605;82.9625;
83358;31/12/2000;0000;132.2;31.085185;21.522222;81.364583;
83358;31/01/2001;0000;147.6;31.531579;21.133333;83.972222;
83358;28/02/2001;0000;266.6;32.261905;21.385714;82.321429;
83358;31/03/2001;0000;401.7;31.765217;21.643478;87.2875;
83358;30/04/2001;0000;95.8;32.752381;20.247368;80.960526;
83358;31/05/2001;0000;52.1;30.183333;18.113333;81.980769;
83358;30/06/2001;0000;9.7;;;;
83358;31/08/2001;0000;7.2;34.622222;15.122222;59.777778;
83358;30/09/2001;0000;132.5;33.917241;19.848276;67.241071;
83358;31/10/2001;0000;247.1;31.194444;20.32069;77.8125;
83358;30/11/2001;0000;200.3;;22.106667;84.740741;
83358;31/12/2001;0000;618.4;;21.909677;88.096774;
83358;31/01/2002;0000;248;;21.860714;84.210526;
83358;28/02/2002;0000;269.2;;22.166667;86.663043;
83358;31/03/2002;0000;76;;21.205263;;
83358;30/04/2002;0000;111;33.907692;20.534615;80.5;
83358;31/05/2002;0000;16;31.65;18.206897;82.525;
83358;30/06/2002;0000;0;31.707692;14.316;72.019231;
83358;31/07/2002;0000;11;33.46875;14.903704;79.140625;
83358;31/08/2002;0000;6;35.465217;16.676667;65.336957;
83358;30/09/2002;0000;86.9;34.016667;18.703846;70.59;
83358;31/10/2002;0000;144.9;34.767857;21.153846;73.714286;
83358;30/11/2002;0000;239.2;33.119231;21.9;79.962963;
83358;31/12/2002;0000;301.1;33.186957;21.768966;84.802083;
83358;31/01/2003;0000;406.1;31.368966;22.14;87.965517;
83358;28/02/2003;0000;241.8;32.288;21.15;85.574074;
83358;31/03/2003;0000;428.6;32.560714;21.596429;85.401786;
83358;30/04/2003;0000;119.3;32.738095;19.538095;80.071429;
83358;31/05/2003;0000;20.6;31.529032;17.38;76.362903;
83358;30/06/2003;0000;0;32.858621;16.255172;71.198276;
83358;31/07/2003;0000;0;32.858065;14.522581;76.83871;
83358;30/09/2003;0000;147;35.12069;19.575862;77.791667;
83358;31/10/2003;0000;192.2;33.748387;21.909677;86.024194;
83358;30/11/2003;0000;141.3;33.06;21.62;88.416667;
83358;31/12/2003;0000;232.1;33.735484;22.26129;79.370968;
83358;31/01/2004;0000;409;31.112903;22.26129;85.459677;
83358;29/02/2004;0000;295.1;31.334483;21.744828;84.017241;
83358;30/04/2004;0000;204.2;32.683333;21.176667;83.541667;
83358;31/05/2004;0000;7.8;30.448387;17.741935;79.443548;
83358;30/06/2004;0000;0;31.703333;14.35;72.408333;
83358;31/07/2004;0000;29.4;31.06129;13.854839;71.83871;
83358;31/08/2004;0000;0;35.051613;13.46129;57.233871;
83358;30/09/2004;0000;9.9;36.913333;17.346667;52.4;
83358;31/10/2004;0000;246.5;33.93871;20.533333;71.064516;
83358;30/11/2004;0000;245;32.89;21.103448;77.016667;
83358;31/12/2004;0000;223.1;32.387097;21.587097;80.758065;
