--------------------
BDMEP - INMET
--------------------
Esta?o           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Esta?o Operante
Inicio de opera?o: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82900;31/01/2000;0000;276.4;29.945161;22.870968;76.483871;
82900;29/02/2000;0000;87.9;30.306897;23.237931;76.87069;
82900;31/03/2000;0000;174.1;30.316129;23.219355;74.854839;
82900;30/04/2000;0000;435.4;29.616667;23.186667;82.875;
82900;31/05/2000;0000;265.4;29.196774;22.287097;82.798387;
82900;30/06/2000;0000;562.9;27.93;21.973333;86.016667;
82900;31/07/2000;0000;575;27.035484;21.580645;86.841667;
82900;31/08/2000;0000;443.4;27.558065;21.248387;81.104839;
82900;30/09/2000;0000;336.1;28.216667;21.603333;80.358333;
82900;31/10/2000;0000;58.2;29.112903;22.786667;72.983871;
82900;30/11/2000;0000;45.1;29.746667;22.366667;73.025;
82900;31/12/2000;0000;99.1;29.33871;22.083871;76.524194;
82900;31/01/2001;0000;58.8;29.825806;22.445161;72.4;
82900;28/02/2001;0000;56.5;30.871429;23.157143;72;
82900;31/03/2001;0000;133.7;30.4;23.16129;76.806452;
82900;30/04/2001;0000;327.8;29.606667;22.606667;81.941667;
82900;31/05/2001;0000;59.5;29.967742;21.841935;78.306452;
82900;30/06/2001;0000;432.4;28.403333;21.52;85.433333;
82900;31/07/2001;0000;355.5;27.809677;21.370968;84.024194;
82900;31/08/2001;0000;211;27.690323;21.370968;78.024194;
82900;30/09/2001;0000;106.3;28.38;22.07;76.958333;
82900;31/10/2001;0000;103.7;29.219355;23.258065;78.258065;
82900;30/11/2001;0000;32.1;30.003333;23.293333;74.316667;
82900;31/12/2001;0000;109;30.164516;24.387097;77.685484;
82900;31/01/2002;0000;231.6;29.606452;23.258065;80.887097;
82900;28/02/2002;0000;199.5;30.067857;23.514286;77.767857;
82900;31/03/2002;0000;409.8;29.819355;23.354839;80.879032;
82900;30/04/2002;0000;140.2;29.833333;22.986667;80.025;
82900;31/05/2002;0000;304.2;29.096774;23.06129;81.935484;
82900;30/06/2002;0000;583.5;27.803333;22.236667;84.65;
82900;31/07/2002;0000;282.3;27.670968;21.825806;83.306452;
82900;31/08/2002;0000;124.2;27.825806;21.158065;77.653226;
82900;30/09/2002;0000;42.5;28.656667;21.426667;72.541667;
82900;31/10/2002;0000;49;29.022581;22.767742;74.112903;
82900;30/11/2002;0000;87.7;29.74;22.543333;75.183333;
82900;31/12/2002;0000;33.1;30.693548;23.506452;74.024194;
82900;31/01/2003;0000;53.3;31.43871;22.583871;73.048387;
82900;28/02/2003;0000;158.5;30.514286;23;77.303571;
82900;31/03/2003;0000;397.9;30.364516;22.922581;81.532258;
82900;30/04/2003;0000;116.1;30.456667;22.73;79.208333;
82900;31/05/2003;0000;225.9;30.012903;22.606452;81.951613;
82900;30/06/2003;0000;474.5;27.986667;21.37;85.95;
82900;31/07/2003;0000;282.2;27.445161;21.083871;83.596774;
82900;31/08/2003;0000;194.8;27.825806;20.732258;81.322581;
82900;30/09/2003;0000;136;28.533333;21.743333;77.35;
82900;31/10/2003;0000;52.3;29.483871;22.512903;74.330645;
82900;30/11/2003;0000;26.8;30.69;23.256667;72.341667;
82900;31/12/2003;0000;51.5;31.306452;23.523333;71.919355;
82900;31/01/2004;0000;249.9;30.66129;23.674194;79.177419;
82900;29/02/2004;0000;226;30.675862;22.868966;79.189655;
82900;31/03/2004;0000;168.8;30.735484;23.193548;77.169355;
82900;30/04/2004;0000;378.2;30.09;22.963333;82;
82900;31/05/2004;0000;327.7;29.341935;22.23871;86.120968;
82900;30/06/2004;0000;537.3;28.293333;21.727586;88;
82900;31/07/2004;0000;359.8;27.890323;20.625806;86.08871;
82900;31/08/2004;0000;138.9;28.396774;20.012903;82.459677;
82900;30/09/2004;0000;81.1;28.643333;21.173333;78.166667;
82900;31/10/2004;0000;33.6;29.641935;22.16129;73.846774;
82900;30/11/2004;0000;18.2;30.55;22.896667;71.058333;
82900;31/12/2004;0000;13.2;31.032258;22.735484;69.419355;
82900;31/01/2005;0000;14.3;31.467742;23.267742;70.629032;
82900;28/02/2005;0000;80.4;31.682143;23.85;74.919643;
82900;31/03/2005;0000;75.9;31.864516;23.873333;72.591667;
82900;30/04/2005;0000;168.1;30.62;23.16;78.308333;
82900;31/05/2005;0000;507.1;29.5;22.341935;86.096774;
82900;30/06/2005;0000;709;28.366667;21.923333;87.483333;
82900;31/07/2005;0000;182.7;28.145161;20.57;81.709677;
82900;31/08/2005;0000;290.8;27.654839;20.906452;83.427419;
82900;30/09/2005;0000;45.3;28.716667;21.436667;76.1;
82900;31/10/2005;0000;59.7;29.674194;21.816129;74.024194;
82900;30/11/2005;0000;8.7;30.58;23.255172;70.6;
82900;31/12/2005;0000;174.2;30.1;22.913793;73.056452;
82900;31/01/2006;0000;12.3;30.609677;23.316129;70.540323;
82900;28/02/2006;0000;32.4;31.764286;23.246429;70.491071;
82900;31/03/2006;0000;158.2;31.635484;23.012903;74.701613;
82900;30/04/2006;0000;322.2;30.603333;22.913333;80.541667;
82900;31/05/2006;0000;338;29.732258;22.663333;85.048387;
82900;30/06/2006;0000;432.1;28.48;21.963333;83.533333;
82900;31/07/2006;0000;222.5;28.422581;21.096774;82.475806;
82900;31/08/2006;0000;185.8;28.377419;21.212903;79.75;
82900;30/09/2006;0000;79;29.023333;21.783333;75.016667;
82900;31/10/2006;0000;8.7;30.312903;22.777419;69.951613;
82900;30/11/2006;0000;84.7;30.776667;23.01;71.034483;
82900;31/12/2006;0000;106.4;30.86129;22.744828;73.241667;
82900;31/01/2007;0000;83.5;30.867742;23.087097;74.983871;
82900;28/02/2007;0000;226.7;31.621429;23.217857;75.75;
82900;31/03/2007;0000;138.7;30.406452;23.254839;78.048387;
82900;30/04/2007;0000;347.3;30.316667;22.666667;80.466667;
82900;31/05/2007;0000;208.2;29.683871;22.506452;83.854839;
82900;30/06/2007;0000;390.8;28.36;21.710345;84.483333;
82900;31/07/2007;0000;331;28.290323;20.987097;83.66129;
