--------------------
BDMEP - INMET
--------------------
Esta?o           : RESENDE - RJ (OMM: 83738)
Latitude  (graus) : -22.45
Longitude (graus) : -44.44
Altitude  (metros): 439.89
Esta?o Operante
Inicio de opera?o: 22/05/1944
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83738;31/01/2000;0000;426.5;29.83871;19.783871;79.370968;
83738;29/02/2000;0000;240.5;29.748276;19.641379;81.387931;
83738;31/03/2000;0000;208.9;28.051613;18.980645;80.41129;
83738;30/04/2000;0000;63.8;27.373333;17.366667;79.808333;
83738;31/05/2000;0000;50.7;25.193548;13.922581;75.298387;
83738;30/06/2000;0000;0.2;25.22;11.513333;72.825;
83738;31/07/2000;0000;51.6;22.529032;11.025806;76.112903;
83738;31/08/2000;0000;29.4;24.748387;12.916129;69.895161;
83738;30/09/2000;0000;81.1;25.72;15.793333;75.233333;
83738;31/10/2000;0000;59.6;30.270968;18.612903;69.870968;
83738;30/11/2000;0000;225.2;28.386667;19.2;76.858333;
83738;31/12/2000;0000;364.5;29.903226;20.283871;76.741935;
83738;31/01/2001;0000;132.5;31.045161;19.851613;72.322581;
83738;28/02/2001;0000;189.3;31.392857;20.692857;72.785714;
83738;31/03/2001;0000;179.3;30.696774;19.509677;73.596774;
83738;30/04/2001;0000;58.5;28.953333;18.34;72.525;
83738;31/05/2001;0000;35.1;26.135484;15.587097;71.443548;
83738;30/06/2001;0000;2.8;25.926667;14.053333;69.666667;
83738;31/07/2001;0000;0;;;;
83738;31/10/2001;0000;;28.492308;16.937931;66.913462;
83738;30/11/2001;0000;;28.689655;19.117241;76.066667;
83738;31/12/2001;0000;;29.996154;20.107143;78.130435;
83738;31/01/2002;0000;;29.273333;19.645161;81.853448;
83738;28/02/2002;0000;;28.08;19.948148;83.26;
83738;31/03/2002;0000;;30.324138;19.806452;73.616071;
83738;30/04/2002;0000;;29.78;18.77931;70.982759;
83738;31/05/2002;0000;77.9;25.906452;16.703226;74.056452;
83738;30/06/2002;0000;4.9;26.026667;14.086667;71.5;
83738;31/07/2002;0000;26;23.335484;13.690323;74.016129;
83738;31/08/2002;0000;42.5;26.735484;14.96129;68.258065;
83738;30/09/2002;0000;69.3;24.786667;14.596667;72.558333;
83738;31/10/2002;0000;95.7;31.03871;17.780645;61.274194;
83738;30/11/2002;0000;122.7;28.686667;18.76;72.415;
83738;31/12/2002;0000;259.4;29.419355;20.429032;77.298387;
83738;31/01/2003;0000;361.5;28.754839;20.277419;82.201613;
83738;28/02/2003;0000;88.4;32.678571;19.85;64.026786;
83738;31/03/2003;0000;219.5;29.090323;19.554839;74.548387;
83738;30/04/2003;0000;61.6;27.393333;18.05;72.858333;
83738;31/05/2003;0000;25.4;24.722581;13.451613;72.217742;
83738;30/06/2003;0000;12.3;26.153333;13.753333;72.216667;
83738;31/07/2003;0000;24.3;24.832258;11.522581;70.451613;
83738;31/08/2003;0000;35.9;23.974194;13.187097;69.58871;
83738;30/09/2003;0000;44.8;25.54;14.9;69.5;
83738;31/10/2003;0000;178.7;27.406452;16.896774;68.758065;
83738;30/11/2003;0000;229.2;27.513333;18.213333;76.232759;
83738;31/12/2003;0000;157.9;29.045161;19.858065;77.572581;
83738;31/01/2004;0000;324.9;28.03871;19.296774;76.072581;
83738;29/02/2004;0000;285.7;27.637931;19.434483;82.706897;
83738;31/03/2004;0000;122.6;28.048387;19.03871;79.806452;
83738;30/04/2004;0000;165.6;26.436667;18.326667;83.008333;
83738;31/05/2004;0000;84.1;22.793548;15.277419;80.137097;
83738;30/06/2004;0000;39.7;21.996667;11.626667;79.516667;
83738;31/07/2004;0000;84.8;21.064516;11.806452;79.629032;
83738;31/08/2004;0000;1.4;24.167742;12.454839;69.225806;
83738;30/09/2004;0000;14.6;28.49;15.533333;67.416667;
83738;31/10/2004;0000;150.3;25.9;16.206452;78.459677;
83738;30/11/2004;0000;166.5;27.885714;17.685714;74.6875;
83738;31/12/2004;0000;239.7;29.293548;19.712903;80.41129;
83738;31/01/2005;0000;369.9;29.445161;20.806452;;
83738;28/02/2005;0000;262.9;29.971429;19.717857;78.169643;
83738;31/03/2005;0000;169.9;29.870968;20.46129;82.080645;
83738;30/04/2005;0000;141;29.073333;19.276667;81.783333;
83738;31/05/2005;0000;65.1;26.519355;15.567742;79.322581;
83738;30/06/2005;0000;13.2;25.953333;13.88;79.775;
83738;31/07/2005;0000;33.9;23.706452;13.074194;79.967742;
83738;31/08/2005;0000;6.2;28.309677;13.680645;69.08871;
83738;30/09/2005;0000;95;24.82;16.363333;81.683333;
83738;31/10/2005;0000;74.3;29.525806;19.019355;74.693548;
83738;30/11/2005;0000;174.1;27.896667;18.493333;78.175;
83738;31/12/2005;0000;212;28.445161;18.935484;78.516129;
83738;31/01/2006;0000;166.6;31.535484;20.109677;;
83738;28/02/2006;0000;359.1;31.007143;20.446429;82.223214;
83738;31/03/2006;0000;185.3;29.709677;20.470968;80.725806;
83738;30/04/2006;0000;55.5;28.173333;18.35;78.383333;
83738;31/05/2006;0000;39.3;24.790323;15.051613;79.443548;
83738;30/06/2006;0000;13.7;25.226667;12.88;78.483333;
83738;31/07/2006;0000;24.4;27.067742;11.158065;72.258065;
83738;31/08/2006;0000;22.5;27.712903;14.170968;70.629032;
83738;30/09/2006;0000;74.4;26.56;14.746667;73.233333;
83738;31/10/2006;0000;180.4;27.480645;18.235484;79.959677;
