--------------------
BDMEP - INMET
--------------------
Esta?o           : RIO VERDE - GO (OMM: 83470)
Latitude  (graus) : -17.8
Longitude (graus) : -50.91
Altitude  (metros): 774.62
Esta?o Operante
Inicio de opera?o: 01/01/1971
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83470;31/01/2000;0000;222.9;29.7;19.9;78.153226;
83470;29/02/2000;0000;338;29.296552;19.67931;82.008621;
83470;31/03/2000;0000;525.6;29.216129;19.390323;79.862903;
83470;30/04/2000;0000;47.2;30.086667;17.81;68.291667;
83470;31/05/2000;0000;0;29.319355;15.56129;62.991935;
83470;30/06/2000;0000;0;29.686667;14.76;53.741667;
83470;31/07/2000;0000;9.2;27.664516;11.941935;51.066667;
83470;31/08/2000;0000;25.7;31.622581;16.048387;45.983871;
83470;30/09/2000;0000;119.3;29.183333;17.786667;67.483333;
83470;31/10/2000;0000;128;32.370968;19.809677;58.266129;
83470;30/11/2000;0000;344.4;29.143333;19.276667;79.066667;
83470;31/12/2000;0000;469.5;29.180645;19.5;81.564516;
83470;31/01/2001;0000;304.3;29.570968;19.045161;77.733871;
83470;28/02/2001;0000;103;;19.310714;76.138889;
83470;31/03/2001;0000;257.4;;19.541935;77.435484;
83470;30/04/2001;0000;23.4;;18.993333;64.166667;
83470;31/05/2001;0000;99.3;;15.667742;69.008065;
83470;30/06/2001;0000;8.8;;13.636667;65.058333;
83470;31/07/2001;0000;0.2;;14.596774;54.596774;
83470;31/08/2001;0000;6;;15.125806;48.040323;
83470;30/09/2001;0000;47.9;;18.296552;53.358333;
83470;31/10/2001;0000;100.2;29.721739;18.595238;68.008065;
83470;30/11/2001;0000;252.1;29.51;;80.175;
83470;31/12/2001;0000;239.2;28.858065;;80.580645;
83470;31/01/2002;0000;283.9;29.422581;;79.306452;
83470;28/02/2002;0000;269.4;29.044444;20.042857;83.490741;
83470;31/03/2002;0000;146.6;30.325806;19.377419;75.129032;
83470;30/04/2002;0000;3.3;31.834483;19.296552;58.825;
83470;31/05/2002;0000;57.1;29.425806;17.766667;63.870968;
83470;30/06/2002;0000;0;29.306897;15.526667;49.575;
