--------------------
BDMEP - INMET
--------------------
Esta?o           : SALINAS - MG (OMM: 83441)
Latitude  (graus) : -16.15
Longitude (graus) : -42.28
Altitude  (metros): 471.32
Esta?o Operante
Inicio de opera?o: 05/03/1925
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83441;31/01/2000;0000;154.4;30.648387;20.070968;81.58871;
83441;29/02/2000;0000;64.3;32.065517;19.893103;72.387931;
83441;31/03/2000;0000;205.8;30.116129;19.864516;83.024194;
83441;30/04/2000;0000;7.9;29.59;19.02;77.558333;
83441;31/05/2000;0000;2.3;29.793548;16;68.766129;
83441;30/06/2000;0000;0;28.16;13.556667;65.7;
83441;31/07/2000;0000;2.5;28.16129;14.732258;64.862903;
83441;31/08/2000;0000;4.9;29.864516;14.358065;62.669355;
83441;30/09/2000;0000;16.5;29.653333;18.35;61.941667;
83441;31/10/2000;0000;22.8;33.96129;19.603226;52.895161;
83441;30/11/2000;0000;229.2;31.01;20.77;69.941667;
83441;31/12/2000;0000;203.9;29.509677;20.903226;82.943548;
83441;31/01/2001;0000;67.7;31.103226;19.164516;75.806452;
83441;28/02/2001;0000;59;33.946429;18.842857;66.142857;
83441;31/03/2001;0000;80.8;31.109677;19.777419;77.008065;
83441;30/04/2001;0000;62.9;30.87;17.953333;71.525;
83441;31/05/2001;0000;17.7;30.351613;17.393548;74.33871;
83441;30/06/2001;0000;8.2;28.006667;15.77;70.433333;
83441;31/07/2001;0000;5.2;28.667742;15.029032;67.08871;
83441;31/08/2001;0000;0;29.212903;15.690323;58.620968;
83441;30/09/2001;0000;12.4;30.836667;18.143333;62.533333;
83441;31/10/2001;0000;195.6;30.029032;19.690323;72.120968;
83441;30/11/2001;0000;104.8;30.246667;20.453333;83.591667;
83441;31/12/2001;0000;147.7;30.551613;20.177419;81.983871;
83441;31/01/2002;0000;204.2;30.674194;20.696774;85.782258;
83441;28/02/2002;0000;162.6;31.214286;20.378571;83.464286;
83441;31/03/2002;0000;56.2;31.46129;19.945161;79.790323;
83441;30/04/2002;0000;2.2;31.593333;18.356667;72.075;
83441;31/05/2002;0000;11.1;30.45;15.767742;73.709677;
83441;30/06/2002;0000;2.5;28.53;16.17;74.933333;
83441;31/07/2002;0000;6.1;28.925806;15.183333;74.951613;
83441;31/08/2002;0000;0.8;30.573333;15.796774;67.5;
83441;30/09/2002;0000;52.4;30.303448;19.073333;71.37931;
83441;31/10/2002;0000;17.3;34.254839;19.358065;59.733871;
83441;30/11/2002;0000;162.6;31.583333;19.95;74.675;
83441;31/12/2002;0000;287.7;32.351613;20.806452;78.677419;
83441;31/01/2003;0000;158.7;31.251613;21.354839;87.330645;
83441;28/02/2003;0000;2.3;32.760714;19.95;75.946429;
83441;31/03/2003;0000;112.8;32.741935;20.577419;76.241935;
83441;30/04/2003;0000;33.9;32.23;19.59;75.033333;
83441;31/05/2003;0000;9.9;30.529032;17.870968;74.072581;
83441;30/06/2003;0000;0;30.116667;12.47;71.3;
83441;31/07/2003;0000;2.1;28.354839;13.841935;71.080645;
83441;31/08/2003;0000;5.4;29.277419;15.935484;69.830645;
83441;30/09/2003;0000;30.4;31.823333;17.716667;63.241667;
83441;31/10/2003;0000;5.8;32.851613;18.656667;60.975806;
83441;30/11/2003;0000;109.8;32.013333;19.893333;72.825;
83441;31/12/2003;0000;70.6;34.432258;21.193548;67.41129;
83441;31/01/2004;0000;207.8;30.032258;21.183333;82.798387;
83441;29/02/2004;0000;261.8;30.175862;20.42069;86.517241;
83441;31/03/2004;0000;332.1;28.848387;20.167742;88.137097;
83441;30/04/2004;0000;45;29.126667;19.66;85.266667;
83441;31/05/2004;0000;5.9;28.435484;18.245161;85.83871;
83441;30/06/2004;0000;23.3;26.076667;15.713333;81.058333;
83441;31/07/2004;0000;5.5;25.703226;14.251613;72.032258;
83441;31/08/2004;0000;0;28.954839;13.367742;57.491935;
83441;30/09/2004;0000;0;31.566667;14.406667;48.241667;
83441;31/10/2004;0000;141.5;32.135484;19.087097;56.516129;
83441;30/11/2004;0000;61.6;30.67;19.9;69.191667;
83441;31/12/2004;0000;54.5;32.13871;19.751613;74.33871;
83441;31/01/2005;0000;127;32.445161;21.041935;76.362903;
83441;28/02/2005;0000;136.7;31.217857;20.710714;80.723214;
83441;31/03/2005;0000;146.8;31.570968;21.174194;80.895161;
83441;30/04/2005;0000;5.8;31.093333;19.596667;72.516667;
83441;31/05/2005;0000;12.5;29.916129;17.025806;71.33871;
83441;30/06/2005;0000;13.2;27.766667;16.166667;73.066667;
83441;31/07/2005;0000;3.7;28.087097;13.974194;62.822581;
83441;31/08/2005;0000;1;30.229032;16.345161;59.475806;
83441;30/09/2005;0000;19.6;31.966667;18.566667;57.85;
83441;31/10/2005;0000;47.8;35.226667;20.251613;43.879032;
83441;30/11/2005;0000;213.4;29.766667;20.603333;70.95;
83441;31/12/2005;0000;183.4;29.583871;20.187097;76.419355;
83441;31/01/2006;0000;11.7;31.693548;19.132258;66.362903;
83441;28/02/2006;0000;50;34.625;20.971429;61.723214;
83441;31/03/2006;0000;224.3;30.541935;21.483871;79.572581;
83441;30/04/2006;0000;93.8;29.026667;19.546667;81.225;
83441;31/05/2006;0000;23.1;27.406452;15.551613;78.741935;
83441;30/06/2006;0000;4.6;26.086667;13.406667;75.016667;
83441;31/07/2006;0000;0.9;27.393548;12.290323;69.274194;
83441;31/08/2006;0000;1.2;30.180645;15.319355;59.298387;
83441;30/09/2006;0000;70.9;30.366667;17.646667;61.7;
83441;31/10/2006;0000;88.6;29.912903;20.309677;70.959677;
83441;30/11/2006;0000;400.3;29.633333;19.87;79.95;
83441;31/12/2006;0000;162.9;30.412903;20.354839;79.290323;
83441;31/01/2007;0000;72.1;32.103226;20.683871;75.685484;
83441;28/02/2007;0000;240;29.592857;20.864286;80.883929;
83441;31/03/2007;0000;11.4;31.570968;19.290323;72.491935;
83441;30/04/2007;0000;95;30.52;19.123333;76.558333;
83441;31/05/2007;0000;3.1;29.196774;15.345161;74.693548;
83441;30/06/2007;0000;0.4;28.863333;13.06;68.541667;
83441;31/07/2007;0000;0.7;29.448387;13.983871;62.241935;
83441;31/08/2007;0000;0.6;29.351613;13.283871;56.709677;
83441;30/09/2007;0000;7.1;31.143333;16.54;52.425;
83441;31/10/2007;0000;0;33.683871;19.76129;46.564516;
