--------------------
BDMEP - INMET
--------------------
Esta?o           : SANTA MARIA - RS (OMM: 83936)
Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Altitude  (metros): 95.00
Esta?o Operante
Inicio de opera?o: 01/01/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83936;31/01/2000;0000;246;31.496774;20.029032;69.669355;
83936;29/02/2000;0000;90.5;29.689655;19.031034;75.37069;
83936;31/03/2000;0000;248.9;27.322581;17.254839;81.266129;
83936;30/04/2000;0000;78.2;26.36;16.056667;81.758333;
83936;31/05/2000;0000;143.2;21.290323;11.380645;82.217742;
83936;30/06/2000;0000;262.2;21.213333;12.34;81.133333;
83936;31/07/2000;0000;94.6;16.987097;6.13871;79.403226;
83936;31/08/2000;0000;99.2;21.816129;8.377419;77.91129;
83936;30/09/2000;0000;242.4;22.633333;11.02;77.633333;
83936;31/10/2000;0000;185;24.474194;15.690323;81.629032;
83936;30/11/2000;0000;204.2;26.693333;15.423333;74.908333;
83936;31/12/2000;0000;154.2;29.890323;18.206452;71.556452;
83936;30/09/2001;0000;94.4;;;;
83936;31/10/2001;0000;141.6;26.944444;16.286667;78.009615;
83936;30/11/2001;0000;94.5;28.085714;16.866667;76.5625;
83936;31/12/2001;0000;71.8;29.435714;17.75;72.148148;
83936;31/01/2002;0000;111.8;31.36129;19.948387;70.116667;
83936;28/02/2002;0000;101.2;29.892857;18.317857;77;
83936;31/03/2002;0000;252.1;30.858065;21.509677;82.072581;
83936;30/04/2002;0000;183.7;24.793333;16.09;86.310345;
83936;31/05/2002;0000;204.6;23.432258;15.048387;85.306452;
83936;30/06/2002;0000;175.1;18.553333;10.453333;84.366667;
83936;31/07/2002;0000;238.3;19.012903;9.570968;85.25;
83936;31/08/2002;0000;283.8;21.653333;12.648387;81.725806;
83936;30/09/2002;0000;306.8;21.433333;10.34;81.175;
83936;31/10/2002;0000;349.8;25.658065;16.990323;81.709677;
83936;30/11/2002;0000;243.4;27.9;17.7;74.3;
83936;31/12/2002;0000;232.8;29.754839;18.854839;74.798387;
83936;31/01/2003;0000;177.8;31.696774;19.909677;73.725806;
83936;28/02/2003;0000;204.7;30.642857;20.935714;80.732143;
83936;31/03/2003;0000;342.4;28.23871;18.906452;87.91129;
83936;30/04/2003;0000;190;25;14.333333;85.158333;
83936;31/05/2003;0000;69.1;23.36129;12.096774;80.596774;
83936;30/06/2003;0000;170.5;20.566667;12.883333;88.075;
83936;31/07/2003;0000;112.8;19.090323;9.587097;83.467742;
83936;31/08/2003;0000;73.9;20.63871;8.409677;76.701613;
83936;30/09/2003;0000;57.2;22.626667;10.82;76.75;
83936;31/10/2003;0000;193.4;26.864516;14.754839;75.451613;
83936;30/11/2003;0000;228.6;28.013333;16.573333;71.991667;
83936;31/12/2003;0000;357.3;27.687097;17.280645;75.580645;
83936;31/01/2004;0000;21.7;31.664516;19.858065;74.193548;
83936;29/02/2004;0000;110.8;29.951724;17.910345;71.801724;
83936;31/03/2004;0000;94.1;30.070968;17.329032;75.451613;
83936;30/04/2004;0000;101.5;27.953333;16.413333;79.783333;
83936;31/05/2004;0000;85.8;19.722581;11.119355;86.887097;
83936;30/06/2004;0000;72.1;21.772414;11.823333;83.975;
83936;31/07/2004;0000;72.5;19.529032;8.787097;80.33871;
83936;31/08/2004;0000;85.3;21.716129;10.770968;81.137097;
83936;30/09/2004;0000;96.3;24.46;14.06;81.466667;
83936;31/10/2004;0000;120.1;25.696774;12.451613;73.193548;
83936;30/11/2004;0000;147.7;27.426667;15.84;70.55;
83936;31/12/2004;0000;62.2;30.467742;17.851613;63.653226;
83936;31/01/2005;0000;49.8;33.425806;19.977419;63.991935;
83936;28/02/2005;0000;59.4;30.885714;19.160714;71.776786;
83936;31/03/2005;0000;55.4;31.016129;18.274194;68.637097;
83936;30/04/2005;0000;276.1;25.1;15.32;83.966667;
