--------------------
BDMEP - INMET
--------------------
Esta?o           : SANTA VITORIA DO PALMAR - RS (OMM: 83997)
Latitude  (graus) : -33.51
Longitude (graus) : -53.35
Altitude  (metros): 24.01
Esta?o Operante
Inicio de opera?o: 01/10/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83997;31/01/2000;0000;47.4;28.132258;18.251613;71.919355;
83997;29/02/2000;0000;105.5;26.982759;18.1;74.646552;
83997;31/03/2000;0000;39.3;25.66129;15.725806;76.548387;
83997;30/04/2000;0000;186.2;23.686667;14.706667;84.733333;
83997;31/05/2000;0000;294.1;18.770968;11.13871;86.169355;
83997;30/06/2000;0000;120.9;17.556667;9.923333;87.408333;
83997;31/07/2000;0000;102.1;14.312903;6.541935;82.774194;
83997;31/08/2000;0000;63.3;17.151613;7.258065;81.556452;
83997;30/09/2000;0000;157.7;18.073333;8.116667;84.441667;
83997;31/10/2000;0000;43.4;20.022581;12.054839;84.870968;
83997;30/11/2000;0000;25.2;23.743333;13.006667;73.1;
83997;31/12/2000;0000;65.7;27.277419;15.725806;72.524194;
83997;30/09/2001;0000;8.5;;;;
83997;31/10/2001;0000;137.8;21.751852;14.810345;86.4;
83997;30/11/2001;0000;83.8;23.732143;14.09;77.638889;
83997;31/12/2001;0000;15.4;24.741379;15.728571;80.142857;
83997;31/01/2002;0000;123.9;27.416129;18.087097;81.396552;
83997;28/02/2002;0000;191.1;26.335714;17.153571;82.269231;
83997;31/03/2002;0000;473.5;25.73871;18.787097;87.580357;
83997;30/04/2002;0000;229.9;21.936667;13.803333;87.553571;
83997;31/05/2002;0000;91.9;21.251613;12.406452;88.008065;
83997;30/06/2002;0000;87.2;16.416667;7.486207;85.475;
83997;31/07/2002;0000;120.9;15.483871;7.23871;87.266129;
83997;31/08/2002;0000;209.3;18.290323;9.193548;84.129032;
83997;30/09/2002;0000;42;17.923333;8.203333;82.783333;
83997;31/10/2002;0000;66.4;22.732258;13.512903;85.693548;
83997;30/11/2002;0000;72.5;24.97931;14.546667;74.316667;
83997;31/12/2002;0000;202.6;24.970968;16.706452;79.024194;
83997;31/01/2003;0000;17;28.325806;17.63871;72.233871;
83997;28/02/2003;0000;280.6;28.125;19.028571;80.75;
83997;31/03/2003;0000;91.7;26.3;17.209677;81.524194;
83997;30/04/2003;0000;70.3;21.89;12.59;84.466667;
83997;31/05/2003;0000;300.5;19.690323;11.332258;84.895161;
83997;30/06/2003;0000;185.5;16.36;7.943333;87.508333;
83997;31/07/2003;0000;52.1;15.719355;6.951613;83.064516;
83997;31/08/2003;0000;103.2;16.33871;7.058065;83.604839;
83997;30/09/2003;0000;156;18.23;8.273333;80.191667;
83997;31/10/2003;0000;49.8;22.487097;11.583871;75.145161;
83997;30/11/2003;0000;182.2;23.58;13.523333;77.391667;
