--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Esta?o Operante
Inicio de opera?o: 24/09/1939
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83726;31/01/2000;0000;277.5;28.5;18.35;79.230769;
83726;29/02/2000;0000;316.3;27.892;18.936;83.82;
83726;31/03/2000;0000;247.8;28.070968;18.483871;80.16129;
83726;30/04/2000;0000;24.6;28.13;15.79;69.691667;
83726;31/05/2000;0000;7.9;25.396774;12.670968;70.830645;
83726;30/06/2000;0000;11.3;25.72;13.103333;67.158333;
83726;31/07/2000;0000;46.1;24.077419;10.064516;65.709677;
83726;31/08/2000;0000;49.4;26.270968;13.048387;65.572581;
83726;30/09/2000;0000;150.6;24.64;15.246667;74.341667;
83726;31/10/2000;0000;99.7;;18.070968;64.991935;
83726;30/11/2000;0000;276.6;;17.446667;75.55;
83726;31/12/2000;0000;234.1;28.556667;18.422581;79.25;
83726;31/01/2001;0000;255.5;29.848387;18.651613;76.362903;
83726;28/02/2001;0000;89.3;30.082143;19.239286;78.544643;
83726;31/03/2001;0000;163.4;29.76129;18.809677;76.508065;
83726;30/04/2001;0000;30.5;29.053333;16.933333;71.681034;
83726;31/05/2001;0000;67.3;24.422581;13.422581;76.806452;
83726;30/06/2001;0000;10.5;24.133333;12.636667;74.591667;
83726;31/07/2001;0000;4.1;25.983871;12.880645;67.475806;
83726;31/08/2001;0000;46.6;26.696774;13.745161;59.419355;
83726;30/09/2001;0000;110.2;26.87;15.353333;63.916667;
