--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO JOAO DO PIAUI - PI (OMM: 82879)
Latitude  (graus) : -8.35
Longitude (graus) : -42.25
Altitude  (metros): 235.33
Esta?o Operante
Inicio de opera?o: 30/09/1975
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82879;31/01/2000;0000;210;31.422581;21.909677;78;
82879;29/02/2000;0000;145.1;31.258621;21.572414;80.982759;
82879;31/03/2000;0000;84.9;30.964516;21.46129;77.532258;
82879;30/04/2000;0000;89;32.4;22.133333;73.258333;
82879;31/05/2000;0000;41;33.435484;21.267742;61.532258;
82879;30/06/2000;0000;1.9;33.22;21.523333;;
82879;31/07/2000;0000;12.2;33.319355;21.577419;;
82879;31/08/2000;0000;0;34.680645;22.429032;;
82879;30/09/2000;0000;0.2;35.646667;24.103333;;
82879;31/03/2001;0000;140.4;31.26129;21.429032;;
82879;31/05/2001;0000;19.3;34.577419;21.351613;;
82879;30/09/2001;0000;3;;;;
82879;31/10/2001;0000;12;36.945161;24.225806;42.5;
82879;30/11/2001;0000;0;36.389655;24.453333;52.009259;
82879;31/12/2001;0000;70.4;34.775862;23.503704;61.0625;
82879;31/01/2002;0000;223.9;30.47;21.955172;82.778846;
82879;28/02/2002;0000;74;32.830769;21.407143;73.346154;
82879;31/03/2002;0000;86.2;33.245161;22.186667;70.637097;
82879;30/04/2002;0000;25.2;33.057143;21.640741;68.9;
82879;31/05/2002;0000;0;34.777419;22.36129;54.193548;
82879;30/06/2002;0000;2;33.486667;22.846667;52.041667;
82879;31/07/2002;0000;0.3;34.035484;22.332258;44.16129;
82879;31/08/2002;0000;0;34.136667;23.022581;43.95;
82879;30/09/2002;0000;2.6;36.343333;24.241379;38.658333;
82879;31/10/2002;0000;0;37.462069;25.04;34.827586;
82879;30/11/2002;0000;14.1;37.026667;25.39;40.325;
82879;31/12/2002;0000;167.8;34;23.44;62.322581;
82879;31/01/2003;0000;129.1;32.332258;22.074194;73.217742;
