--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO JOSE DO RIO CLARO - MT (OMM: 83267)
Latitude  (graus) : -13.43
Longitude (graus) : -56.71
Altitude  (metros): 350.00
Esta?o Operante
Inicio de opera?o: 14/03/1990
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83267;31/01/2000;0000;195;31.658065;21.683871;88.258065;
83267;29/02/2000;0000;152;31.193103;21.610345;90.163793;
83267;31/03/2000;0000;260;31.632258;21.387097;91.443548;
83267;30/04/2000;0000;162;32.413333;20.616667;88.975;
83267;31/05/2000;0000;0;32.548387;17.83871;84.467742;
83267;30/06/2000;0000;0;32.76;15.393333;83.991667;
83267;31/07/2000;0000;0;31.422581;13.193548;78.112903;
83267;31/08/2000;0000;0;35.012903;16.322581;80.395161;
83267;30/09/2000;0000;87.6;33.72;19.21;89.441667;
83267;31/10/2000;0000;144.9;;;92.25;
83267;30/11/2000;0000;199.7;;;93.1;
83267;31/12/2000;0000;506.6;;;90.741935;
83267;31/01/2001;0000;351.9;31.103226;21.129032;92.741935;
83267;28/02/2001;0000;185.5;32.014286;21.192857;92.472222;
83267;31/03/2001;0000;236.5;31.316129;21.509677;88.032258;
83267;30/04/2001;0000;89.1;32.946667;20.693333;82.916667;
83267;31/05/2001;0000;28.4;30.903226;18.677419;86.774194;
83267;30/06/2001;0000;2.3;31.684615;15.940741;77.058333;
83267;31/07/2001;0000;3.9;33.103226;15.929032;75.058333;
83267;31/08/2001;0000;0;34.845161;15.354839;64.282258;
83267;30/09/2001;0000;47.6;34.53;19.9;73.541667;
83267;31/10/2001;0000;162.1;33.251613;20.632258;79.064516;
83267;30/11/2001;0000;251;32.603333;21.78;84.55;
83267;31/12/2001;0000;353.1;30.845161;21.990323;89.731481;
83267;31/01/2002;0000;411;32.010714;21.4;89.076923;
83267;28/02/2002;0000;330;31.014815;21.892308;90.22;
83267;31/03/2002;0000;191;32.586207;21.173333;87.277778;
83267;30/04/2002;0000;42;33.585714;20.713793;85.44;
83267;31/05/2002;0000;55;33.22;19.313333;83.058333;
83267;30/06/2002;0000;18;32.958621;15.962069;78.534483;
83267;31/07/2002;0000;2;33.65;16.555172;73.383929;
83267;31/08/2002;0000;30;36.122222;16.846667;72.973214;
83267;30/09/2002;0000;188.7;34.557692;19.27037;75.634615;
83267;31/10/2002;0000;99.3;33.843333;21.210345;78.966667;
83267;30/11/2002;0000;182;32.989286;21.76;81.071429;
83267;31/12/2002;0000;424.2;32.613333;22.024138;83.758333;
83267;31/01/2003;0000;479.5;31.106452;22.216129;86.564516;
83267;28/02/2003;0000;202.1;31.667857;21.325;86.107143;
83267;31/03/2003;0000;389.2;31.4;21.745161;87.443548;
83267;30/04/2003;0000;121.3;32.433333;20.616667;86.533333;
83267;31/05/2003;0000;43.6;32.032258;18.745161;88.427419;
83267;31/12/2003;0000;243.2;33.222581;21.162069;85.548387;
83267;31/01/2004;0000;292.5;31.109677;22.132258;89.66129;
83267;29/02/2004;0000;573.6;30.593103;21.727586;91.301724;
83267;31/03/2004;0000;140.7;33.229032;21.722581;86.629032;
83267;30/04/2004;0000;93.9;32.556667;21.626667;89.558333;
83267;31/05/2004;0000;27.1;31.077419;18.919355;83.322581;
83267;30/06/2004;0000;1.1;31.64;15.72;78.15;
83267;31/07/2004;0000;20.8;32.219355;15.473333;76.951613;
83267;31/08/2004;0000;0;35.36129;15.409677;66.669355;
83267;30/09/2004;0000;36.8;35.536667;18.466667;69.456897;
83267;31/10/2004;0000;165.2;34.051613;21.3;78.408333;
83267;30/11/2004;0000;147.6;33.093333;21.406667;84.158333;
83267;31/12/2004;0000;204.7;32.287097;21.912903;86.596774;
83267;31/01/2005;0000;526;31.283871;22.003226;91.935484;
83267;28/02/2005;0000;258.7;32.432143;22.071429;90.73;
83267;31/03/2005;0000;195.2;31.525806;22.467742;91.733871;
83267;30/04/2005;0000;37.8;32.873333;20.736667;83.933333;
83267;31/05/2005;0000;16;33.432258;19.254839;81.395161;
83267;30/06/2005;0000;0;34.03;17.226667;80.416667;
83267;31/07/2005;0000;0;33.496774;14.303226;75.516129;
83267;31/08/2005;0000;0;36.396774;15.483871;74.685484;
83267;30/09/2005;0000;24.9;34.796667;18.826667;78.8;
83267;31/10/2005;0000;151.6;36.258065;21.73871;82.467742;
83267;30/11/2005;0000;251.2;34.283333;22.251724;88.183333;
83267;31/12/2005;0000;358.6;32.387097;22.046667;92.475806;
83267;31/01/2006;0000;464.8;31.852174;21.687097;92.879032;
83267;28/02/2006;0000;271.3;31.985714;22.264286;96.419643;
83267;31/03/2006;0000;257.2;32.829032;22.345161;94.572581;
83267;30/04/2006;0000;212.5;32.773333;21.12;93.791667;
83267;31/05/2006;0000;98.5;32.003226;16.996774;87.183333;
83267;30/06/2006;0000;1.6;33.233333;16.213333;85.808333;
83267;31/07/2006;0000;5;33.483871;14.687097;79.733871;
83267;31/08/2006;0000;0;35.66129;16.951613;69.298387;
83267;30/09/2006;0000;36.1;34.51;20.246667;73.666667;
83267;31/10/2006;0000;241.7;32.712903;22.353333;91.427419;
83267;30/11/2006;0000;110.9;33.07;21.733333;88.316667;
83267;31/12/2006;0000;364;31.587097;22.06129;93.274194;
83267;31/01/2007;0000;287.5;31.916129;22.422581;93.05;
83267;28/02/2007;0000;262.5;31.417857;22.371429;93.455357;
83267;31/03/2007;0000;241.5;32.974194;21.654839;90.895161;
83267;30/04/2007;0000;57.9;33.48;20.89;89.633333;
83267;31/05/2007;0000;25.7;32.02069;16.56;84.791667;
83267;30/06/2007;0000;15.9;33.433333;14.23;82.87931;
83267;31/07/2007;0000;24.3;;;;
83267;31/08/2007;0000;0;35.467742;13.690323;78.177419;
83267;30/09/2007;0000;19.6;36.55;17.37;76.525862;
83267;31/10/2007;0000;198.1;33.412903;20.132258;86.524194;
83267;30/11/2007;0000;309;32.886667;21.113793;86.975;
83267;31/12/2007;0000;252.8;31.690323;21;90.291667;
83267;31/01/2008;0000;297.9;30.951613;20.693548;91.967742;
83267;29/02/2008;0000;302.2;31.255172;20.627586;91.103448;
83267;31/03/2008;0000;174.6;31.690323;20.635484;90.298387;
83267;30/04/2008;0000;206.8;31.603333;19.176667;92.008333;
83267;31/05/2008;0000;0.9;31.080645;17.032258;87.925;
83267;30/06/2008;0000;0;31.993333;14.583333;82.933333;
83267;31/07/2008;0000;0;34.73871;12.980645;76.604839;
83267;31/08/2008;0000;0;36.855;14.275;74.25;
83267;30/09/2008;0000;32.1;35.85;17.505;72.975;
83267;31/10/2008;0000;102;34.680645;19.609677;80.677419;
83267;30/11/2008;0000;193.4;33.133333;20.676667;88.5;
83267;31/12/2008;0000;176.1;31.622581;20.251613;91.185484;
83267;31/01/2009;0000;144.9;32.758065;20.122581;89.677419;
83267;28/02/2009;0000;221.6;32.092857;20.403571;92.419643;
83267;31/03/2009;0000;239.9;32.441935;20.403226;91.693548;
83267;30/04/2009;0000;88.5;32.586667;19.806667;91.45;
83267;31/05/2009;0000;50.8;32.112903;17.654839;91.048387;
83267;30/06/2009;0000;52.6;30.76;13.225;86.691667;
83267;31/07/2009;0000;0.9;32.412903;;81.104839;
83267;31/08/2009;0000;17.8;35.316129;15.522581;75.846774;
83267;30/09/2009;0000;120.5;34.716667;18.853333;81.633333;
83267;31/10/2009;0000;174.6;34.012903;20.312903;85.935484;
83267;30/11/2009;0000;186.4;32.643333;21.173333;89.433333;
83267;31/12/2009;0000;206.2;31.529032;20.970968;91.75;
83267;31/01/2010;0000;521.6;31.335484;20.983871;93.169355;
83267;28/02/2010;0000;238.8;32.246429;21.05;91.526786;
83267;31/03/2010;0000;207.5;32.674194;21.329032;90.741935;
83267;30/04/2010;0000;26.4;33.31;18.363333;87.116667;
83267;31/05/2010;0000;6.5;31.922581;15.558065;78.217742;
83267;30/06/2010;0000;44.3;33.706667;13.97;79.491667;
83267;31/07/2010;0000;0;32.722581;11.535484;73.556452;
83267;31/08/2010;0000;0;35.577419;;65.491935;
83267;30/09/2010;0000;0;37.98;;65.891667;
83267;31/10/2010;0000;134.3;35.503226;17.806452;77.370968;
83267;30/11/2010;0000;144.8;;;;
83267;31/12/2010;0000;307.2;32.132258;17.74;89;
