--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Esta?o Operante
Inicio de opera?o: 04/02/1922
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83736;31/01/2000;0000;508.8;28.464516;17.587097;76.741935;
83736;29/02/2000;0000;222.5;27.958621;17.262069;80.318966;
83736;31/03/2000;0000;119.4;27.574194;16.432258;80.75;
83736;30/04/2000;0000;12;27.246667;12.173333;76.183333;
83736;31/05/2000;0000;32.6;24.690323;9.358065;75.201613;
83736;30/06/2000;0000;1.5;24.703333;6.87;73.691667;
83736;31/07/2000;0000;74.1;23.277419;6.648387;72.177419;
83736;31/08/2000;0000;32.5;25.232258;9.119355;68.532258;
83736;30/09/2000;0000;76.4;25.186667;13.113333;73.525;
83736;31/10/2000;0000;60.9;30.070968;14.922581;66.903226;
83736;30/11/2000;0000;243;27.593333;16.02;76.075;
83736;31/12/2000;0000;242.9;27.948387;17.190323;79.322581;
83736;31/01/2001;0000;157.9;29.754839;17.316129;75.241935;
83736;28/02/2001;0000;154.4;29.985714;17.092857;77.866071;
83736;31/03/2001;0000;139.3;29.174194;16.374194;77.782258;
83736;30/04/2001;0000;10.8;29.026667;13.713333;72.5;
83736;31/05/2001;0000;76.9;24.658065;10.864516;77.604839;
83736;30/06/2001;0000;4.1;24.706667;8.74;74.5;
83736;31/07/2001;0000;7.1;25.212903;7.941935;73.153226;
83736;31/08/2001;0000;20.2;26.2;8.312903;64.5;
83736;30/09/2001;0000;63.9;25.49;11.94;69.65;
83736;31/10/2001;0000;126.9;27.125806;13.890323;69.056452;
83736;30/11/2001;0000;176.4;28.26;16.593333;77.033333;
83736;31/12/2001;0000;246.3;27.122581;16.729032;78.475806;
83736;31/01/2002;0000;277.1;28.493333;17.6;78.491935;
83736;28/02/2002;0000;203.2;27;17.232143;80.946429;
83736;31/03/2002;0000;120.2;29.509677;16.548387;77.693548;
83736;30/04/2002;0000;19.3;29.351724;13.36;74.558333;
83736;31/05/2002;0000;33.4;25.446667;11.432258;82.08871;
83736;30/06/2002;0000;0;25.673333;8.78;79.241667;
83736;31/07/2002;0000;16.8;24.980645;7.745161;75.830645;
83736;31/08/2002;0000;40.2;27.473333;10.574194;71.491667;
83736;30/09/2002;0000;65.5;25.413333;11.64;70.95;
83736;31/10/2002;0000;71.2;31.380645;13.916129;61.435484;
83736;30/11/2002;0000;119.9;28.58;16.533333;72.308333;
83736;31/12/2002;0000;279.9;29.3;17.864516;77.887097;
83736;31/01/2003;0000;433.6;27.870968;18.2;83.612903;
83736;28/02/2003;0000;120.5;30.692857;17.271429;72.151786;
83736;31/03/2003;0000;135.5;28.180645;16.567742;79.572581;
83736;30/04/2003;0000;76.5;27.8;14.073333;76.408333;
83736;31/05/2003;0000;37.4;24.354839;8.26129;77.387097;
83736;30/06/2003;0000;0.6;26.146667;8.16;76.7;
83736;31/07/2003;0000;32.6;24.141935;6.251613;72.927419;
83736;31/08/2003;0000;17.4;25.058065;8.135484;67.758065;
