--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Esta?o Operante
Inicio de opera?o: 18/11/1924
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82280;31/01/2000;0000;267.1;30.241935;23.16129;83.903226;
82280;29/02/2000;0000;392.1;29.896552;22.934483;85.741379;
82280;31/03/2000;0000;606;30.280645;22.845161;86.685484;
82280;30/04/2000;0000;609.6;30.056667;23.06;86.741667;
82280;31/05/2000;0000;422.2;31.222581;23.383871;84.556452;
82280;30/06/2000;0000;146.1;31.25;23.08;82.416667;
82280;31/07/2000;0000;202.1;30.558065;22.983871;85.709677;
82280;31/08/2000;0000;63.9;31.335484;23.058065;85.693548;
82280;30/09/2000;0000;12.6;31.523333;24.256667;83.541667;
82280;31/10/2000;0000;0;31.948387;24.451613;80.774194;
82280;30/11/2000;0000;0.2;32.273333;24.24;78.375;
82280;31/12/2000;0000;43.3;31.567742;24.235484;82.266129;
82280;31/01/2001;0000;336.2;29.83871;22.922581;89.072581;
82280;28/02/2001;0000;445.4;29.25;22.753571;89.616071;
82280;31/03/2001;0000;370.7;30.229032;23.158065;88.717742;
82280;30/04/2001;0000;590.1;29.806667;22.906667;90.858333;
82280;31/05/2001;0000;201.8;31.151613;23.409677;87.451613;
82280;30/06/2001;0000;327.2;31.12;22.416667;88.833333;
82280;31/07/2001;0000;150.2;31.422581;22.76129;87.201613;
82280;31/08/2001;0000;0.5;32.196774;22.596774;78.854839;
82280;30/09/2001;0000;7.4;31.803333;23.93;79.775;
82280;31/10/2001;0000;0;;24.196429;79.706522;
82280;30/11/2001;0000;6.1;32.357143;24.603333;78.151786;
82280;31/12/2001;0000;44;31.583871;25.183871;80.830645;
82280;31/01/2002;0000;345.6;30.741935;23.309677;86.209677;
82280;28/02/2002;0000;83.4;31.453571;23.807143;84.142857;
82280;31/03/2002;0000;314.1;30.516129;23.003226;87.669355;
82280;30/04/2002;0000;489.3;30.293103;23.366667;88.908333;
82280;31/05/2002;0000;295.4;31.529032;23.641935;86.983871;
82280;30/06/2002;0000;237;31.323333;22.92;87.641667;
82280;31/07/2002;0000;42.3;31.487097;23.216129;85.282258;
82280;31/08/2002;0000;4.6;32.141935;23.041935;79.604839;
82280;30/09/2002;0000;0;32.113333;23.603333;78.283333;
82280;31/10/2002;0000;0;32.509677;24.16129;77.016129;
82280;30/11/2002;0000;29.3;32.573333;24.066667;77.75;
82280;31/12/2002;0000;47.4;32.451613;24.690323;80.266129;
82280;31/01/2003;0000;359.1;31.067742;24.070968;83.790323;
82280;28/02/2003;0000;491.1;30.275;22.953571;88.330357;
82280;31/03/2003;0000;570.2;29.96129;22.983871;89.096774;
82280;30/04/2003;0000;428.8;30.67;23.146667;88.458333;
82280;31/05/2003;0000;207.7;31.641935;23.329032;86.766129;
82280;30/06/2003;0000;148;31.543333;23.03;85.708333;
82280;31/07/2003;0000;64.6;31.916129;22.603226;84.33871;
82280;31/08/2003;0000;34.4;31.63871;22.741935;82.629032;
82280;30/09/2003;0000;5.9;32.436667;;77.991667;
82280;31/10/2003;0000;0.2;32.558065;25.157143;75.016129;
82280;30/11/2003;0000;4.7;32.41;25.003333;76.025;
82280;31/12/2003;0000;55.8;31.996774;24.903226;77.943548;
82280;31/01/2004;0000;445.7;30.306452;24.167742;84.556452;
82280;29/02/2004;0000;485.4;30;23.496552;88.224138;
82280;31/03/2004;0000;388;30.735484;23.922581;86.548387;
82280;30/04/2004;0000;452.9;30.64;23.736667;86.908333;
82280;31/05/2004;0000;183.5;32.067742;23.951613;85.524194;
82280;30/06/2004;0000;213.1;31.576667;23.08;84.875;
82280;31/07/2004;0000;233;31.112903;22.764516;85.193548;
82280;31/08/2004;0000;83.9;31.496774;23.180645;82.233871;
82280;30/09/2004;0000;1.5;32.016667;24.113333;77.275;
82280;31/10/2004;0000;0;32.206452;24.43871;75.733871;
82280;30/11/2004;0000;3.2;32.086667;24.5;76.058333;
82280;31/12/2004;0000;6.6;32.13871;24.506452;76.451613;
82280;31/01/2005;0000;33.1;32.096774;24.477419;80.701613;
82280;28/02/2005;0000;230.8;31.603571;24.417857;83.732143;
82280;31/03/2005;0000;350.4;30.051613;23.770968;89.258065;
82280;30/04/2005;0000;371.4;31.03;23.54;90.058333;
82280;31/05/2005;0000;219.6;31.748387;23.645161;87.596774;
82280;30/06/2005;0000;256.5;31.846667;23.083333;85.783333;
82280;31/07/2005;0000;166.4;31.525806;22.716129;85.604839;
82280;31/08/2005;0000;12.8;32.419355;23.277419;82.032258;
82280;30/09/2005;0000;0;32.263333;23.65;77.116667;
82280;31/10/2005;0000;0.2;32.690323;24.206452;75.008065;
82280;30/11/2005;0000;4;33.293333;24.693333;76.141667;
82280;31/12/2005;0000;158.1;32.258065;23.787097;79.725806;
82280;31/01/2006;0000;189.9;31.229032;23.354839;84.887097;
82280;28/02/2006;0000;277.5;30.907143;23.032143;85.107143;
82280;31/03/2006;0000;369.2;30.603226;22.519355;87.887097;
82280;30/04/2006;0000;537.3;30.153333;22.593333;90.691667;
82280;31/05/2006;0000;536.1;31.312903;22.493548;87.120968;
82280;30/06/2006;0000;261.9;31.736667;22.246667;82.6;
82280;31/07/2006;0000;63.2;31.770968;22.464516;83.596774;
82280;31/08/2006;0000;67;31.919355;22.367742;80.822581;
82280;30/09/2006;0000;2.3;32.456667;24.673333;77.4;
82280;31/10/2006;0000;0;32.709677;25.054839;75.580645;
82280;30/11/2006;0000;9.3;32.53;25.436667;76.575;
82280;31/12/2006;0000;40.5;32.277419;25.325806;78.25;
82280;31/01/2007;0000;16.3;32.390323;25.654839;78.354839;
82280;28/02/2007;0000;545.1;29.885714;23.9;88.241071;
82280;31/03/2007;0000;457.4;29.987097;23.819355;90.048387;
82280;30/04/2007;0000;348.6;30.14;24.263333;90.1;
82280;31/05/2007;0000;286.1;31.187097;24.558065;88.298387;
82280;30/06/2007;0000;61.4;31.72;24.06;84.358333;
82280;31/07/2007;0000;136.3;31.116129;24.074194;85.072581;
82280;31/08/2007;0000;0.2;32.212903;23.83871;80.83871;
82280;30/09/2007;0000;2.2;32.27;24.616667;78.641667;
82280;31/10/2007;0000;1;32.387097;25.145161;76.862903;
82280;30/11/2007;0000;2.4;32.396667;25.393333;76.275;
82280;31/12/2007;0000;42;31.603226;25.258065;79.629032;
82280;31/01/2008;0000;124.4;29.919355;24.448387;85.903226;
82280;29/02/2008;0000;413.5;29.968966;23.944828;85.206897;
82280;31/03/2008;0000;584.5;29.074194;23.390323;88.806452;
82280;30/04/2008;0000;607;29.826667;23.69;89.416667;
82280;31/05/2008;0000;314.2;30.435484;23.929032;88.693548;
82280;30/06/2008;0000;380;30.52;23.43;85.575;
82280;31/07/2008;0000;104.9;31.393548;23.570968;83.056452;
82280;31/08/2008;0000;51.4;31.693548;23.66129;80.943548;
82280;30/09/2008;0000;0.4;32.253333;24.723333;76.766667;
82280;31/10/2008;0000;0.4;32.925806;25.219355;75.758065;
82280;30/11/2008;0000;0.6;32.566667;25.426667;76.691667;
82280;31/12/2008;0000;18.5;32.1;25.148387;78.064516;
82280;31/01/2009;0000;375.8;30.819355;24.606452;83.104839;
82280;28/02/2009;0000;367.2;30.171429;24.121429;87.535714;
82280;31/03/2009;0000;565.4;29.980645;23.970968;86.669355;
82280;30/04/2009;0000;767.1;29.323333;23.886667;87.825;
82280;31/05/2009;0000;467.7;29.780645;23.76129;88.008065;
82280;30/06/2009;0000;207.6;31.116667;23.723333;83;
82280;31/07/2009;0000;71.8;31.674194;23.783871;83.669355;
82280;31/08/2009;0000;12.3;32.293548;24.087097;78.08871;
82280;30/09/2009;0000;0;32.486667;24.88;76.358333;
82280;31/10/2009;0000;0;32.280645;24.774194;74.403226;
82280;30/11/2009;0000;2.6;32.686667;25.42;75.358333;
82280;31/12/2009;0000;10.3;32.954839;25.609677;77.112903;
82280;31/01/2010;0000;108.2;31.754839;24.625806;81.758065;
82280;28/02/2010;0000;121.5;32.585714;25.603571;79.892857;
82280;31/03/2010;0000;316.9;32.451613;25.229032;80.540323;
82280;30/04/2010;0000;393.7;31.686667;24.486667;89.975;
82280;31/05/2010;0000;377.5;31.845161;24.787097;90.185484;
82280;30/06/2010;0000;218.3;31.98;23.956667;87.491667;
82280;31/07/2010;0000;105.2;31.696774;24.335484;87.758065;
82280;31/08/2010;0000;7;32.377419;24.103226;82.758065;
82280;30/09/2010;0000;0.4;32.59;24.843333;80.008333;
82280;31/10/2010;0000;0;32.454839;24.974194;75.782258;
82280;30/11/2010;0000;16.2;32.716667;25.5;75.25;
82280;31/12/2010;0000;90.7;31.951613;24.877419;77.701613;
82280;31/01/2011;0000;490.3;30.183871;23.809677;84.677419;
82280;28/02/2011;0000;457.4;29.789286;24.025;87.544643;
82280;31/03/2011;0000;430.9;30.116129;23.641935;83.048387;
82280;30/04/2011;0000;621.7;29.9;23.9;85.9;
82280;31/05/2011;0000;310.8;30.590323;24.1;87.475806;
82280;30/06/2011;0000;166.8;31.243333;23.706667;84.283333;
82280;31/07/2011;0000;128;31.235484;23.916129;84.91129;
82280;31/08/2011;0000;38.7;31.619355;24.125806;81.225806;
82280;30/09/2011;0000;0;32.65;24.41;77.033333;
82280;31/10/2011;0000;61.6;32.316667;24.725806;79.33871;
82280;30/11/2011;0000;6.5;32.343333;25.243333;79.1;
82280;31/12/2011;0000;0.6;32.564516;25.412903;75.645161;
82280;31/01/2012;0000;102.4;31.841935;24.941935;80.298387;
82280;29/02/2012;0000;238.1;30.941379;24.358621;84.060345;
82280;31/03/2012;0000;331.7;30.86129;24.074194;85.943548;
82280;30/04/2012;0000;249.5;31.576667;24.56;86.1;
82280;31/05/2012;0000;86.4;31.874194;24.583871;83.217742;
82280;30/06/2012;0000;50.8;31.553333;24.169231;84.175;
82280;31/07/2012;0000;60.5;31.644828;24.4;84;
82280;31/08/2012;0000;11.2;33.070968;24.012903;79.314516;
82280;30/09/2012;0000;0.2;33.086667;24.636667;75.583333;
82280;31/10/2012;0000;0;33.177419;25.164516;75.185484;
82280;30/11/2012;0000;1.6;33.56;25.396667;75.183333;
82280;31/12/2012;0000;0.8;33.645161;25.616129;76.583333;
82280;31/01/2013;0000;60;32.783871;25.332258;78.395161;
82280;28/02/2013;0000;279.4;32.35;25.110714;80.142857;
82280;31/03/2013;0000;319.1;31.364516;25.16129;84.153226;
82280;30/04/2013;0000;267.8;31.38;24.703333;85.491667;
82280;31/05/2013;0000;186.3;32.226087;24.519355;84.564516;
82280;30/06/2013;0000;203.4;;23.989655;82.775;
82280;31/07/2013;0000;203.7;;23.870968;85.145161;
82280;31/08/2013;0000;15;;24.941935;80.201613;
82280;30/09/2013;0000;4.4;;25.263333;76.225;
82280;31/10/2013;0000;0.8;;25.393548;75.16129;
82280;30/11/2013;0000;13.8;;25.393333;76.766667;
82280;31/12/2013;0000;40.5;;25.33871;76.201613;
82280;31/01/2014;0000;149.6;;24.325806;82.491935;
82280;28/02/2014;0000;251;;24.353571;85.366071;
82280;31/03/2014;0000;161;;24.506452;84.379032;
82280;30/04/2014;0000;244.3;;24.283333;86.683333;
82280;31/05/2014;0000;760.7;;24.051613;88.669355;
82280;30/06/2014;0000;185.5;;24.282143;84.15;
82280;31/07/2014;0000;44.3;;24.451613;81.217742;
82280;31/08/2014;0000;3.8;;24.322581;77.870968;
82280;30/09/2014;0000;0.5;;25.103333;76.183333;
82280;31/10/2014;0000;2.2;;25.223333;75.983871;
82280;30/11/2014;0000;1.8;33.282353;24.993333;75.6;
82280;31/12/2014;0000;29.2;32.967742;25.451613;75.145161;
82280;31/01/2015;0000;30.2;32.506452;25.032258;76.258065;
82280;28/02/2015;0000;90.7;31.985714;24.803571;81.276786;
82280;31/03/2015;0000;425.9;30.551613;24.209677;85.887097;
