--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Esta?o Operante
Inicio de opera?o: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83781;31/01/2000;0000;328.3;27.790323;19.093548;76.330645;
83781;29/02/2000;0000;246.6;27.110345;19.182759;79.163793;
83781;31/03/2000;0000;100.1;26.380645;18.380645;77.806452;
83781;30/04/2000;0000;6.3;26.323333;16.56;68.733333;
83781;31/05/2000;0000;9.3;23.087097;13.93871;68.169355;
83781;30/06/2000;0000;12.2;24.276667;13.8;66.483333;
83781;31/07/2000;0000;65.6;21.467742;10.925806;67.072581;
83781;31/08/2000;0000;86.3;23.6;12.267742;68.379032;
83781;30/09/2000;0000;111.1;23.876667;14.386667;75.4;
83781;31/10/2000;0000;59;28.806452;17.690323;69.241935;
83781;30/11/2000;0000;186;27.033333;17.853333;74.125;
83781;31/12/2000;0000;249.7;28.245161;18.422581;74.209677;
83781;31/01/2001;0000;144.2;30.245161;19.877419;70.887097;
83781;28/02/2001;0000;290.1;29.964286;20.160714;76;
83781;31/03/2001;0000;138.5;30.016129;19.512903;72.862903;
83781;30/04/2001;0000;32.9;28.343333;18.566667;68.066667;
83781;31/05/2001;0000;86.1;22.990323;14.877419;74.580645;
83781;30/06/2001;0000;24.5;22.97;13.773333;73.958333;
83781;31/07/2001;0000;41;23.541935;12.63871;71.298387;
83781;31/08/2001;0000;32.8;25.193548;14.074194;66.701613;
83781;30/09/2001;0000;88.5;24.226667;14.616667;73.491667;
83781;31/10/2001;0000;204.3;26.906452;15.958065;70.112903;
83781;30/11/2001;0000;185.2;27.4;17.956667;74.275;
83781;31/12/2001;0000;187;26.9;18.203226;75.435484;
83781;31/01/2002;0000;284.8;28.019355;19.174194;75.41129;
83781;28/02/2002;0000;172.5;26.839286;18.6;78.866071;
83781;31/03/2002;0000;326.5;30.2;19.767742;70.766129;
83781;30/04/2002;0000;53.5;28.68;19.16;69.983333;
83781;31/05/2002;0000;93;24.941935;16.158065;73.766129;
83781;30/06/2002;0000;1.3;25.28;15.563333;68.008333;
83781;31/07/2002;0000;22.9;22.435484;12.622581;76.879032;
83781;31/08/2002;0000;46.4;27.03871;15.845161;70.241935;
83781;30/09/2002;0000;54.8;24.57;13.743333;71.041667;
83781;31/10/2002;0000;124.9;30.480645;18.06129;64.41129;
83781;30/11/2002;0000;226.5;27.96;17.926667;69.55;
83781;31/12/2002;0000;235.3;29.235484;19.222581;70.201613;
83781;31/01/2003;0000;317.2;27.522581;19.306452;76.217742;
83781;28/02/2003;0000;109.4;31.607143;21.185714;65.205357;
83781;31/03/2003;0000;126.5;27.783871;18.958065;72.677419;
83781;30/04/2003;0000;45.6;26.526667;17.65;70.8;
83781;31/05/2003;0000;33.1;23.641935;14.222581;69.645161;
83781;30/06/2003;0000;16;25.056667;14.943333;71.841667;
83781;31/07/2003;0000;19;23.632258;13.464516;65.758065;
83781;31/08/2003;0000;25.3;22.096774;11.809677;68.822581;
83781;30/09/2003;0000;34.5;24.43;14.28;71.116667;
83781;31/10/2003;0000;126.7;26.46129;15.93871;72.258065;
83781;30/11/2003;0000;99.3;26.686667;17.073333;73.025;
83781;31/12/2003;0000;139.8;28.351613;18.874194;74.709677;
83781;31/01/2004;0000;284.5;26.748387;18.36129;81.620968;
83781;29/02/2004;0000;335.6;26.931034;17.962069;79.491379;
83781;31/03/2004;0000;130.7;26.796774;17.590323;79.524194;
83781;30/04/2004;0000;123.4;26.556667;17.95;78.791667;
83781;31/05/2004;0000;60.1;22.087097;14.190323;81.314516;
83781;30/06/2004;0000;66.8;22.343333;12.736667;72.716667;
83781;31/07/2004;0000;97.4;21.164516;12.529032;76.137097;
83781;31/08/2004;0000;2.7;24.358065;12.890323;67.653226;
83781;30/09/2004;0000;9.3;28.763333;16.333333;64;
83781;31/10/2004;0000;97.4;24.816129;15.516129;74.758065;
83781;30/11/2004;0000;173.6;26.533333;17.11;72.583333;
83781;31/12/2004;0000;262.9;27.093548;17.712903;77.008065;
83781;31/01/2005;0000;312.1;27.354839;19.348387;79.056452;
83781;28/02/2005;0000;99.9;28.164286;18.217857;72.8125;
83781;31/03/2005;0000;286.6;27.729032;19.083871;75.225806;
83781;30/04/2005;0000;133.2;27.626667;18.726667;73.65;
83781;31/05/2005;0000;199;25.151613;15.667742;71.225806;
83781;30/06/2005;0000;30.4;24.036667;14.786667;72.45;
83781;31/07/2005;0000;13.7;22.351613;13.006452;70.225806;
83781;31/08/2005;0000;9.5;26.151613;14.658065;64.08871;
83781;30/09/2005;0000;138.8;23.403333;14.48;78.05;
83781;31/10/2005;0000;172.1;26.767742;17.380645;77.975806;
83781;30/11/2005;0000;106.1;26.203333;16.836667;74.875;
83781;31/12/2005;0000;228.2;26.877419;17.183871;74.83871;
83781;31/01/2006;0000;348;29.719355;19.806452;72.056452;
83781;28/02/2006;0000;166;28.660714;20.185714;78.044643;
83781;31/03/2006;0000;607.9;28.658065;19.241935;82.653226;
83781;30/04/2006;0000;51.1;25.983333;16.973333;74.091667;
83781;31/05/2006;0000;15;22.16129;13.448387;74.435484;
83781;30/06/2006;0000;24.2;22.906667;13.373333;71.366667;
83781;31/07/2006;0000;71;24.354839;13.274194;67.120968;
83781;31/08/2006;0000;5.8;25.325806;14.125806;63.637097;
83781;30/09/2006;0000;77.7;24.75;14.25;69.425;
83781;31/10/2006;0000;100.4;26.151613;16.625806;75.008065;
83781;30/11/2006;0000;230.7;26.65;17.173333;74.15;
83781;31/12/2006;0000;311.5;28.319355;19.312903;77.120968;
83781;31/01/2007;0000;213.5;27.425806;19.764516;78.024194;
83781;28/02/2007;0000;285.9;29.975;19.378571;71.696429;
83781;31/03/2007;0000;185.4;30.716129;19.816129;68.774194;
83781;30/04/2007;0000;124.8;27.26;18.506667;76.65;
83781;31/05/2007;0000;59;23.083871;13.993548;74.693548;
83781;30/06/2007;0000;30.7;25.003333;14.02;65.808333;
83781;31/07/2007;0000;148.3;22.180645;12.309677;69.354839;
83781;31/08/2007;0000;0;25.390323;13.758065;64.895161;
83781;30/09/2007;0000;15.7;27.86;15.563333;64.358333;
83781;31/10/2007;0000;109.3;28.290323;16.983871;71.790323;
83781;30/11/2007;0000;219.9;26.09;16.726667;75.858333;
83781;31/12/2007;0000;230.9;28.703226;18.677419;72.266129;
83781;31/01/2008;0000;318.5;26.66129;18.445161;77.629032;
83781;29/02/2008;0000;236.3;28.289655;19.003448;76.62931;
83781;31/03/2008;0000;180.8;27.387097;18.625806;75.491935;
83781;30/04/2008;0000;96.6;25.986667;17.513333;74.675;
83781;31/05/2008;0000;80.3;22.925806;13.929032;70.741935;
83781;30/06/2008;0000;78.2;22.55;13.253333;76.75;
83781;31/07/2008;0000;0;24.322581;12.551613;62.91129;
83781;31/08/2008;0000;78.5;24.996774;14.577419;69.725806;
83781;30/09/2008;0000;43.9;23.52;13.993333;71.3;
83781;31/10/2008;0000;161.4;26.835484;16.803226;75.540323;
83781;30/11/2008;0000;165.1;26.356667;17.16;77.583333;
