--------------------
BDMEP - INMET
--------------------
Esta?o           : SAO SIMAO - SP (OMM: 83669)
Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Altitude  (metros): 617.39
Esta?o Operante
Inicio de opera?o: 01/01/1920
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83669;31/01/2000;0000;312;30.216129;19.912903;77.040323;
83669;29/02/2000;0000;285.1;29.958621;20.217241;81.732759;
83669;31/03/2000;0000;216.5;29.86129;19.606452;78.870968;
83669;30/04/2000;0000;0;30.08;16.336667;66.658333;
83669;31/05/2000;0000;3.8;27.854839;13.23871;68.91129;
83669;30/06/2000;0000;2.4;28.15;12.603333;64.125;
83669;31/07/2000;0000;32.7;26.312903;10.441935;63.774194;
83669;31/08/2000;0000;46.4;28.932258;14.651613;62.322581;
83669;30/09/2000;0000;94.2;28.77;17.126667;69.516667;
83669;31/10/2000;0000;54.7;33.741935;19.216129;59.717742;
83669;30/11/2000;0000;174.8;30.62;19.31;72.683333;
83669;31/12/2000;0000;265.2;30.625806;19.912903;77.75;
83669;31/01/2001;0000;186.7;31.690323;19.954839;75.540323;
83669;28/02/2001;0000;137.1;31.917857;20.257143;77.848214;
83669;31/03/2001;0000;119.4;31.687097;19.816129;73.419355;
83669;30/04/2001;0000;52.6;31.13;18;71.158333;
83669;31/05/2001;0000;101.3;26.867742;13.983871;73.540323;
83669;30/06/2001;0000;4;26.776667;12.973333;69.741667;
83669;31/07/2001;0000;0;29.014286;12.527273;60.47619;
83669;31/08/2001;0000;40.6;29.045161;14.745161;55.943548;
83669;30/09/2001;0000;88.2;29.606667;16.59;59.791667;
83669;31/10/2001;0000;180.2;30.441935;17.606452;65.870968;
83669;30/11/2001;0000;286.3;31.036667;19.3;74.466667;
83669;31/12/2001;0000;195.3;29.767742;19.583333;77.33871;
83669;31/01/2002;0000;370.8;30.651613;19.793548;76.943548;
83669;28/02/2002;0000;363.4;29.342857;19.407143;80.151786;
83669;31/03/2002;0000;90;32.354839;19.76129;73.895161;
83669;30/04/2002;0000;19.3;32.516667;17.906667;68.958333;
83669;31/05/2002;0000;45.1;28.409677;15.509677;72.967742;
83669;30/06/2002;0000;0;29.326667;12.993333;64.225;
83669;31/07/2002;0000;0.5;27.86129;12.148387;65.854839;
83669;31/08/2002;0000;17;30.758065;16.687097;60.475806;
83669;30/09/2002;0000;74.2;28.81;16.023333;66.941667;
83669;31/10/2002;0000;54.8;35.867742;19.796774;54.096774;
83669;30/11/2002;0000;182.8;31.45;19.683333;68.4;
83669;31/12/2002;0000;248.1;31.8;20.332258;73.862903;
83669;31/01/2003;0000;570.8;29.548387;20.848387;82.016129;
83669;28/02/2003;0000;129.4;32.621429;20.196429;70.035714;
