--------------------
BDMEP - INMET
--------------------
Esta?o           : SENHOR DO BONFIM - BA (OMM: 83088)
Latitude  (graus) : -10.46
Longitude (graus) : -40.18
Altitude  (metros): 558.24
Esta?o 
Inicio de opera?o: 01/01/1940
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83088;31/01/2000;0000;138.1;30.374194;20.993548;68.451613;
83088;29/02/2000;0000;86.1;30.917241;21.237931;67.077586;
83088;31/03/2000;0000;90.5;30.56129;21.158065;65.717742;
83088;30/04/2000;0000;181;29.403333;20.99;73.066667;
83088;31/05/2000;0000;84.5;27.880645;19.848387;75.395161;
83088;30/06/2000;0000;67.9;25.723333;18.87;79.533333;
83088;31/07/2000;0000;33.9;26.648387;18.187097;70.467742;
83088;31/08/2000;0000;35.7;26.803226;18.306452;70.935484;
83088;30/09/2000;0000;51.7;28.423333;19.006667;66.433333;
83088;31/10/2000;0000;32.3;31.058065;20.003226;52.943548;
83088;30/11/2000;0000;117.1;29.85;20.793333;67.441667;
83088;31/12/2000;0000;66.2;29.754839;20.780645;66.177419;
83088;31/01/2001;0000;34.6;31.164516;20.625806;57.169355;
83088;28/02/2001;0000;16.2;33.114286;21.803571;50.482143;
83088;31/03/2001;0000;129.9;30.977419;21.609677;62.524194;
83088;30/04/2001;0000;5.3;30.716667;21.083333;59.733333;
83088;31/05/2001;0000;39.9;30.877419;21.264516;59.467742;
83088;30/06/2001;0000;145.1;25.833333;19.203333;77.833333;
83088;31/07/2001;0000;55.8;25.593548;18.245161;75.887097;
83088;31/08/2001;0000;69.6;25.680645;17.719355;76.612903;
83088;30/09/2001;0000;44;28.263333;18.473333;68.068966;
83088;31/10/2001;0000;35.7;31.016129;19.841935;58.790323;
83088;30/11/2001;0000;1.4;33.03;20.546667;47.216667;
83088;31/12/2001;0000;75.2;31.506452;21.629032;59.475806;
83088;31/01/2002;0000;205.6;28.435484;20.819355;75.846774;
83088;28/02/2002;0000;91.1;29.785714;20.767857;65.973214;
83088;31/03/2002;0000;17.2;30.667742;20.951613;64.169355;
83088;30/04/2002;0000;19.4;30.32;20.583333;61.591667;
83088;31/05/2002;0000;65.3;28.322581;19.693548;69.112903;
83088;30/06/2002;0000;66.1;26.533333;18.757143;75.475;
83088;31/07/2002;0000;38.1;26.787097;18.358065;72.887097;
83088;31/08/2002;0000;40.8;27.683871;17.609677;64.927419;
83088;30/09/2002;0000;22.5;30.053333;18.833333;58.583333;
83088;31/10/2002;0000;0.7;31.990323;19.832258;48.008065;
83088;30/11/2002;0000;19.2;32.79;20.327586;50.775;
83088;31/12/2002;0000;101.7;32.63871;21.36129;52.572581;
83088;31/01/2003;0000;77;33.596774;22.048387;53.41129;
83088;28/02/2003;0000;51.9;31.996429;21.132143;57.392857;
83088;31/03/2003;0000;94.3;32.03871;21.909677;60.282258;
83088;30/04/2003;0000;7.9;32.03;21.741379;63.333333;
83088;31/05/2003;0000;93.9;27.870968;20.158065;83.024194;
83088;30/06/2003;0000;69.8;26.34;18.916667;77.191667;
83088;31/07/2003;0000;127.9;25.019355;17.596774;77.959677;
83088;31/08/2003;0000;29.3;27.548387;18.480645;70.556452;
83088;30/09/2003;0000;34;29.24;18.433333;60.575;
83088;31/10/2003;0000;1.3;31.225806;19.254839;53.201613;
83088;30/11/2003;0000;157.4;30.273333;19.953333;64.125;
83088;31/12/2003;0000;0.1;32.73871;20.845161;50.5;
83088;31/01/2004;0000;281.7;29.812903;21.216129;72.959677;
83088;29/02/2004;0000;134.6;30.07931;20.927586;70.336207;
83088;31/03/2004;0000;51.3;30.283871;21.174194;68.362903;
83088;30/04/2004;0000;18.1;30.416667;20.773333;64.1;
83088;31/05/2004;0000;54.8;28.212903;19.812903;72.403226;
83088;30/06/2004;0000;25;27.573333;18.733333;71.041667;
83088;31/07/2004;0000;23.5;26.403226;17.754839;71.354839;
83088;31/08/2004;0000;30.5;27.674194;17.651613;69.790323;
83088;30/09/2004;0000;14.3;29.69;18.306667;61.825;
83088;31/10/2004;0000;5.4;32.209677;20.106452;53.169355;
83088;30/11/2004;0000;120.8;32.346667;20.596667;59.35;
83088;31/12/2004;0000;0;;;;
83088;31/01/2005;0000;50.4;33.012903;21.912903;50.564516;
83088;28/02/2005;0000;111.2;31.660714;21.742857;57.883929;
83088;31/03/2005;0000;74.9;31.409677;21.880645;60.58871;
83088;30/04/2005;0000;87.3;29.456667;21.033333;68.616667;
83088;31/05/2005;0000;114.9;27.064516;20.032258;77.991935;
83088;30/06/2005;0000;132;25.656667;18.783333;82.133333;
83088;31/07/2005;0000;70.6;25.122581;17.583871;78.927419;
83088;31/08/2005;0000;28;27.290323;17.848387;70.983871;
83088;30/09/2005;0000;2.6;30.433333;18.926667;57.725;
83088;31/10/2005;0000;3.1;32.758065;19.825806;47.491935;
83088;30/11/2005;0000;111.2;32.286667;20.41;52.191667;
83088;31/12/2005;0000;44.5;31.022581;20.532258;60.798387;
83088;31/01/2006;0000;2.4;33.016129;20.503226;49.008065;
83088;28/02/2006;0000;47.8;33.953571;22.118519;51.875;
83088;31/03/2006;0000;53.2;31.464516;22.067742;65.919355;
83088;30/04/2006;0000;135.5;28.913333;21.313333;76.833333;
83088;31/05/2006;0000;106.5;26.587097;19.758065;77.096774;
83088;30/06/2006;0000;110.6;24.453333;18.21;82.458333;
83088;31/07/2006;0000;74.6;24.332258;17.32;79.540323;
83088;31/08/2006;0000;46.8;27.087097;17.464516;70.072581;
83088;30/09/2006;0000;25.1;28.83;18.296552;65.433333;
83088;31/10/2006;0000;55;30.029032;19.93871;64.919355;
83088;30/11/2006;0000;43.6;30.756667;20.32;63.716667;
83088;31/12/2006;0000;33.3;32.870968;20.954839;53.677419;
83088;31/01/2007;0000;3.3;34.432258;21.751613;48.016129;
83088;28/02/2007;0000;220.1;30.714286;21.32963;71.160714;
83088;31/03/2007;0000;54.5;29.290323;20.629032;73.370968;
83088;30/04/2007;0000;44.4;29.883333;20.523333;68.616667;
83088;31/05/2007;0000;77.1;27.274194;19.622581;79.08871;
83088;30/06/2007;0000;68.2;26.716667;18.456667;79.55;
83088;31/07/2007;0000;62.4;26.596774;17.887097;77.225806;
83088;31/08/2007;0000;23.5;27.619355;17.33871;72.790323;
83088;30/09/2007;0000;19.5;29.003333;17.866667;69;
83088;31/10/2007;0000;4.6;31.270968;19.196774;61.201613;
83088;30/11/2007;0000;48.2;32.993333;20.54;58.525;
83088;31/12/2007;0000;44.1;32.577419;20.554839;54.693548;
83088;31/01/2008;0000;1;33.409677;20.770968;50.330645;
83088;29/02/2008;0000;101.5;32.248276;20.982759;57.663793;
83088;31/03/2008;0000;153;31.454839;21.425806;64.258065;
83088;30/04/2008;0000;115.2;29.886667;21.233333;71.616667;
83088;31/05/2008;0000;42.8;27.870968;19.619355;74.282258;
83088;30/06/2008;0000;68.6;26.56;18.173333;74.508333;
83088;31/07/2008;0000;55.2;25.212903;17.251613;75.387097;
83088;31/08/2008;0000;34.3;27.593548;17.541935;67.669355;
83088;30/09/2008;0000;10.1;30.03;18.546667;59.875;
83088;31/10/2008;0000;10.7;32.345161;19.9;55.225806;
83088;30/11/2008;0000;2.6;34.195652;20.621739;46.23913;
83088;31/12/2008;0000;94.1;30.464516;20.545161;;
83088;31/01/2009;0000;77.8;31.951613;20.609677;60.322581;
83088;28/02/2009;0000;66.6;31.365385;20.888462;63.086538;
83088;31/03/2009;0000;89;33.251613;21.735484;;
83088;30/04/2009;0000;151;29.203333;21.466667;;
83088;31/05/2009;0000;125.6;25.983871;20.06129;;
83088;30/06/2009;0000;85.2;25.406667;19.046667;;
83088;31/07/2009;0000;34.6;26.416129;18.7;;
83088;31/08/2009;0000;44.3;27.16129;18.241935;;
83088;30/09/2009;0000;8.3;31.66;19.33;;
83088;31/10/2009;0000;118.6;31.351613;20.412903;;
83088;30/11/2009;0000;0.2;31.563333;19.94;;
83088;31/01/2010;0000;101.6;31.506452;20.629032;;
83088;28/02/2010;0000;52.3;32.625;21.742857;;
83088;31/03/2010;0000;112.2;31.43871;21.590323;;
83088;30/04/2010;0000;85.8;28.513333;20.82;;
83088;31/05/2010;0000;28.4;29.654839;20.577419;;
83088;30/06/2010;0000;136;26.23;18.906667;;
83088;31/07/2010;0000;162.4;24.403226;18.029032;;
83088;31/08/2010;0000;44.4;25.087097;17.058065;;
