--------------------
BDMEP - INMET
--------------------
Esta?o           : SETE LAGOAS - MG (OMM: 83586)
Latitude  (graus) : -19.46
Longitude (graus) : -44.25
Altitude  (metros): 732.00
Esta?o Operante
Inicio de opera?o: 03/05/1926
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83586;31/01/2000;0000;387;29.274194;19.458065;74.532258;
83586;29/02/2000;0000;216.5;29.310345;19.068966;72.706897;
83586;31/03/2000;0000;151.7;28.325806;18.76129;74.129032;
83586;30/04/2000;0000;13.2;28.363333;16.593333;67.616667;
83586;31/05/2000;0000;2.6;27.26129;13.416129;65.693548;
83586;30/06/2000;0000;0.1;26.85;11.72;59.458333;
83586;31/07/2000;0000;8.9;26.03871;12.196774;59.741935;
83586;31/08/2000;0000;38.3;28.290323;13.525806;54.991935;
83586;30/09/2000;0000;60.2;26.373333;15.87;62.35;
83586;31/10/2000;0000;40.6;31.896774;18.158065;51.830645;
83586;30/11/2000;0000;216.3;27.303333;18.24;74.216667;
83586;31/12/2000;0000;282.3;29.454839;19.316129;72.024194;
83586;31/01/2001;0000;105.5;30.16129;18.858065;68.330645;
83586;28/02/2001;0000;50.6;32.157143;19.321429;61.0625;
83586;31/03/2001;0000;134.9;30.222581;18.345161;67.774194;
83586;30/04/2001;0000;19.8;30.316667;17.213333;61.866667;
83586;31/05/2001;0000;37.4;27.916129;14.409677;64.33871;
83586;30/06/2001;0000;0;27.086667;13.353333;62.341667;
83586;31/07/2001;0000;0.1;27.490323;12.616129;58.887097;
83586;31/08/2001;0000;29.7;26.729032;13.183871;55.048387;
83586;30/09/2001;0000;65.3;27.993333;15.613333;58.066667;
83586;31/10/2001;0000;130.7;28.012903;16.370968;65.298387;
83586;30/11/2001;0000;338.5;28.62;18.95;73.766667;
83586;31/12/2001;0000;528.4;27.751613;18.493548;75.548387;
83586;31/01/2002;0000;196.2;29.435484;19.296774;74.266129;
83586;28/02/2002;0000;247.1;28.146429;18.842857;78.794643;
83586;31/03/2002;0000;74.8;30.083871;18.251613;68.524194;
83586;30/04/2002;0000;17.3;29.95;17.016667;66.283333;
83586;31/05/2002;0000;11.3;28.056667;15.132258;68.814516;
83586;30/06/2002;0000;0.2;27.386667;13.033333;65.466667;
83586;31/07/2002;0000;16;26.806452;13.670968;67.419355;
83586;31/08/2002;0000;0;28.853333;14.222581;55.716667;
83586;30/09/2002;0000;43.1;28.473333;15.382759;60.016667;
83586;31/10/2002;0000;52.2;32.112903;17.822581;50.951613;
83586;30/11/2002;0000;199.3;29.19;18.57;66.008333;
83586;31/12/2002;0000;327.7;29.148387;19.480645;73.91129;
83586;31/01/2003;0000;436.2;28.425806;19.56129;79.435484;
83586;28/02/2003;0000;73.1;30.742857;18.228571;65.598214;
83586;31/03/2003;0000;116.9;29.151613;18.448387;74.024194;
