--------------------
BDMEP - INMET
--------------------
Esta?o           : SOBRAL - CE (OMM: 82392)
Latitude  (graus) : -3.73
Longitude (graus) : -40.33
Altitude  (metros): 109.62
Esta?o Operante
Inicio de opera?o: 01/07/1919
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82392;31/01/2000;0000;208.7;31.758065;22.377419;82.024194;
82392;29/02/2000;0000;140.4;31.865517;22.306897;83.474138;
82392;31/03/2000;0000;178.3;31.280645;22.351613;86.524194;
82392;30/04/2000;0000;314.7;30.87;22.366667;86.85;
82392;31/05/2000;0000;56;31.06129;22.051613;83.435484;
82392;30/06/2000;0000;59.4;31.943333;20.926667;75.733333;
82392;31/07/2000;0000;63.4;33.374194;21.629032;;
82392;31/08/2000;0000;12.5;34.303226;21.058065;;
82392;31/03/2001;0000;183.1;31.787097;22.741935;;
82392;30/04/2001;0000;383;30.243333;22.463333;;
82392;30/09/2001;0000;0.3;;;;
82392;31/10/2001;0000;0;36.3;22.426667;53.790323;
82392;30/11/2001;0000;0;36.48;22.753333;61.655172;
82392;31/12/2001;0000;6.2;35.831034;23.407143;63.821429;
82392;31/01/2002;0000;301;31.65;22.675862;82.526786;
82392;28/02/2002;0000;16.4;32.485185;22.385714;81.125;
82392;31/03/2002;0000;267.2;31.223333;22.348387;87.794643;
82392;30/04/2002;0000;103.6;30.331034;22.5;87.922414;
82392;31/05/2002;0000;61.9;31.477419;21.777419;83.919355;
82392;30/06/2002;0000;41;32.246667;21.353333;77.608333;
82392;31/07/2002;0000;21.8;34.125806;20.751613;65.919355;
82392;31/08/2002;0000;0;35.426667;21.09;59.566667;
82392;30/09/2002;0000;0;36.23;21.59;58.008333;
82392;31/10/2002;0000;0;36.545161;22.51;57.209677;
82392;30/11/2002;0000;0.3;36.483333;22.38;57.666667;
82392;31/12/2002;0000;0.7;36.5;23.477419;60.370968;
82392;31/01/2003;0000;68.8;34.874194;22.954839;68.903226;
82392;28/02/2003;0000;277.3;30.760714;22.842857;86.491071;
82392;31/03/2003;0000;361.1;30.896774;22.522581;88.266129;
82392;30/04/2003;0000;137.7;30.986667;22.876667;87.516667;
82392;31/05/2003;0000;31.8;31.383871;21.825806;83.08871;
82392;30/06/2003;0000;22.3;32.9;20.666667;73.65;
82392;31/07/2003;0000;5.2;34.809677;20.645161;60.129032;
82392;31/08/2003;0000;0;36.474194;21.441935;58.814516;
82392;30/09/2003;0000;0;36.973333;21.906667;56.116667;
82392;31/10/2003;0000;0;37.087097;22.53871;56.895161;
82392;30/11/2003;0000;1;36.803333;23.04;56.641667;
82392;31/12/2003;0000;31.7;36.33871;23.432258;;
82392;31/01/2004;0000;292.6;33.070968;23.412903;76.766129;
82392;29/02/2004;0000;269;31.189655;22.917241;86.62069;
82392;31/03/2004;0000;166.6;31.377419;22.566667;85.080645;
82392;30/04/2004;0000;108.5;32.136667;22.536667;83.175;
82392;31/05/2004;0000;65.1;33.022581;21.858065;77.8;
82392;30/06/2004;0000;71;31.766667;20.916667;76.516667;
82392;31/07/2004;0000;45;33.174194;21.26129;77.814516;
82392;31/08/2004;0000;0.3;35.593548;21.253333;56.41129;
82392;30/09/2004;0000;1;37.176667;21.906667;52.566667;
82392;31/10/2004;0000;0;36.703226;22.132258;56.758065;
82392;30/11/2004;0000;0;36.8;22.343333;67.033333;
82392;31/12/2004;0000;0;36.358065;22.709677;57.919355;
82392;31/01/2005;0000;78.9;35.374194;23.132258;64.314516;
82392;28/02/2005;0000;147.4;34.335714;23.278571;73.044643;
82392;31/03/2005;0000;108.9;32.96129;22.870968;80.120968;
82392;30/04/2005;0000;117;32.706667;22.573333;81.25;
82392;31/05/2005;0000;101.3;31.845161;21.935484;81.233871;
82392;30/06/2005;0000;18;33.216667;21.603333;76.866667;
82392;31/07/2005;0000;3.6;34.996774;20.806452;57.814516;
82392;31/08/2005;0000;0.7;35.987097;21.529032;58.153226;
82392;30/09/2005;0000;0;36.306667;21.676667;56.016667;
82392;31/10/2005;0000;0;36.877419;22.203226;52.951613;
82392;30/11/2005;0000;0;36.896667;22.466667;52.166667;
82392;31/12/2005;0000;18.4;36.303226;23.251613;62.943548;
