--------------------
BDMEP - INMET
--------------------
Esta?o           : SURUBIM - PE (OMM: 82797)
Latitude  (graus) : -7.83
Longitude (graus) : -35.71
Altitude  (metros): 418.32
Esta?o Operante
Inicio de opera?o: 01/10/1929
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82797;31/01/2000;0000;57.1;30.470968;20.841935;77.282258;
82797;29/02/2000;0000;77;;;;
82797;31/03/2000;0000;29.5;31.573333;21.021429;71.375;
82797;30/04/2000;0000;129.5;29.993333;20.953333;80.05;
82797;31/05/2000;0000;87.1;28.583871;19.729032;80.193548;
82797;30/06/2000;0000;151.8;26.436667;19.66;;
82797;31/07/2000;0000;114.3;25.783871;19.119355;;
82797;31/08/2000;0000;100.5;26.180645;18.387097;;
82797;30/09/2000;0000;117.1;27.063333;18.633333;;
82797;31/10/2000;0000;15.2;28.958065;18.525806;;
82797;30/11/2000;0000;8.9;31.556667;19.253333;;
82797;31/12/2000;0000;66.7;31.154839;19.76129;73.558333;
82797;31/01/2001;0000;22.7;30.929032;19.377419;;
82797;28/02/2001;0000;1;32.977778;20.459259;67.259259;
82797;31/03/2001;0000;74.8;31.722581;21.163333;73.024194;
82797;30/04/2001;0000;56.6;29.843333;20.746667;80.353448;
82797;31/05/2001;0000;9.4;31.506452;20.474194;;
82797;30/06/2001;0000;121;27.12;18.99;;
82797;31/07/2001;0000;72.8;26.280645;18.467742;85.359375;
82797;31/08/2001;0000;61.5;26.919355;17.041935;79.91129;
82797;30/09/2001;0000;25;29.35;18.17;;
82797;31/10/2001;0000;21.9;30.454839;19.832258;75.040323;
82797;30/11/2001;0000;8.3;31.55;20.403333;75.116667;
82797;31/12/2001;0000;26.5;31.806452;21.33871;76.298387;
82797;31/01/2002;0000;102.1;29.751613;21.009677;84.080645;
82797;28/02/2002;0000;24.7;31.714286;20.678571;;
82797;31/03/2002;0000;95.5;30.467742;20.725806;81.405172;
82797;30/04/2002;0000;30.8;31.126667;20.753333;76.941667;
82797;31/05/2002;0000;110.8;28.812903;20.332258;84.459677;
82797;30/06/2002;0000;120.3;26.3;19.173333;86.941667;
82797;31/07/2002;0000;47.5;26.609677;18.525806;84.395161;
82797;31/08/2002;0000;33.7;27.754839;17.829032;80.991935;
82797;30/09/2002;0000;7.4;30.32;19.21;72.016667;
82797;31/10/2002;0000;12.2;31.196774;20.025806;71.435484;
82797;30/11/2002;0000;28.7;31.8;20.683333;70.958333;
82797;31/12/2002;0000;3.3;32.854839;20.858065;70.306452;
82797;31/01/2003;0000;5.5;33.712903;21.096774;67.741935;
82797;28/02/2003;0000;50.4;31.714286;21.414286;76.923077;
82797;31/03/2003;0000;48.2;30.803226;21.403226;77.120968;
82797;30/04/2003;0000;47.7;31.28;21.74;74.075;
82797;31/05/2003;0000;50.9;29.73871;21.077419;78.185484;
82797;30/06/2003;0000;82.9;27.25;19.32;81.6;
82797;31/07/2003;0000;62;26.867742;18.351613;81.467742;
82797;31/08/2003;0000;32;28.864516;18.603226;74.604839;
82797;30/09/2003;0000;39.8;29.353333;19.39;75.241667;
82797;31/10/2003;0000;7.9;31.248387;20.058065;68.733871;
82797;30/11/2003;0000;3.4;32.46;21.106667;66.908333;
82797;31/12/2003;0000;33.2;32.677419;21.280645;67.572581;
82797;31/01/2004;0000;216.5;30.332258;20.832258;79.991935;
82797;29/02/2004;0000;114.3;29.144828;21.551724;84.5;
82797;31/03/2004;0000;40.7;30.235484;21.067742;77.177419;
82797;30/04/2004;0000;84.8;29.786207;20.893103;80.183333;
82797;31/05/2004;0000;84.8;28.574194;20.429032;82.41129;
82797;30/06/2004;0000;140.9;25.936667;19.466667;87.291667;
82797;31/07/2004;0000;122.6;26.064516;18.7;86.387097;
82797;31/08/2004;0000;45.9;27.145161;18.377419;81.725806;
82797;30/09/2004;0000;34.7;28.966667;18.593333;78.408333;
82797;31/10/2004;0000;5.7;31.477419;19.63871;71.991935;
82797;30/11/2004;0000;6.8;33.173333;19.406667;66.783333;
82797;31/12/2004;0000;10.6;32.948387;19.790323;66.008065;
82797;31/01/2005;0000;8.5;33.4;20.422581;72.666667;
82797;28/02/2005;0000;29.2;33.039286;21.832143;74.925926;
82797;31/03/2005;0000;94.4;33.419355;21.690323;71.379032;
82797;30/04/2005;0000;22.2;30.84;21.426667;77.591667;
82797;31/05/2005;0000;91.1;28.716129;20.680645;81.258065;
82797;30/06/2005;0000;258.1;25.893333;19.92;87.983333;
82797;31/07/2005;0000;71.6;25.919355;18.290323;82.935484;
82797;31/08/2005;0000;95.2;25.967742;18.032258;85.532258;
82797;30/09/2005;0000;5.6;28.526667;18.686667;78.125;
82797;31/10/2005;0000;2.5;30.941935;19.570968;68.427419;
82797;30/11/2005;0000;9;31.743333;20.233333;66.625;
82797;31/12/2005;0000;27.3;31.409677;20.496774;68.741935;
82797;31/01/2006;0000;2.9;31.66129;19.806452;66.064516;
82797;28/02/2006;0000;71.8;32.65;21.678571;72.821429;
82797;31/03/2006;0000;38.7;32.033333;21.783333;71.733871;
82797;30/04/2006;0000;41.2;31.12;22.193333;76.508333;
82797;31/05/2006;0000;58.6;29.406452;21.283871;77.209677;
82797;30/06/2006;0000;148.7;26.833333;19.91;82.558333;
82797;31/07/2006;0000;41;26.412903;18.848387;82.620968;
82797;31/08/2006;0000;34.6;27.8;18.803226;77.137097;
82797;30/09/2006;0000;10;29.993333;19.266667;71.133333;
82797;31/10/2006;0000;4.4;31.890323;20.309677;67.620968;
82797;30/11/2006;0000;31.8;31.696552;20.710345;68.475;
82797;31/12/2006;0000;9.5;32.451613;21.13871;68.758065;
82797;31/01/2007;0000;23.2;31.687097;21.764516;78.16129;
82797;28/02/2007;0000;51.8;32.389286;22.135714;76.285714;
82797;31/03/2007;0000;73.1;30.377419;21.458065;76.08871;
82797;30/04/2007;0000;56.1;31.123333;21.316667;72.975;
82797;31/05/2007;0000;39.7;28.993548;20.670968;78.774194;
82797;30/06/2007;0000;123;27.136667;19.813333;83.433333;
82797;31/07/2007;0000;48.5;26.464516;18.658065;82.935484;
82797;31/08/2007;0000;48.6;26.548387;18.293548;82.943548;
82797;30/09/2007;0000;29.3;28.506667;18.686667;75.458333;
82797;31/10/2007;0000;3.6;30.458065;19.706452;70.637097;
82797;30/11/2007;0000;5.8;31.6;20.166667;66.258333;
82797;31/12/2007;0000;16.8;31.835484;20.432258;67.483871;
82797;31/01/2008;0000;3.5;31.996774;21.041935;73.516129;
82797;29/02/2008;0000;1.4;33.142857;21.864286;70.793103;
82797;31/03/2008;0000;157.4;31.770968;22.109677;73.790323;
82797;30/04/2008;0000;58.4;29.513333;21.34;81.625;
82797;31/05/2008;0000;115.2;28.154839;20.154839;84.717742;
82797;30/06/2008;0000;64.6;26.523333;18.73;85.383333;
82797;31/07/2008;0000;93.2;25.977419;18.693548;84.177419;
82797;31/08/2008;0000;80.6;26.809677;18.516129;82.048387;
82797;30/09/2008;0000;19.8;29.54;18.866667;75.3;
82797;31/10/2008;0000;7;31.33871;19.867742;70.419355;
82797;30/11/2008;0000;0.4;32.393333;20.636667;68.458333;
