--------------------
BDMEP - INMET
--------------------
Esta?o           : TAUBATE - SP (OMM: 83784)
Latitude  (graus) : -23.03
Longitude (graus) : -45.55
Altitude  (metros): 577.00
Esta?o Operante
Inicio de opera?o: 01/01/1943
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83784;31/01/2000;0000;344.6;30.632258;19.219355;77.629032;
83784;29/02/2000;0000;193.5;30.244828;19.248276;79.698276;
83784;31/03/2000;0000;251.9;29.419355;18.558065;80.217742;
83784;30/04/2000;0000;16.9;28.526667;15.406667;77.3;
83784;31/05/2000;0000;9.4;25.974194;12.109677;76.169355;
83784;30/06/2000;0000;0.8;26.326667;10.38;74.158333;
83784;31/07/2000;0000;61.7;23.741935;9.587097;75.887097;
83784;31/08/2000;0000;82.2;25.23871;11.735484;74.645161;
83784;30/09/2000;0000;89.6;25.86;14.846667;77.391667;
83784;31/10/2000;0000;55.6;30.922581;17.754839;72.693548;
83784;30/11/2000;0000;187.6;29.393333;17.92;77.65;
83784;31/12/2000;0000;275.9;29.890323;19;79.112903;
83784;31/01/2001;0000;109.9;30.362963;18.386667;76.548387;
83784;28/02/2001;0000;105;;19.375;80.160714;
83784;31/03/2001;0000;125.6;31.387097;18.922581;78.66129;
83784;30/04/2001;0000;26.8;30.313333;15.896667;75.958333;
83784;31/05/2001;0000;81.4;25.325806;13.541935;79.798387;
83784;30/06/2001;0000;6.2;25.29;11.723333;78.416667;
83784;31/07/2001;0000;31.2;25.929032;10.348387;76.395161;
83784;31/08/2001;0000;64.1;27.467742;11.803226;72.395161;
83784;30/09/2001;0000;71.1;26.473333;13.746667;74.85;
83784;31/10/2001;0000;137.1;28.93871;15.341935;72.580645;
83784;30/11/2001;0000;121;30.02;17.973333;77.391667;
83784;31/12/2001;0000;265.8;29.629032;18.677419;78.395161;
83784;31/01/2002;0000;256;29.819355;19.5;81.040323;
83784;28/02/2002;0000;200.2;29.214286;18.735714;81.866071;
83784;31/03/2002;0000;114.3;32.125806;18.751613;75.870968;
83784;30/04/2002;0000;47.4;30.733333;17.14;75.958333;
83784;31/05/2002;0000;81.3;26.625806;14.890323;81.016129;
83784;30/06/2002;0000;1.8;27.26;12.37;79.65;
83784;31/07/2002;0000;8.2;25.112903;11.074194;76.169355;
83784;31/08/2002;0000;65.9;28.86129;13.716129;72.314516;
83784;30/09/2002;0000;74;26.22;14.158621;74.5;
83784;31/10/2002;0000;99.6;33.193548;17.083871;65.112903;
83784;30/11/2002;0000;298.3;30.406667;17.8;76.083333;
83784;31/12/2002;0000;116.8;31.674194;19.212903;76.104839;
83784;31/01/2003;0000;286;30.435484;19.912903;82.846774;
83784;28/02/2003;0000;50.6;33.707143;19.367857;71.803571;
83784;31/03/2003;0000;130.9;29.822581;18.625806;80.604839;
83784;30/04/2003;0000;23.7;28.86;16.3;78.641667;
83784;31/05/2003;0000;29.5;25.590323;11.36129;78.564516;
83784;30/06/2003;0000;1.3;26.96;12.26;77.333333;
83784;31/07/2003;0000;15.7;25.93871;10.106452;74.483871;
83784;31/08/2003;0000;24.1;25.403226;10.548387;73.064516;
83784;30/09/2003;0000;24.5;28.186667;14.173333;70.191667;
83784;31/10/2003;0000;188.4;29.312903;16.058065;73.169355;
83784;30/11/2003;0000;151.6;29.753333;17.55;77.25;
83784;31/12/2003;0000;106.4;30.880645;18.96129;76.991935;
83784;31/01/2004;0000;257.1;29.351613;18.741935;80.645161;
83784;29/02/2004;0000;277.5;29.3;17.986207;81.181034;
83784;31/03/2004;0000;172.7;28.512903;16.832258;80.637097;
83784;30/04/2004;0000;137.6;28.126667;17.24;83.325;
83784;31/05/2004;0000;71.3;23.858065;13.535484;84.08871;
83784;30/06/2004;0000;69.8;23.733333;11.36;84.308333;
83784;31/07/2004;0000;88.8;22.977419;10.76129;83.177419;
83784;31/08/2004;0000;3.6;26.370968;10.883871;74.967742;
83784;30/09/2004;0000;41.9;30.866667;14.986667;68.025;
83784;31/10/2004;0000;152.1;26.951613;15.632258;78.169355;
83784;30/11/2004;0000;225.7;29.513333;17.433333;74.783333;
83784;31/12/2004;0000;127.2;29.641935;18.187097;78.177419;
83784;31/01/2005;0000;324.6;30.096774;19.832258;82.535714;
83784;28/02/2005;0000;82.5;30.635714;17.514286;76.919643;
83784;31/03/2005;0000;121.6;30.022581;19.070968;80.112903;
83784;30/04/2005;0000;72.6;29.64;18.136667;79.3;
83784;31/05/2005;0000;106.2;26.725806;13.625806;81.282258;
83784;30/06/2005;0000;18.4;25.71;11.72;82.366667;
83784;31/07/2005;0000;27.9;24.209677;10.735484;81.387097;
83784;31/08/2005;0000;1.7;28.609677;11.632258;72.201613;
83784;30/09/2005;0000;94.5;25.806667;15.246667;79.983333;
83784;31/10/2005;0000;131.1;29.919355;18.167742;78.451613;
83784;30/11/2005;0000;139.4;28.706667;17.006667;77.341667;
83784;31/12/2005;0000;190.2;29.364516;17.387097;79.524194;
83784;28/02/2006;0000;293.3;31.057143;19.478571;;
83784;31/03/2006;0000;210;30.216129;18.967742;;
83784;30/04/2006;0000;80.3;28.286667;16.246667;;
83784;31/05/2006;0000;33.2;24.3;12.174194;;
83784;30/06/2006;0000;5.8;24.933333;10.813333;;
83784;31/07/2006;0000;48.2;25.945161;9.535484;;
83784;31/08/2006;0000;11.4;27.641935;11.96129;;
83784;30/09/2006;0000;94.1;27.366667;13.206667;;
83784;31/10/2006;0000;112.6;28.596774;16.651613;;
83784;30/11/2006;0000;54.2;;;;
83784;31/12/2006;0000;134.7;;;;
83784;31/01/2007;0000;15;;;;
83784;28/02/2007;0000;94.5;32.378571;18.885714;;
83784;31/03/2007;0000;91.1;32.757143;18.609524;;
83784;30/04/2007;0000;137.6;28.906897;17.675862;;
83784;31/05/2007;0000;55.2;24.736667;12.109677;;
83784;30/06/2007;0000;19.5;25.673333;10.2;;
83784;31/07/2007;0000;128.2;23.551613;10.380645;;
83784;31/08/2007;0000;1.2;27.125806;10.870968;;
83784;30/09/2007;0000;24.1;29.56;13.26;;
83784;31/10/2007;0000;140.8;30.529032;15.729032;;
83784;30/11/2007;0000;263.9;28.006667;16.186667;;
83784;31/12/2007;0000;110.2;30.725806;17.819355;;
83784;29/02/2008;0000;187.4;30.065517;18.531034;;
83784;31/03/2008;0000;270.4;29.367742;17.716129;;
83784;30/04/2008;0000;171.2;27.686667;16.873333;;
83784;31/05/2008;0000;35.6;24.925806;12.077419;;
83784;30/06/2008;0000;50.7;24.323333;12.34;;
83784;31/07/2008;0000;0;25.658065;8.741935;;
83784;31/08/2008;0000;91.9;27.070968;12.735484;;
83784;30/09/2008;0000;59.6;26.11;12.653333;75.515625;
83784;31/10/2008;0000;93.1;29.045161;16.541935;74.66129;
83784;30/11/2008;0000;246.6;28.436667;16.853333;78.125;
83784;31/12/2008;0000;311.5;29.332258;17.180645;77.024194;
83784;31/01/2009;0000;226.1;29.345161;18.922581;82.104839;
83784;28/02/2009;0000;439.9;31.489286;19.092857;78.660714;
83784;31/03/2009;0000;99.1;30.664516;19.103226;79.056452;
83784;30/04/2009;0000;81.2;27.706667;15.533333;79.858333;
83784;31/05/2009;0000;69.7;26.548387;13.187097;80.201613;
83784;30/06/2009;0000;42;23.186667;9.086667;80.608333;
83784;31/07/2009;0000;97.5;23.903226;11.451613;83.290323;
83784;31/08/2009;0000;43.1;25.896774;11.212903;75.822581;
83784;30/09/2009;0000;111.7;27.916667;15.113333;77.543103;
83784;31/10/2009;0000;84.1;28.751613;15.780645;;
83784;30/11/2009;0000;77.2;32.466667;18.346667;;
83784;31/12/2009;0000;267.6;30.096774;17.741935;;
83784;31/01/2010;0000;56.8;;;;
83784;28/02/2010;0000;41.3;32.642857;18.771429;;
83784;31/03/2010;0000;138.2;30.629032;18.709677;;
83784;30/04/2010;0000;61.8;28.23;15.92;;
83784;31/05/2010;0000;20;26.109677;13.232258;;
83784;30/06/2010;0000;3.2;24.706667;9.266667;;
83784;31/07/2010;0000;40;26.087097;11.251613;;
83784;31/08/2010;0000;0;26.887097;9.832258;;
83784;30/09/2010;0000;56.2;28.353333;13.58;;
83784;31/10/2010;0000;60.4;27.987097;15.245161;;
83784;30/11/2010;0000;68.4;29.616667;17.1;;
83784;31/12/2010;0000;113.5;31.335484;20.122581;;
83784;31/01/2011;0000;0.6;;;;
83784;28/02/2011;0000;103.3;33.214286;19.578571;;
83784;31/03/2011;0000;217;28.564516;19.109677;;
83784;30/04/2011;0000;124.2;28.923333;17.26;;
83784;31/05/2011;0000;23.7;25.616129;13;;
83784;30/06/2011;0000;34.2;23.97;9.266667;;
83784;31/07/2011;0000;1.2;25.258065;10.393548;;
83784;31/08/2011;0000;6.4;27.319355;12.677419;;
83784;30/09/2011;0000;16.3;28.72;12.606667;;
83784;31/10/2011;0000;88.4;29.074194;15.883871;;
83784;30/11/2011;0000;104.6;28.946667;15.733333;;
83784;31/12/2011;0000;89.4;30.522581;18.006452;;
83784;31/01/2012;0000;4.8;;;;
83784;29/02/2012;0000;62.8;33.375862;19.048276;;
83784;31/03/2012;0000;112;30.641935;17.645161;;
83784;30/04/2012;0000;55.2;28.903333;17.486667;;
83784;31/05/2012;0000;71.8;25.816129;12.625806;;
83784;30/06/2012;0000;93.8;24.668966;13.696296;;
83784;31/07/2012;0000;39.2;25.69;10.432258;;
83784;31/08/2012;0000;7.6;27.203226;11.009677;;
83784;30/09/2012;0000;9.8;29.68;13.326667;;
83784;31/10/2012;0000;52.8;32.167742;16.006667;;
83784;30/11/2012;0000;71.6;29.91;16.713333;;
83784;31/12/2012;0000;254.8;33;20.090323;;
83784;31/01/2013;0000;1;;;;
83784;28/02/2013;0000;198.4;32.117857;19.464286;;
83784;31/03/2013;0000;121.4;30.051613;19.096774;;
83784;30/04/2013;0000;28;27.663333;15.686667;;
83784;31/05/2013;0000;39.4;26.483871;13.922581;;
83784;30/06/2013;0000;18.3;25.293333;14.4;;
83784;31/07/2013;0000;57.8;24.670968;11.051613;;
83784;31/08/2013;0000;2.8;27.596774;10.645161;;
83784;30/09/2013;0000;33.8;29.1;13.98;;
83784;31/10/2013;0000;96.2;28.580645;16.425806;;
83784;30/11/2013;0000;132.4;30.473333;17.56;;
83784;31/12/2013;0000;84.6;32.570968;19.354839;;
83784;31/01/2014;0000;7.4;;;;
83784;28/02/2014;0000;42.4;35.985714;19.221429;;
83784;31/03/2014;0000;98.4;32.335484;18.690323;;
83784;30/04/2014;0000;54.8;29.08;16.66;;
83784;31/05/2014;0000;13.2;28.055556;12.987097;;
83784;30/06/2014;0000;17.6;;12.686667;;
83784;31/07/2014;0000;27.8;;11.219355;;
83784;31/08/2014;0000;0;;;;
