--------------------
BDMEP - INMET
--------------------
Esta?o           : TEFE - AM (OMM: 82317)
Latitude  (graus) : -3.83
Longitude (graus) : -64.7
Altitude  (metros): 47.00
Esta?o Operante
Inicio de opera?o: 04/01/1929
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82317;31/01/2000;0000;404.2;31.506452;22.245161;95.66129;
82317;29/02/2000;0000;155.4;32.106897;22.372414;89.896552;
82317;31/03/2000;0000;332.4;31.93871;22.374194;89.282258;
82317;30/04/2000;0000;261.4;31.7;22.24;90.058333;
82317;31/05/2000;0000;287.1;31.783871;22.458065;92.58871;
82317;30/06/2000;0000;107.5;31.756667;22.059259;88.308333;
82317;31/07/2000;0000;135.9;30.790323;20.980645;86.322581;
82317;31/08/2000;0000;76.8;33.045161;21.393548;86.193548;
82317;30/09/2000;0000;260.3;33.43;21.973333;82.891667;
82317;31/10/2000;0000;237.3;33.187097;22.051613;86.862903;
82317;30/11/2000;0000;225.5;32.756667;22.273333;88.608333;
82317;31/12/2000;0000;264.3;32.448387;22.16129;88.193548;
82317;31/01/2001;0000;483.6;31.541935;21.6;89.967742;
82317;28/02/2001;0000;202.3;32.321429;22.014286;88.25;
82317;31/03/2001;0000;330.9;32.706452;21.922581;88.814516;
82317;30/04/2001;0000;314.7;32.876667;22.506667;87.875;
82317;31/05/2001;0000;233;31.845161;22.477419;88.879032;
82317;30/06/2001;0000;134.7;30.246667;20.933333;89.241667;
82317;31/07/2001;0000;121.3;32.151613;21.722581;86.298387;
82317;31/08/2001;0000;90;34.474194;22.406452;80.91129;
82317;30/09/2001;0000;139.1;33.973333;22.21;84.416667;
82317;31/10/2001;0000;168.8;34.445161;23.393548;85.306452;
82317;30/11/2001;0000;154.2;34.356667;23.65;85.475;
